"Frequency"	"Magnitude"
1.010000000000E+02	4.735017E-06
1.041800000000E+02	4.852434E-06
1.073610000000E+02	5.030334E-06
1.105410000000E+02	5.207333E-06
1.137210000000E+02	4.992800E-06
1.169020000000E+02	4.103631E-06
1.200820000000E+02	3.353170E-06
1.232620000000E+02	2.874750E-06
1.264430000000E+02	3.227957E-06
1.296230000000E+02	2.958493E-06
1.328030000000E+02	2.044454E-06
1.359830000000E+02	2.373225E-06
1.391640000000E+02	3.173329E-06
1.423440000000E+02	3.311576E-06
1.455240000000E+02	3.811539E-06
1.487050000000E+02	5.028662E-06
1.518850000000E+02	5.248259E-06
1.550650000000E+02	4.663150E-06
1.582460000000E+02	2.621296E-06
1.614260000000E+02	2.031015E-06
1.646060000000E+02	1.971930E-06
1.677870000000E+02	2.763129E-06
1.709670000000E+02	3.526823E-06
1.741470000000E+02	3.176565E-06
1.773280000000E+02	2.873900E-06
1.805080000000E+02	2.922025E-06
1.836880000000E+02	2.818433E-06
1.868680000000E+02	2.336139E-06
1.900490000000E+02	2.380211E-06
1.932290000000E+02	2.862135E-06
1.964090000000E+02	2.978290E-06
1.995900000000E+02	2.679799E-06
2.027700000000E+02	2.563242E-06
2.059500000000E+02	2.372338E-06
2.091310000000E+02	2.295771E-06
2.123110000000E+02	2.614386E-06
2.154910000000E+02	2.813590E-06
2.186720000000E+02	2.513288E-06
2.218520000000E+02	2.189435E-06
2.250320000000E+02	1.817670E-06
2.282130000000E+02	1.985859E-06
2.313930000000E+02	2.166016E-06
2.345730000000E+02	2.152515E-06
2.377530000000E+02	1.721362E-06
2.409340000000E+02	1.827420E-06
2.441140000000E+02	2.243306E-06
2.472940000000E+02	2.777706E-06
2.504750000000E+02	3.017355E-06
2.536550000000E+02	2.700858E-06
2.568350000000E+02	2.262029E-06
2.600160000000E+02	1.990960E-06
2.631960000000E+02	1.827266E-06
2.641960000000E+02	2.936446E-06
2.725980000000E+02	2.930765E-06
2.810010000000E+02	2.724885E-06
2.894030000000E+02	2.289772E-06
2.978060000000E+02	2.270076E-06
3.062080000000E+02	2.191765E-06
3.146110000000E+02	1.889049E-06
3.230130000000E+02	1.909442E-06
3.314150000000E+02	2.073184E-06
3.398180000000E+02	2.162238E-06
3.482200000000E+02	2.221599E-06
3.566230000000E+02	1.751426E-06
3.650250000000E+02	1.534314E-06
3.734280000000E+02	1.563729E-06
3.818300000000E+02	1.691292E-06
3.902320000000E+02	1.598909E-06
3.986350000000E+02	1.376065E-06
4.070370000000E+02	1.541952E-06
4.154400000000E+02	1.670268E-06
4.238420000000E+02	1.763243E-06
4.322450000000E+02	1.870609E-06
4.406470000000E+02	1.751392E-06
4.490490000000E+02	1.716440E-06
4.574520000000E+02	1.829106E-06
4.658540000000E+02	1.925149E-06
4.742570000000E+02	1.896635E-06
4.826590000000E+02	1.927943E-06
4.910620000000E+02	1.849107E-06
4.994640000000E+02	1.768718E-06
5.078670000000E+02	1.532547E-06
5.162690000000E+02	1.319487E-06
5.246710000000E+02	1.203021E-06
5.330740000000E+02	1.035815E-06
5.414760000000E+02	1.119586E-06
5.498790000000E+02	1.510736E-06
5.582810000000E+02	1.640589E-06
5.666840000000E+02	1.671761E-06
5.750860000000E+02	1.304143E-06
5.834880000000E+02	1.239868E-06
5.918910000000E+02	1.343365E-06
6.002930000000E+02	1.457603E-06
6.086960000000E+02	1.467058E-06
6.170980000000E+02	1.500884E-06
6.255010000000E+02	1.478130E-06
6.339030000000E+02	1.352496E-06
6.423050000000E+02	1.197971E-06
6.507080000000E+02	1.336070E-06
6.591100000000E+02	1.397101E-06
6.675130000000E+02	1.351231E-06
6.759150000000E+02	1.332893E-06
6.843180000000E+02	1.296550E-06
6.927200000000E+02	1.258595E-06
6.937200000000E+02	1.238046E-06
7.158670000000E+02	1.287925E-06
7.380140000000E+02	1.319540E-06
7.601610000000E+02	1.364077E-06
7.823070000000E+02	1.026587E-06
8.044540000000E+02	8.726535E-07
8.266010000000E+02	1.097640E-06
8.487480000000E+02	1.808721E-06
8.708950000000E+02	1.474095E-06
8.930420000000E+02	1.254077E-06
9.151890000000E+02	9.984575E-07
9.373350000000E+02	1.119698E-06
9.594820000000E+02	1.413715E-06
9.816290000000E+02	1.218653E-06
1.003776000000E+03	1.104755E-06
1.025923000000E+03	1.065016E-06
1.048070000000E+03	1.194924E-06
1.070217000000E+03	1.044407E-06
1.092364000000E+03	1.011370E-06
1.114510000000E+03	1.194607E-06
1.136657000000E+03	1.346723E-06
1.158804000000E+03	1.119238E-06
1.180951000000E+03	1.055281E-06
1.203098000000E+03	9.784154E-07
1.225245000000E+03	8.796388E-07
1.247392000000E+03	1.006291E-06
1.269538000000E+03	9.775664E-07
1.291685000000E+03	8.441964E-07
1.313832000000E+03	9.254094E-07
1.335979000000E+03	1.098360E-06
1.358126000000E+03	7.867668E-07
1.380273000000E+03	9.735938E-07
1.402420000000E+03	7.730955E-07
1.424566000000E+03	8.376986E-07
1.446713000000E+03	1.176743E-06
1.468860000000E+03	1.230702E-06
1.491007000000E+03	9.062225E-07
1.513154000000E+03	1.183627E-06
1.535301000000E+03	1.190758E-06
1.557448000000E+03	1.036492E-06
1.579595000000E+03	1.079035E-06
1.601741000000E+03	8.118683E-07
1.623888000000E+03	1.145323E-06
1.646035000000E+03	1.084779E-06
1.668182000000E+03	1.286004E-06
1.690329000000E+03	1.228630E-06
1.712476000000E+03	1.056113E-06
1.734623000000E+03	9.183848E-07
1.756769000000E+03	8.603435E-07
1.778916000000E+03	9.284025E-07
1.801063000000E+03	1.201379E-06
1.823210000000E+03	1.006062E-06
1.824210000000E+03	7.384700E-07
1.882531000000E+03	6.652095E-07
1.940853000000E+03	8.188973E-07
1.999174000000E+03	1.018634E-06
2.057495000000E+03	1.122772E-06
2.115817000000E+03	9.230012E-07
2.174138000000E+03	7.587161E-07
2.232460000000E+03	8.627277E-07
2.290781000000E+03	9.236759E-07
2.349102000000E+03	7.126676E-07
2.407424000000E+03	7.357625E-07
2.465745000000E+03	9.432059E-07
2.524066000000E+03	8.530726E-07
2.582388000000E+03	7.354205E-07
2.640709000000E+03	7.499887E-07
2.699031000000E+03	7.543056E-07
2.757352000000E+03	5.825290E-07
2.815673000000E+03	6.022719E-07
2.873995000000E+03	8.279865E-07
2.932316000000E+03	8.394749E-07
2.990637000000E+03	7.016666E-07
3.048959000000E+03	8.554851E-07
3.107280000000E+03	7.129892E-07
3.165602000000E+03	6.852519E-07
3.223923000000E+03	7.854945E-07
3.282244000000E+03	7.765321E-07
3.340566000000E+03	7.213532E-07
3.398887000000E+03	6.668076E-07
3.457208000000E+03	5.720744E-07
3.515530000000E+03	6.686947E-07
3.573851000000E+03	5.744436E-07
3.632173000000E+03	4.760663E-07
3.690494000000E+03	4.709707E-07
3.748815000000E+03	6.526658E-07
3.807137000000E+03	5.799474E-07
3.865458000000E+03	7.069426E-07
3.923779000000E+03	6.068926E-07
3.982101000000E+03	5.658765E-07
4.040422000000E+03	7.468631E-07
4.098744000000E+03	8.427306E-07
4.157065000000E+03	7.510047E-07
4.215386000000E+03	7.109306E-07
4.273708000000E+03	7.338510E-07
4.332029000000E+03	8.493753E-07
4.390350000000E+03	6.863738E-07
4.448672000000E+03	5.897564E-07
4.506993000000E+03	6.995762E-07
4.565315000000E+03	7.083775E-07
4.623636000000E+03	5.209449E-07
4.681957000000E+03	5.053353E-07
4.740279000000E+03	6.652323E-07
4.798600000000E+03	6.363435E-07
4.799600000000E+03	5.597884E-07
4.953131000000E+03	4.903521E-07
5.106663000000E+03	5.977784E-07
5.260194000000E+03	6.193667E-07
5.413725000000E+03	6.166543E-07
5.567257000000E+03	5.581982E-07
5.720788000000E+03	5.129458E-07
5.874320000000E+03	6.974756E-07
6.027851000000E+03	5.769491E-07
6.181382000000E+03	5.473438E-07
6.334914000000E+03	6.286703E-07
6.488445000000E+03	5.718551E-07
6.641976000000E+03	5.022434E-07
6.795508000000E+03	6.215209E-07
6.949039000000E+03	5.672371E-07
7.102571000000E+03	4.050918E-07
7.256102000000E+03	3.479707E-07
7.409633000000E+03	4.084033E-07
7.563165000000E+03	4.733038E-07
7.716696000000E+03	4.954166E-07
7.870227000000E+03	4.519868E-07
8.023759000000E+03	4.989241E-07
8.177290000000E+03	3.470716E-07
8.330822000000E+03	4.015230E-07
8.484353000000E+03	4.505260E-07
8.637884000000E+03	5.295998E-07
8.791416000000E+03	4.994045E-07
8.944947000000E+03	3.948218E-07
9.098478000000E+03	4.105729E-07
9.252010000000E+03	4.145243E-07
9.405541000000E+03	3.621518E-07
9.559073000000E+03	3.088658E-07
9.712604000000E+03	4.153893E-07
9.866135000000E+03	3.663577E-07
1.001966700000E+04	3.904529E-07
1.017319800000E+04	4.775362E-07
1.032672900000E+04	5.406635E-07
1.048026100000E+04	5.302301E-07
1.063379200000E+04	4.246353E-07
1.078732400000E+04	4.502400E-07
1.094085500000E+04	3.838158E-07
1.109438600000E+04	3.582378E-07
1.124791800000E+04	3.005796E-07
1.140144900000E+04	3.645334E-07
1.155498000000E+04	4.792545E-07
1.170851200000E+04	4.318849E-07
1.186204300000E+04	3.682275E-07
1.201557500000E+04	3.572052E-07
1.216910600000E+04	3.829776E-07
1.232263700000E+04	3.566546E-07
1.247616900000E+04	2.996362E-07
1.262970000000E+04	3.042129E-07
1.263070000000E+04	4.781310E-07
1.303482200000E+04	4.324235E-07
1.343894300000E+04	4.257726E-07
1.384306500000E+04	3.100974E-07
1.424718600000E+04	2.857141E-07
1.465130800000E+04	2.757921E-07
1.505542900000E+04	2.359848E-07
1.545955100000E+04	2.928222E-07
1.586367300000E+04	3.270492E-07
1.626779400000E+04	2.875859E-07
1.667191600000E+04	2.335031E-07
1.707603700000E+04	2.557315E-07
1.748015900000E+04	3.498564E-07
1.788428000000E+04	4.165593E-07
1.828840200000E+04	4.005829E-07
1.869252400000E+04	4.005331E-07
1.909664500000E+04	4.210410E-07
1.950076700000E+04	3.823771E-07
1.990488800000E+04	3.582375E-07
2.030901000000E+04	2.867129E-07
2.071313100000E+04	2.263276E-07
2.111725300000E+04	2.140603E-07
2.152137500000E+04	2.317026E-07
2.192549600000E+04	2.791489E-07
2.232961800000E+04	2.339572E-07
2.273373900000E+04	2.179952E-07
