"Frequency"	"Magnitude"
1.010000000000E+02	1.668316E+01
1.041800000000E+02	1.671917E+01
1.073610000000E+02	1.675546E+01
1.105410000000E+02	1.675515E+01
1.137210000000E+02	1.678483E+01
1.169020000000E+02	1.679677E+01
1.200820000000E+02	1.681910E+01
1.232620000000E+02	1.683626E+01
1.264430000000E+02	1.683399E+01
1.296230000000E+02	1.687435E+01
1.328030000000E+02	1.683815E+01
1.359830000000E+02	1.687631E+01
1.391640000000E+02	1.687191E+01
1.423440000000E+02	1.688235E+01
1.455240000000E+02	1.686912E+01
1.487050000000E+02	1.691575E+01
1.518850000000E+02	1.687693E+01
1.550650000000E+02	1.690396E+01
1.582460000000E+02	1.692901E+01
1.614260000000E+02	1.693276E+01
1.646060000000E+02	1.694046E+01
1.677870000000E+02	1.695099E+01
1.709670000000E+02	1.695843E+01
1.741470000000E+02	1.696142E+01
1.773280000000E+02	1.695823E+01
1.805080000000E+02	1.696951E+01
1.836880000000E+02	1.698219E+01
1.868680000000E+02	1.699557E+01
1.900490000000E+02	1.697725E+01
1.932290000000E+02	1.699134E+01
1.964090000000E+02	1.699206E+01
1.995900000000E+02	1.699347E+01
2.027700000000E+02	1.699186E+01
2.059500000000E+02	1.702865E+01
2.091310000000E+02	1.699724E+01
2.123110000000E+02	1.702220E+01
2.154910000000E+02	1.700627E+01
2.186720000000E+02	1.702268E+01
2.218520000000E+02	1.700405E+01
2.250320000000E+02	1.701751E+01
2.282130000000E+02	1.702769E+01
2.313930000000E+02	1.702996E+01
2.345730000000E+02	1.703374E+01
2.377530000000E+02	1.700977E+01
2.409340000000E+02	1.701297E+01
2.441140000000E+02	1.705553E+01
2.472940000000E+02	1.703319E+01
2.504750000000E+02	1.704604E+01
2.536550000000E+02	1.704247E+01
2.568350000000E+02	1.704560E+01
2.600160000000E+02	1.702854E+01
2.631960000000E+02	1.705017E+01
2.641960000000E+02	1.707179E+01
2.725980000000E+02	1.709185E+01
2.810010000000E+02	1.707297E+01
2.894030000000E+02	1.706513E+01
2.978060000000E+02	1.705673E+01
3.062080000000E+02	1.706643E+01
3.146110000000E+02	1.704303E+01
3.230130000000E+02	1.707799E+01
3.314150000000E+02	1.705341E+01
3.398180000000E+02	1.705953E+01
3.482200000000E+02	1.706499E+01
3.566230000000E+02	1.704968E+01
3.650250000000E+02	1.707551E+01
3.734280000000E+02	1.709027E+01
3.818300000000E+02	1.705879E+01
3.902320000000E+02	1.711306E+01
3.986350000000E+02	1.708180E+01
4.070370000000E+02	1.707062E+01
4.154400000000E+02	1.710173E+01
4.238420000000E+02	1.709780E+01
4.322450000000E+02	1.706567E+01
4.406470000000E+02	1.706892E+01
4.490490000000E+02	1.709169E+01
4.574520000000E+02	1.707344E+01
4.658540000000E+02	1.708705E+01
4.742570000000E+02	1.710235E+01
4.826590000000E+02	1.708994E+01
4.910620000000E+02	1.710209E+01
4.994640000000E+02	1.707191E+01
5.078670000000E+02	1.709264E+01
5.162690000000E+02	1.709763E+01
5.246710000000E+02	1.711777E+01
5.330740000000E+02	1.708378E+01
5.414760000000E+02	1.711306E+01
5.498790000000E+02	1.708727E+01
5.582810000000E+02	1.709280E+01
5.666840000000E+02	1.709878E+01
5.750860000000E+02	1.711957E+01
5.834880000000E+02	1.709408E+01
5.918910000000E+02	1.710326E+01
6.002930000000E+02	1.711041E+01
6.086960000000E+02	1.709441E+01
6.170980000000E+02	1.708913E+01
6.255010000000E+02	1.710508E+01
6.339030000000E+02	1.709015E+01
6.423050000000E+02	1.708454E+01
6.507080000000E+02	1.710275E+01
6.591100000000E+02	1.710924E+01
6.675130000000E+02	1.710159E+01
6.759150000000E+02	1.710855E+01
6.843180000000E+02	1.709684E+01
6.927200000000E+02	1.710604E+01
6.937200000000E+02	1.712714E+01
7.158670000000E+02	1.708970E+01
7.380140000000E+02	1.711538E+01
7.601610000000E+02	1.709973E+01
7.823070000000E+02	1.708270E+01
8.044540000000E+02	1.711099E+01
8.266010000000E+02	1.711001E+01
8.487480000000E+02	1.710817E+01
8.708950000000E+02	1.710859E+01
8.930420000000E+02	1.711269E+01
9.151890000000E+02	1.710852E+01
9.373350000000E+02	1.712379E+01
9.594820000000E+02	1.710537E+01
9.816290000000E+02	1.712936E+01
1.003776000000E+03	1.709087E+01
1.025923000000E+03	1.709543E+01
1.048070000000E+03	1.710937E+01
1.070217000000E+03	1.712527E+01
1.092364000000E+03	1.710550E+01
1.114510000000E+03	1.711574E+01
1.136657000000E+03	1.711338E+01
1.158804000000E+03	1.711435E+01
1.180951000000E+03	1.710860E+01
1.203098000000E+03	1.712574E+01
1.225245000000E+03	1.711172E+01
1.247392000000E+03	1.709854E+01
1.269538000000E+03	1.712176E+01
1.291685000000E+03	1.710438E+01
1.313832000000E+03	1.709994E+01
1.335979000000E+03	1.714349E+01
1.358126000000E+03	1.709043E+01
1.380273000000E+03	1.709414E+01
1.402420000000E+03	1.711048E+01
1.424566000000E+03	1.713359E+01
1.446713000000E+03	1.711514E+01
1.468860000000E+03	1.712457E+01
1.491007000000E+03	1.710992E+01
1.513154000000E+03	1.712922E+01
1.535301000000E+03	1.711126E+01
1.557448000000E+03	1.712241E+01
1.579595000000E+03	1.713597E+01
1.601741000000E+03	1.711581E+01
1.623888000000E+03	1.711422E+01
1.646035000000E+03	1.709862E+01
1.668182000000E+03	1.711269E+01
1.690329000000E+03	1.711683E+01
1.712476000000E+03	1.713178E+01
1.734623000000E+03	1.712179E+01
1.756769000000E+03	1.710939E+01
1.778916000000E+03	1.711439E+01
1.801063000000E+03	1.711184E+01
1.823210000000E+03	1.711536E+01
1.824210000000E+03	1.713985E+01
1.882531000000E+03	1.709129E+01
1.940853000000E+03	1.713311E+01
1.999174000000E+03	1.710332E+01
2.057495000000E+03	1.713020E+01
2.115817000000E+03	1.711872E+01
2.174138000000E+03	1.713802E+01
2.232460000000E+03	1.711090E+01
2.290781000000E+03	1.711496E+01
2.349102000000E+03	1.714950E+01
2.407424000000E+03	1.712333E+01
2.465745000000E+03	1.711535E+01
2.524066000000E+03	1.711156E+01
2.582388000000E+03	1.709629E+01
2.640709000000E+03	1.710373E+01
2.699031000000E+03	1.712529E+01
2.757352000000E+03	1.711508E+01
2.815673000000E+03	1.711675E+01
2.873995000000E+03	1.711079E+01
2.932316000000E+03	1.711811E+01
2.990637000000E+03	1.712124E+01
3.048959000000E+03	1.711219E+01
3.107280000000E+03	1.713167E+01
3.165602000000E+03	1.714645E+01
3.223923000000E+03	1.712491E+01
3.282244000000E+03	1.713688E+01
3.340566000000E+03	1.710254E+01
3.398887000000E+03	1.712433E+01
3.457208000000E+03	1.710457E+01
3.515530000000E+03	1.711639E+01
3.573851000000E+03	1.712574E+01
3.632173000000E+03	1.714052E+01
3.690494000000E+03	1.710846E+01
3.748815000000E+03	1.710489E+01
3.807137000000E+03	1.714102E+01
3.865458000000E+03	1.714516E+01
3.923779000000E+03	1.708194E+01
3.982101000000E+03	1.710994E+01
4.040422000000E+03	1.710350E+01
4.098744000000E+03	1.709781E+01
4.157065000000E+03	1.711993E+01
4.215386000000E+03	1.709410E+01
4.273708000000E+03	1.711652E+01
4.332029000000E+03	1.711293E+01
4.390350000000E+03	1.713110E+01
4.448672000000E+03	1.712651E+01
4.506993000000E+03	1.713518E+01
4.565315000000E+03	1.712225E+01
