"Frequency"	"Magnitude"
1.010000000000E+02	9.573753E+00
1.041800000000E+02	9.644767E+00
1.073610000000E+02	9.607257E+00
1.105410000000E+02	9.611695E+00
1.137210000000E+02	9.673748E+00
1.169020000000E+02	9.674784E+00
1.200820000000E+02	9.735190E+00
1.232620000000E+02	9.738299E+00
1.264430000000E+02	9.748325E+00
1.296230000000E+02	9.736037E+00
1.328030000000E+02	9.712380E+00
1.359830000000E+02	9.724847E+00
1.391640000000E+02	9.788088E+00
1.423440000000E+02	9.769608E+00
1.455240000000E+02	9.810569E+00
1.487050000000E+02	9.801135E+00
1.518850000000E+02	9.804182E+00
1.550650000000E+02	9.811772E+00
1.582460000000E+02	9.801720E+00
1.614260000000E+02	9.827203E+00
1.646060000000E+02	9.824673E+00
1.677870000000E+02	9.859433E+00
1.709670000000E+02	9.860261E+00
1.741470000000E+02	9.871898E+00
1.773280000000E+02	9.862803E+00
1.805080000000E+02	9.877521E+00
1.836880000000E+02	9.869510E+00
1.868680000000E+02	9.880916E+00
1.900490000000E+02	9.874427E+00
1.932290000000E+02	9.901196E+00
1.964090000000E+02	9.881384E+00
1.995900000000E+02	9.891275E+00
2.027700000000E+02	9.891951E+00
2.059500000000E+02	9.896391E+00
2.091310000000E+02	9.903057E+00
2.123110000000E+02	9.885514E+00
2.154910000000E+02	9.892874E+00
2.186720000000E+02	9.906355E+00
2.218520000000E+02	9.892925E+00
2.250320000000E+02	9.916760E+00
2.282130000000E+02	9.925563E+00
2.313930000000E+02	9.911257E+00
2.345730000000E+02	9.890709E+00
2.377530000000E+02	9.944949E+00
2.409340000000E+02	9.885620E+00
2.441140000000E+02	9.963532E+00
2.472940000000E+02	9.935397E+00
2.504750000000E+02	9.951056E+00
2.536550000000E+02	9.937754E+00
2.568350000000E+02	9.940573E+00
2.600160000000E+02	9.932363E+00
2.631960000000E+02	9.947367E+00
2.641960000000E+02	9.950613E+00
2.725980000000E+02	9.935712E+00
2.810010000000E+02	9.924948E+00
2.894030000000E+02	9.957156E+00
2.978060000000E+02	9.932387E+00
3.062080000000E+02	9.941866E+00
3.146110000000E+02	9.989194E+00
3.230130000000E+02	9.979910E+00
3.314150000000E+02	9.971521E+00
3.398180000000E+02	9.974774E+00
3.482200000000E+02	9.975335E+00
3.566230000000E+02	9.969490E+00
3.650250000000E+02	9.993047E+00
3.734280000000E+02	9.971141E+00
3.818300000000E+02	9.997610E+00
3.902320000000E+02	9.990638E+00
3.986350000000E+02	9.987606E+00
4.070370000000E+02	9.979621E+00
4.154400000000E+02	9.997131E+00
4.238420000000E+02	1.000303E+01
4.322450000000E+02	9.976770E+00
4.406470000000E+02	9.981979E+00
4.490490000000E+02	9.981401E+00
4.574520000000E+02	9.976647E+00
4.658540000000E+02	1.001056E+01
4.742570000000E+02	9.985939E+00
4.826590000000E+02	9.985322E+00
