"Frequency"	"Magnitude"
1.010000000000E+02	1.109140E-06
1.041800000000E+02	1.537466E-06
1.073610000000E+02	2.490530E-06
1.105410000000E+02	2.580778E-06
1.137210000000E+02	2.448893E-06
1.169020000000E+02	1.137453E-06
1.200820000000E+02	4.604540E-07
1.232620000000E+02	5.171555E-07
1.264430000000E+02	5.966333E-07
1.296230000000E+02	5.887965E-07
1.328030000000E+02	5.049508E-07
1.359830000000E+02	5.330865E-07
1.391640000000E+02	6.394224E-07
1.423440000000E+02	8.497124E-07
1.455240000000E+02	3.227368E-06
1.487050000000E+02	4.614170E-06
1.518850000000E+02	4.537816E-06
1.550650000000E+02	4.100077E-06
1.582460000000E+02	1.511983E-06
1.614260000000E+02	6.760637E-07
1.646060000000E+02	7.614448E-07
1.677870000000E+02	7.908371E-07
1.709670000000E+02	6.795651E-07
1.741470000000E+02	6.009070E-07
1.773280000000E+02	5.649659E-07
1.805080000000E+02	5.373364E-07
1.836880000000E+02	6.005108E-07
1.868680000000E+02	5.481517E-07
1.900490000000E+02	5.871664E-07
1.932290000000E+02	6.300233E-07
1.964090000000E+02	5.059206E-07
1.995900000000E+02	4.596544E-07
2.027700000000E+02	4.846731E-07
2.059500000000E+02	5.766330E-07
2.091310000000E+02	5.646917E-07
2.123110000000E+02	5.924247E-07
2.154910000000E+02	5.765160E-07
2.186720000000E+02	5.487944E-07
2.218520000000E+02	4.962285E-07
2.250320000000E+02	5.598965E-07
2.282130000000E+02	5.962444E-07
2.313930000000E+02	4.477355E-07
2.345730000000E+02	4.289038E-07
2.377530000000E+02	5.589604E-07
2.409340000000E+02	5.620577E-07
2.441140000000E+02	5.320103E-07
2.472940000000E+02	1.050364E-06
2.504750000000E+02	1.469942E-06
2.536550000000E+02	1.411894E-06
2.568350000000E+02	1.367567E-06
2.600160000000E+02	7.329587E-07
2.631960000000E+02	6.204741E-07
2.641960000000E+02	7.100967E-07
2.725980000000E+02	5.120306E-07
2.810010000000E+02	4.624848E-07
2.894030000000E+02	4.964360E-07
2.978060000000E+02	5.533413E-07
3.062080000000E+02	5.687301E-07
3.146110000000E+02	5.564135E-07
3.230130000000E+02	5.742866E-07
3.314150000000E+02	4.566853E-07
3.398180000000E+02	4.210791E-07
3.482200000000E+02	4.257248E-07
3.566230000000E+02	4.918040E-07
