"Frequency"	"Magnitude"
1.010000000000E+02	2.930996E+01
1.041800000000E+02	2.927251E+01
1.073610000000E+02	2.930064E+01
1.105410000000E+02	2.930393E+01
1.137210000000E+02	2.934653E+01
1.169020000000E+02	2.927391E+01
1.200820000000E+02	2.935877E+01
1.232620000000E+02	2.938518E+01
1.264430000000E+02	2.938726E+01
1.296230000000E+02	2.940680E+01
1.328030000000E+02	2.941174E+01
1.359830000000E+02	2.951354E+01
1.391640000000E+02	2.938076E+01
1.423440000000E+02	2.944897E+01
1.455240000000E+02	2.947271E+01
1.487050000000E+02	2.951032E+01
1.518850000000E+02	2.948447E+01
1.550650000000E+02	2.947740E+01
1.582460000000E+02	2.946184E+01
1.614260000000E+02	2.950568E+01
1.646060000000E+02	2.951485E+01
1.677870000000E+02	2.949708E+01
1.709670000000E+02	2.954724E+01
1.741470000000E+02	2.954487E+01
1.773280000000E+02	2.954215E+01
1.805080000000E+02	2.954403E+01
1.836880000000E+02	2.953565E+01
1.868680000000E+02	2.954371E+01
1.900490000000E+02	2.953930E+01
1.932290000000E+02	2.955629E+01
1.964090000000E+02	2.956896E+01
1.995900000000E+02	2.957490E+01
2.027700000000E+02	2.956807E+01
2.059500000000E+02	2.957901E+01
2.091310000000E+02	2.956334E+01
2.123110000000E+02	2.957800E+01
2.154910000000E+02	2.956351E+01
2.186720000000E+02	2.957891E+01
2.218520000000E+02	2.957241E+01
2.250320000000E+02	2.958367E+01
2.282130000000E+02	2.959350E+01
2.313930000000E+02	2.959802E+01
2.345730000000E+02	2.958365E+01
2.377530000000E+02	2.956555E+01
2.409340000000E+02	2.957440E+01
2.441140000000E+02	2.955209E+01
2.472940000000E+02	2.960473E+01
2.504750000000E+02	2.959722E+01
2.536550000000E+02	2.959674E+01
2.568350000000E+02	2.958182E+01
2.600160000000E+02	2.961748E+01
2.631960000000E+02	2.960927E+01
2.641960000000E+02	2.962437E+01
2.725980000000E+02	2.963619E+01
2.810010000000E+02	2.960858E+01
