"Frequency"	"Magnitude"
1.010000000000E+02	1.052079E-06
1.041800000000E+02	1.991768E-06
1.073610000000E+02	3.058669E-06
1.105410000000E+02	3.078869E-06
1.137210000000E+02	2.959669E-06
1.169020000000E+02	1.450246E-06
1.200820000000E+02	6.796184E-07
1.232620000000E+02	6.065768E-07
1.264430000000E+02	5.128358E-07
1.296230000000E+02	5.454735E-07
1.328030000000E+02	6.317858E-07
1.359830000000E+02	5.407836E-07
1.391640000000E+02	4.613254E-07
1.423440000000E+02	5.209098E-07
1.455240000000E+02	2.688875E-06
1.487050000000E+02	4.061180E-06
1.518850000000E+02	4.262732E-06
1.550650000000E+02	4.031384E-06
1.582460000000E+02	1.642123E-06
1.614260000000E+02	6.580350E-07
1.646060000000E+02	6.424440E-07
1.677870000000E+02	6.127493E-07
1.709670000000E+02	5.356105E-07
1.741470000000E+02	5.140583E-07
1.773280000000E+02	5.432704E-07
1.805080000000E+02	5.654051E-07
1.836880000000E+02	5.518476E-07
1.868680000000E+02	5.736012E-07
1.900490000000E+02	6.640637E-07
1.932290000000E+02	6.912969E-07
1.964090000000E+02	6.616071E-07
1.995900000000E+02	7.120473E-07
2.027700000000E+02	6.302839E-07
2.059500000000E+02	4.431290E-07
2.091310000000E+02	4.088463E-07
2.123110000000E+02	4.364279E-07
2.154910000000E+02	4.353606E-07
2.186720000000E+02	5.275249E-07
2.218520000000E+02	5.783084E-07
2.250320000000E+02	6.048130E-07
2.282130000000E+02	5.647551E-07
2.313930000000E+02	4.718972E-07
2.345730000000E+02	4.598676E-07
2.377530000000E+02	4.940660E-07
2.409340000000E+02	4.788985E-07
2.441140000000E+02	3.856080E-07
2.472940000000E+02	7.823169E-07
2.504750000000E+02	1.281730E-06
2.536550000000E+02	1.261530E-06
2.568350000000E+02	1.141400E-06
2.600160000000E+02	4.373094E-07
2.631960000000E+02	4.273846E-07
2.641960000000E+02	6.172433E-07
2.725980000000E+02	4.757369E-07
2.810010000000E+02	4.684262E-07
2.894030000000E+02	5.379790E-07
2.978060000000E+02	5.352495E-07
3.062080000000E+02	5.144926E-07
3.146110000000E+02	5.198658E-07
3.230130000000E+02	5.283821E-07
3.314150000000E+02	5.750031E-07
3.398180000000E+02	6.048036E-07
3.482200000000E+02	5.705841E-07
3.566230000000E+02	4.172622E-07
3.650250000000E+02	4.005748E-07
3.734280000000E+02	4.030788E-07
3.818300000000E+02	4.328338E-07
3.902320000000E+02	4.236794E-07
3.986350000000E+02	4.408496E-07
4.070370000000E+02	4.305307E-07
4.154400000000E+02	3.811761E-07
4.238420000000E+02	3.247003E-07
4.322450000000E+02	3.218028E-07
4.406470000000E+02	3.327025E-07
4.490490000000E+02	3.398393E-07
4.574520000000E+02	3.588041E-07
4.658540000000E+02	3.481396E-07
4.742570000000E+02	2.946852E-07
4.826590000000E+02	2.841842E-07
4.910620000000E+02	2.936794E-07
4.994640000000E+02	2.905336E-07
5.078670000000E+02	3.241435E-07
5.162690000000E+02	3.410387E-07
5.246710000000E+02	3.351522E-07
5.330740000000E+02	2.925201E-07
5.414760000000E+02	3.677031E-07
5.498790000000E+02	5.696353E-07
5.582810000000E+02	6.059713E-07
5.666840000000E+02	5.836738E-07
5.750860000000E+02	2.592826E-07
5.834880000000E+02	1.609818E-07
5.918910000000E+02	1.870303E-07
6.002930000000E+02	2.885085E-07
6.086960000000E+02	3.302257E-07
6.170980000000E+02	3.023251E-07
6.255010000000E+02	2.649809E-07
6.339030000000E+02	2.532219E-07
6.423050000000E+02	2.943794E-07
6.507080000000E+02	3.175916E-07
6.591100000000E+02	3.217806E-07
6.675130000000E+02	3.423888E-07
6.759150000000E+02	3.105723E-07
6.843180000000E+02	2.656720E-07
6.927200000000E+02	2.521684E-07
6.937200000000E+02	2.230735E-07
7.158670000000E+02	3.180371E-07
7.380140000000E+02	3.740375E-07
7.601610000000E+02	4.497055E-07
7.823070000000E+02	3.903392E-07
8.044540000000E+02	2.496739E-07
8.266010000000E+02	2.113383E-07
8.487480000000E+02	2.545883E-07
8.708950000000E+02	1.880340E-07
8.930420000000E+02	1.940274E-07
9.151890000000E+02	2.521690E-07
9.373350000000E+02	2.204334E-07
9.594820000000E+02	2.590633E-07
9.816290000000E+02	2.024672E-07
1.003776000000E+03	5.345841E-07
1.025923000000E+03	3.322661E-07
1.048070000000E+03	2.193470E-07
1.070217000000E+03	2.070542E-07
1.092364000000E+03	1.871851E-07
1.114510000000E+03	1.285054E-07
1.136657000000E+03	1.522907E-07
1.158804000000E+03	1.065860E-07
1.180951000000E+03	1.780656E-07
1.203098000000E+03	2.265819E-07
1.225245000000E+03	2.081000E-07
1.247392000000E+03	1.675411E-07
1.269538000000E+03	1.599396E-07
1.291685000000E+03	1.759605E-07
1.313832000000E+03	1.666521E-07
1.335979000000E+03	1.334062E-07
1.358126000000E+03	1.323192E-07
1.380273000000E+03	1.166143E-07
1.402420000000E+03	1.264583E-07
1.424566000000E+03	1.391927E-07
1.446713000000E+03	1.825850E-07
1.468860000000E+03	2.112800E-07
1.491007000000E+03	1.706921E-07
1.513154000000E+03	1.343363E-07
1.535301000000E+03	1.189290E-07
1.557448000000E+03	1.243422E-07
1.579595000000E+03	1.132420E-07
1.601741000000E+03	1.418222E-07
1.623888000000E+03	1.088868E-07
1.646035000000E+03	1.332749E-07
1.668182000000E+03	1.525435E-07
1.690329000000E+03	9.509512E-08
1.712476000000E+03	1.002293E-07
1.734623000000E+03	1.389622E-07
1.756769000000E+03	1.205768E-07
1.778916000000E+03	1.268860E-07
1.801063000000E+03	1.179049E-07
1.823210000000E+03	1.168410E-07
1.824210000000E+03	1.238961E-07
1.882531000000E+03	1.246130E-07
1.940853000000E+03	9.567631E-08
1.999174000000E+03	1.479225E-07
2.057495000000E+03	1.269727E-07
2.115817000000E+03	1.017726E-07
2.174138000000E+03	1.066274E-07
2.232460000000E+03	1.140116E-07
2.290781000000E+03	1.064702E-07
2.349102000000E+03	8.855568E-08
2.407424000000E+03	7.795861E-08
2.465745000000E+03	7.316116E-08
2.524066000000E+03	7.035136E-08
2.582388000000E+03	9.148066E-08
2.640709000000E+03	7.597280E-08
2.699031000000E+03	6.498846E-08
2.757352000000E+03	9.003767E-08
2.815673000000E+03	9.282665E-08
2.873995000000E+03	9.927199E-08
2.932316000000E+03	1.000914E-07
2.990637000000E+03	1.005194E-07
3.048959000000E+03	7.978673E-08
3.107280000000E+03	7.776003E-08
3.165602000000E+03	8.020222E-08
3.223923000000E+03	6.389759E-08
3.282244000000E+03	6.492647E-08
3.340566000000E+03	6.292426E-08
3.398887000000E+03	7.424886E-08
3.457208000000E+03	5.696846E-08
