"Frequency"	"Magnitude"
1.010000000000E+02	1.136312E-06
1.041800000000E+02	1.903184E-06
1.073610000000E+02	3.084717E-06
1.105410000000E+02	3.064783E-06
1.137210000000E+02	3.057528E-06
1.169020000000E+02	1.820552E-06
1.200820000000E+02	1.259220E-06
1.232620000000E+02	1.105911E-06
1.264430000000E+02	1.126844E-06
1.296230000000E+02	1.115450E-06
1.328030000000E+02	1.020390E-06
1.359830000000E+02	9.364169E-07
1.391640000000E+02	1.153770E-06
1.423440000000E+02	1.255907E-06
1.455240000000E+02	3.312970E-06
1.487050000000E+02	4.717072E-06
1.518850000000E+02	4.803986E-06
1.550650000000E+02	4.255796E-06
1.582460000000E+02	1.822510E-06
1.614260000000E+02	1.085874E-06
1.646060000000E+02	1.024285E-06
1.677870000000E+02	1.094042E-06
1.709670000000E+02	1.316150E-06
1.741470000000E+02	1.138850E-06
1.773280000000E+02	8.976907E-07
1.805080000000E+02	6.574743E-07
1.836880000000E+02	7.952825E-07
1.868680000000E+02	1.133991E-06
1.900490000000E+02	1.073041E-06
1.932290000000E+02	8.416342E-07
1.964090000000E+02	6.995763E-07
1.995900000000E+02	7.852014E-07
2.027700000000E+02	9.088596E-07
2.059500000000E+02	9.435609E-07
2.091310000000E+02	8.934235E-07
2.123110000000E+02	8.062222E-07
2.154910000000E+02	7.030403E-07
2.186720000000E+02	8.192634E-07
2.218520000000E+02	8.163437E-07
2.250320000000E+02	8.913327E-07
2.282130000000E+02	8.955689E-07
2.313930000000E+02	8.656162E-07
2.345730000000E+02	7.486887E-07
2.377530000000E+02	7.472668E-07
2.409340000000E+02	8.317371E-07
2.441140000000E+02	7.500808E-07
2.472940000000E+02	9.719721E-07
2.504750000000E+02	1.483712E-06
2.536550000000E+02	1.542966E-06
2.568350000000E+02	1.525845E-06
2.600160000000E+02	1.154179E-06
2.631960000000E+02	1.083008E-06
2.641960000000E+02	8.017322E-07
2.725980000000E+02	7.606162E-07
2.810010000000E+02	8.799136E-07
2.894030000000E+02	9.861791E-07
2.978060000000E+02	8.862998E-07
3.062080000000E+02	8.019773E-07
3.146110000000E+02	8.252629E-07
3.230130000000E+02	8.988609E-07
3.314150000000E+02	8.361841E-07
3.398180000000E+02	8.275906E-07
3.482200000000E+02	8.613418E-07
3.566230000000E+02	8.849133E-07
3.650250000000E+02	8.774648E-07
3.734280000000E+02	8.335574E-07
3.818300000000E+02	7.404851E-07
3.902320000000E+02	7.313156E-07
3.986350000000E+02	6.952659E-07
4.070370000000E+02	6.510911E-07
4.154400000000E+02	5.767527E-07
4.238420000000E+02	4.806594E-07
4.322450000000E+02	5.257543E-07
4.406470000000E+02	6.813382E-07
4.490490000000E+02	7.643406E-07
4.574520000000E+02	7.756831E-07
4.658540000000E+02	6.383917E-07
4.742570000000E+02	6.560666E-07
4.826590000000E+02	7.422300E-07
4.910620000000E+02	8.162263E-07
4.994640000000E+02	7.763262E-07
5.078670000000E+02	6.524242E-07
5.162690000000E+02	6.289483E-07
5.246710000000E+02	6.368377E-07
5.330740000000E+02	6.184113E-07
5.414760000000E+02	6.709791E-07
5.498790000000E+02	7.104397E-07
5.582810000000E+02	7.253128E-07
5.666840000000E+02	7.340859E-07
5.750860000000E+02	4.944149E-07
5.834880000000E+02	4.804089E-07
5.918910000000E+02	5.686922E-07
6.002930000000E+02	6.713844E-07
6.086960000000E+02	6.639215E-07
6.170980000000E+02	5.716988E-07
6.255010000000E+02	4.934245E-07
6.339030000000E+02	4.368703E-07
6.423050000000E+02	4.120531E-07
6.507080000000E+02	4.608090E-07
6.591100000000E+02	4.956123E-07
6.675130000000E+02	5.926083E-07
6.759150000000E+02	6.136743E-07
6.843180000000E+02	5.574374E-07
6.927200000000E+02	5.359311E-07
6.937200000000E+02	5.550380E-07
7.158670000000E+02	4.714894E-07
7.380140000000E+02	6.460057E-07
7.601610000000E+02	5.806880E-07
7.823070000000E+02	6.295311E-07
8.044540000000E+02	5.123052E-07
8.266010000000E+02	4.897660E-07
8.487480000000E+02	5.380578E-07
8.708950000000E+02	4.030332E-07
8.930420000000E+02	4.362891E-07
9.151890000000E+02	3.873836E-07
9.373350000000E+02	5.038793E-07
9.594820000000E+02	4.523590E-07
9.816290000000E+02	3.804016E-07
1.003776000000E+03	7.466990E-07
1.025923000000E+03	6.851741E-07
1.048070000000E+03	4.953503E-07
1.070217000000E+03	4.035714E-07
1.092364000000E+03	3.904618E-07
1.114510000000E+03	4.239415E-07
1.136657000000E+03	4.892858E-07
1.158804000000E+03	4.074356E-07
1.180951000000E+03	4.558248E-07
1.203098000000E+03	4.653959E-07
1.225245000000E+03	3.954418E-07
1.247392000000E+03	3.710627E-07
1.269538000000E+03	4.154166E-07
1.291685000000E+03	3.351089E-07
1.313832000000E+03	3.572646E-07
1.335979000000E+03	3.530668E-07
1.358126000000E+03	3.977193E-07
1.380273000000E+03	3.888521E-07
1.402420000000E+03	3.045706E-07
1.424566000000E+03	3.256812E-07
1.446713000000E+03	4.129469E-07
1.468860000000E+03	4.795321E-07
1.491007000000E+03	3.286063E-07
1.513154000000E+03	3.011891E-07
1.535301000000E+03	2.342389E-07
1.557448000000E+03	3.170032E-07
1.579595000000E+03	2.287645E-07
1.601741000000E+03	2.709808E-07
1.623888000000E+03	2.705226E-07
1.646035000000E+03	2.945063E-07
1.668182000000E+03	3.258041E-07
1.690329000000E+03	2.693646E-07
1.712476000000E+03	3.270083E-07
1.734623000000E+03	2.370898E-07
1.756769000000E+03	2.748573E-07
1.778916000000E+03	2.439490E-07
1.801063000000E+03	3.660759E-07
1.823210000000E+03	3.581598E-07
1.824210000000E+03	3.413261E-07
1.882531000000E+03	2.639712E-07
1.940853000000E+03	2.855707E-07
1.999174000000E+03	3.440982E-07
2.057495000000E+03	2.694474E-07
2.115817000000E+03	2.276868E-07
2.174138000000E+03	2.610522E-07
2.232460000000E+03	2.374841E-07
2.290781000000E+03	2.723297E-07
2.349102000000E+03	2.595847E-07
2.407424000000E+03	3.274569E-07
