"Frequency"	"Magnitude"
1.010000000000E+02	1.869445E-06
1.041800000000E+02	2.363474E-06
1.073610000000E+02	3.399756E-06
1.105410000000E+02	3.444313E-06
1.137210000000E+02	3.125641E-06
1.169020000000E+02	2.163862E-06
1.200820000000E+02	1.974368E-06
1.232620000000E+02	1.838320E-06
1.264430000000E+02	1.679777E-06
1.296230000000E+02	1.755906E-06
1.328030000000E+02	1.816820E-06
1.359830000000E+02	1.624834E-06
1.391640000000E+02	1.686983E-06
1.423440000000E+02	1.918365E-06
1.455240000000E+02	4.469558E-06
1.487050000000E+02	6.083384E-06
1.518850000000E+02	5.771620E-06
1.550650000000E+02	4.959300E-06
1.582460000000E+02	1.831799E-06
1.614260000000E+02	1.613555E-06
1.646060000000E+02	1.741820E-06
1.677870000000E+02	1.651257E-06
1.709670000000E+02	1.600390E-06
1.741470000000E+02	1.504634E-06
1.773280000000E+02	1.521323E-06
1.805080000000E+02	1.578716E-06
1.836880000000E+02	1.596176E-06
1.868680000000E+02	1.673041E-06
1.900490000000E+02	1.845083E-06
1.932290000000E+02	1.820272E-06
1.964090000000E+02	1.515693E-06
1.995900000000E+02	1.318720E-06
2.027700000000E+02	1.365444E-06
2.059500000000E+02	1.103088E-06
2.091310000000E+02	1.027274E-06
2.123110000000E+02	1.471735E-06
2.154910000000E+02	1.430808E-06
2.186720000000E+02	1.585737E-06
2.218520000000E+02	1.342528E-06
2.250320000000E+02	1.286905E-06
2.282130000000E+02	1.394808E-06
2.313930000000E+02	1.408197E-06
2.345730000000E+02	1.443172E-06
2.377530000000E+02	1.252476E-06
2.409340000000E+02	1.208640E-06
2.441140000000E+02	1.303032E-06
2.472940000000E+02	1.843317E-06
2.504750000000E+02	2.351599E-06
2.536550000000E+02	2.171379E-06
2.568350000000E+02	1.956297E-06
2.600160000000E+02	1.278965E-06
2.631960000000E+02	1.311604E-06
2.641960000000E+02	1.243735E-06
2.725980000000E+02	9.506189E-07
2.810010000000E+02	8.509155E-07
2.894030000000E+02	9.055033E-07
2.978060000000E+02	1.077403E-06
3.062080000000E+02	1.191130E-06
3.146110000000E+02	1.127699E-06
3.230130000000E+02	1.011309E-06
3.314150000000E+02	1.055856E-06
3.398180000000E+02	1.166974E-06
3.482200000000E+02	1.174868E-06
3.566230000000E+02	9.817993E-07
3.650250000000E+02	8.807540E-07
3.734280000000E+02	9.051806E-07
3.818300000000E+02	1.157983E-06
3.902320000000E+02	1.165952E-06
3.986350000000E+02	8.973918E-07
4.070370000000E+02	8.235777E-07
4.154400000000E+02	8.311647E-07
4.238420000000E+02	9.237386E-07
4.322450000000E+02	9.551386E-07
4.406470000000E+02	1.032538E-06
4.490490000000E+02	1.140176E-06
4.574520000000E+02	1.230575E-06
4.658540000000E+02	1.207638E-06
4.742570000000E+02	1.100024E-06
4.826590000000E+02	9.260200E-07
4.910620000000E+02	8.773054E-07
4.994640000000E+02	9.297854E-07
5.078670000000E+02	7.100550E-07
5.162690000000E+02	7.179851E-07
5.246710000000E+02	7.191043E-07
5.330740000000E+02	6.106180E-07
5.414760000000E+02	6.965052E-07
5.498790000000E+02	8.645774E-07
5.582810000000E+02	8.983748E-07
5.666840000000E+02	8.977295E-07
5.750860000000E+02	8.728722E-07
5.834880000000E+02	9.101114E-07
5.918910000000E+02	9.600493E-07
6.002930000000E+02	1.004869E-06
6.086960000000E+02	1.005324E-06
6.170980000000E+02	1.037788E-06
6.255010000000E+02	1.006866E-06
6.339030000000E+02	9.283111E-07
6.423050000000E+02	8.061460E-07
6.507080000000E+02	7.765683E-07
6.591100000000E+02	7.394110E-07
6.675130000000E+02	7.609686E-07
6.759150000000E+02	7.376625E-07
6.843180000000E+02	7.696755E-07
6.927200000000E+02	8.438789E-07
6.937200000000E+02	9.167655E-07
7.158670000000E+02	8.888716E-07
7.380140000000E+02	8.416848E-07
7.601610000000E+02	1.041044E-06
7.823070000000E+02	1.015675E-06
8.044540000000E+02	8.757636E-07
8.266010000000E+02	8.850211E-07
8.487480000000E+02	8.660804E-07
8.708950000000E+02	6.933510E-07
8.930420000000E+02	9.829155E-07
9.151890000000E+02	1.256786E-06
9.373350000000E+02	9.607546E-07
9.594820000000E+02	8.926617E-07
9.816290000000E+02	6.183045E-07
1.003776000000E+03	1.074462E-06
1.025923000000E+03	9.079481E-07
1.048070000000E+03	6.855270E-07
1.070217000000E+03	9.514751E-07
1.092364000000E+03	1.071125E-06
1.114510000000E+03	8.899459E-07
1.136657000000E+03	8.424186E-07
1.158804000000E+03	9.533480E-07
1.180951000000E+03	1.115473E-06
1.203098000000E+03	9.958918E-07
1.225245000000E+03	9.496836E-07
1.247392000000E+03	8.664517E-07
1.269538000000E+03	6.470356E-07
1.291685000000E+03	9.656825E-07
1.313832000000E+03	8.493560E-07
1.335979000000E+03	6.848793E-07
1.358126000000E+03	6.014494E-07
1.380273000000E+03	5.226245E-07
1.402420000000E+03	5.551681E-07
1.424566000000E+03	8.172073E-07
1.446713000000E+03	7.383557E-07
1.468860000000E+03	9.818602E-07
1.491007000000E+03	6.437607E-07
1.513154000000E+03	6.162019E-07
1.535301000000E+03	6.328017E-07
1.557448000000E+03	8.892273E-07
1.579595000000E+03	1.021369E-06
1.601741000000E+03	6.682415E-07
1.623888000000E+03	6.441067E-07
1.646035000000E+03	6.392897E-07
1.668182000000E+03	6.127168E-07
1.690329000000E+03	6.049589E-07
1.712476000000E+03	7.092308E-07
1.734623000000E+03	9.017784E-07
1.756769000000E+03	6.412807E-07
1.778916000000E+03	4.629760E-07
1.801063000000E+03	5.823770E-07
1.823210000000E+03	7.296398E-07
1.824210000000E+03	4.137185E-07
1.882531000000E+03	4.862775E-07
1.940853000000E+03	3.911881E-07
1.999174000000E+03	2.886629E-07
2.057495000000E+03	3.212209E-07
2.115817000000E+03	3.650288E-07
2.174138000000E+03	2.728580E-07
2.232460000000E+03	3.144747E-07
2.290781000000E+03	3.340536E-07
2.349102000000E+03	3.733649E-07
2.407424000000E+03	4.332987E-07
2.465745000000E+03	4.414387E-07
2.524066000000E+03	4.209648E-07
2.582388000000E+03	3.579408E-07
2.640709000000E+03	3.313238E-07
2.699031000000E+03	3.483152E-07
2.757352000000E+03	3.253416E-07
2.815673000000E+03	3.567353E-07
2.873995000000E+03	3.600970E-07
2.932316000000E+03	4.200954E-07
2.990637000000E+03	4.598213E-07
3.048959000000E+03	3.182859E-07
3.107280000000E+03	3.787201E-07
3.165602000000E+03	2.865110E-07
3.223923000000E+03	3.581261E-07
3.282244000000E+03	4.375423E-07
3.340566000000E+03	3.362658E-07
3.398887000000E+03	2.876345E-07
3.457208000000E+03	3.013502E-07
3.515530000000E+03	3.312523E-07
3.573851000000E+03	2.966853E-07
3.632173000000E+03	3.103177E-07
3.690494000000E+03	3.194584E-07
3.748815000000E+03	2.875042E-07
3.807137000000E+03	3.344176E-07
3.865458000000E+03	3.881721E-07
3.923779000000E+03	3.529248E-07
3.982101000000E+03	3.277938E-07
4.040422000000E+03	2.731822E-07
4.098744000000E+03	2.891501E-07
4.157065000000E+03	3.632960E-07
4.215386000000E+03	2.758055E-07
4.273708000000E+03	2.007521E-07
4.332029000000E+03	2.705606E-07
4.390350000000E+03	2.630781E-07
4.448672000000E+03	2.528119E-07
4.506993000000E+03	3.048459E-07
4.565315000000E+03	3.182069E-07
4.623636000000E+03	3.923298E-07
4.681957000000E+03	3.016596E-07
4.740279000000E+03	2.545838E-07
4.798600000000E+03	3.014178E-07
4.799600000000E+03	2.428893E-07
4.953131000000E+03	2.796449E-07
5.106663000000E+03	2.782034E-07
5.260194000000E+03	2.402612E-07
5.413725000000E+03	2.360126E-07
5.567257000000E+03	2.433607E-07
5.720788000000E+03	2.494765E-07
5.874320000000E+03	2.631539E-07
6.027851000000E+03	1.954095E-07
6.181382000000E+03	2.183161E-07
6.334914000000E+03	2.132144E-07
6.488445000000E+03	1.978272E-07
6.641976000000E+03	2.162998E-07
6.795508000000E+03	2.603070E-07
6.949039000000E+03	2.878498E-07
7.102571000000E+03	2.473903E-07
7.256102000000E+03	2.207033E-07
7.409633000000E+03	1.897066E-07
7.563165000000E+03	1.958898E-07
7.716696000000E+03	2.056104E-07
7.870227000000E+03	1.948530E-07
8.023759000000E+03	1.335795E-07
8.177290000000E+03	1.836873E-07
8.330822000000E+03	1.922686E-07
8.484353000000E+03	2.067933E-07
8.637884000000E+03	2.216894E-07
8.791416000000E+03	1.930646E-07
8.944947000000E+03	2.238293E-07
9.098478000000E+03	2.441724E-07
9.252010000000E+03	2.315763E-07
9.405541000000E+03	2.530008E-07
9.559073000000E+03	2.427904E-07
9.712604000000E+03	2.058920E-07
9.866135000000E+03	2.215814E-07
1.001966700000E+04	1.993904E-07
1.017319800000E+04	2.165058E-07
1.032672900000E+04	1.799125E-07
1.048026100000E+04	2.145185E-07
1.063379200000E+04	2.448925E-07
1.078732400000E+04	2.115551E-07
1.094085500000E+04	1.897125E-07
1.109438600000E+04	2.339612E-07
1.124791800000E+04	2.379069E-07
1.140144900000E+04	2.168587E-07
1.155498000000E+04	2.038994E-07
1.170851200000E+04	2.103613E-07
1.186204300000E+04	1.908365E-07
1.201557500000E+04	1.754793E-07
1.216910600000E+04	1.874444E-07
1.232263700000E+04	2.262445E-07
1.247616900000E+04	2.479325E-07
1.262970000000E+04	1.831217E-07
1.263070000000E+04	2.217039E-07
1.303482200000E+04	2.025807E-07
1.343894300000E+04	1.753242E-07
1.384306500000E+04	2.009196E-07
1.424718600000E+04	1.660651E-07
1.465130800000E+04	1.389250E-07
1.505542900000E+04	1.620207E-07
1.545955100000E+04	1.923218E-07
1.586367300000E+04	1.673659E-07
1.626779400000E+04	1.383777E-07
1.667191600000E+04	1.125105E-07
1.707603700000E+04	1.549563E-07
1.748015900000E+04	1.879820E-07
1.788428000000E+04	1.768170E-07
1.828840200000E+04	1.876493E-07
1.869252400000E+04	2.161715E-07
1.909664500000E+04	2.360676E-07
1.950076700000E+04	2.258187E-07
1.990488800000E+04	1.843602E-07
2.030901000000E+04	1.490909E-07
2.071313100000E+04	1.826096E-07
2.111725300000E+04	2.095058E-07
2.152137500000E+04	2.032938E-07
2.192549600000E+04	1.799628E-07
2.232961800000E+04	1.736103E-07
2.273373900000E+04	1.792279E-07
2.313786100000E+04	1.595415E-07
2.354198200000E+04	1.669583E-07
2.394610400000E+04	1.371267E-07
2.435022500000E+04	1.107468E-07
2.475434700000E+04	1.189998E-07
2.515846900000E+04	1.391963E-07
2.556259000000E+04	1.506927E-07
2.596671200000E+04	1.395618E-07
2.637083300000E+04	1.328205E-07
2.677495500000E+04	1.381510E-07
2.717907600000E+04	1.048095E-07
2.758319800000E+04	1.434117E-07
2.798732000000E+04	1.650504E-07
2.839144100000E+04	1.717973E-07
2.879556300000E+04	1.629984E-07
2.919968400000E+04	1.435511E-07
2.960380600000E+04	1.088105E-07
3.000792700000E+04	1.297794E-07
3.041204900000E+04	1.550442E-07
3.081617100000E+04	1.181179E-07
3.122029200000E+04	1.060157E-07
3.162441400000E+04	1.344485E-07
3.202853500000E+04	1.468505E-07
3.243265700000E+04	1.286576E-07
3.283677800000E+04	1.079139E-07
3.324090000000E+04	1.203292E-07
3.324190000000E+04	1.412050E-07
3.430555900000E+04	1.512794E-07
3.536921800000E+04	1.538193E-07
3.643287600000E+04	1.352261E-07
3.749653500000E+04	1.228309E-07
3.856019400000E+04	1.193127E-07
3.962385300000E+04	1.204769E-07
4.068751200000E+04	1.249142E-07
4.175117100000E+04	1.268047E-07
4.281482900000E+04	1.202869E-07
4.387848800000E+04	1.179797E-07
4.494214700000E+04	1.070589E-07
4.600580600000E+04	1.148204E-07
4.706946500000E+04	1.162937E-07
4.813312400000E+04	1.113072E-07
4.919678200000E+04	1.048905E-07
5.026044100000E+04	1.067535E-07
5.132410000000E+04	1.176601E-07
5.238775900000E+04	1.249501E-07
5.345141800000E+04	1.319618E-07
5.451507600000E+04	1.226168E-07
5.557873500000E+04	1.170521E-07
5.664239400000E+04	1.090303E-07
5.770605300000E+04	1.055885E-07
5.876971200000E+04	1.100717E-07
5.983337100000E+04	1.310434E-07
6.089702900000E+04	1.272919E-07
6.196068800000E+04	1.082313E-07
6.302434700000E+04	8.435740E-08
6.408800600000E+04	9.646375E-08
6.515166500000E+04	9.620044E-08
6.621532400000E+04	8.547514E-08
6.727898200000E+04	7.598510E-08
6.834264100000E+04	8.084202E-08
6.940630000000E+04	9.270970E-08
7.046995900000E+04	1.029251E-07
7.153361800000E+04	1.029191E-07
7.259727600000E+04	9.543980E-08
7.366093500000E+04	8.822125E-08
7.472459400000E+04	1.076108E-07
7.578825300000E+04	1.083782E-07
7.685191200000E+04	1.043235E-07
7.791557100000E+04	1.014890E-07
7.897922900000E+04	1.004486E-07
8.004288800000E+04	1.003695E-07
8.110654700000E+04	9.617671E-08
8.217020600000E+04	9.524732E-08
8.323386500000E+04	8.553174E-08
8.429752400000E+04	9.198870E-08
8.536118200000E+04	1.224449E-07
8.642484100000E+04	1.313784E-07
8.748850000000E+04	1.337640E-07
8.748950000000E+04	1.006470E-07
9.028903900000E+04	9.965342E-08
9.308857800000E+04	9.822480E-08
9.588811800000E+04	9.305524E-08
9.868765700000E+04	8.086225E-08
1.014871960000E+05	8.728998E-08
1.042867350000E+05	1.093597E-07
1.070862750000E+05	9.838510E-08
1.098858140000E+05	1.019668E-07
1.126853530000E+05	1.321205E-07
1.154848920000E+05	1.337050E-07
1.182844310000E+05	1.232517E-07
1.210839710000E+05	1.250933E-07
1.238835100000E+05	1.194941E-07
1.266830490000E+05	1.620266E-07
1.294825880000E+05	1.871951E-07
1.322821270000E+05	1.737683E-07
1.350816670000E+05	1.498853E-07
1.378812060000E+05	1.452934E-07
1.406807450000E+05	1.603989E-07
1.434802840000E+05	1.537353E-07
1.462798240000E+05	1.261901E-07
1.490793630000E+05	1.062946E-07
1.518789020000E+05	1.086848E-07
1.546784410000E+05	1.159307E-07
1.574779800000E+05	1.169183E-07
1.602775200000E+05	1.288582E-07
1.630770590000E+05	1.348461E-07
1.658765980000E+05	1.124772E-07
1.686761370000E+05	1.058587E-07
1.714756760000E+05	1.022944E-07
1.742752160000E+05	9.298247E-08
1.770747550000E+05	9.480325E-08
1.798742940000E+05	9.869709E-08
1.826738330000E+05	9.394488E-08
1.854733730000E+05	8.906494E-08
1.882729120000E+05	9.663412E-08
1.910724510000E+05	1.023068E-07
1.938719900000E+05	8.990816E-08
1.966715290000E+05	6.860826E-08
1.994710690000E+05	6.792069E-08
2.022706080000E+05	8.436389E-08
2.050701470000E+05	8.421780E-08
2.078696860000E+05	7.741050E-08
2.106692250000E+05	5.610591E-08
2.134687650000E+05	5.235463E-08
2.162683040000E+05	5.189885E-08
2.190678430000E+05	4.924665E-08
2.218673820000E+05	4.207033E-08
2.246669220000E+05	5.687171E-08
2.274664610000E+05	6.190710E-08
2.302660000000E+05	6.526020E-08
2.302670000000E+05	6.848749E-08
2.376352940000E+05	7.759399E-08
2.450035880000E+05	5.636434E-08
2.523718820000E+05	5.830919E-08
2.597401760000E+05	4.427208E-07
2.671084710000E+05	2.671918E-07
2.744767650000E+05	6.319986E-08
2.818450590000E+05	6.299094E-08
2.892133530000E+05	8.834323E-08
2.965816470000E+05	8.751337E-08
3.039499410000E+05	6.028573E-08
3.113182350000E+05	5.935514E-08
3.186865290000E+05	5.758372E-08
3.260548240000E+05	5.396800E-08
3.334231180000E+05	6.905996E-08
3.407914120000E+05	5.774925E-08
3.481597060000E+05	6.342214E-08
3.555280000000E+05	7.041231E-08
3.628962940000E+05	6.040119E-08
3.702645880000E+05	5.536264E-08
3.776328820000E+05	7.974276E-08
3.850011760000E+05	6.355973E-08
3.923694710000E+05	5.465901E-08
3.997377650000E+05	5.386038E-08
4.071060590000E+05	4.951462E-08
4.144743530000E+05	5.189267E-08
4.218426470000E+05	7.688085E-08
4.292109410000E+05	6.639790E-08
4.365792350000E+05	6.442302E-08
4.439475290000E+05	6.461295E-08
4.513158240000E+05	6.760288E-08
4.586841180000E+05	5.344145E-08
4.660524120000E+05	5.433988E-08
4.734207060000E+05	7.607824E-08
4.807890000000E+05	6.669963E-08
4.881572940000E+05	5.905732E-08
4.955255880000E+05	6.390505E-08
5.028938820000E+05	6.204026E-08
5.102621760000E+05	5.606448E-08
5.176304710000E+05	5.253517E-08
5.249987650000E+05	5.141106E-08
5.323670590000E+05	6.167562E-08
5.397353530000E+05	6.362370E-08
5.471036470000E+05	5.318251E-08
5.544719410000E+05	5.063704E-08
5.618402350000E+05	6.576720E-08
5.692085290000E+05	5.155598E-08
5.765768240000E+05	7.290518E-08
5.839451180000E+05	5.296263E-08
5.913134120000E+05	4.990707E-08
5.986817060000E+05	5.298879E-08
6.060500000000E+05	5.257688E-08
6.060510000000E+05	5.159157E-08
6.254441180000E+05	5.841070E-08
6.448372350000E+05	6.461647E-08
6.642303530000E+05	4.819015E-08
6.836234710000E+05	5.286653E-08
7.030165880000E+05	5.146999E-08
7.224097060000E+05	5.833830E-08
7.418028240000E+05	4.224277E-08
7.611959410000E+05	4.874154E-08
7.805890590000E+05	3.568922E-08
7.999821760000E+05	6.034894E-08
8.193752940000E+05	6.028409E-08
8.387684120000E+05	4.598951E-08
8.581615290000E+05	3.608494E-08
8.775546470000E+05	3.959000E-08
8.969477650000E+05	4.318718E-08
9.163408820000E+05	4.396594E-08
9.357340000000E+05	5.481839E-08
9.551271180000E+05	5.808081E-08
9.745202350000E+05	6.179189E-08
9.939133530000E+05	5.772439E-08
1.013306471000E+06	4.649278E-08
1.032699588000E+06	3.076758E-08
1.052092706000E+06	4.298193E-08
1.071485824000E+06	3.612522E-08
1.090878941000E+06	4.515108E-08
1.110272059000E+06	4.360726E-08
1.129665176000E+06	4.125014E-08
1.149058294000E+06	4.100620E-08
1.168451412000E+06	4.870639E-08
1.187844529000E+06	5.683886E-08
1.207237647000E+06	4.796240E-08
1.226630765000E+06	6.856578E-08
1.246023882000E+06	5.764004E-08
1.265417000000E+06	5.372403E-08
1.284810118000E+06	4.163083E-08
1.304203235000E+06	4.417365E-08
1.323596353000E+06	4.842441E-08
1.342989471000E+06	5.158334E-08
1.362382588000E+06	4.178887E-08
1.381775706000E+06	4.620797E-08
1.401168824000E+06	6.052428E-08
1.420561941000E+06	4.553565E-08
1.439955059000E+06	5.424370E-08
1.459348176000E+06	5.062168E-08
1.478741294000E+06	5.710343E-08
1.498134412000E+06	4.436420E-08
1.517527529000E+06	3.965872E-08
1.536920647000E+06	4.772421E-08
1.556313765000E+06	3.159332E-08
1.575706882000E+06	4.255289E-08
1.595100000000E+06	5.068604E-08
1.595100000000E+06	3.957560E-08
1.646141765000E+06	4.247784E-08
1.697183529000E+06	4.595308E-08
1.748225294000E+06	4.090074E-08
1.799267059000E+06	6.301606E-08
