"Frequency"	"Magnitude"
1.010000000000E+02	3.657363E-05
1.041800000000E+02	2.803340E-05
1.073610000000E+02	2.685716E-05
1.105410000000E+02	3.753138E-05
1.137210000000E+02	3.548344E-05
1.169020000000E+02	3.188936E-05
1.200820000000E+02	2.079526E-05
1.232620000000E+02	3.696853E-05
1.264430000000E+02	3.560582E-05
1.296230000000E+02	3.377627E-05
1.328030000000E+02	1.078740E-05
1.359830000000E+02	3.438448E-05
1.391640000000E+02	3.735284E-05
1.423440000000E+02	3.265453E-05
1.455240000000E+02	2.695732E-05
1.487050000000E+02	3.906397E-05
1.518850000000E+02	3.801674E-05
1.550650000000E+02	3.477367E-05
1.582460000000E+02	1.599808E-05
1.614260000000E+02	3.380221E-05
1.646060000000E+02	3.315710E-05
1.677870000000E+02	3.311252E-05
1.709670000000E+02	2.154739E-05
1.741470000000E+02	3.377737E-05
1.773280000000E+02	3.445110E-05
1.805080000000E+02	3.115755E-05
1.836880000000E+02	1.998722E-05
1.868680000000E+02	3.348393E-05
1.900490000000E+02	3.299641E-05
1.932290000000E+02	3.091987E-05
1.964090000000E+02	1.529533E-05
1.995900000000E+02	3.169359E-05
2.027700000000E+02	3.250856E-05
2.059500000000E+02	2.686266E-05
2.091310000000E+02	2.105929E-05
2.123110000000E+02	3.191343E-05
2.154910000000E+02	3.005180E-05
2.186720000000E+02	2.474476E-05
2.218520000000E+02	1.606407E-05
2.250320000000E+02	3.324066E-05
2.282130000000E+02	3.254561E-05
2.313930000000E+02	3.037403E-05
2.345730000000E+02	9.951964E-06
2.377530000000E+02	2.730448E-05
2.409340000000E+02	2.818735E-05
2.441140000000E+02	2.388371E-05
2.472940000000E+02	1.913969E-05
2.504750000000E+02	2.915750E-05
2.536550000000E+02	2.856976E-05
2.568350000000E+02	2.557915E-05
2.600160000000E+02	1.042798E-05
2.631960000000E+02	2.497887E-05
2.641960000000E+02	1.444771E-05
2.725980000000E+02	2.026605E-05
2.810010000000E+02	2.134807E-05
2.894030000000E+02	2.173509E-05
2.978060000000E+02	1.898316E-05
3.062080000000E+02	1.436311E-05
3.146110000000E+02	1.091238E-05
3.230130000000E+02	1.178230E-05
3.314150000000E+02	1.240187E-05
3.398180000000E+02	1.066996E-05
3.482200000000E+02	1.015208E-05
3.566230000000E+02	8.590930E-06
3.650250000000E+02	9.957186E-06
3.734280000000E+02	1.224715E-05
3.818300000000E+02	1.218705E-05
3.902320000000E+02	1.160086E-05
3.986350000000E+02	9.511975E-06
4.070370000000E+02	9.926440E-06
4.154400000000E+02	1.091878E-05
4.238420000000E+02	1.708994E-05
4.322450000000E+02	1.717562E-05
4.406470000000E+02	1.554171E-05
4.490490000000E+02	1.445665E-05
4.574520000000E+02	1.158444E-05
4.658540000000E+02	1.337082E-05
4.742570000000E+02	1.144937E-05
4.826590000000E+02	1.156091E-05
4.910620000000E+02	1.075029E-05
4.994640000000E+02	9.346482E-06
5.078670000000E+02	8.782413E-06
5.162690000000E+02	9.780278E-06
5.246710000000E+02	1.095906E-05
5.330740000000E+02	9.490223E-06
5.414760000000E+02	1.024965E-05
5.498790000000E+02	9.602245E-06
5.582810000000E+02	9.730084E-06
5.666840000000E+02	1.082442E-05
5.750860000000E+02	1.089549E-05
5.834880000000E+02	1.167113E-05
5.918910000000E+02	9.304951E-06
6.002930000000E+02	6.603888E-06
6.086960000000E+02	7.051574E-06
6.170980000000E+02	1.207759E-05
6.255010000000E+02	1.184499E-05
6.339030000000E+02	1.167586E-05
6.423050000000E+02	9.521556E-06
6.507080000000E+02	8.053466E-06
6.591100000000E+02	7.484692E-06
6.675130000000E+02	6.468172E-06
6.759150000000E+02	6.178823E-06
6.843180000000E+02	7.490392E-06
6.927200000000E+02	8.146444E-06
6.937200000000E+02	8.274585E-06
7.158670000000E+02	8.003567E-06
7.380140000000E+02	6.694086E-06
7.601610000000E+02	5.724439E-06
7.823070000000E+02	6.770728E-06
8.044540000000E+02	5.155581E-06
8.266010000000E+02	7.294433E-06
