"Frequency"	"Magnitude"
1.010000000000E+02	4.122271E-05
1.041800000000E+02	3.832343E-05
1.073610000000E+02	3.385095E-05
1.105410000000E+02	1.664682E-05
1.137210000000E+02	1.338434E-05
1.169020000000E+02	1.367205E-05
1.200820000000E+02	2.169725E-05
1.232620000000E+02	2.522759E-05
1.264430000000E+02	3.979575E-05
1.296230000000E+02	3.684750E-05
1.328030000000E+02	3.634390E-05
1.359830000000E+02	1.575929E-05
1.391640000000E+02	1.083010E-05
1.423440000000E+02	1.194840E-05
1.455240000000E+02	2.050606E-05
1.487050000000E+02	2.324872E-05
1.518850000000E+02	3.562207E-05
1.550650000000E+02	3.523222E-05
1.582460000000E+02	3.359479E-05
1.614260000000E+02	2.597726E-05
1.646060000000E+02	1.079516E-05
1.677870000000E+02	8.531149E-06
1.709670000000E+02	1.855001E-05
1.741470000000E+02	2.179904E-05
1.773280000000E+02	3.127581E-05
1.805080000000E+02	3.360840E-05
1.836880000000E+02	2.959169E-05
1.868680000000E+02	2.497615E-05
1.900490000000E+02	9.389389E-06
1.932290000000E+02	6.375969E-06
1.964090000000E+02	9.982140E-06
1.995900000000E+02	1.892994E-05
2.027700000000E+02	2.161906E-05
2.059500000000E+02	3.126084E-05
2.091310000000E+02	2.599649E-05
2.123110000000E+02	2.356434E-05
2.154910000000E+02	9.221068E-06
2.186720000000E+02	5.105087E-06
2.218520000000E+02	6.640016E-06
2.250320000000E+02	1.646828E-05
2.282130000000E+02	1.883345E-05
2.313930000000E+02	2.663544E-05
2.345730000000E+02	2.521810E-05
2.377530000000E+02	2.147209E-05
2.409340000000E+02	9.114258E-06
2.441140000000E+02	3.309106E-06
2.472940000000E+02	3.849858E-06
2.504750000000E+02	1.394862E-05
2.536550000000E+02	1.643967E-05
2.568350000000E+02	2.105955E-05
2.600160000000E+02	2.151609E-05
2.631960000000E+02	1.786980E-05
2.641960000000E+02	7.246163E-06
2.725980000000E+02	6.786736E-06
2.810010000000E+02	5.813549E-06
2.894030000000E+02	6.407362E-06
2.978060000000E+02	6.183173E-06
3.062080000000E+02	5.135769E-06
3.146110000000E+02	4.953667E-06
3.230130000000E+02	4.912611E-06
3.314150000000E+02	3.426678E-06
3.398180000000E+02	3.661194E-06
3.482200000000E+02	3.928337E-06
3.566230000000E+02	3.207189E-06
3.650250000000E+02	3.274808E-06
3.734280000000E+02	3.467060E-06
3.818300000000E+02	2.775828E-06
3.902320000000E+02	2.606716E-06
3.986350000000E+02	2.606880E-06
