"Frequency"	"Magnitude"
1.010000000000E+02	1.704204E+01
1.041800000000E+02	1.703985E+01
1.073610000000E+02	1.707527E+01
1.105410000000E+02	1.707191E+01
1.137210000000E+02	1.710682E+01
1.169020000000E+02	1.712924E+01
1.200820000000E+02	1.712686E+01
1.232620000000E+02	1.713771E+01
1.264430000000E+02	1.717615E+01
1.296230000000E+02	1.720891E+01
1.328030000000E+02	1.719436E+01
1.359830000000E+02	1.718322E+01
1.391640000000E+02	1.723797E+01
1.423440000000E+02	1.718923E+01
1.455240000000E+02	1.722446E+01
1.487050000000E+02	1.720712E+01
1.518850000000E+02	1.723323E+01
1.550650000000E+02	1.725259E+01
1.582460000000E+02	1.728048E+01
1.614260000000E+02	1.726077E+01
1.646060000000E+02	1.727060E+01
1.677870000000E+02	1.728345E+01
1.709670000000E+02	1.727210E+01
1.741470000000E+02	1.728999E+01
1.773280000000E+02	1.727125E+01
1.805080000000E+02	1.728717E+01
1.836880000000E+02	1.730512E+01
1.868680000000E+02	1.729581E+01
1.900490000000E+02	1.730226E+01
1.932290000000E+02	1.731808E+01
1.964090000000E+02	1.731335E+01
1.995900000000E+02	1.730682E+01
2.027700000000E+02	1.731962E+01
2.059500000000E+02	1.731859E+01
2.091310000000E+02	1.733802E+01
2.123110000000E+02	1.732607E+01
2.154910000000E+02	1.732608E+01
2.186720000000E+02	1.734143E+01
2.218520000000E+02	1.734148E+01
2.250320000000E+02	1.734638E+01
2.282130000000E+02	1.735552E+01
2.313930000000E+02	1.735006E+01
2.345730000000E+02	1.737235E+01
2.377530000000E+02	1.737930E+01
2.409340000000E+02	1.736141E+01
2.441140000000E+02	1.738779E+01
2.472940000000E+02	1.735713E+01
2.504750000000E+02	1.735865E+01
2.536550000000E+02	1.736094E+01
2.568350000000E+02	1.734580E+01
2.600160000000E+02	1.736400E+01
2.631960000000E+02	1.736707E+01
2.641960000000E+02	1.736263E+01
2.725980000000E+02	1.736809E+01
2.810010000000E+02	1.735236E+01
2.894030000000E+02	1.737234E+01
2.978060000000E+02	1.736849E+01
3.062080000000E+02	1.738278E+01
3.146110000000E+02	1.738822E+01
3.230130000000E+02	1.738604E+01
3.314150000000E+02	1.741621E+01
3.398180000000E+02	1.739847E+01
3.482200000000E+02	1.739357E+01
3.566230000000E+02	1.738129E+01
3.650250000000E+02	1.740516E+01
3.734280000000E+02	1.739138E+01
3.818300000000E+02	1.741670E+01
3.902320000000E+02	1.740608E+01
3.986350000000E+02	1.740649E+01
4.070370000000E+02	1.740220E+01
4.154400000000E+02	1.743707E+01
4.238420000000E+02	1.742277E+01
4.322450000000E+02	1.740373E+01
4.406470000000E+02	1.741063E+01
4.490490000000E+02	1.741360E+01
4.574520000000E+02	1.742127E+01
4.658540000000E+02	1.740935E+01
4.742570000000E+02	1.742405E+01
4.826590000000E+02	1.741525E+01
4.910620000000E+02	1.740927E+01
4.994640000000E+02	1.740280E+01
5.078670000000E+02	1.742090E+01
5.162690000000E+02	1.743910E+01
5.246710000000E+02	1.741128E+01
5.330740000000E+02	1.744123E+01
5.414760000000E+02	1.739123E+01
5.498790000000E+02	1.742074E+01
5.582810000000E+02	1.742444E+01
5.666840000000E+02	1.743482E+01
5.750860000000E+02	1.744853E+01
5.834880000000E+02	1.739998E+01
5.918910000000E+02	1.741845E+01
6.002930000000E+02	1.744733E+01
6.086960000000E+02	1.740577E+01
6.170980000000E+02	1.743567E+01
6.255010000000E+02	1.743760E+01
6.339030000000E+02	1.743298E+01
6.423050000000E+02	1.742786E+01
6.507080000000E+02	1.739175E+01
6.591100000000E+02	1.742237E+01
6.675130000000E+02	1.742198E+01
6.759150000000E+02	1.742690E+01
6.843180000000E+02	1.743161E+01
6.927200000000E+02	1.743305E+01
6.937200000000E+02	1.741912E+01
7.158670000000E+02	1.745442E+01
7.380140000000E+02	1.742499E+01
7.601610000000E+02	1.742127E+01
7.823070000000E+02	1.744704E+01
8.044540000000E+02	1.743792E+01
8.266010000000E+02	1.743412E+01
8.487480000000E+02	1.744335E+01
8.708950000000E+02	1.745576E+01
8.930420000000E+02	1.746007E+01
9.151890000000E+02	1.746422E+01
9.373350000000E+02	1.745306E+01
9.594820000000E+02	1.745022E+01
9.816290000000E+02	1.743696E+01
1.003776000000E+03	1.745508E+01
1.025923000000E+03	1.745559E+01
1.048070000000E+03	1.744672E+01
1.070217000000E+03	1.741986E+01
1.092364000000E+03	1.745173E+01
1.114510000000E+03	1.743287E+01
1.136657000000E+03	1.743990E+01
1.158804000000E+03	1.743682E+01
1.180951000000E+03	1.744930E+01
1.203098000000E+03	1.743934E+01
1.225245000000E+03	1.745657E+01
1.247392000000E+03	1.743487E+01
1.269538000000E+03	1.744530E+01
1.291685000000E+03	1.743756E+01
1.313832000000E+03	1.744627E+01
1.335979000000E+03	1.744439E+01
1.358126000000E+03	1.743543E+01
1.380273000000E+03	1.744759E+01
1.402420000000E+03	1.744461E+01
1.424566000000E+03	1.744178E+01
1.446713000000E+03	1.744841E+01
1.468860000000E+03	1.743537E+01
1.491007000000E+03	1.743494E+01
1.513154000000E+03	1.745847E+01
1.535301000000E+03	1.746196E+01
1.557448000000E+03	1.745028E+01
1.579595000000E+03	1.742523E+01
1.601741000000E+03	1.744868E+01
1.623888000000E+03	1.744018E+01
1.646035000000E+03	1.744354E+01
1.668182000000E+03	1.744192E+01
1.690329000000E+03	1.743678E+01
1.712476000000E+03	1.744043E+01
1.734623000000E+03	1.744387E+01
1.756769000000E+03	1.744545E+01
1.778916000000E+03	1.743975E+01
1.801063000000E+03	1.742708E+01
1.823210000000E+03	1.745377E+01
1.824210000000E+03	1.743226E+01
1.882531000000E+03	1.745337E+01
1.940853000000E+03	1.740069E+01
1.999174000000E+03	1.743705E+01
2.057495000000E+03	1.745329E+01
2.115817000000E+03	1.743220E+01
2.174138000000E+03	1.742228E+01
2.232460000000E+03	1.745490E+01
2.290781000000E+03	1.743357E+01
2.349102000000E+03	1.741195E+01
2.407424000000E+03	1.745323E+01
2.465745000000E+03	1.742845E+01
2.524066000000E+03	1.747872E+01
2.582388000000E+03	1.744786E+01
2.640709000000E+03	1.745094E+01
2.699031000000E+03	1.742495E+01
2.757352000000E+03	1.742674E+01
2.815673000000E+03	1.745957E+01
2.873995000000E+03	1.744005E+01
2.932316000000E+03	1.744706E+01
2.990637000000E+03	1.744084E+01
3.048959000000E+03	1.744757E+01
3.107280000000E+03	1.743858E+01
3.165602000000E+03	1.743788E+01
3.223923000000E+03	1.747826E+01
3.282244000000E+03	1.748286E+01
3.340566000000E+03	1.744521E+01
3.398887000000E+03	1.745804E+01
3.457208000000E+03	1.745339E+01
3.515530000000E+03	1.744734E+01
3.573851000000E+03	1.745689E+01
3.632173000000E+03	1.744768E+01
3.690494000000E+03	1.743995E+01
3.748815000000E+03	1.745454E+01
3.807137000000E+03	1.743595E+01
3.865458000000E+03	1.747205E+01
3.923779000000E+03	1.745522E+01
3.982101000000E+03	1.742006E+01
4.040422000000E+03	1.745328E+01
4.098744000000E+03	1.742905E+01
4.157065000000E+03	1.742558E+01
4.215386000000E+03	1.746868E+01
4.273708000000E+03	1.743628E+01
4.332029000000E+03	1.744732E+01
4.390350000000E+03	1.745786E+01
4.448672000000E+03	1.745097E+01
4.506993000000E+03	1.744438E+01
4.565315000000E+03	1.744536E+01
4.623636000000E+03	1.744098E+01
4.681957000000E+03	1.742778E+01
4.740279000000E+03	1.743913E+01
4.798600000000E+03	1.743914E+01
4.799600000000E+03	1.744214E+01
4.953131000000E+03	1.742004E+01
5.106663000000E+03	1.745091E+01
5.260194000000E+03	1.742876E+01
