"Frequency"	"Magnitude"
1.010000000000E+02	7.971301E-07
1.041800000000E+02	1.081173E-06
1.073610000000E+02	2.720167E-06
1.105410000000E+02	3.089302E-06
1.137210000000E+02	3.033775E-06
1.169020000000E+02	2.076307E-06
1.200820000000E+02	6.086022E-07
1.232620000000E+02	5.427045E-07
1.264430000000E+02	5.769714E-07
1.296230000000E+02	5.957812E-07
1.328030000000E+02	6.100406E-07
1.359830000000E+02	5.844295E-07
1.391640000000E+02	6.554097E-07
1.423440000000E+02	6.558154E-07
1.455240000000E+02	3.058926E-06
1.487050000000E+02	4.520681E-06
1.518850000000E+02	4.587892E-06
1.550650000000E+02	4.248268E-06
1.582460000000E+02	1.607585E-06
1.614260000000E+02	7.108956E-07
1.646060000000E+02	6.832770E-07
1.677870000000E+02	6.189732E-07
1.709670000000E+02	4.718429E-07
1.741470000000E+02	5.567795E-07
1.773280000000E+02	4.595315E-07
1.805080000000E+02	3.694319E-07
1.836880000000E+02	3.605311E-07
1.868680000000E+02	5.138252E-07
1.900490000000E+02	5.853158E-07
1.932290000000E+02	6.737802E-07
1.964090000000E+02	8.419088E-07
1.995900000000E+02	1.009346E-06
2.027700000000E+02	9.682858E-07
2.059500000000E+02	8.403022E-07
2.091310000000E+02	5.457821E-07
2.123110000000E+02	5.640437E-07
2.154910000000E+02	6.090185E-07
2.186720000000E+02	5.938565E-07
2.218520000000E+02	6.004997E-07
2.250320000000E+02	6.159943E-07
2.282130000000E+02	5.500257E-07
2.313930000000E+02	4.551537E-07
2.345730000000E+02	4.474536E-07
2.377530000000E+02	4.929103E-07
2.409340000000E+02	4.186896E-07
2.441140000000E+02	3.976819E-07
2.472940000000E+02	1.008374E-06
2.504750000000E+02	1.523476E-06
2.536550000000E+02	1.558527E-06
2.568350000000E+02	1.507392E-06
2.600160000000E+02	7.249560E-07
2.631960000000E+02	4.286421E-07
2.641960000000E+02	5.696825E-07
2.725980000000E+02	3.242249E-07
2.810010000000E+02	3.204343E-07
2.894030000000E+02	4.543654E-07
2.978060000000E+02	4.586365E-07
3.062080000000E+02	4.042419E-07
3.146110000000E+02	4.438005E-07
3.230130000000E+02	5.124742E-07
3.314150000000E+02	5.789068E-07
3.398180000000E+02	6.163933E-07
3.482200000000E+02	6.002029E-07
3.566230000000E+02	5.043971E-07
3.650250000000E+02	4.916487E-07
3.734280000000E+02	4.615810E-07
3.818300000000E+02	5.005051E-07
3.902320000000E+02	4.946374E-07
3.986350000000E+02	4.392083E-07
4.070370000000E+02	3.954638E-07
4.154400000000E+02	3.892539E-07
4.238420000000E+02	4.397066E-07
4.322450000000E+02	4.327644E-07
4.406470000000E+02	4.072691E-07
4.490490000000E+02	3.809363E-07
4.574520000000E+02	3.573664E-07
4.658540000000E+02	3.470252E-07
4.742570000000E+02	3.129561E-07
4.826590000000E+02	2.930537E-07
4.910620000000E+02	4.028396E-07
4.994640000000E+02	4.392937E-07
5.078670000000E+02	4.885744E-07
5.162690000000E+02	4.697135E-07
5.246710000000E+02	4.132741E-07
5.330740000000E+02	4.281693E-07
5.414760000000E+02	4.833912E-07
5.498790000000E+02	5.019650E-07
5.582810000000E+02	4.866293E-07
5.666840000000E+02	4.698022E-07
5.750860000000E+02	3.503927E-07
5.834880000000E+02	3.693160E-07
5.918910000000E+02	4.130552E-07
6.002930000000E+02	4.033228E-07
6.086960000000E+02	3.864497E-07
6.170980000000E+02	3.632354E-07
6.255010000000E+02	3.373707E-07
6.339030000000E+02	3.125091E-07
6.423050000000E+02	3.078217E-07
6.507080000000E+02	3.212521E-07
6.591100000000E+02	3.169221E-07
6.675130000000E+02	2.807556E-07
6.759150000000E+02	2.517977E-07
6.843180000000E+02	1.921033E-07
6.927200000000E+02	2.012927E-07
6.937200000000E+02	3.143568E-07
7.158670000000E+02	3.428429E-07
7.380140000000E+02	4.392837E-07
7.601610000000E+02	4.403122E-07
7.823070000000E+02	3.527231E-07
8.044540000000E+02	1.949864E-07
8.266010000000E+02	2.141015E-07
8.487480000000E+02	3.186555E-07
8.708950000000E+02	2.003573E-07
8.930420000000E+02	2.315812E-07
9.151890000000E+02	2.370988E-07
9.373350000000E+02	1.861537E-07
9.594820000000E+02	2.118605E-07
9.816290000000E+02	2.244204E-07
1.003776000000E+03	6.064653E-07
1.025923000000E+03	4.084063E-07
1.048070000000E+03	2.694881E-07
1.070217000000E+03	2.812610E-07
1.092364000000E+03	2.444638E-07
1.114510000000E+03	2.338019E-07
1.136657000000E+03	2.410563E-07
1.158804000000E+03	1.686181E-07
1.180951000000E+03	1.496250E-07
1.203098000000E+03	2.005348E-07
1.225245000000E+03	2.158922E-07
1.247392000000E+03	2.198057E-07
1.269538000000E+03	2.037683E-07
1.291685000000E+03	1.724433E-07
1.313832000000E+03	1.842787E-07
1.335979000000E+03	1.653307E-07
1.358126000000E+03	1.618841E-07
1.380273000000E+03	1.547932E-07
1.402420000000E+03	1.771222E-07
1.424566000000E+03	1.777599E-07
1.446713000000E+03	1.294830E-07
1.468860000000E+03	2.100301E-07
1.491007000000E+03	1.428683E-07
1.513154000000E+03	1.329124E-07
1.535301000000E+03	1.472078E-07
1.557448000000E+03	1.502979E-07
1.579595000000E+03	1.268124E-07
1.601741000000E+03	1.318390E-07
1.623888000000E+03	1.553678E-07
1.646035000000E+03	1.741030E-07
1.668182000000E+03	1.878021E-07
1.690329000000E+03	1.718029E-07
1.712476000000E+03	1.143609E-07
1.734623000000E+03	1.314683E-07
1.756769000000E+03	1.490264E-07
1.778916000000E+03	1.551316E-07
1.801063000000E+03	1.409449E-07
1.823210000000E+03	1.075015E-07
1.824210000000E+03	1.323187E-07
1.882531000000E+03	1.113241E-07
1.940853000000E+03	1.170098E-07
1.999174000000E+03	1.534798E-07
2.057495000000E+03	1.278969E-07
2.115817000000E+03	9.937823E-08
2.174138000000E+03	1.068245E-07
2.232460000000E+03	8.548341E-08
2.290781000000E+03	9.464223E-08
2.349102000000E+03	8.534230E-08
2.407424000000E+03	8.030896E-08
2.465745000000E+03	8.709077E-08
2.524066000000E+03	9.835268E-08
2.582388000000E+03	8.137425E-08
2.640709000000E+03	8.326717E-08
2.699031000000E+03	7.702851E-08
2.757352000000E+03	7.969822E-08
2.815673000000E+03	7.249591E-08
2.873995000000E+03	7.798897E-08
2.932316000000E+03	8.026885E-08
2.990637000000E+03	9.601853E-08
3.048959000000E+03	8.561184E-08
3.107280000000E+03	8.190591E-08
3.165602000000E+03	8.910146E-08
3.223923000000E+03	7.940189E-08
3.282244000000E+03	6.629235E-08
3.340566000000E+03	5.348511E-08
3.398887000000E+03	5.134171E-08
3.457208000000E+03	6.656740E-08
3.515530000000E+03	7.436911E-08
3.573851000000E+03	7.959108E-08
3.632173000000E+03	4.393974E-08
3.690494000000E+03	3.625266E-08
3.748815000000E+03	3.676073E-08
3.807137000000E+03	4.223846E-08
3.865458000000E+03	5.954961E-08
3.923779000000E+03	6.336420E-08
3.982101000000E+03	4.543469E-08
4.040422000000E+03	4.510551E-08
4.098744000000E+03	3.753690E-08
4.157065000000E+03	3.876112E-08
4.215386000000E+03	3.744157E-08
4.273708000000E+03	4.582837E-08
4.332029000000E+03	4.691989E-08
4.390350000000E+03	5.006929E-08
4.448672000000E+03	4.675501E-08
4.506993000000E+03	4.126402E-08
4.565315000000E+03	3.393193E-08
4.623636000000E+03	3.864084E-08
4.681957000000E+03	3.862044E-08
4.740279000000E+03	3.980010E-08
4.798600000000E+03	4.277702E-08
4.799600000000E+03	3.783812E-08
4.953131000000E+03	4.583737E-08
5.106663000000E+03	3.901337E-08
5.260194000000E+03	3.726028E-08
5.413725000000E+03	4.321188E-08
5.567257000000E+03	3.414853E-08
5.720788000000E+03	3.825844E-08
5.874320000000E+03	4.208414E-08
6.027851000000E+03	4.123511E-08
6.181382000000E+03	4.168882E-08
6.334914000000E+03	4.987536E-08
6.488445000000E+03	4.984570E-08
6.641976000000E+03	4.104789E-08
6.795508000000E+03	3.970729E-08
6.949039000000E+03	4.136585E-08
7.102571000000E+03	4.016659E-08
7.256102000000E+03	3.660205E-08
7.409633000000E+03	2.718885E-08
7.563165000000E+03	3.014155E-08
7.716696000000E+03	2.500355E-08
7.870227000000E+03	2.895647E-08
8.023759000000E+03	3.904780E-08
8.177290000000E+03	3.431393E-08
8.330822000000E+03	3.253068E-08
8.484353000000E+03	3.299443E-08
8.637884000000E+03	3.883397E-08
8.791416000000E+03	2.782769E-08
8.944947000000E+03	2.259228E-08
9.098478000000E+03	2.530528E-08
9.252010000000E+03	2.862398E-08
9.405541000000E+03	3.221353E-08
9.559073000000E+03	2.730820E-08
9.712604000000E+03	2.929778E-08
9.866135000000E+03	3.276703E-08
1.001966700000E+04	3.397247E-08
1.017319800000E+04	3.370860E-08
1.032672900000E+04	3.045763E-08
1.048026100000E+04	2.503680E-08
1.063379200000E+04	2.823148E-08
1.078732400000E+04	2.490531E-08
1.094085500000E+04	2.230703E-08
1.109438600000E+04	2.596671E-08
1.124791800000E+04	2.352583E-08
1.140144900000E+04	2.602123E-08
1.155498000000E+04	2.961722E-08
1.170851200000E+04	2.807675E-08
1.186204300000E+04	2.801109E-08
1.201557500000E+04	3.032852E-08
1.216910600000E+04	2.717319E-08
1.232263700000E+04	2.393338E-08
1.247616900000E+04	2.701440E-08
1.262970000000E+04	3.169133E-08
1.263070000000E+04	2.889628E-08
1.303482200000E+04	2.089158E-08
1.343894300000E+04	2.590581E-08
1.384306500000E+04	2.749191E-08
1.424718600000E+04	2.348963E-08
1.465130800000E+04	2.294934E-08
1.505542900000E+04	2.742127E-08
1.545955100000E+04	3.577682E-08
1.586367300000E+04	5.055907E-08
1.626779400000E+04	4.993736E-08
1.667191600000E+04	4.140930E-08
1.707603700000E+04	2.455902E-08
1.748015900000E+04	2.126411E-08
1.788428000000E+04	2.206530E-08
1.828840200000E+04	2.342233E-08
1.869252400000E+04	2.143475E-08
1.909664500000E+04	2.311267E-08
1.950076700000E+04	2.325437E-08
1.990488800000E+04	2.453787E-08
2.030901000000E+04	2.739169E-08
2.071313100000E+04	2.768143E-08
2.111725300000E+04	2.671163E-08
2.152137500000E+04	2.638672E-08
2.192549600000E+04	2.776384E-08
2.232961800000E+04	2.650826E-08
2.273373900000E+04	2.784683E-08
2.313786100000E+04	2.116311E-08
2.354198200000E+04	1.965404E-08
2.394610400000E+04	2.260905E-08
2.435022500000E+04	2.406036E-08
2.475434700000E+04	2.482618E-08
2.515846900000E+04	2.109708E-08
2.556259000000E+04	2.091040E-08
2.596671200000E+04	2.175635E-08
2.637083300000E+04	2.039580E-08
2.677495500000E+04	2.089237E-08
2.717907600000E+04	2.377177E-08
2.758319800000E+04	2.230435E-08
2.798732000000E+04	2.134957E-08
2.839144100000E+04	2.354912E-08
2.879556300000E+04	2.399327E-08
2.919968400000E+04	2.385081E-08
2.960380600000E+04	2.382358E-08
3.000792700000E+04	2.634468E-08
3.041204900000E+04	3.093221E-08
3.081617100000E+04	3.112810E-08
3.122029200000E+04	2.907455E-08
3.162441400000E+04	2.458300E-08
3.202853500000E+04	2.799731E-08
3.243265700000E+04	3.297642E-08
3.283677800000E+04	2.865560E-08
3.324090000000E+04	2.622445E-08
3.324190000000E+04	2.810906E-08
3.430555900000E+04	3.000282E-08
3.536921800000E+04	3.282188E-08
3.643287600000E+04	3.055157E-08
3.749653500000E+04	2.769582E-08
3.856019400000E+04	2.772910E-08
3.962385300000E+04	3.073946E-08
4.068751200000E+04	3.188253E-08
4.175117100000E+04	2.986779E-08
4.281482900000E+04	4.297673E-08
4.387848800000E+04	4.638309E-08
4.494214700000E+04	4.018579E-08
4.600580600000E+04	2.532633E-08
4.706946500000E+04	2.067004E-08
4.813312400000E+04	2.195906E-08
4.919678200000E+04	2.541536E-08
5.026044100000E+04	2.674578E-08
5.132410000000E+04	2.725739E-08
5.238775900000E+04	2.633115E-08
5.345141800000E+04	2.686407E-08
5.451507600000E+04	2.685807E-08
5.557873500000E+04	3.606796E-08
5.664239400000E+04	5.282421E-08
5.770605300000E+04	5.756349E-08
5.876971200000E+04	5.504617E-08
5.983337100000E+04	4.163726E-08
6.089702900000E+04	3.913122E-08
6.196068800000E+04	3.664999E-08
6.302434700000E+04	2.644432E-08
6.408800600000E+04	2.472764E-08
6.515166500000E+04	3.175046E-08
6.621532400000E+04	3.091672E-08
6.727898200000E+04	3.229587E-08
6.834264100000E+04	2.722819E-08
6.940630000000E+04	2.415747E-08
7.046995900000E+04	2.317005E-08
7.153361800000E+04	2.014025E-08
7.259727600000E+04	1.998229E-08
7.366093500000E+04	1.890340E-08
7.472459400000E+04	1.879829E-08
7.578825300000E+04	1.840229E-08
7.685191200000E+04	2.006655E-08
7.791557100000E+04	2.010884E-08
7.897922900000E+04	2.305228E-08
8.004288800000E+04	4.987903E-08
8.110654700000E+04	5.305771E-08
8.217020600000E+04	5.212726E-08
8.323386500000E+04	3.223770E-08
8.429752400000E+04	2.415433E-08
8.536118200000E+04	1.626236E-08
8.642484100000E+04	1.773030E-08
8.748850000000E+04	1.981655E-08
8.748950000000E+04	2.413055E-08
9.028903900000E+04	2.487941E-08
9.308857800000E+04	2.493293E-08
9.588811800000E+04	1.877613E-08
9.868765700000E+04	1.670136E-08
1.014871960000E+05	1.706904E-08
1.042867350000E+05	1.729324E-08
1.070862750000E+05	1.778571E-08
1.098858140000E+05	1.768439E-08
1.126853530000E+05	1.711815E-08
1.154848920000E+05	1.711453E-08
1.182844310000E+05	1.564743E-08
1.210839710000E+05	1.500957E-08
1.238835100000E+05	1.597280E-08
1.266830490000E+05	2.271061E-08
1.294825880000E+05	2.588238E-08
1.322821270000E+05	2.634966E-08
1.350816670000E+05	2.183987E-08
1.378812060000E+05	2.148589E-08
1.406807450000E+05	1.894464E-08
1.434802840000E+05	1.617481E-08
1.462798240000E+05	1.204218E-08
1.490793630000E+05	1.311907E-08
1.518789020000E+05	1.319853E-08
1.546784410000E+05	1.359691E-08
1.574779800000E+05	1.563764E-08
1.602775200000E+05	1.715960E-08
1.630770590000E+05	1.610542E-08
1.658765980000E+05	1.907063E-08
1.686761370000E+05	2.537939E-08
1.714756760000E+05	2.683869E-08
1.742752160000E+05	2.578613E-08
1.770747550000E+05	2.177137E-08
1.798742940000E+05	1.883814E-08
1.826738330000E+05	2.016668E-08
1.854733730000E+05	2.090020E-08
1.882729120000E+05	1.907612E-08
1.910724510000E+05	1.788349E-08
1.938719900000E+05	1.921720E-08
1.966715290000E+05	1.807500E-08
1.994710690000E+05	1.666668E-08
2.022706080000E+05	1.438482E-08
2.050701470000E+05	1.645730E-08
2.078696860000E+05	1.507498E-08
2.106692250000E+05	1.329253E-08
2.134687650000E+05	1.444179E-08
2.162683040000E+05	1.638091E-08
2.190678430000E+05	1.864956E-08
2.218673820000E+05	2.057682E-08
2.246669220000E+05	2.083165E-08
2.274664610000E+05	2.066301E-08
2.302660000000E+05	1.857745E-08
2.302670000000E+05	1.860655E-08
2.376352940000E+05	1.783074E-08
2.450035880000E+05	1.916975E-08
2.523718820000E+05	2.363898E-08
2.597401760000E+05	2.533647E-08
2.671084710000E+05	2.412072E-08
2.744767650000E+05	2.006934E-08
2.818450590000E+05	2.171282E-08
2.892133530000E+05	1.770688E-08
2.965816470000E+05	2.127783E-08
3.039499410000E+05	2.371264E-08
3.113182350000E+05	2.024972E-08
3.186865290000E+05	1.920649E-08
3.260548240000E+05	1.428376E-08
3.334231180000E+05	1.615939E-08
3.407914120000E+05	2.109998E-08
3.481597060000E+05	2.253860E-08
3.555280000000E+05	1.957041E-08
3.628962940000E+05	1.571357E-08
3.702645880000E+05	1.073706E-08
3.776328820000E+05	1.761478E-08
3.850011760000E+05	2.001718E-08
3.923694710000E+05	1.347346E-08
3.997377650000E+05	1.545032E-08
4.071060590000E+05	1.577075E-08
4.144743530000E+05	1.777187E-08
4.218426470000E+05	2.349363E-08
4.292109410000E+05	2.039078E-08
4.365792350000E+05	1.589034E-08
4.439475290000E+05	1.811303E-08
4.513158240000E+05	2.659219E-08
4.586841180000E+05	2.149335E-08
4.660524120000E+05	1.628119E-08
4.734207060000E+05	1.539446E-08
4.807890000000E+05	1.809467E-08
4.881572940000E+05	1.723867E-08
4.955255880000E+05	1.817995E-08
5.028938820000E+05	2.178664E-08
5.102621760000E+05	1.953242E-08
5.176304710000E+05	1.871554E-08
5.249987650000E+05	1.664055E-08
5.323670590000E+05	1.542357E-08
5.397353530000E+05	1.461407E-08
5.471036470000E+05	1.931539E-08
5.544719410000E+05	1.783394E-08
5.618402350000E+05	1.464159E-08
5.692085290000E+05	1.402935E-08
5.765768240000E+05	1.586806E-08
5.839451180000E+05	1.336353E-08
5.913134120000E+05	1.648388E-08
5.986817060000E+05	1.944900E-08
6.060500000000E+05	1.799102E-08
6.060510000000E+05	1.919572E-08
6.254441180000E+05	1.884005E-08
6.448372350000E+05	2.145229E-08
6.642303530000E+05	1.568503E-08
6.836234710000E+05	2.192182E-08
7.030165880000E+05	1.534563E-08
7.224097060000E+05	1.659946E-08
7.418028240000E+05	1.993774E-08
7.611959410000E+05	2.032024E-08
7.805890590000E+05	1.350562E-08
7.999821760000E+05	1.643604E-08
8.193752940000E+05	1.434526E-08
8.387684120000E+05	1.898128E-08
8.581615290000E+05	1.502503E-08
8.775546470000E+05	1.602483E-08
8.969477650000E+05	1.850492E-08
9.163408820000E+05	1.280278E-08
9.357340000000E+05	1.750697E-08
9.551271180000E+05	1.333404E-08
9.745202350000E+05	2.067638E-08
9.939133530000E+05	1.401485E-08
1.013306471000E+06	1.925509E-08
1.032699588000E+06	1.350775E-08
1.052092706000E+06	1.599010E-08
1.071485824000E+06	1.900361E-08
1.090878941000E+06	1.660413E-08
1.110272059000E+06	2.202356E-08
1.129665176000E+06	2.307899E-08
1.149058294000E+06	2.041556E-08
1.168451412000E+06	2.135006E-08
1.187844529000E+06	1.856664E-08
1.207237647000E+06	2.202132E-08
1.226630765000E+06	2.378855E-08
1.246023882000E+06	2.615674E-08
1.265417000000E+06	1.332632E-08
1.284810118000E+06	2.286631E-08
1.304203235000E+06	2.399068E-08
1.323596353000E+06	2.456575E-08
1.342989471000E+06	1.710274E-08
1.362382588000E+06	2.124790E-08
1.381775706000E+06	2.591975E-08
1.401168824000E+06	2.733293E-08
1.420561941000E+06	2.333582E-08
1.439955059000E+06	2.157616E-08
1.459348176000E+06	1.848178E-08
1.478741294000E+06	1.707516E-08
1.498134412000E+06	2.200486E-08
1.517527529000E+06	1.529411E-08
1.536920647000E+06	1.179011E-08
1.556313765000E+06	1.872127E-08
1.575706882000E+06	1.813303E-08
1.595100000000E+06	1.783142E-08
1.595100000000E+06	2.117133E-08
1.646141765000E+06	1.917136E-08
1.697183529000E+06	2.205747E-08
1.748225294000E+06	1.440380E-08
1.799267059000E+06	1.653491E-08
1.850308824000E+06	1.068740E-08
1.901350588000E+06	1.455108E-08
1.952392353000E+06	1.120483E-08
2.003434118000E+06	1.232724E-08
2.054475882000E+06	1.857870E-08
2.105517647000E+06	1.233841E-08
2.156559412000E+06	1.797551E-08
2.207601176000E+06	1.795940E-08
2.258642941000E+06	1.606725E-08
2.309684706000E+06	1.830014E-08
2.360726471000E+06	1.493076E-08
2.411768235000E+06	1.537310E-08
2.462810000000E+06	1.581549E-08
2.513851765000E+06	1.481369E-08
2.564893529000E+06	1.495758E-08
2.615935294000E+06	1.593475E-08
2.666977059000E+06	1.538252E-08
2.718018824000E+06	1.572557E-08
2.769060588000E+06	1.267700E-08
2.820102353000E+06	1.637194E-08
2.871144118000E+06	1.655773E-08
2.922185882000E+06	1.740051E-08
2.973227647000E+06	1.585729E-08
3.024269412000E+06	1.383997E-08
3.075311176000E+06	1.395788E-08
3.126352941000E+06	1.241065E-08
3.177394706000E+06	1.715854E-08
3.228436471000E+06	1.587189E-08
3.279478235000E+06	1.625996E-08
3.330520000000E+06	1.701446E-08
3.381561765000E+06	1.892738E-08
3.432603529000E+06	1.810427E-08
3.483645294000E+06	1.484231E-08
3.534687059000E+06	1.521632E-08
3.585728824000E+06	1.820642E-08
3.636770588000E+06	1.583011E-08
3.687812353000E+06	1.675519E-08
3.738854118000E+06	2.334851E-08
3.789895882000E+06	1.390185E-08
3.840937647000E+06	1.667171E-08
3.891979412000E+06	1.922288E-08
3.943021176000E+06	1.756561E-08
3.994062941000E+06	1.336682E-08
4.045104706000E+06	1.569883E-08
4.096146471000E+06	1.775708E-08
