"Frequency"	"Magnitude"
1.010000000000E+02	1.222326E-06
1.041800000000E+02	1.548051E-06
1.073610000000E+02	2.769654E-06
1.105410000000E+02	2.982227E-06
1.137210000000E+02	3.040113E-06
1.169020000000E+02	2.196828E-06
1.200820000000E+02	8.267345E-07
1.232620000000E+02	6.320841E-07
1.264430000000E+02	5.060996E-07
1.296230000000E+02	4.399093E-07
1.328030000000E+02	5.147042E-07
1.359830000000E+02	6.367611E-07
1.391640000000E+02	5.948811E-07
1.423440000000E+02	6.743858E-07
1.455240000000E+02	4.132903E-06
1.487050000000E+02	6.259942E-06
1.518850000000E+02	6.369744E-06
1.550650000000E+02	5.826629E-06
1.582460000000E+02	2.021466E-06
1.614260000000E+02	4.555760E-07
1.646060000000E+02	4.058169E-07
1.677870000000E+02	4.324418E-07
1.709670000000E+02	4.368949E-07
1.741470000000E+02	4.509947E-07
1.773280000000E+02	5.118875E-07
1.805080000000E+02	5.785722E-07
1.836880000000E+02	5.408232E-07
1.868680000000E+02	5.330937E-07
1.900490000000E+02	5.474361E-07
1.932290000000E+02	5.217773E-07
1.964090000000E+02	5.403818E-07
1.995900000000E+02	7.095651E-07
2.027700000000E+02	6.692267E-07
2.059500000000E+02	5.729565E-07
2.091310000000E+02	5.493496E-07
2.123110000000E+02	6.296365E-07
2.154910000000E+02	5.468783E-07
2.186720000000E+02	5.492076E-07
2.218520000000E+02	5.009975E-07
2.250320000000E+02	5.271342E-07
2.282130000000E+02	5.547763E-07
2.313930000000E+02	5.210401E-07
2.345730000000E+02	5.907268E-07
2.377530000000E+02	4.925655E-07
2.409340000000E+02	4.649571E-07
2.441140000000E+02	4.570562E-07
2.472940000000E+02	1.404454E-06
2.504750000000E+02	2.129340E-06
2.536550000000E+02	2.176226E-06
2.568350000000E+02	2.127565E-06
2.600160000000E+02	1.080170E-06
2.631960000000E+02	6.288780E-07
2.641960000000E+02	8.836961E-07
2.725980000000E+02	5.149381E-07
2.810010000000E+02	3.882598E-07
2.894030000000E+02	3.314707E-07
2.978060000000E+02	3.249602E-07
3.062080000000E+02	3.354885E-07
3.146110000000E+02	4.617471E-07
3.230130000000E+02	5.576088E-07
3.314150000000E+02	6.210145E-07
3.398180000000E+02	6.094509E-07
3.482200000000E+02	5.676516E-07
3.566230000000E+02	3.543502E-07
3.650250000000E+02	2.899370E-07
3.734280000000E+02	2.927337E-07
3.818300000000E+02	4.047748E-07
3.902320000000E+02	4.116916E-07
3.986350000000E+02	2.939236E-07
4.070370000000E+02	2.584094E-07
4.154400000000E+02	2.676611E-07
4.238420000000E+02	4.018142E-07
4.322450000000E+02	4.520119E-07
4.406470000000E+02	5.587224E-07
4.490490000000E+02	5.827251E-07
4.574520000000E+02	5.843480E-07
4.658540000000E+02	5.182534E-07
