"Frequency"	"Magnitude"
1.010000000000E+02	3.587563E+01
1.041800000000E+02	3.587951E+01
1.073610000000E+02	3.589346E+01
1.105410000000E+02	3.591602E+01
1.137210000000E+02	3.595341E+01
1.169020000000E+02	3.593693E+01
1.200820000000E+02	3.596277E+01
1.232620000000E+02	3.596442E+01
1.264430000000E+02	3.597068E+01
1.296230000000E+02	3.602169E+01
1.328030000000E+02	3.602110E+01
1.359830000000E+02	3.605476E+01
1.391640000000E+02	3.598573E+01
1.423440000000E+02	3.602832E+01
1.455240000000E+02	3.605667E+01
1.487050000000E+02	3.607310E+01
1.518850000000E+02	3.606527E+01
1.550650000000E+02	3.606902E+01
1.582460000000E+02	3.609611E+01
1.614260000000E+02	3.608440E+01
1.646060000000E+02	3.610460E+01
1.677870000000E+02	3.610796E+01
1.709670000000E+02	3.611360E+01
1.741470000000E+02	3.614321E+01
1.773280000000E+02	3.611161E+01
1.805080000000E+02	3.614517E+01
1.836880000000E+02	3.614705E+01
1.868680000000E+02	3.614040E+01
1.900490000000E+02	3.616208E+01
1.932290000000E+02	3.615130E+01
1.964090000000E+02	3.615554E+01
1.995900000000E+02	3.616348E+01
2.027700000000E+02	3.616051E+01
2.059500000000E+02	3.616544E+01
2.091310000000E+02	3.617094E+01
2.123110000000E+02	3.617093E+01
2.154910000000E+02	3.616636E+01
2.186720000000E+02	3.616008E+01
2.218520000000E+02	3.617312E+01
2.250320000000E+02	3.617082E+01
2.282130000000E+02	3.617437E+01
2.313930000000E+02	3.618005E+01
2.345730000000E+02	3.617905E+01
2.377530000000E+02	3.618356E+01
2.409340000000E+02	3.621244E+01
2.441140000000E+02	3.622551E+01
2.472940000000E+02	3.618782E+01
2.504750000000E+02	3.618086E+01
2.536550000000E+02	3.618872E+01
2.568350000000E+02	3.621050E+01
2.600160000000E+02	3.619568E+01
2.631960000000E+02	3.620882E+01
2.641960000000E+02	3.618476E+01
2.725980000000E+02	3.616502E+01
2.810010000000E+02	3.620663E+01
2.894030000000E+02	3.620994E+01
2.978060000000E+02	3.620875E+01
3.062080000000E+02	3.624028E+01
3.146110000000E+02	3.620601E+01
3.230130000000E+02	3.622166E+01
3.314150000000E+02	3.623418E+01
3.398180000000E+02	3.622792E+01
3.482200000000E+02	3.624221E+01
3.566230000000E+02	3.623378E+01
3.650250000000E+02	3.623309E+01
3.734280000000E+02	3.621066E+01
3.818300000000E+02	3.624989E+01
3.902320000000E+02	3.625217E+01
3.986350000000E+02	3.626075E+01
4.070370000000E+02	3.626435E+01
4.154400000000E+02	3.624184E+01
4.238420000000E+02	3.624133E+01
4.322450000000E+02	3.621923E+01
4.406470000000E+02	3.623938E+01
4.490490000000E+02	3.624015E+01
4.574520000000E+02	3.622895E+01
4.658540000000E+02	3.621885E+01
4.742570000000E+02	3.624799E+01
4.826590000000E+02	3.628162E+01
4.910620000000E+02	3.624282E+01
4.994640000000E+02	3.626436E+01
5.078670000000E+02	3.624391E+01
5.162690000000E+02	3.623948E+01
5.246710000000E+02	3.626667E+01
5.330740000000E+02	3.623809E+01
5.414760000000E+02	3.627780E+01
5.498790000000E+02	3.624565E+01
5.582810000000E+02	3.625652E+01
5.666840000000E+02	3.626330E+01
5.750860000000E+02	3.624352E+01
5.834880000000E+02	3.626940E+01
5.918910000000E+02	3.627847E+01
6.002930000000E+02	3.625573E+01
6.086960000000E+02	3.625601E+01
6.170980000000E+02	3.626828E+01
6.255010000000E+02	3.626917E+01
6.339030000000E+02	3.626692E+01
6.423050000000E+02	3.625373E+01
6.507080000000E+02	3.624254E+01
6.591100000000E+02	3.626250E+01
6.675130000000E+02	3.628894E+01
6.759150000000E+02	3.627750E+01
6.843180000000E+02	3.626883E+01
6.927200000000E+02	3.627020E+01
6.937200000000E+02	3.626171E+01
7.158670000000E+02	3.630692E+01
7.380140000000E+02	3.626392E+01
7.601610000000E+02	3.627399E+01
7.823070000000E+02	3.626603E+01
8.044540000000E+02	3.628136E+01
8.266010000000E+02	3.625844E+01
8.487480000000E+02	3.627253E+01
8.708950000000E+02	3.629776E+01
8.930420000000E+02	3.628709E+01
9.151890000000E+02	3.623873E+01
9.373350000000E+02	3.624244E+01
9.594820000000E+02	3.628024E+01
9.816290000000E+02	3.628352E+01
1.003776000000E+03	3.629955E+01
1.025923000000E+03	3.628580E+01
1.048070000000E+03	3.625047E+01
1.070217000000E+03	3.627271E+01
1.092364000000E+03	3.627304E+01
1.114510000000E+03	3.624225E+01
1.136657000000E+03	3.625723E+01
1.158804000000E+03	3.627343E+01
1.180951000000E+03	3.628542E+01
1.203098000000E+03	3.626844E+01
1.225245000000E+03	3.627429E+01
1.247392000000E+03	3.625360E+01
1.269538000000E+03	3.626270E+01
1.291685000000E+03	3.626647E+01
1.313832000000E+03	3.628621E+01
1.335979000000E+03	3.624710E+01
1.358126000000E+03	3.627640E+01
1.380273000000E+03	3.627528E+01
1.402420000000E+03	3.627523E+01
1.424566000000E+03	3.627758E+01
1.446713000000E+03	3.627876E+01
1.468860000000E+03	3.626522E+01
1.491007000000E+03	3.627712E+01
1.513154000000E+03	3.626134E+01
1.535301000000E+03	3.627876E+01
1.557448000000E+03	3.626841E+01
1.579595000000E+03	3.626493E+01
1.601741000000E+03	3.626222E+01
1.623888000000E+03	3.623748E+01
1.646035000000E+03	3.626912E+01
1.668182000000E+03	3.628908E+01
1.690329000000E+03	3.625708E+01
1.712476000000E+03	3.627220E+01
1.734623000000E+03	3.627443E+01
1.756769000000E+03	3.625138E+01
1.778916000000E+03	3.625888E+01
1.801063000000E+03	3.625779E+01
1.823210000000E+03	3.626889E+01
1.824210000000E+03	3.625514E+01
1.882531000000E+03	3.626253E+01
1.940853000000E+03	3.625931E+01
1.999174000000E+03	3.625067E+01
2.057495000000E+03	3.627001E+01
2.115817000000E+03	3.627057E+01
2.174138000000E+03	3.625247E+01
2.232460000000E+03	3.625159E+01
2.290781000000E+03	3.629611E+01
2.349102000000E+03	3.625706E+01
2.407424000000E+03	3.624652E+01
2.465745000000E+03	3.625764E+01
2.524066000000E+03	3.625037E+01
2.582388000000E+03	3.625621E+01
2.640709000000E+03	3.625728E+01
2.699031000000E+03	3.623399E+01
2.757352000000E+03	3.625011E+01
2.815673000000E+03	3.626533E+01
2.873995000000E+03	3.620833E+01
2.932316000000E+03	3.624527E+01
2.990637000000E+03	3.624380E+01
3.048959000000E+03	3.624438E+01
3.107280000000E+03	3.622832E+01
3.165602000000E+03	3.619067E+01
3.223923000000E+03	3.624331E+01
3.282244000000E+03	3.626976E+01
3.340566000000E+03	3.624072E+01
3.398887000000E+03	3.626609E+01
3.457208000000E+03	3.623909E+01
3.515530000000E+03	3.625157E+01
3.573851000000E+03	3.624696E+01
3.632173000000E+03	3.622256E+01
3.690494000000E+03	3.620106E+01
3.748815000000E+03	3.623865E+01
3.807137000000E+03	3.623180E+01
3.865458000000E+03	3.619845E+01
3.923779000000E+03	3.624223E+01
3.982101000000E+03	3.620782E+01
4.040422000000E+03	3.622449E+01
4.098744000000E+03	3.625359E+01
4.157065000000E+03	3.624216E+01
4.215386000000E+03	3.622971E+01
4.273708000000E+03	3.622760E+01
4.332029000000E+03	3.623799E+01
4.390350000000E+03	3.623591E+01
4.448672000000E+03	3.623175E+01
4.506993000000E+03	3.622238E+01
4.565315000000E+03	3.623226E+01
4.623636000000E+03	3.623745E+01
4.681957000000E+03	3.620830E+01
4.740279000000E+03	3.622654E+01
4.798600000000E+03	3.620778E+01
4.799600000000E+03	3.623176E+01
4.953131000000E+03	3.621872E+01
