"Frequency"	"Magnitude"
1.010000000000E+02	2.198018E+01
1.041800000000E+02	2.202348E+01
1.073610000000E+02	2.200963E+01
1.105410000000E+02	2.206551E+01
1.137210000000E+02	2.205056E+01
1.169020000000E+02	2.210610E+01
1.200820000000E+02	2.205746E+01
1.232620000000E+02	2.210209E+01
1.264430000000E+02	2.212570E+01
1.296230000000E+02	2.211440E+01
1.328030000000E+02	2.214500E+01
1.359830000000E+02	2.215644E+01
1.391640000000E+02	2.216578E+01
1.423440000000E+02	2.218164E+01
1.455240000000E+02	2.219251E+01
1.487050000000E+02	2.219123E+01
1.518850000000E+02	2.222032E+01
1.550650000000E+02	2.221796E+01
1.582460000000E+02	2.223020E+01
1.614260000000E+02	2.223220E+01
1.646060000000E+02	2.222341E+01
1.677870000000E+02	2.223451E+01
1.709670000000E+02	2.223787E+01
1.741470000000E+02	2.226016E+01
1.773280000000E+02	2.225147E+01
1.805080000000E+02	2.227851E+01
1.836880000000E+02	2.225366E+01
1.868680000000E+02	2.225363E+01
1.900490000000E+02	2.227398E+01
1.932290000000E+02	2.225877E+01
1.964090000000E+02	2.227338E+01
1.995900000000E+02	2.228195E+01
2.027700000000E+02	2.227159E+01
2.059500000000E+02	2.228102E+01
2.091310000000E+02	2.226966E+01
2.123110000000E+02	2.229719E+01
2.154910000000E+02	2.229505E+01
2.186720000000E+02	2.231098E+01
2.218520000000E+02	2.230430E+01
2.250320000000E+02	2.229035E+01
2.282130000000E+02	2.229681E+01
2.313930000000E+02	2.229829E+01
2.345730000000E+02	2.231688E+01
2.377530000000E+02	2.228818E+01
2.409340000000E+02	2.228239E+01
2.441140000000E+02	2.232411E+01
2.472940000000E+02	2.232363E+01
2.504750000000E+02	2.232421E+01
2.536550000000E+02	2.231881E+01
2.568350000000E+02	2.232525E+01
2.600160000000E+02	2.232347E+01
2.631960000000E+02	2.231274E+01
2.641960000000E+02	2.230237E+01
2.725980000000E+02	2.230777E+01
2.810010000000E+02	2.231286E+01
2.894030000000E+02	2.233935E+01
2.978060000000E+02	2.232968E+01
3.062080000000E+02	2.234350E+01
3.146110000000E+02	2.232649E+01
3.230130000000E+02	2.233924E+01
3.314150000000E+02	2.233504E+01
3.398180000000E+02	2.233848E+01
3.482200000000E+02	2.234455E+01
3.566230000000E+02	2.234811E+01
3.650250000000E+02	2.237577E+01
3.734280000000E+02	2.236352E+01
3.818300000000E+02	2.235217E+01
3.902320000000E+02	2.235118E+01
3.986350000000E+02	2.236797E+01
