"Frequency"	"Magnitude"
1.010000000000E+02	3.453021E-06
1.041800000000E+02	4.184355E-06
1.073610000000E+02	4.547240E-06
1.105410000000E+02	4.343725E-06
1.137210000000E+02	3.979806E-06
1.169020000000E+02	3.208567E-06
1.200820000000E+02	2.916964E-06
1.232620000000E+02	3.206335E-06
1.264430000000E+02	3.365839E-06
1.296230000000E+02	3.330181E-06
1.328030000000E+02	3.342313E-06
1.359830000000E+02	2.724381E-06
1.391640000000E+02	2.870118E-06
1.423440000000E+02	3.311089E-06
1.455240000000E+02	4.506226E-06
1.487050000000E+02	4.909850E-06
1.518850000000E+02	5.065512E-06
1.550650000000E+02	4.562182E-06
1.582460000000E+02	3.178871E-06
1.614260000000E+02	2.264187E-06
1.646060000000E+02	2.304821E-06
1.677870000000E+02	2.226725E-06
1.709670000000E+02	2.670670E-06
1.741470000000E+02	3.085759E-06
1.773280000000E+02	3.276776E-06
1.805080000000E+02	2.672681E-06
1.836880000000E+02	2.536113E-06
1.868680000000E+02	2.720446E-06
1.900490000000E+02	3.160288E-06
1.932290000000E+02	2.841398E-06
1.964090000000E+02	2.347837E-06
1.995900000000E+02	2.457652E-06
2.027700000000E+02	3.470861E-06
2.059500000000E+02	3.252621E-06
2.091310000000E+02	2.763589E-06
2.123110000000E+02	2.558827E-06
2.154910000000E+02	2.661543E-06
2.186720000000E+02	3.017963E-06
2.218520000000E+02	3.140985E-06
2.250320000000E+02	3.178486E-06
2.282130000000E+02	3.183626E-06
2.313930000000E+02	2.907787E-06
2.345730000000E+02	2.722029E-06
2.377530000000E+02	2.640366E-06
2.409340000000E+02	2.991776E-06
2.441140000000E+02	3.170853E-06
2.472940000000E+02	2.813700E-06
2.504750000000E+02	2.672709E-06
2.536550000000E+02	2.742872E-06
2.568350000000E+02	2.436447E-06
2.600160000000E+02	2.516474E-06
2.631960000000E+02	2.774843E-06
2.641960000000E+02	2.290086E-06
2.725980000000E+02	2.308999E-06
2.810010000000E+02	2.417295E-06
2.894030000000E+02	2.237603E-06
2.978060000000E+02	1.903822E-06
3.062080000000E+02	1.727791E-06
3.146110000000E+02	1.855540E-06
3.230130000000E+02	2.186969E-06
3.314150000000E+02	2.633024E-06
3.398180000000E+02	2.547982E-06
3.482200000000E+02	2.335292E-06
3.566230000000E+02	1.862798E-06
3.650250000000E+02	1.838819E-06
3.734280000000E+02	2.026574E-06
3.818300000000E+02	2.066181E-06
3.902320000000E+02	1.771549E-06
3.986350000000E+02	1.459619E-06
4.070370000000E+02	1.416175E-06
4.154400000000E+02	1.565829E-06
4.238420000000E+02	1.755329E-06
4.322450000000E+02	1.819894E-06
4.406470000000E+02	2.022729E-06
4.490490000000E+02	1.865958E-06
4.574520000000E+02	1.679656E-06
4.658540000000E+02	1.340239E-06
4.742570000000E+02	1.320808E-06
4.826590000000E+02	1.518392E-06
4.910620000000E+02	1.993271E-06
4.994640000000E+02	2.066910E-06
5.078670000000E+02	1.822780E-06
5.162690000000E+02	1.650333E-06
5.246710000000E+02	1.539837E-06
5.330740000000E+02	1.451704E-06
5.414760000000E+02	1.670646E-06
5.498790000000E+02	1.951027E-06
5.582810000000E+02	2.046334E-06
5.666840000000E+02	2.116528E-06
5.750860000000E+02	1.917447E-06
5.834880000000E+02	1.785101E-06
5.918910000000E+02	1.632887E-06
6.002930000000E+02	1.561465E-06
6.086960000000E+02	1.477945E-06
6.170980000000E+02	1.510064E-06
6.255010000000E+02	1.667532E-06
6.339030000000E+02	1.693383E-06
6.423050000000E+02	1.759745E-06
6.507080000000E+02	1.811734E-06
6.591100000000E+02	1.710645E-06
6.675130000000E+02	1.580281E-06
6.759150000000E+02	1.499613E-06
6.843180000000E+02	1.198870E-06
6.927200000000E+02	1.218438E-06
6.937200000000E+02	1.656252E-06
7.158670000000E+02	1.635058E-06
7.380140000000E+02	1.508224E-06
7.601610000000E+02	1.316881E-06
7.823070000000E+02	1.765447E-06
8.044540000000E+02	1.174856E-06
8.266010000000E+02	1.332154E-06
8.487480000000E+02	1.243307E-06
8.708950000000E+02	1.229192E-06
8.930420000000E+02	1.424302E-06
9.151890000000E+02	1.639798E-06
9.373350000000E+02	1.897159E-06
9.594820000000E+02	1.490769E-06
9.816290000000E+02	1.356271E-06
1.003776000000E+03	1.224397E-06
1.025923000000E+03	1.196496E-06
1.048070000000E+03	9.267487E-07
1.070217000000E+03	1.020561E-06
1.092364000000E+03	1.215605E-06
1.114510000000E+03	1.020787E-06
1.136657000000E+03	1.188203E-06
1.158804000000E+03	9.395580E-07
1.180951000000E+03	1.144608E-06
1.203098000000E+03	1.084613E-06
1.225245000000E+03	1.018881E-06
1.247392000000E+03	1.313835E-06
1.269538000000E+03	1.139796E-06
1.291685000000E+03	1.413255E-06
1.313832000000E+03	1.247285E-06
1.335979000000E+03	1.425641E-06
1.358126000000E+03	1.249179E-06
1.380273000000E+03	9.981858E-07
1.402420000000E+03	1.334069E-06
1.424566000000E+03	1.009130E-06
1.446713000000E+03	1.051382E-06
1.468860000000E+03	9.723933E-07
1.491007000000E+03	1.027545E-06
1.513154000000E+03	1.327359E-06
1.535301000000E+03	1.250038E-06
1.557448000000E+03	1.035524E-06
1.579595000000E+03	9.897634E-07
1.601741000000E+03	8.246226E-07
1.623888000000E+03	9.560067E-07
1.646035000000E+03	9.386439E-07
1.668182000000E+03	8.254159E-07
1.690329000000E+03	9.033499E-07
1.712476000000E+03	1.163335E-06
1.734623000000E+03	1.209149E-06
1.756769000000E+03	1.405881E-06
1.778916000000E+03	1.341413E-06
1.801063000000E+03	1.028119E-06
1.823210000000E+03	1.296735E-06
1.824210000000E+03	1.016748E-06
1.882531000000E+03	9.753542E-07
1.940853000000E+03	8.028962E-07
1.999174000000E+03	8.414825E-07
2.057495000000E+03	7.973369E-07
2.115817000000E+03	8.524124E-07
2.174138000000E+03	1.000054E-06
2.232460000000E+03	7.333511E-07
2.290781000000E+03	8.213840E-07
2.349102000000E+03	6.694752E-07
2.407424000000E+03	7.656762E-07
2.465745000000E+03	7.900140E-07
2.524066000000E+03	8.236323E-07
2.582388000000E+03	7.590210E-07
2.640709000000E+03	8.910241E-07
2.699031000000E+03	9.646957E-07
2.757352000000E+03	1.090992E-06
2.815673000000E+03	8.975145E-07
2.873995000000E+03	7.516820E-07
2.932316000000E+03	7.018387E-07
2.990637000000E+03	6.852794E-07
3.048959000000E+03	8.129794E-07
3.107280000000E+03	6.960298E-07
3.165602000000E+03	7.531198E-07
3.223923000000E+03	7.886446E-07
3.282244000000E+03	7.866939E-07
3.340566000000E+03	6.688063E-07
3.398887000000E+03	5.492289E-07
3.457208000000E+03	6.805440E-07
3.515530000000E+03	7.398770E-07
3.573851000000E+03	7.418168E-07
3.632173000000E+03	6.202724E-07
3.690494000000E+03	6.689343E-07
3.748815000000E+03	6.088572E-07
3.807137000000E+03	6.999869E-07
3.865458000000E+03	7.374463E-07
3.923779000000E+03	6.923329E-07
3.982101000000E+03	7.533617E-07
4.040422000000E+03	7.560404E-07
4.098744000000E+03	7.318696E-07
4.157065000000E+03	8.816982E-07
4.215386000000E+03	8.316081E-07
4.273708000000E+03	7.402246E-07
4.332029000000E+03	6.247981E-07
4.390350000000E+03	7.644482E-07
4.448672000000E+03	7.364939E-07
4.506993000000E+03	7.531169E-07
4.565315000000E+03	5.287818E-07
4.623636000000E+03	6.571066E-07
4.681957000000E+03	8.027228E-07
4.740279000000E+03	7.119429E-07
4.798600000000E+03	5.819344E-07
4.799600000000E+03	5.418121E-07
4.953131000000E+03	5.763563E-07
5.106663000000E+03	6.491209E-07
5.260194000000E+03	7.664584E-07
5.413725000000E+03	6.517354E-07
5.567257000000E+03	5.441698E-07
5.720788000000E+03	5.946849E-07
5.874320000000E+03	4.795085E-07
6.027851000000E+03	5.283333E-07
6.181382000000E+03	5.244401E-07
6.334914000000E+03	4.599496E-07
6.488445000000E+03	4.967150E-07
6.641976000000E+03	4.544979E-07
6.795508000000E+03	5.670456E-07
6.949039000000E+03	4.697805E-07
7.102571000000E+03	4.043255E-07
7.256102000000E+03	3.952549E-07
7.409633000000E+03	4.511428E-07
7.563165000000E+03	4.456792E-07
7.716696000000E+03	4.859542E-07
7.870227000000E+03	5.510967E-07
8.023759000000E+03	5.491883E-07
8.177290000000E+03	5.278669E-07
8.330822000000E+03	4.260238E-07
8.484353000000E+03	3.697889E-07
8.637884000000E+03	3.873067E-07
8.791416000000E+03	4.780636E-07
8.944947000000E+03	5.984432E-07
9.098478000000E+03	6.846610E-07
9.252010000000E+03	5.532009E-07
9.405541000000E+03	3.999681E-07
9.559073000000E+03	3.616528E-07
9.712604000000E+03	5.369997E-07
9.866135000000E+03	5.600297E-07
1.001966700000E+04	4.916643E-07
1.017319800000E+04	4.503964E-07
1.032672900000E+04	4.638283E-07
1.048026100000E+04	4.488637E-07
1.063379200000E+04	3.768486E-07
1.078732400000E+04	4.624518E-07
1.094085500000E+04	3.669495E-07
1.109438600000E+04	4.471458E-07
1.124791800000E+04	4.915142E-07
1.140144900000E+04	4.625870E-07
1.155498000000E+04	3.597721E-07
1.170851200000E+04	3.250749E-07
1.186204300000E+04	3.767072E-07
1.201557500000E+04	4.296474E-07
1.216910600000E+04	4.270107E-07
1.232263700000E+04	4.061574E-07
1.247616900000E+04	4.356246E-07
1.262970000000E+04	4.085525E-07
1.263070000000E+04	4.008371E-07
1.303482200000E+04	3.759480E-07
1.343894300000E+04	4.125687E-07
1.384306500000E+04	3.875244E-07
1.424718600000E+04	4.005703E-07
1.465130800000E+04	3.658641E-07
1.505542900000E+04	3.781593E-07
1.545955100000E+04	4.499378E-07
1.586367300000E+04	4.552805E-07
1.626779400000E+04	3.996805E-07
1.667191600000E+04	3.358517E-07
1.707603700000E+04	3.056771E-07
1.748015900000E+04	2.720896E-07
1.788428000000E+04	3.719708E-07
1.828840200000E+04	3.431211E-07
1.869252400000E+04	2.959217E-07
1.909664500000E+04	3.718808E-07
1.950076700000E+04	3.861890E-07
1.990488800000E+04	3.603758E-07
2.030901000000E+04	4.043171E-07
2.071313100000E+04	4.687494E-07
2.111725300000E+04	5.013157E-07
2.152137500000E+04	5.153110E-07
2.192549600000E+04	3.928089E-07
2.232961800000E+04	3.185389E-07
2.273373900000E+04	3.077448E-07
2.313786100000E+04	3.195051E-07
2.354198200000E+04	2.613394E-07
2.394610400000E+04	2.852449E-07
2.435022500000E+04	3.262714E-07
2.475434700000E+04	3.393160E-07
2.515846900000E+04	3.235054E-07
2.556259000000E+04	2.906084E-07
2.596671200000E+04	2.897657E-07
2.637083300000E+04	2.578575E-07
2.677495500000E+04	2.417748E-07
2.717907600000E+04	2.423965E-07
2.758319800000E+04	2.551460E-07
2.798732000000E+04	2.923380E-07
2.839144100000E+04	2.540632E-07
2.879556300000E+04	2.800358E-07
2.919968400000E+04	3.038794E-07
2.960380600000E+04	3.697971E-07
3.000792700000E+04	3.473328E-07
3.041204900000E+04	2.880431E-07
3.081617100000E+04	2.618792E-07
3.122029200000E+04	2.727705E-07
3.162441400000E+04	3.105931E-07
3.202853500000E+04	3.105550E-07
3.243265700000E+04	2.755775E-07
3.283677800000E+04	2.705719E-07
3.324090000000E+04	2.900003E-07
3.324190000000E+04	2.341113E-07
3.430555900000E+04	2.318020E-07
3.536921800000E+04	2.544992E-07
3.643287600000E+04	3.130824E-07
3.749653500000E+04	2.812958E-07
3.856019400000E+04	2.670517E-07
3.962385300000E+04	2.336754E-07
4.068751200000E+04	2.488314E-07
4.175117100000E+04	2.368055E-07
4.281482900000E+04	2.774730E-07
4.387848800000E+04	2.650390E-07
4.494214700000E+04	2.059046E-07
4.600580600000E+04	1.953811E-07
4.706946500000E+04	2.208445E-07
4.813312400000E+04	2.639839E-07
4.919678200000E+04	2.649120E-07
5.026044100000E+04	2.616519E-07
5.132410000000E+04	2.517616E-07
5.238775900000E+04	2.295136E-07
5.345141800000E+04	2.026257E-07
5.451507600000E+04	2.241763E-07
5.557873500000E+04	2.397143E-07
5.664239400000E+04	2.323652E-07
5.770605300000E+04	1.974584E-07
5.876971200000E+04	1.814819E-07
5.983337100000E+04	2.268094E-07
6.089702900000E+04	2.380477E-07
6.196068800000E+04	2.284659E-07
6.302434700000E+04	2.277054E-07
6.408800600000E+04	2.030956E-07
6.515166500000E+04	1.729168E-07
6.621532400000E+04	1.544725E-07
6.727898200000E+04	1.389580E-07
6.834264100000E+04	1.153034E-07
6.940630000000E+04	1.222923E-07
7.046995900000E+04	1.431928E-07
7.153361800000E+04	1.775910E-07
7.259727600000E+04	1.675843E-07
7.366093500000E+04	1.640947E-07
7.472459400000E+04	1.983392E-07
7.578825300000E+04	2.017228E-07
7.685191200000E+04	1.751181E-07
7.791557100000E+04	1.910813E-07
7.897922900000E+04	2.162523E-07
8.004288800000E+04	2.177914E-07
8.110654700000E+04	2.078802E-07
8.217020600000E+04	2.045686E-07
8.323386500000E+04	1.917153E-07
8.429752400000E+04	1.941517E-07
8.536118200000E+04	1.977496E-07
8.642484100000E+04	2.057782E-07
8.748850000000E+04	1.954097E-07
8.748950000000E+04	1.367264E-07
9.028903900000E+04	1.533336E-07
9.308857800000E+04	1.639070E-07
9.588811800000E+04	1.556621E-07
9.868765700000E+04	1.600972E-07
1.014871960000E+05	1.665353E-07
1.042867350000E+05	1.687823E-07
1.070862750000E+05	1.499427E-07
1.098858140000E+05	1.499947E-07
1.126853530000E+05	1.539154E-07
1.154848920000E+05	1.612190E-07
1.182844310000E+05	1.753953E-07
1.210839710000E+05	1.781129E-07
1.238835100000E+05	1.741231E-07
1.266830490000E+05	1.797476E-07
1.294825880000E+05	1.767782E-07
1.322821270000E+05	1.612197E-07
1.350816670000E+05	1.600657E-07
1.378812060000E+05	1.444822E-07
1.406807450000E+05	1.462205E-07
