"Frequency"	"Magnitude"
1.010000000000E+02	2.018310E-07
1.041800000000E+02	2.394561E-07
1.073610000000E+02	2.474350E-07
1.105410000000E+02	2.283241E-07
1.137210000000E+02	1.930434E-07
1.169020000000E+02	1.640424E-07
1.200820000000E+02	1.464883E-07
1.232620000000E+02	1.448199E-07
1.264430000000E+02	1.756051E-07
1.296230000000E+02	1.845033E-07
1.328030000000E+02	1.727611E-07
1.359830000000E+02	1.380187E-07
1.391640000000E+02	1.300755E-07
1.423440000000E+02	1.375366E-07
1.455240000000E+02	1.212031E-07
1.487050000000E+02	1.107794E-07
1.518850000000E+02	1.250351E-07
1.550650000000E+02	1.444488E-07
1.582460000000E+02	1.412676E-07
1.614260000000E+02	1.695139E-07
1.646060000000E+02	1.632447E-07
1.677870000000E+02	1.446895E-07
1.709670000000E+02	1.448960E-07
1.741470000000E+02	1.364676E-07
1.773280000000E+02	1.398587E-07
1.805080000000E+02	1.421067E-07
1.836880000000E+02	1.155425E-07
1.868680000000E+02	1.204282E-07
1.900490000000E+02	1.527474E-07
1.932290000000E+02	1.434387E-07
1.964090000000E+02	1.352351E-07
1.995900000000E+02	1.294287E-07
2.027700000000E+02	1.148360E-07
2.059500000000E+02	8.634981E-08
2.091310000000E+02	9.327829E-08
2.123110000000E+02	1.143272E-07
2.154910000000E+02	1.209357E-07
2.186720000000E+02	1.095770E-07
2.218520000000E+02	9.490346E-08
2.250320000000E+02	9.160896E-08
2.282130000000E+02	9.404031E-08
2.313930000000E+02	1.168551E-07
2.345730000000E+02	1.195002E-07
2.377530000000E+02	1.088290E-07
2.409340000000E+02	1.019886E-07
2.441140000000E+02	8.659593E-08
2.472940000000E+02	9.783286E-08
2.504750000000E+02	1.073675E-07
2.536550000000E+02	9.499853E-08
2.568350000000E+02	9.371166E-08
2.600160000000E+02	8.473666E-08
2.631960000000E+02	7.071808E-08
2.641960000000E+02	7.192581E-08
2.725980000000E+02	8.128270E-08
2.810010000000E+02	9.200357E-08
2.894030000000E+02	1.015857E-07
2.978060000000E+02	1.019310E-07
3.062080000000E+02	9.764729E-08
3.146110000000E+02	9.306311E-08
3.230130000000E+02	9.205142E-08
3.314150000000E+02	8.565603E-08
3.398180000000E+02	8.390489E-08
3.482200000000E+02	7.907805E-08
3.566230000000E+02	7.258206E-08
3.650250000000E+02	7.415882E-08
3.734280000000E+02	7.696762E-08
3.818300000000E+02	8.062502E-08
3.902320000000E+02	8.120703E-08
3.986350000000E+02	7.150015E-08
4.070370000000E+02	6.960700E-08
4.154400000000E+02	6.540971E-08
4.238420000000E+02	5.648979E-08
4.322450000000E+02	6.611996E-08
4.406470000000E+02	8.110097E-08
4.490490000000E+02	7.560259E-08
4.574520000000E+02	7.027413E-08
4.658540000000E+02	7.233606E-08
4.742570000000E+02	7.520734E-08
4.826590000000E+02	7.911916E-08
4.910620000000E+02	7.798607E-08
4.994640000000E+02	7.122418E-08
5.078670000000E+02	5.090384E-08
5.162690000000E+02	4.550196E-08
5.246710000000E+02	4.702646E-08
5.330740000000E+02	5.237717E-08
5.414760000000E+02	5.023384E-08
5.498790000000E+02	6.065309E-08
5.582810000000E+02	6.599567E-08
5.666840000000E+02	6.701884E-08
5.750860000000E+02	6.893411E-08
5.834880000000E+02	6.645220E-08
5.918910000000E+02	6.450657E-08
6.002930000000E+02	6.215675E-08
6.086960000000E+02	5.801341E-08
6.170980000000E+02	5.687951E-08
6.255010000000E+02	5.586422E-08
6.339030000000E+02	4.915167E-08
6.423050000000E+02	3.974313E-08
6.507080000000E+02	4.162599E-08
6.591100000000E+02	4.677664E-08
6.675130000000E+02	5.548738E-08
6.759150000000E+02	5.692133E-08
6.843180000000E+02	6.738711E-08
6.927200000000E+02	7.162072E-08
6.937200000000E+02	5.715079E-08
7.158670000000E+02	4.949259E-08
7.380140000000E+02	5.739110E-08
7.601610000000E+02	3.685178E-08
7.823070000000E+02	3.256667E-08
8.044540000000E+02	4.353777E-08
8.266010000000E+02	4.918140E-08
8.487480000000E+02	5.641588E-08
8.708950000000E+02	5.071983E-08
8.930420000000E+02	4.182442E-08
9.151890000000E+02	3.765361E-08
9.373350000000E+02	4.314423E-08
9.594820000000E+02	4.357961E-08
9.816290000000E+02	4.265618E-08
1.003776000000E+03	4.216051E-08
1.025923000000E+03	3.827918E-08
1.048070000000E+03	3.354365E-08
1.070217000000E+03	3.366594E-08
1.092364000000E+03	4.473447E-08
1.114510000000E+03	3.323997E-08
1.136657000000E+03	3.431806E-08
1.158804000000E+03	3.682316E-08
1.180951000000E+03	5.003333E-08
1.203098000000E+03	4.503068E-08
1.225245000000E+03	2.971755E-08
1.247392000000E+03	3.602326E-08
1.269538000000E+03	3.550869E-08
1.291685000000E+03	3.529649E-08
1.313832000000E+03	3.847510E-08
1.335979000000E+03	3.809804E-08
1.358126000000E+03	4.253897E-08
1.380273000000E+03	4.079929E-08
1.402420000000E+03	4.872096E-08
1.424566000000E+03	4.266802E-08
1.446713000000E+03	3.315933E-08
1.468860000000E+03	3.624735E-08
1.491007000000E+03	4.043020E-08
1.513154000000E+03	3.910727E-08
1.535301000000E+03	4.967140E-08
1.557448000000E+03	5.641859E-08
1.579595000000E+03	4.232119E-08
1.601741000000E+03	3.182098E-08
1.623888000000E+03	3.788208E-08
1.646035000000E+03	3.828661E-08
1.668182000000E+03	4.226457E-08
1.690329000000E+03	4.085358E-08
1.712476000000E+03	3.462934E-08
1.734623000000E+03	4.687520E-08
1.756769000000E+03	4.362648E-08
1.778916000000E+03	4.800002E-08
1.801063000000E+03	4.693993E-08
1.823210000000E+03	4.513916E-08
1.824210000000E+03	2.964893E-08
1.882531000000E+03	3.213800E-08
1.940853000000E+03	3.555239E-08
1.999174000000E+03	3.543171E-08
2.057495000000E+03	3.045473E-08
2.115817000000E+03	3.464106E-08
2.174138000000E+03	5.115910E-08
2.232460000000E+03	4.365433E-08
2.290781000000E+03	3.743723E-08
2.349102000000E+03	4.543796E-08
2.407424000000E+03	5.079565E-08
2.465745000000E+03	5.197721E-08
2.524066000000E+03	4.054970E-08
2.582388000000E+03	2.739383E-08
2.640709000000E+03	2.887069E-08
2.699031000000E+03	3.266456E-08
2.757352000000E+03	3.817245E-08
2.815673000000E+03	3.411622E-08
2.873995000000E+03	3.605322E-08
2.932316000000E+03	4.018622E-08
2.990637000000E+03	4.265441E-08
3.048959000000E+03	3.675539E-08
3.107280000000E+03	3.913932E-08
3.165602000000E+03	2.898292E-08
3.223923000000E+03	2.069550E-08
3.282244000000E+03	2.390757E-08
3.340566000000E+03	2.533127E-08
3.398887000000E+03	3.060926E-08
3.457208000000E+03	3.684125E-08
3.515530000000E+03	2.921080E-08
3.573851000000E+03	2.797851E-08
3.632173000000E+03	3.337426E-08
3.690494000000E+03	3.160140E-08
3.748815000000E+03	3.281048E-08
3.807137000000E+03	3.834357E-08
3.865458000000E+03	3.697979E-08
3.923779000000E+03	2.505448E-08
3.982101000000E+03	1.996118E-08
4.040422000000E+03	2.814397E-08
4.098744000000E+03	3.298969E-08
4.157065000000E+03	2.782184E-08
4.215386000000E+03	3.184973E-08
4.273708000000E+03	3.902738E-08
4.332029000000E+03	3.009443E-08
4.390350000000E+03	2.713904E-08
4.448672000000E+03	3.269432E-08
4.506993000000E+03	2.553077E-08
4.565315000000E+03	2.319562E-08
4.623636000000E+03	2.929105E-08
4.681957000000E+03	2.853076E-08
4.740279000000E+03	3.320227E-08
4.798600000000E+03	2.939103E-08
4.799600000000E+03	2.824212E-08
4.953131000000E+03	3.283477E-08
