"Frequency"	"Magnitude"
1.010000000000E+02	1.833918E-06
1.041800000000E+02	2.610104E-06
1.073610000000E+02	3.845502E-06
1.105410000000E+02	3.827589E-06
1.137210000000E+02	3.647100E-06
1.169020000000E+02	2.093387E-06
1.200820000000E+02	1.460217E-06
1.232620000000E+02	1.291162E-06
1.264430000000E+02	1.343244E-06
1.296230000000E+02	1.676935E-06
1.328030000000E+02	1.664802E-06
1.359830000000E+02	1.742385E-06
1.391640000000E+02	1.671457E-06
1.423440000000E+02	1.791873E-06
1.455240000000E+02	3.280751E-06
1.487050000000E+02	4.459246E-06
1.518850000000E+02	4.531083E-06
1.550650000000E+02	4.128083E-06
1.582460000000E+02	2.151826E-06
1.614260000000E+02	1.520780E-06
1.646060000000E+02	1.479027E-06
1.677870000000E+02	1.393760E-06
1.709670000000E+02	1.492449E-06
1.741470000000E+02	1.539922E-06
1.773280000000E+02	1.496701E-06
1.805080000000E+02	1.529873E-06
1.836880000000E+02	1.593065E-06
1.868680000000E+02	1.607874E-06
1.900490000000E+02	1.638647E-06
1.932290000000E+02	1.856812E-06
1.964090000000E+02	1.843212E-06
1.995900000000E+02	1.730633E-06
2.027700000000E+02	1.619379E-06
2.059500000000E+02	1.425971E-06
2.091310000000E+02	1.205857E-06
2.123110000000E+02	1.162269E-06
2.154910000000E+02	1.486250E-06
2.186720000000E+02	1.691556E-06
2.218520000000E+02	1.398133E-06
2.250320000000E+02	1.266138E-06
2.282130000000E+02	1.117946E-06
2.313930000000E+02	1.212522E-06
2.345730000000E+02	1.420905E-06
2.377530000000E+02	1.444073E-06
2.409340000000E+02	1.231964E-06
2.441140000000E+02	1.179960E-06
2.472940000000E+02	1.356663E-06
2.504750000000E+02	1.481992E-06
2.536550000000E+02	1.459858E-06
2.568350000000E+02	1.587456E-06
2.600160000000E+02	1.552520E-06
2.631960000000E+02	1.492514E-06
2.641960000000E+02	1.336927E-06
2.725980000000E+02	1.357996E-06
2.810010000000E+02	1.352070E-06
2.894030000000E+02	1.256669E-06
2.978060000000E+02	1.236289E-06
3.062080000000E+02	1.142735E-06
3.146110000000E+02	1.145453E-06
3.230130000000E+02	1.416800E-06
3.314150000000E+02	1.486826E-06
3.398180000000E+02	1.342195E-06
3.482200000000E+02	1.212909E-06
3.566230000000E+02	1.013054E-06
3.650250000000E+02	9.566456E-07
3.734280000000E+02	9.239246E-07
3.818300000000E+02	9.266821E-07
3.902320000000E+02	1.021502E-06
3.986350000000E+02	9.745519E-07
4.070370000000E+02	8.341636E-07
4.154400000000E+02	7.611314E-07
4.238420000000E+02	8.183273E-07
4.322450000000E+02	9.091837E-07
4.406470000000E+02	1.043604E-06
4.490490000000E+02	1.072147E-06
4.574520000000E+02	1.021441E-06
4.658540000000E+02	8.243856E-07
4.742570000000E+02	7.880390E-07
4.826590000000E+02	7.846463E-07
4.910620000000E+02	9.597678E-07
4.994640000000E+02	1.173483E-06
5.078670000000E+02	1.423658E-06
5.162690000000E+02	1.436123E-06
5.246710000000E+02	1.363583E-06
5.330740000000E+02	1.121254E-06
5.414760000000E+02	1.096549E-06
5.498790000000E+02	1.090865E-06
5.582810000000E+02	1.082904E-06
5.666840000000E+02	1.075652E-06
5.750860000000E+02	9.202640E-07
5.834880000000E+02	8.090726E-07
5.918910000000E+02	7.844087E-07
6.002930000000E+02	8.101782E-07
6.086960000000E+02	7.673568E-07
6.170980000000E+02	8.285529E-07
6.255010000000E+02	8.691849E-07
6.339030000000E+02	8.729177E-07
6.423050000000E+02	9.969702E-07
6.507080000000E+02	1.048003E-06
6.591100000000E+02	1.052562E-06
6.675130000000E+02	1.134048E-06
6.759150000000E+02	1.118847E-06
6.843180000000E+02	9.127479E-07
6.927200000000E+02	8.525414E-07
6.937200000000E+02	7.301380E-07
7.158670000000E+02	5.341647E-07
7.380140000000E+02	6.301083E-07
7.601610000000E+02	6.993228E-07
7.823070000000E+02	9.523887E-07
8.044540000000E+02	6.648817E-07
8.266010000000E+02	6.724225E-07
8.487480000000E+02	8.823819E-07
8.708950000000E+02	8.228408E-07
8.930420000000E+02	6.751666E-07
9.151890000000E+02	5.666292E-07
9.373350000000E+02	7.779781E-07
9.594820000000E+02	9.322519E-07
9.816290000000E+02	7.354272E-07
1.003776000000E+03	8.942877E-07
1.025923000000E+03	9.119566E-07
1.048070000000E+03	7.931163E-07
1.070217000000E+03	8.211241E-07
1.092364000000E+03	6.490534E-07
1.114510000000E+03	5.210798E-07
1.136657000000E+03	4.918186E-07
1.158804000000E+03	6.100317E-07
1.180951000000E+03	6.140723E-07
1.203098000000E+03	5.092382E-07
1.225245000000E+03	5.953235E-07
1.247392000000E+03	6.588363E-07
1.269538000000E+03	5.174855E-07
1.291685000000E+03	6.395539E-07
1.313832000000E+03	6.335231E-07
1.335979000000E+03	6.202091E-07
1.358126000000E+03	7.660110E-07
1.380273000000E+03	6.287214E-07
1.402420000000E+03	5.369319E-07
1.424566000000E+03	4.560539E-07
1.446713000000E+03	6.510641E-07
1.468860000000E+03	6.916864E-07
1.491007000000E+03	5.187534E-07
1.513154000000E+03	4.707837E-07
1.535301000000E+03	4.383007E-07
1.557448000000E+03	5.736349E-07
1.579595000000E+03	5.617891E-07
1.601741000000E+03	4.199709E-07
1.623888000000E+03	5.375454E-07
1.646035000000E+03	6.609393E-07
1.668182000000E+03	6.310003E-07
1.690329000000E+03	6.563728E-07
1.712476000000E+03	5.972884E-07
1.734623000000E+03	6.908144E-07
1.756769000000E+03	5.433819E-07
1.778916000000E+03	4.018835E-07
1.801063000000E+03	3.708618E-07
1.823210000000E+03	5.484977E-07
1.824210000000E+03	6.218079E-07
1.882531000000E+03	5.655884E-07
1.940853000000E+03	5.919174E-07
1.999174000000E+03	6.449287E-07
2.057495000000E+03	4.752427E-07
2.115817000000E+03	4.194180E-07
2.174138000000E+03	3.676776E-07
2.232460000000E+03	3.864762E-07
2.290781000000E+03	4.232018E-07
2.349102000000E+03	5.538110E-07
2.407424000000E+03	5.182193E-07
2.465745000000E+03	4.493073E-07
2.524066000000E+03	4.887823E-07
2.582388000000E+03	5.864356E-07
2.640709000000E+03	5.184569E-07
2.699031000000E+03	4.507848E-07
2.757352000000E+03	4.158592E-07
2.815673000000E+03	3.246208E-07
2.873995000000E+03	3.125683E-07
2.932316000000E+03	3.467106E-07
2.990637000000E+03	3.811954E-07
3.048959000000E+03	5.039458E-07
3.107280000000E+03	4.691669E-07
3.165602000000E+03	3.777004E-07
3.223923000000E+03	2.980521E-07
3.282244000000E+03	3.059685E-07
3.340566000000E+03	2.997987E-07
3.398887000000E+03	4.079397E-07
3.457208000000E+03	5.194311E-07
3.515530000000E+03	4.429276E-07
3.573851000000E+03	4.324190E-07
3.632173000000E+03	3.841703E-07
3.690494000000E+03	4.209323E-07
3.748815000000E+03	3.862681E-07
3.807137000000E+03	3.668146E-07
3.865458000000E+03	3.259689E-07
3.923779000000E+03	3.112829E-07
3.982101000000E+03	3.599225E-07
4.040422000000E+03	3.870799E-07
4.098744000000E+03	3.282138E-07
4.157065000000E+03	3.296028E-07
4.215386000000E+03	2.586889E-07
4.273708000000E+03	2.278265E-07
4.332029000000E+03	3.000400E-07
4.390350000000E+03	3.359690E-07
4.448672000000E+03	3.175016E-07
4.506993000000E+03	3.205625E-07
4.565315000000E+03	3.221752E-07
4.623636000000E+03	3.593411E-07
4.681957000000E+03	3.100446E-07
4.740279000000E+03	3.218196E-07
4.798600000000E+03	2.375749E-07
4.799600000000E+03	3.371273E-07
4.953131000000E+03	3.482539E-07
5.106663000000E+03	3.372198E-07
5.260194000000E+03	3.157047E-07
5.413725000000E+03	2.819101E-07
5.567257000000E+03	3.134763E-07
5.720788000000E+03	3.319010E-07
5.874320000000E+03	2.953409E-07
6.027851000000E+03	1.927481E-07
6.181382000000E+03	1.785574E-07
6.334914000000E+03	2.878015E-07
6.488445000000E+03	3.059845E-07
6.641976000000E+03	2.928323E-07
6.795508000000E+03	3.079660E-07
6.949039000000E+03	3.174804E-07
7.102571000000E+03	2.519850E-07
7.256102000000E+03	2.671377E-07
7.409633000000E+03	2.322350E-07
7.563165000000E+03	1.808837E-07
7.716696000000E+03	2.168325E-07
7.870227000000E+03	1.929156E-07
8.023759000000E+03	1.775456E-07
8.177290000000E+03	2.172498E-07
8.330822000000E+03	1.806436E-07
8.484353000000E+03	2.110268E-07
8.637884000000E+03	2.031521E-07
8.791416000000E+03	2.658193E-07
8.944947000000E+03	2.510157E-07
9.098478000000E+03	2.060830E-07
9.252010000000E+03	2.157954E-07
9.405541000000E+03	2.200748E-07
9.559073000000E+03	2.735581E-07
9.712604000000E+03	2.599362E-07
9.866135000000E+03	2.351189E-07
1.001966700000E+04	2.702964E-07
1.017319800000E+04	2.337660E-07
1.032672900000E+04	2.248125E-07
1.048026100000E+04	2.270617E-07
1.063379200000E+04	2.083831E-07
1.078732400000E+04	2.095714E-07
1.094085500000E+04	2.246384E-07
1.109438600000E+04	2.327464E-07
1.124791800000E+04	1.877891E-07
1.140144900000E+04	2.217134E-07
1.155498000000E+04	1.919002E-07
1.170851200000E+04	2.401760E-07
1.186204300000E+04	1.893597E-07
1.201557500000E+04	1.704347E-07
1.216910600000E+04	2.475884E-07
1.232263700000E+04	3.055944E-07
1.247616900000E+04	2.644464E-07
1.262970000000E+04	1.701585E-07
1.263070000000E+04	1.993890E-07
1.303482200000E+04	1.955191E-07
1.343894300000E+04	1.931244E-07
1.384306500000E+04	1.955518E-07
1.424718600000E+04	1.987435E-07
1.465130800000E+04	2.046660E-07
1.505542900000E+04	2.085625E-07
1.545955100000E+04	1.738696E-07
1.586367300000E+04	1.363629E-07
1.626779400000E+04	1.377138E-07
1.667191600000E+04	1.558994E-07
1.707603700000E+04	1.693771E-07
1.748015900000E+04	1.732601E-07
1.788428000000E+04	1.474708E-07
1.828840200000E+04	1.489154E-07
1.869252400000E+04	1.744094E-07
1.909664500000E+04	2.056699E-07
1.950076700000E+04	1.957974E-07
1.990488800000E+04	1.782352E-07
2.030901000000E+04	1.800633E-07
2.071313100000E+04	1.629971E-07
2.111725300000E+04	1.383667E-07
2.152137500000E+04	1.448187E-07
2.192549600000E+04	1.426696E-07
2.232961800000E+04	1.114115E-07
2.273373900000E+04	1.415496E-07
2.313786100000E+04	1.599025E-07
2.354198200000E+04	1.342776E-07
2.394610400000E+04	1.400799E-07
2.435022500000E+04	1.575274E-07
2.475434700000E+04	1.709479E-07
2.515846900000E+04	1.712274E-07
2.556259000000E+04	1.563924E-07
2.596671200000E+04	1.249240E-07
2.637083300000E+04	1.189609E-07
2.677495500000E+04	1.309329E-07
2.717907600000E+04	1.462435E-07
2.758319800000E+04	1.326849E-07
2.798732000000E+04	1.206994E-07
2.839144100000E+04	1.367180E-07
2.879556300000E+04	1.605106E-07
2.919968400000E+04	1.783186E-07
2.960380600000E+04	1.767717E-07
3.000792700000E+04	1.477820E-07
3.041204900000E+04	1.105679E-07
3.081617100000E+04	1.471462E-07
3.122029200000E+04	1.666065E-07
3.162441400000E+04	1.614727E-07
3.202853500000E+04	1.516998E-07
3.243265700000E+04	1.430746E-07
3.283677800000E+04	1.411001E-07
3.324090000000E+04	1.180652E-07
3.324190000000E+04	1.582742E-07
3.430555900000E+04	1.626093E-07
