"Frequency"	"Magnitude"
1.010000000000E+02	3.607792E+01
1.041800000000E+02	3.605688E+01
1.073610000000E+02	3.614518E+01
1.105410000000E+02	3.617411E+01
1.137210000000E+02	3.614181E+01
1.169020000000E+02	3.618012E+01
1.200820000000E+02	3.619270E+01
1.232620000000E+02	3.622869E+01
1.264430000000E+02	3.617662E+01
1.296230000000E+02	3.623121E+01
1.328030000000E+02	3.620784E+01
1.359830000000E+02	3.624188E+01
1.391640000000E+02	3.626681E+01
1.423440000000E+02	3.624479E+01
1.455240000000E+02	3.629764E+01
1.487050000000E+02	3.629528E+01
1.518850000000E+02	3.631121E+01
1.550650000000E+02	3.630558E+01
1.582460000000E+02	3.630350E+01
1.614260000000E+02	3.632992E+01
1.646060000000E+02	3.633323E+01
1.677870000000E+02	3.630855E+01
1.709670000000E+02	3.632376E+01
1.741470000000E+02	3.633798E+01
1.773280000000E+02	3.635107E+01
1.805080000000E+02	3.633054E+01
1.836880000000E+02	3.636029E+01
1.868680000000E+02	3.637128E+01
1.900490000000E+02	3.635668E+01
1.932290000000E+02	3.635509E+01
1.964090000000E+02	3.636742E+01
1.995900000000E+02	3.639216E+01
2.027700000000E+02	3.637689E+01
2.059500000000E+02	3.639105E+01
2.091310000000E+02	3.638196E+01
2.123110000000E+02	3.639835E+01
2.154910000000E+02	3.639488E+01
2.186720000000E+02	3.639070E+01
2.218520000000E+02	3.639379E+01
2.250320000000E+02	3.640304E+01
2.282130000000E+02	3.641294E+01
2.313930000000E+02	3.641954E+01
2.345730000000E+02	3.641004E+01
2.377530000000E+02	3.640765E+01
2.409340000000E+02	3.642127E+01
2.441140000000E+02	3.645470E+01
2.472940000000E+02	3.638542E+01
2.504750000000E+02	3.641996E+01
2.536550000000E+02	3.640915E+01
2.568350000000E+02	3.642253E+01
2.600160000000E+02	3.643018E+01
2.631960000000E+02	3.642812E+01
2.641960000000E+02	3.642076E+01
2.725980000000E+02	3.643061E+01
2.810010000000E+02	3.646312E+01
2.894030000000E+02	3.640264E+01
2.978060000000E+02	3.644208E+01
3.062080000000E+02	3.647421E+01
3.146110000000E+02	3.645769E+01
3.230130000000E+02	3.643978E+01
3.314150000000E+02	3.644517E+01
3.398180000000E+02	3.646505E+01
3.482200000000E+02	3.645509E+01
3.566230000000E+02	3.645594E+01
3.650250000000E+02	3.644439E+01
3.734280000000E+02	3.645845E+01
3.818300000000E+02	3.648906E+01
3.902320000000E+02	3.645581E+01
3.986350000000E+02	3.648254E+01
4.070370000000E+02	3.646856E+01
4.154400000000E+02	3.647720E+01
4.238420000000E+02	3.647801E+01
4.322450000000E+02	3.646968E+01
4.406470000000E+02	3.646415E+01
4.490490000000E+02	3.647358E+01
4.574520000000E+02	3.648314E+01
4.658540000000E+02	3.650540E+01
4.742570000000E+02	3.648008E+01
4.826590000000E+02	3.648638E+01
4.910620000000E+02	3.646690E+01
4.994640000000E+02	3.646585E+01
5.078670000000E+02	3.646165E+01
5.162690000000E+02	3.646095E+01
5.246710000000E+02	3.647147E+01
5.330740000000E+02	3.646113E+01
5.414760000000E+02	3.646080E+01
5.498790000000E+02	3.649922E+01
5.582810000000E+02	3.645130E+01
5.666840000000E+02	3.648609E+01
5.750860000000E+02	3.651566E+01
5.834880000000E+02	3.645207E+01
5.918910000000E+02	3.647218E+01
6.002930000000E+02	3.647697E+01
6.086960000000E+02	3.647040E+01
6.170980000000E+02	3.649403E+01
6.255010000000E+02	3.646088E+01
6.339030000000E+02	3.650682E+01
6.423050000000E+02	3.646925E+01
6.507080000000E+02	3.649002E+01
6.591100000000E+02	3.646920E+01
6.675130000000E+02	3.648542E+01
6.759150000000E+02	3.644551E+01
6.843180000000E+02	3.648601E+01
6.927200000000E+02	3.648689E+01
6.937200000000E+02	3.649557E+01
7.158670000000E+02	3.648254E+01
7.380140000000E+02	3.649045E+01
7.601610000000E+02	3.650991E+01
7.823070000000E+02	3.648356E+01
8.044540000000E+02	3.649875E+01
8.266010000000E+02	3.647718E+01
8.487480000000E+02	3.645355E+01
8.708950000000E+02	3.648264E+01
8.930420000000E+02	3.649377E+01
9.151890000000E+02	3.649574E+01
9.373350000000E+02	3.650182E+01
9.594820000000E+02	3.644326E+01
9.816290000000E+02	3.649689E+01
1.003776000000E+03	3.648588E+01
1.025923000000E+03	3.650098E+01
1.048070000000E+03	3.650287E+01
1.070217000000E+03	3.650190E+01
1.092364000000E+03	3.649987E+01
1.114510000000E+03	3.647102E+01
1.136657000000E+03	3.650470E+01
1.158804000000E+03	3.650841E+01
1.180951000000E+03	3.651207E+01
1.203098000000E+03	3.648805E+01
1.225245000000E+03	3.649186E+01
1.247392000000E+03	3.649671E+01
1.269538000000E+03	3.649478E+01
1.291685000000E+03	3.649259E+01
1.313832000000E+03	3.652971E+01
1.335979000000E+03	3.646728E+01
1.358126000000E+03	3.648980E+01
1.380273000000E+03	3.651785E+01
1.402420000000E+03	3.647987E+01
1.424566000000E+03	3.647428E+01
1.446713000000E+03	3.648559E+01
1.468860000000E+03	3.648536E+01
1.491007000000E+03	3.649356E+01
1.513154000000E+03	3.647021E+01
1.535301000000E+03	3.648127E+01
1.557448000000E+03	3.648938E+01
1.579595000000E+03	3.649781E+01
1.601741000000E+03	3.649732E+01
1.623888000000E+03	3.649025E+01
1.646035000000E+03	3.648507E+01
1.668182000000E+03	3.650230E+01
1.690329000000E+03	3.647966E+01
1.712476000000E+03	3.649477E+01
1.734623000000E+03	3.648878E+01
1.756769000000E+03	3.648650E+01
1.778916000000E+03	3.648128E+01
1.801063000000E+03	3.645985E+01
1.823210000000E+03	3.646193E+01
1.824210000000E+03	3.647171E+01
1.882531000000E+03	3.649325E+01
1.940853000000E+03	3.647614E+01
1.999174000000E+03	3.649021E+01
2.057495000000E+03	3.649991E+01
2.115817000000E+03	3.647285E+01
2.174138000000E+03	3.646939E+01
2.232460000000E+03	3.649520E+01
2.290781000000E+03	3.646936E+01
2.349102000000E+03	3.648102E+01
2.407424000000E+03	3.647107E+01
2.465745000000E+03	3.649455E+01
2.524066000000E+03	3.648692E+01
2.582388000000E+03	3.649333E+01
2.640709000000E+03	3.647885E+01
2.699031000000E+03	3.648925E+01
2.757352000000E+03	3.649280E+01
2.815673000000E+03	3.644921E+01
2.873995000000E+03	3.647944E+01
2.932316000000E+03	3.644864E+01
2.990637000000E+03	3.646539E+01
3.048959000000E+03	3.645381E+01
3.107280000000E+03	3.646796E+01
3.165602000000E+03	3.646685E+01
3.223923000000E+03	3.647601E+01
3.282244000000E+03	3.644910E+01
3.340566000000E+03	3.648106E+01
3.398887000000E+03	3.646684E+01
3.457208000000E+03	3.645719E+01
3.515530000000E+03	3.645574E+01
3.573851000000E+03	3.645874E+01
3.632173000000E+03	3.646376E+01
3.690494000000E+03	3.647086E+01
3.748815000000E+03	3.647235E+01
3.807137000000E+03	3.646324E+01
3.865458000000E+03	3.646075E+01
3.923779000000E+03	3.644092E+01
3.982101000000E+03	3.643990E+01
4.040422000000E+03	3.644954E+01
4.098744000000E+03	3.646980E+01
4.157065000000E+03	3.643481E+01
4.215386000000E+03	3.643888E+01
4.273708000000E+03	3.645765E+01
4.332029000000E+03	3.645866E+01
4.390350000000E+03	3.643937E+01
4.448672000000E+03	3.642819E+01
4.506993000000E+03	3.642665E+01
4.565315000000E+03	3.645916E+01
4.623636000000E+03	3.643223E+01
4.681957000000E+03	3.644645E+01
4.740279000000E+03	3.643070E+01
4.798600000000E+03	3.644038E+01
4.799600000000E+03	3.644447E+01
4.953131000000E+03	3.640833E+01
5.106663000000E+03	3.642102E+01
5.260194000000E+03	3.646719E+01
5.413725000000E+03	3.648387E+01
5.567257000000E+03	3.643217E+01
5.720788000000E+03	3.641594E+01
5.874320000000E+03	3.643165E+01
6.027851000000E+03	3.643874E+01
6.181382000000E+03	3.642712E+01
6.334914000000E+03	3.643212E+01
6.488445000000E+03	3.643465E+01
6.641976000000E+03	3.639542E+01
6.795508000000E+03	3.640460E+01
6.949039000000E+03	3.639344E+01
7.102571000000E+03	3.641175E+01
7.256102000000E+03	3.642747E+01
7.409633000000E+03	3.642141E+01
7.563165000000E+03	3.643767E+01
7.716696000000E+03	3.640454E+01
7.870227000000E+03	3.640304E+01
8.023759000000E+03	3.640247E+01
8.177290000000E+03	3.641471E+01
8.330822000000E+03	3.641774E+01
8.484353000000E+03	3.640957E+01
8.637884000000E+03	3.641008E+01
8.791416000000E+03	3.637648E+01
8.944947000000E+03	3.639373E+01
9.098478000000E+03	3.639785E+01
9.252010000000E+03	3.640807E+01
9.405541000000E+03	3.639985E+01
9.559073000000E+03	3.640133E+01
9.712604000000E+03	3.641866E+01
9.866135000000E+03	3.641366E+01
1.001966700000E+04	3.639986E+01
1.017319800000E+04	3.638867E+01
1.032672900000E+04	3.640041E+01
1.048026100000E+04	3.638725E+01
1.063379200000E+04	3.640871E+01
1.078732400000E+04	3.637813E+01
1.094085500000E+04	3.639656E+01
1.109438600000E+04	3.638838E+01
1.124791800000E+04	3.639456E+01
1.140144900000E+04	3.640390E+01
1.155498000000E+04	3.640131E+01
1.170851200000E+04	3.637635E+01
1.186204300000E+04	3.638508E+01
1.201557500000E+04	3.637809E+01
1.216910600000E+04	3.641120E+01
1.232263700000E+04	3.639645E+01
1.247616900000E+04	3.639200E+01
1.262970000000E+04	3.638278E+01
1.263070000000E+04	3.638049E+01
1.303482200000E+04	3.635268E+01
1.343894300000E+04	3.636883E+01
1.384306500000E+04	3.637807E+01
1.424718600000E+04	3.642152E+01
1.465130800000E+04	3.632617E+01
1.505542900000E+04	3.636472E+01
1.545955100000E+04	3.635652E+01
1.586367300000E+04	3.635361E+01
1.626779400000E+04	3.636245E+01
1.667191600000E+04	3.642493E+01
1.707603700000E+04	3.641328E+01
1.748015900000E+04	3.637978E+01
1.788428000000E+04	3.638450E+01
1.828840200000E+04	3.638416E+01
1.869252400000E+04	3.640207E+01
1.909664500000E+04	3.635005E+01
1.950076700000E+04	3.638763E+01
1.990488800000E+04	3.632664E+01
2.030901000000E+04	3.635863E+01
2.071313100000E+04	3.637257E+01
2.111725300000E+04	3.637527E+01
2.152137500000E+04	3.636276E+01
2.192549600000E+04	3.639088E+01
2.232961800000E+04	3.636757E+01
2.273373900000E+04	3.635692E+01
2.313786100000E+04	3.638820E+01
2.354198200000E+04	3.637003E+01
2.394610400000E+04	3.636919E+01
2.435022500000E+04	3.637434E+01
2.475434700000E+04	3.635087E+01
2.515846900000E+04	3.636842E+01
2.556259000000E+04	3.637677E+01
2.596671200000E+04	3.640241E+01
2.637083300000E+04	3.638285E+01
2.677495500000E+04	3.635202E+01
2.717907600000E+04	3.637333E+01
2.758319800000E+04	3.636008E+01
2.798732000000E+04	3.637109E+01
2.839144100000E+04	3.635564E+01
2.879556300000E+04	3.632294E+01
2.919968400000E+04	3.636568E+01
2.960380600000E+04	3.636694E+01
3.000792700000E+04	3.633311E+01
3.041204900000E+04	3.636750E+01
3.081617100000E+04	3.638668E+01
3.122029200000E+04	3.634097E+01
3.162441400000E+04	3.638553E+01
3.202853500000E+04	3.638863E+01
3.243265700000E+04	3.638305E+01
3.283677800000E+04	3.635225E+01
3.324090000000E+04	3.636612E+01
3.324190000000E+04	3.633492E+01
3.430555900000E+04	3.635455E+01
3.536921800000E+04	3.631130E+01
3.643287600000E+04	3.640191E+01
3.749653500000E+04	3.641861E+01
3.856019400000E+04	3.638779E+01
3.962385300000E+04	3.639213E+01
4.068751200000E+04	3.636614E+01
4.175117100000E+04	3.635572E+01
4.281482900000E+04	3.637238E+01
4.387848800000E+04	3.636494E+01
4.494214700000E+04	3.630996E+01
4.600580600000E+04	3.635832E+01
4.706946500000E+04	3.638746E+01
4.813312400000E+04	3.636629E+01
4.919678200000E+04	3.637479E+01
5.026044100000E+04	3.636303E+01
5.132410000000E+04	3.636477E+01
5.238775900000E+04	3.636565E+01
5.345141800000E+04	3.632464E+01
5.451507600000E+04	3.636696E+01
5.557873500000E+04	3.636291E+01
5.664239400000E+04	3.640566E+01
5.770605300000E+04	3.635856E+01
5.876971200000E+04	3.635013E+01
5.983337100000E+04	3.637093E+01
6.089702900000E+04	3.636361E+01
6.196068800000E+04	3.634715E+01
6.302434700000E+04	3.634883E+01
6.408800600000E+04	3.640285E+01
6.515166500000E+04	3.636926E+01
6.621532400000E+04	3.637411E+01
6.727898200000E+04	3.635623E+01
6.834264100000E+04	3.635835E+01
6.940630000000E+04	3.639081E+01
7.046995900000E+04	3.636577E+01
7.153361800000E+04	3.639269E+01
7.259727600000E+04	3.639637E+01
7.366093500000E+04	3.638976E+01
7.472459400000E+04	3.632682E+01
7.578825300000E+04	3.637188E+01
7.685191200000E+04	3.635880E+01
7.791557100000E+04	3.636395E+01
7.897922900000E+04	3.634358E+01
8.004288800000E+04	3.635471E+01
8.110654700000E+04	3.633004E+01
8.217020600000E+04	3.633334E+01
8.323386500000E+04	3.639865E+01
8.429752400000E+04	3.633837E+01
8.536118200000E+04	3.636996E+01
8.642484100000E+04	3.635384E+01
8.748850000000E+04	3.638211E+01
8.748950000000E+04	3.639061E+01
9.028903900000E+04	3.633737E+01
9.308857800000E+04	3.640063E+01
9.588811800000E+04	3.631923E+01
9.868765700000E+04	3.635476E+01
1.014871960000E+05	3.636938E+01
1.042867350000E+05	3.635513E+01
1.070862750000E+05	3.636068E+01
1.098858140000E+05	3.641924E+01
1.126853530000E+05	3.639980E+01
1.154848920000E+05	3.630089E+01
1.182844310000E+05	3.633801E+01
1.210839710000E+05	3.639944E+01
1.238835100000E+05	3.638114E+01
1.266830490000E+05	3.633016E+01
1.294825880000E+05	3.635216E+01
1.322821270000E+05	3.636636E+01
1.350816670000E+05	3.638136E+01
1.378812060000E+05	3.635763E+01
1.406807450000E+05	3.638167E+01
1.434802840000E+05	3.642644E+01
1.462798240000E+05	3.638007E+01
1.490793630000E+05	3.643445E+01
1.518789020000E+05	3.640538E+01
1.546784410000E+05	3.630291E+01
1.574779800000E+05	3.634653E+01
1.602775200000E+05	3.641372E+01
1.630770590000E+05	3.637185E+01
1.658765980000E+05	3.635777E+01
1.686761370000E+05	3.634975E+01
1.714756760000E+05	3.635960E+01
1.742752160000E+05	3.641988E+01
1.770747550000E+05	3.639068E+01
1.798742940000E+05	3.631878E+01
1.826738330000E+05	3.633620E+01
1.854733730000E+05	3.630292E+01
1.882729120000E+05	3.629935E+01
1.910724510000E+05	3.637983E+01
1.938719900000E+05	3.632270E+01
1.966715290000E+05	3.640989E+01
1.994710690000E+05	3.637752E+01
2.022706080000E+05	3.635613E+01
2.050701470000E+05	3.636119E+01
2.078696860000E+05	3.638570E+01
2.106692250000E+05	3.637599E+01
2.134687650000E+05	3.625519E+01
2.162683040000E+05	3.633333E+01
2.190678430000E+05	3.635036E+01
2.218673820000E+05	3.640792E+01
2.246669220000E+05	3.633779E+01
2.274664610000E+05	3.640697E+01
2.302660000000E+05	3.639335E+01
2.302670000000E+05	3.627507E+01
2.376352940000E+05	3.637052E+01
2.450035880000E+05	3.632859E+01
2.523718820000E+05	3.630103E+01
2.597401760000E+05	3.631451E+01
2.671084710000E+05	3.645945E+01
2.744767650000E+05	3.627453E+01
2.818450590000E+05	3.635264E+01
2.892133530000E+05	3.637413E+01
2.965816470000E+05	3.630029E+01
3.039499410000E+05	3.630287E+01
3.113182350000E+05	3.628835E+01
3.186865290000E+05	3.636118E+01
3.260548240000E+05	3.634784E+01
3.334231180000E+05	3.632822E+01
3.407914120000E+05	3.631019E+01
3.481597060000E+05	3.632640E+01
3.555280000000E+05	3.633495E+01
3.628962940000E+05	3.633704E+01
3.702645880000E+05	3.632961E+01
3.776328820000E+05	3.629957E+01
3.850011760000E+05	3.638030E+01
3.923694710000E+05	3.632581E+01
3.997377650000E+05	3.635724E+01
4.071060590000E+05	3.634509E+01
4.144743530000E+05	3.634073E+01
4.218426470000E+05	3.630682E+01
4.292109410000E+05	3.627803E+01
4.365792350000E+05	3.634077E+01
4.439475290000E+05	3.632409E+01
4.513158240000E+05	3.639599E+01
4.586841180000E+05	3.638806E+01
4.660524120000E+05	3.636674E+01
4.734207060000E+05	3.631512E+01
4.807890000000E+05	3.630963E+01
4.881572940000E+05	3.641420E+01
4.955255880000E+05	3.631378E+01
5.028938820000E+05	3.620309E+01
5.102621760000E+05	3.636335E+01
5.176304710000E+05	3.635687E+01
5.249987650000E+05	3.636067E+01
5.323670590000E+05	3.626908E+01
5.397353530000E+05	3.632855E+01
5.471036470000E+05	3.625350E+01
5.544719410000E+05	3.639674E+01
5.618402350000E+05	3.633959E+01
5.692085290000E+05	3.633125E+01
5.765768240000E+05	3.634004E+01
5.839451180000E+05	3.630925E+01
5.913134120000E+05	3.636430E+01
5.986817060000E+05	3.634706E+01
6.060500000000E+05	3.629773E+01
6.060510000000E+05	3.627412E+01
6.254441180000E+05	3.632351E+01
6.448372350000E+05	3.636267E+01
6.642303530000E+05	3.630586E+01
6.836234710000E+05	3.631864E+01
7.030165880000E+05	3.636861E+01
7.224097060000E+05	3.632856E+01
7.418028240000E+05	3.635988E+01
7.611959410000E+05	3.633801E+01
7.805890590000E+05	3.641398E+01
7.999821760000E+05	3.633870E+01
8.193752940000E+05	3.632713E+01
8.387684120000E+05	3.641074E+01
8.581615290000E+05	3.636031E+01
8.775546470000E+05	3.640981E+01
8.969477650000E+05	3.640229E+01
9.163408820000E+05	3.643204E+01
9.357340000000E+05	3.640747E+01
9.551271180000E+05	3.641260E+01
9.745202350000E+05	3.643818E+01
9.939133530000E+05	3.639648E+01
1.013306471000E+06	3.631287E+01
1.032699588000E+06	3.636207E+01
1.052092706000E+06	3.639286E+01
1.071485824000E+06	3.634496E+01
1.090878941000E+06	3.629836E+01
1.110272059000E+06	3.634653E+01
1.129665176000E+06	3.638733E+01
1.149058294000E+06	3.640638E+01
1.168451412000E+06	3.633252E+01
1.187844529000E+06	3.641831E+01
1.207237647000E+06	3.635579E+01
1.226630765000E+06	3.637815E+01
1.246023882000E+06	3.633824E+01
1.265417000000E+06	3.634931E+01
1.284810118000E+06	3.634562E+01
1.304203235000E+06	3.641071E+01
1.323596353000E+06	3.638790E+01
1.342989471000E+06	3.641082E+01
1.362382588000E+06	3.631981E+01
1.381775706000E+06	3.633859E+01
1.401168824000E+06	3.634608E+01
1.420561941000E+06	3.635367E+01
1.439955059000E+06	3.637473E+01
1.459348176000E+06	3.626652E+01
1.478741294000E+06	3.638919E+01
1.498134412000E+06	3.634627E+01
1.517527529000E+06	3.629460E+01
1.536920647000E+06	3.640755E+01
1.556313765000E+06	3.633826E+01
1.575706882000E+06	3.635831E+01
1.595100000000E+06	3.642703E+01
1.595100000000E+06	3.636440E+01
1.646141765000E+06	3.643095E+01
1.697183529000E+06	3.638319E+01
1.748225294000E+06	3.635418E+01
1.799267059000E+06	3.630928E+01
1.850308824000E+06	3.630292E+01
1.901350588000E+06	3.633601E+01
1.952392353000E+06	3.643374E+01
2.003434118000E+06	3.637333E+01
2.054475882000E+06	3.641442E+01
2.105517647000E+06	3.636980E+01
2.156559412000E+06	3.642739E+01
2.207601176000E+06	3.636255E+01
2.258642941000E+06	3.635699E+01
2.309684706000E+06	3.636847E+01
2.360726471000E+06	3.636537E+01
2.411768235000E+06	3.636132E+01
2.462810000000E+06	3.631231E+01
2.513851765000E+06	3.637801E+01
2.564893529000E+06	3.637326E+01
2.615935294000E+06	3.636722E+01
2.666977059000E+06	3.638114E+01
2.718018824000E+06	3.638717E+01
2.769060588000E+06	3.644998E+01
2.820102353000E+06	3.636977E+01
2.871144118000E+06	3.637605E+01
2.922185882000E+06	3.633858E+01
2.973227647000E+06	3.636422E+01
3.024269412000E+06	3.638036E+01
