"Frequency"	"Magnitude"
1.010000000000E+02	9.411355E-07
1.041800000000E+02	1.542109E-06
1.073610000000E+02	3.001550E-06
1.105410000000E+02	3.258124E-06
1.137210000000E+02	3.316886E-06
1.169020000000E+02	1.996099E-06
1.200820000000E+02	7.880849E-07
1.232620000000E+02	6.107980E-07
1.264430000000E+02	5.740891E-07
1.296230000000E+02	6.409793E-07
1.328030000000E+02	7.856314E-07
1.359830000000E+02	7.458328E-07
1.391640000000E+02	6.836804E-07
1.423440000000E+02	6.575642E-07
1.455240000000E+02	3.440080E-06
1.487050000000E+02	4.999862E-06
1.518850000000E+02	5.094671E-06
1.550650000000E+02	4.508122E-06
1.582460000000E+02	1.443877E-06
1.614260000000E+02	6.243661E-07
1.646060000000E+02	5.736717E-07
1.677870000000E+02	5.620173E-07
1.709670000000E+02	7.546880E-07
1.741470000000E+02	7.606703E-07
1.773280000000E+02	7.284061E-07
1.805080000000E+02	6.910701E-07
1.836880000000E+02	6.435633E-07
1.868680000000E+02	5.706756E-07
1.900490000000E+02	4.959039E-07
1.932290000000E+02	4.174845E-07
1.964090000000E+02	5.293901E-07
1.995900000000E+02	7.628803E-07
2.027700000000E+02	7.812702E-07
2.059500000000E+02	7.002116E-07
2.091310000000E+02	4.787822E-07
2.123110000000E+02	5.345080E-07
2.154910000000E+02	5.568434E-07
2.186720000000E+02	5.505387E-07
2.218520000000E+02	6.251285E-07
2.250320000000E+02	5.717629E-07
2.282130000000E+02	5.173845E-07
2.313930000000E+02	5.698005E-07
2.345730000000E+02	4.910091E-07
2.377530000000E+02	4.198633E-07
2.409340000000E+02	4.062712E-07
2.441140000000E+02	4.400099E-07
2.472940000000E+02	8.137161E-07
2.504750000000E+02	1.200731E-06
2.536550000000E+02	1.310635E-06
2.568350000000E+02	1.291032E-06
2.600160000000E+02	7.759822E-07
2.631960000000E+02	5.634062E-07
2.641960000000E+02	7.505306E-07
2.725980000000E+02	6.042469E-07
2.810010000000E+02	5.232797E-07
2.894030000000E+02	4.556463E-07
2.978060000000E+02	4.134199E-07
3.062080000000E+02	3.976910E-07
3.146110000000E+02	4.449995E-07
3.230130000000E+02	4.885209E-07
3.314150000000E+02	6.151983E-07
3.398180000000E+02	7.103898E-07
3.482200000000E+02	7.193750E-07
3.566230000000E+02	6.018994E-07
3.650250000000E+02	5.382524E-07
3.734280000000E+02	4.358128E-07
3.818300000000E+02	4.907889E-07
3.902320000000E+02	5.781592E-07
3.986350000000E+02	5.484665E-07
4.070370000000E+02	5.095811E-07
4.154400000000E+02	4.902995E-07
4.238420000000E+02	4.266608E-07
4.322450000000E+02	4.557340E-07
4.406470000000E+02	5.765043E-07
4.490490000000E+02	5.715554E-07
4.574520000000E+02	5.764294E-07
4.658540000000E+02	5.400507E-07
4.742570000000E+02	4.590944E-07
4.826590000000E+02	4.181369E-07
4.910620000000E+02	3.524105E-07
4.994640000000E+02	3.518341E-07
5.078670000000E+02	3.915986E-07
5.162690000000E+02	4.122771E-07
5.246710000000E+02	4.090669E-07
5.330740000000E+02	3.442758E-07
5.414760000000E+02	3.579071E-07
5.498790000000E+02	4.029942E-07
5.582810000000E+02	4.104358E-07
5.666840000000E+02	4.063450E-07
5.750860000000E+02	3.182585E-07
5.834880000000E+02	3.116081E-07
5.918910000000E+02	3.533711E-07
6.002930000000E+02	4.291851E-07
6.086960000000E+02	4.462071E-07
6.170980000000E+02	4.592587E-07
6.255010000000E+02	4.057052E-07
6.339030000000E+02	3.440608E-07
6.423050000000E+02	3.193140E-07
6.507080000000E+02	3.575847E-07
6.591100000000E+02	3.837129E-07
6.675130000000E+02	4.237804E-07
6.759150000000E+02	3.823057E-07
6.843180000000E+02	2.984923E-07
6.927200000000E+02	2.792481E-07
6.937200000000E+02	3.183043E-07
7.158670000000E+02	3.423080E-07
7.380140000000E+02	3.040742E-07
7.601610000000E+02	3.457558E-07
7.823070000000E+02	3.330981E-07
8.044540000000E+02	3.210100E-07
8.266010000000E+02	2.597806E-07
8.487480000000E+02	4.387745E-07
8.708950000000E+02	3.107300E-07
8.930420000000E+02	2.428397E-07
9.151890000000E+02	2.561547E-07
