"Frequency"	"Magnitude"
1.010000000000E+02	8.787635E+00
1.041800000000E+02	8.818025E+00
1.073610000000E+02	8.806643E+00
1.105410000000E+02	8.866018E+00
1.137210000000E+02	8.846041E+00
1.169020000000E+02	8.837408E+00
1.200820000000E+02	8.871525E+00
1.232620000000E+02	8.891532E+00
1.264430000000E+02	8.897248E+00
1.296230000000E+02	8.913795E+00
1.328030000000E+02	8.926857E+00
1.359830000000E+02	8.942251E+00
1.391640000000E+02	8.959584E+00
1.423440000000E+02	8.956894E+00
1.455240000000E+02	8.933977E+00
1.487050000000E+02	8.944489E+00
1.518850000000E+02	9.038333E+00
1.550650000000E+02	8.992109E+00
1.582460000000E+02	9.015582E+00
1.614260000000E+02	8.989405E+00
1.646060000000E+02	9.017480E+00
1.677870000000E+02	9.001618E+00
1.709670000000E+02	9.008924E+00
1.741470000000E+02	9.028755E+00
1.773280000000E+02	9.041498E+00
1.805080000000E+02	9.007205E+00
1.836880000000E+02	9.025167E+00
1.868680000000E+02	9.044691E+00
1.900490000000E+02	9.042181E+00
1.932290000000E+02	9.033504E+00
1.964090000000E+02	9.045159E+00
1.995900000000E+02	9.039635E+00
2.027700000000E+02	9.061861E+00
2.059500000000E+02	9.042829E+00
2.091310000000E+02	9.051653E+00
2.123110000000E+02	9.053895E+00
2.154910000000E+02	9.058274E+00
2.186720000000E+02	9.065832E+00
2.218520000000E+02	9.077899E+00
2.250320000000E+02	9.059450E+00
2.282130000000E+02	9.071868E+00
2.313930000000E+02	9.074611E+00
2.345730000000E+02	9.101880E+00
2.377530000000E+02	9.101786E+00
2.409340000000E+02	9.053611E+00
2.441140000000E+02	9.061798E+00
2.472940000000E+02	9.097558E+00
2.504750000000E+02	9.104641E+00
2.536550000000E+02	9.080948E+00
2.568350000000E+02	9.090134E+00
2.600160000000E+02	9.073168E+00
2.631960000000E+02	9.093120E+00
2.641960000000E+02	9.096846E+00
2.725980000000E+02	9.095829E+00
2.810010000000E+02	9.104334E+00
2.894030000000E+02	9.090880E+00
2.978060000000E+02	9.112679E+00
3.062080000000E+02	9.092337E+00
3.146110000000E+02	9.096315E+00
3.230130000000E+02	9.103967E+00
3.314150000000E+02	9.107384E+00
3.398180000000E+02	9.080484E+00
3.482200000000E+02	9.104568E+00
3.566230000000E+02	9.110989E+00
3.650250000000E+02	9.092606E+00
3.734280000000E+02	9.109048E+00
3.818300000000E+02	9.100126E+00
3.902320000000E+02	9.143523E+00
3.986350000000E+02	9.117024E+00
4.070370000000E+02	9.097481E+00
4.154400000000E+02	9.118016E+00
4.238420000000E+02	9.112423E+00
4.322450000000E+02	9.125445E+00
4.406470000000E+02	9.150099E+00
4.490490000000E+02	9.131287E+00
4.574520000000E+02	9.129231E+00
4.658540000000E+02	9.110539E+00
4.742570000000E+02	9.128611E+00
4.826590000000E+02	9.143125E+00
4.910620000000E+02	9.125140E+00
4.994640000000E+02	9.129513E+00
5.078670000000E+02	9.156816E+00
5.162690000000E+02	9.128567E+00
5.246710000000E+02	9.129695E+00
5.330740000000E+02	9.141103E+00
5.414760000000E+02	9.140297E+00
5.498790000000E+02	9.162643E+00
5.582810000000E+02	9.138408E+00
5.666840000000E+02	9.116290E+00
5.750860000000E+02	9.115239E+00
5.834880000000E+02	9.139679E+00
5.918910000000E+02	9.124143E+00
6.002930000000E+02	9.127455E+00
6.086960000000E+02	9.177999E+00
6.170980000000E+02	9.124365E+00
6.255010000000E+02	9.172782E+00
6.339030000000E+02	9.158450E+00
6.423050000000E+02	9.139402E+00
6.507080000000E+02	9.119859E+00
6.591100000000E+02	9.127401E+00
6.675130000000E+02	9.125129E+00
6.759150000000E+02	9.142035E+00
6.843180000000E+02	9.142579E+00
6.927200000000E+02	9.139049E+00
6.937200000000E+02	9.156089E+00
7.158670000000E+02	9.140793E+00
7.380140000000E+02	9.167241E+00
7.601610000000E+02	9.158391E+00
7.823070000000E+02	9.130503E+00
8.044540000000E+02	9.166669E+00
8.266010000000E+02	9.141640E+00
8.487480000000E+02	9.147223E+00
8.708950000000E+02	9.145855E+00
8.930420000000E+02	9.128383E+00
9.151890000000E+02	9.147963E+00
9.373350000000E+02	9.183665E+00
9.594820000000E+02	9.155386E+00
9.816290000000E+02	9.163758E+00
1.003776000000E+03	9.160271E+00
1.025923000000E+03	9.145197E+00
1.048070000000E+03	9.157714E+00
1.070217000000E+03	9.150039E+00
1.092364000000E+03	9.174531E+00
1.114510000000E+03	9.171536E+00
1.136657000000E+03	9.166612E+00
1.158804000000E+03	9.137724E+00
1.180951000000E+03	9.143654E+00
1.203098000000E+03	9.137338E+00
1.225245000000E+03	9.160594E+00
1.247392000000E+03	9.158142E+00
1.269538000000E+03	9.128264E+00
1.291685000000E+03	9.155467E+00
