"Frequency"	"Magnitude"
1.010000000000E+02	3.620941E-06
1.041800000000E+02	4.654096E-06
1.073610000000E+02	5.911771E-06
1.105410000000E+02	6.000550E-06
1.137210000000E+02	5.299937E-06
1.169020000000E+02	4.031665E-06
1.200820000000E+02	4.654673E-06
1.232620000000E+02	4.703935E-06
1.264430000000E+02	5.271507E-06
1.296230000000E+02	6.114639E-06
1.328030000000E+02	6.113279E-06
1.359830000000E+02	5.123436E-06
1.391640000000E+02	4.845135E-06
1.423440000000E+02	4.239601E-06
1.455240000000E+02	4.668837E-06
1.487050000000E+02	5.532899E-06
1.518850000000E+02	5.889484E-06
1.550650000000E+02	5.276894E-06
1.582460000000E+02	3.780325E-06
1.614260000000E+02	3.422155E-06
1.646060000000E+02	3.862876E-06
1.677870000000E+02	3.680097E-06
1.709670000000E+02	2.136404E-06
1.741470000000E+02	2.399888E-06
1.773280000000E+02	2.950027E-06
1.805080000000E+02	3.359722E-06
1.836880000000E+02	3.357228E-06
1.868680000000E+02	3.586571E-06
1.900490000000E+02	3.457171E-06
1.932290000000E+02	3.783193E-06
1.964090000000E+02	4.149343E-06
1.995900000000E+02	4.131852E-06
2.027700000000E+02	3.508131E-06
2.059500000000E+02	3.775959E-06
2.091310000000E+02	3.950690E-06
2.123110000000E+02	3.737383E-06
2.154910000000E+02	3.250401E-06
2.186720000000E+02	3.015034E-06
2.218520000000E+02	3.172635E-06
2.250320000000E+02	2.553911E-06
2.282130000000E+02	3.073137E-06
2.313930000000E+02	3.525130E-06
2.345730000000E+02	3.593955E-06
2.377530000000E+02	3.632982E-06
2.409340000000E+02	3.448343E-06
2.441140000000E+02	3.903782E-06
2.472940000000E+02	3.971757E-06
2.504750000000E+02	4.080199E-06
2.536550000000E+02	4.159118E-06
2.568350000000E+02	4.271168E-06
2.600160000000E+02	4.235717E-06
2.631960000000E+02	4.103957E-06
2.641960000000E+02	2.841909E-06
2.725980000000E+02	2.898983E-06
2.810010000000E+02	2.843721E-06
2.894030000000E+02	3.103813E-06
2.978060000000E+02	3.092400E-06
3.062080000000E+02	3.165803E-06
3.146110000000E+02	3.515578E-06
3.230130000000E+02	3.398836E-06
3.314150000000E+02	3.121421E-06
3.398180000000E+02	3.018074E-06
3.482200000000E+02	2.990309E-06
3.566230000000E+02	3.218501E-06
3.650250000000E+02	3.308590E-06
3.734280000000E+02	3.310993E-06
3.818300000000E+02	3.116001E-06
3.902320000000E+02	2.920418E-06
3.986350000000E+02	2.877665E-06
4.070370000000E+02	2.752448E-06
4.154400000000E+02	2.600929E-06
4.238420000000E+02	2.425522E-06
4.322450000000E+02	2.413522E-06
4.406470000000E+02	2.453541E-06
4.490490000000E+02	2.431758E-06
4.574520000000E+02	2.487225E-06
4.658540000000E+02	3.011274E-06
4.742570000000E+02	3.161435E-06
4.826590000000E+02	3.152645E-06
4.910620000000E+02	2.506974E-06
