"Frequency"	"Magnitude"
1.010000000000E+02	8.586160E-07
1.041800000000E+02	1.057530E-06
1.073610000000E+02	2.506289E-06
1.105410000000E+02	2.778139E-06
1.137210000000E+02	2.709251E-06
1.169020000000E+02	1.766175E-06
1.200820000000E+02	6.451436E-07
1.232620000000E+02	5.571230E-07
1.264430000000E+02	5.406879E-07
1.296230000000E+02	4.934337E-07
1.328030000000E+02	5.525094E-07
1.359830000000E+02	7.288609E-07
1.391640000000E+02	8.233562E-07
1.423440000000E+02	9.439580E-07
1.455240000000E+02	2.937860E-06
1.487050000000E+02	4.145161E-06
1.518850000000E+02	4.171092E-06
1.550650000000E+02	3.761642E-06
1.582460000000E+02	1.420556E-06
1.614260000000E+02	6.229213E-07
1.646060000000E+02	6.103866E-07
1.677870000000E+02	7.158120E-07
1.709670000000E+02	7.311996E-07
1.741470000000E+02	6.432258E-07
1.773280000000E+02	6.084003E-07
1.805080000000E+02	5.551920E-07
1.836880000000E+02	5.670691E-07
1.868680000000E+02	6.179164E-07
1.900490000000E+02	6.104499E-07
1.932290000000E+02	5.248890E-07
1.964090000000E+02	5.040351E-07
1.995900000000E+02	5.890189E-07
2.027700000000E+02	6.267388E-07
2.059500000000E+02	5.497009E-07
2.091310000000E+02	4.030937E-07
2.123110000000E+02	4.168583E-07
2.154910000000E+02	4.916058E-07
2.186720000000E+02	5.477177E-07
2.218520000000E+02	5.867215E-07
2.250320000000E+02	5.899485E-07
2.282130000000E+02	5.937430E-07
2.313930000000E+02	6.274497E-07
2.345730000000E+02	5.283940E-07
2.377530000000E+02	3.474084E-07
2.409340000000E+02	3.849221E-07
2.441140000000E+02	4.092987E-07
2.472940000000E+02	6.935452E-07
2.504750000000E+02	9.440890E-07
2.536550000000E+02	9.700444E-07
2.568350000000E+02	9.176285E-07
2.600160000000E+02	6.139426E-07
2.631960000000E+02	4.939374E-07
2.641960000000E+02	5.715379E-07
2.725980000000E+02	4.484389E-07
2.810010000000E+02	3.967264E-07
2.894030000000E+02	4.739809E-07
2.978060000000E+02	4.554716E-07
3.062080000000E+02	4.055816E-07
3.146110000000E+02	4.220533E-07
3.230130000000E+02	4.534218E-07
3.314150000000E+02	4.956459E-07
3.398180000000E+02	4.949838E-07
3.482200000000E+02	4.774154E-07
3.566230000000E+02	3.553488E-07
3.650250000000E+02	3.136740E-07
3.734280000000E+02	3.467906E-07
3.818300000000E+02	4.147583E-07
3.902320000000E+02	4.369612E-07
3.986350000000E+02	4.372259E-07
4.070370000000E+02	4.120319E-07
4.154400000000E+02	3.849335E-07
4.238420000000E+02	3.252878E-07
4.322450000000E+02	3.182629E-07
4.406470000000E+02	3.180637E-07
4.490490000000E+02	3.062642E-07
4.574520000000E+02	3.005402E-07
4.658540000000E+02	2.683777E-07
4.742570000000E+02	2.579401E-07
4.826590000000E+02	2.430653E-07
4.910620000000E+02	2.855098E-07
4.994640000000E+02	3.023864E-07
5.078670000000E+02	4.727693E-07
5.162690000000E+02	5.360785E-07
5.246710000000E+02	5.353725E-07
5.330740000000E+02	5.200805E-07
5.414760000000E+02	5.801982E-07
5.498790000000E+02	6.298114E-07
5.582810000000E+02	6.089783E-07
5.666840000000E+02	5.741693E-07
5.750860000000E+02	4.557656E-07
5.834880000000E+02	4.758189E-07
5.918910000000E+02	4.997504E-07
6.002930000000E+02	4.845464E-07
6.086960000000E+02	4.861645E-07
6.170980000000E+02	4.646425E-07
6.255010000000E+02	4.030209E-07
6.339030000000E+02	3.294773E-07
6.423050000000E+02	3.808748E-07
6.507080000000E+02	4.428192E-07
6.591100000000E+02	4.584137E-07
6.675130000000E+02	4.540559E-07
6.759150000000E+02	4.066674E-07
6.843180000000E+02	2.335339E-07
6.927200000000E+02	2.294731E-07
6.937200000000E+02	3.222221E-07
7.158670000000E+02	3.259089E-07
7.380140000000E+02	2.931619E-07
7.601610000000E+02	2.620258E-07
7.823070000000E+02	3.062186E-07
8.044540000000E+02	3.412964E-07
8.266010000000E+02	2.895889E-07
8.487480000000E+02	3.308039E-07
8.708950000000E+02	2.657297E-07
8.930420000000E+02	2.232318E-07
9.151890000000E+02	2.957461E-07
9.373350000000E+02	3.028607E-07
9.594820000000E+02	2.659869E-07
9.816290000000E+02	2.584368E-07
1.003776000000E+03	6.046877E-07
1.025923000000E+03	3.981902E-07
1.048070000000E+03	2.510298E-07
1.070217000000E+03	2.718800E-07
1.092364000000E+03	1.642511E-07
1.114510000000E+03	2.079688E-07
1.136657000000E+03	2.718251E-07
1.158804000000E+03	1.972892E-07
1.180951000000E+03	2.045513E-07
1.203098000000E+03	2.622928E-07
1.225245000000E+03	2.197462E-07
1.247392000000E+03	2.169177E-07
1.269538000000E+03	1.493052E-07
1.291685000000E+03	1.629258E-07
1.313832000000E+03	2.209085E-07
1.335979000000E+03	1.778294E-07
1.358126000000E+03	1.699442E-07
1.380273000000E+03	1.817972E-07
1.402420000000E+03	2.035546E-07
1.424566000000E+03	1.840982E-07
1.446713000000E+03	1.708883E-07
1.468860000000E+03	1.731405E-07
1.491007000000E+03	1.800126E-07
1.513154000000E+03	1.049499E-07
1.535301000000E+03	1.569477E-07
1.557448000000E+03	1.377297E-07
1.579595000000E+03	1.329326E-07
1.601741000000E+03	1.215559E-07
1.623888000000E+03	1.445262E-07
1.646035000000E+03	1.436155E-07
1.668182000000E+03	1.385665E-07
1.690329000000E+03	1.473071E-07
1.712476000000E+03	1.631501E-07
1.734623000000E+03	1.414534E-07
1.756769000000E+03	1.263562E-07
1.778916000000E+03	1.695366E-07
1.801063000000E+03	1.220907E-07
1.823210000000E+03	1.823189E-07
1.824210000000E+03	1.439461E-07
1.882531000000E+03	1.473253E-07
1.940853000000E+03	1.569457E-07
1.999174000000E+03	2.006295E-07
2.057495000000E+03	1.832743E-07
2.115817000000E+03	1.467116E-07
2.174138000000E+03	1.371553E-07
2.232460000000E+03	1.245334E-07
2.290781000000E+03	1.079982E-07
2.349102000000E+03	1.174791E-07
2.407424000000E+03	1.345434E-07
2.465745000000E+03	1.180790E-07
2.524066000000E+03	1.062916E-07
2.582388000000E+03	1.040183E-07
2.640709000000E+03	9.761699E-08
2.699031000000E+03	1.029821E-07
2.757352000000E+03	1.156263E-07
2.815673000000E+03	1.145309E-07
2.873995000000E+03	1.165602E-07
2.932316000000E+03	1.003022E-07
2.990637000000E+03	7.241355E-08
3.048959000000E+03	8.613139E-08
3.107280000000E+03	8.940624E-08
3.165602000000E+03	8.920979E-08
3.223923000000E+03	8.593965E-08
3.282244000000E+03	9.476688E-08
3.340566000000E+03	7.557802E-08
3.398887000000E+03	7.523045E-08
3.457208000000E+03	8.126527E-08
3.515530000000E+03	8.311336E-08
3.573851000000E+03	7.857612E-08
3.632173000000E+03	8.495886E-08
3.690494000000E+03	7.668434E-08
3.748815000000E+03	6.511047E-08
3.807137000000E+03	6.743883E-08
3.865458000000E+03	6.353989E-08
3.923779000000E+03	6.482347E-08
3.982101000000E+03	6.141737E-08
4.040422000000E+03	5.875465E-08
4.098744000000E+03	6.072790E-08
4.157065000000E+03	4.406028E-08
4.215386000000E+03	5.876893E-08
4.273708000000E+03	6.823068E-08
4.332029000000E+03	6.431863E-08
4.390350000000E+03	6.301853E-08
4.448672000000E+03	6.751369E-08
4.506993000000E+03	6.009872E-08
4.565315000000E+03	5.167506E-08
4.623636000000E+03	5.638586E-08
4.681957000000E+03	4.826982E-08
4.740279000000E+03	4.560911E-08
4.798600000000E+03	4.050329E-08
