Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
-0.3	8.085e-10	-3.2643e-10	7.153e-11	3.4466e-07	-3.4384e-07	8.86e-10	-3.4159e-10	8.847e-11	3.4348e-07	-3.459e-07	8.817e-10	-3.6213e-10	1.5025e-10	3.453e-07	-3.4278e-07	1.0467e-09	-3.3995e-10	2.3005e-10	3.4548e-07	-3.4384e-07	-3.49e-10	-4.7088e-10	1.7473e-10	3.439e-07	-3.4588e-07	1.0265e-09	-3.9363e-10	2.2746e-10	3.4598e-07	-3.4392e-07	1.075e-09	-3.9358e-10	2.3988e-10	3.4614e-07	-3.4426e-07	6.182e-10	-4.8465e-10	1.9896e-10	3.446e-07	-3.4614e-07	1.113e-09	-4.296e-10	2.3499e-10	3.4538e-07	-3.4384e-07	8.78e-11	-5.466e-10	1.6587e-10	3.4372e-07	-3.4584e-07	1.1443e-09	-4.6475e-10	2.0536e-10	3.4536e-07	-3.4326e-07
-0.295	8.641e-10	-3.143e-10	4.448e-11	3.4358e-07	-3.4536e-07	7.732e-10	-3.4875e-10	1.837e-11	3.4364e-07	-3.449e-07	9.219e-10	-3.4858e-10	4.151e-11	3.4342e-07	-3.4526e-07	1.0023e-09	-3.4407e-10	4.918e-11	3.434e-07	-3.4546e-07	1.0342e-09	-3.5984e-10	5.593e-11	3.4336e-07	-3.4546e-07	1.0584e-09	-3.6837e-10	6.53e-11	3.4388e-07	-3.4618e-07	1.0119e-09	-4.0211e-10	5.656e-11	3.4374e-07	-3.4578e-07	1.0019e-09	-4.2628e-10	4.922e-11	3.4388e-07	-3.4588e-07	1.1281e-09	-4.029e-10	7.084e-11	3.431e-07	-3.4562e-07	1.086e-09	-4.4353e-10	4.318e-11	3.4366e-07	-3.4574e-07	1.1467e-09	-4.4257e-10	5.335e-11	3.4326e-07	-3.4564e-07
-0.29	9.733e-10	-2.5895e-10	7.386e-11	3.4362e-07	-3.4588e-07	9.984e-10	-2.9123e-10	6.461e-11	3.4328e-07	-3.4574e-07	7.688e-10	-3.5435e-10	2.576e-11	3.4356e-07	-3.4494e-07	8.752e-10	-3.5455e-10	2.72e-11	3.4336e-07	-3.4496e-07	9.161e-10	-3.6573e-10	2.455e-11	3.4354e-07	-3.4538e-07	9.982e-10	-3.6902e-10	4.903e-11	3.4384e-07	-3.458e-07	8.725e-10	-4.0195e-10	2.703e-11	3.4392e-07	-3.4534e-07	8.677e-10	-4.2732e-10	2.622e-11	3.4398e-07	-3.4544e-07	1.0803e-09	-4.0911e-10	3.877e-11	3.4324e-07	-3.4522e-07	9.39e-10	-4.5119e-10	2.813e-11	3.439e-07	-3.4536e-07	1.0832e-09	-4.4784e-10	4.447e-11	3.4328e-07	-3.452e-07
-0.285	8.131e-10	-2.1349e-10	1.2597e-10	3.438e-07	-3.4628e-07	9.566e-10	-2.9086e-10	3.163e-11	3.434e-07	-3.455e-07	1.0022e-09	-2.9866e-10	4.649e-11	3.4344e-07	-3.4546e-07	1.0371e-09	-2.9809e-10	6.691e-11	3.4316e-07	-3.458e-07	1.0503e-09	-3.0892e-10	7.455e-11	3.434e-07	-3.4574e-07	8.67e-10	-3.7112e-10	1.791e-11	3.4396e-07	-3.4544e-07	1.0643e-09	-3.4716e-10	6.099e-11	3.437e-07	-3.4628e-07	6.917e-10	-4.2968e-10	5.51e-12	3.4426e-07	-3.4518e-07	9.507e-10	-4.1653e-10	2.864e-11	3.4342e-07	-3.4496e-07	7.588e-10	-4.5638e-10	1.926e-11	3.4412e-07	-3.45e-07	9.582e-10	-4.4993e-10	2.622e-11	3.4346e-07	-3.4488e-07
-0.28	7.642e-10	-2.8701e-10	1.539e-11	3.439e-07	-3.4514e-07	8.123e-10	-3.0408e-10	1.91e-11	3.437e-07	-3.4506e-07	9.147e-10	-3.0674e-10	3.219e-11	3.435e-07	-3.4546e-07	9.912e-10	-3.0244e-10	3.489e-11	3.4348e-07	-3.4532e-07	1.0217e-09	-3.121e-10	3.933e-11	3.4344e-07	-3.4558e-07	1.0505e-09	-3.1815e-10	6.226e-11	3.4388e-07	-3.4646e-07	1.0164e-09	-3.5121e-10	4.588e-11	3.4388e-07	-3.4582e-07	1.0178e-09	-3.7579e-10	3.784e-11	3.4378e-07	-3.4574e-07	7.993e-10	-4.2023e-10	1.421e-11	3.433e-07	-3.4484e-07	1.058e-09	-3.9656e-10	2.228e-11	3.4372e-07	-3.4574e-07	8.089e-10	-4.5011e-10	4.06e-12	3.4338e-07	-3.4468e-07
-0.275	-7.0871e-10	-3.1136e-10	1.4803e-10	3.4556e-07	-3.4294e-07	9.965e-10	-2.4666e-10	5.352e-11	3.4336e-07	-3.4576e-07	7.818e-10	-3.1204e-10	1.229e-11	3.4354e-07	-3.4494e-07	8.773e-10	-3.1291e-10	1.821e-11	3.434e-07	-3.4508e-07	9.442e-10	-3.1967e-10	1.728e-11	3.4346e-07	-3.4546e-07	1.007e-09	-3.2065e-10	3.914e-11	3.4402e-07	-3.4594e-07	8.955e-10	-3.5499e-10	1.04e-11	3.44e-07	-3.4576e-07	8.884e-10	-3.7837e-10	1.125e-11	3.44e-07	-3.454e-07	1.0658e-09	-3.6348e-10	2.92e-11	3.4376e-07	-3.4586e-07	9.267e-10	-4.0704e-10	2.236e-11	3.4394e-07	-3.4546e-07	1.0842e-09	-3.9712e-10	3.954e-11	3.4328e-07	-3.4526e-07
-0.27	-7.139e-10	-2.9192e-10	1.637e-10	3.4562e-07	-3.4324e-07	8.46e-10	-1.983e-10	1.0096e-10	3.436e-07	-3.4612e-07	9.949e-10	-2.5549e-10	3.987e-11	3.434e-07	-3.4576e-07	1.0161e-09	-2.5444e-10	5.346e-11	3.4322e-07	-3.4556e-07	8.039e-10	-3.2757e-10	1.058e-11	3.4358e-07	-3.4506e-07	8.845e-10	-3.2957e-10	5.82e-12	3.4408e-07	-3.4564e-07	1.0484e-09	-2.9996e-10	5.882e-11	3.4372e-07	-3.4616e-07	1.0748e-09	-3.2327e-10	4.749e-11	3.4364e-07	-3.4632e-07	9.47e-10	-3.7213e-10	1.755e-11	3.4402e-07	-3.456e-07	1.1032e-09	-3.4512e-10	3.496e-11	3.4376e-07	-3.4634e-07	9.786e-10	-3.9969e-10	1.305e-11	3.4384e-07	-3.4554e-07
-0.265	-6.8945e-10	-2.7063e-10	1.7216e-10	3.455e-07	-3.4326e-07	7.582e-10	-2.7579e-10	6.35e-12	3.436e-07	-3.4496e-07	9.048e-10	-2.7081e-10	2.007e-11	3.4332e-07	-3.4538e-07	7.455e-10	-3.0301e-10	-7.99e-12	3.4334e-07	-3.4484e-07	1.0186e-09	-2.6736e-10	2.712e-11	3.434e-07	-3.458e-07	1.0325e-09	-2.7352e-10	5.602e-11	3.4388e-07	-3.4616e-07	1.0139e-09	-3.0488e-10	3.648e-11	3.4372e-07	-3.4586e-07	1.0265e-09	-3.2839e-10	3.074e-11	3.4376e-07	-3.4566e-07	7.999e-10	-3.7555e-10	-1.26e-12	3.4384e-07	-3.454e-07	1.0498e-09	-3.524e-10	1.052e-11	3.4376e-07	-3.457e-07	8.365e-10	-4.0258e-10	-1.015e-11	3.4408e-07	-3.4554e-07
-0.26	-6.5958e-10	-2.4866e-10	1.7095e-10	3.4564e-07	-3.4344e-07	9.716e-10	-2.1787e-10	2.739e-11	3.4344e-07	-3.4594e-07	7.654e-10	-2.7597e-10	-3.2e-12	3.4408e-07	-3.4544e-07	-6.9573e-10	-3.1191e-10	1.4812e-10	3.455e-07	-3.431e-07	9.641e-10	-2.7737e-10	1.464e-11	3.4344e-07	-3.455e-07	1.0054e-09	-2.7874e-10	2.399e-11	3.4384e-07	-3.4582e-07	9.311e-10	-3.1023e-10	-6.1e-13	3.4374e-07	-3.457e-07	9.1e-10	-3.3281e-10	-2.15e-12	3.439e-07	-3.4562e-07	1.0557e-09	-3.1798e-10	2.434e-11	3.4378e-07	-3.4596e-07	9.339e-10	-3.6082e-10	2.466e-11	3.4414e-07	-3.4582e-07	1.0757e-09	-3.4902e-10	3.085e-11	3.4406e-07	-3.4618e-07
-0.255	-6.1263e-10	-2.2636e-10	1.7265e-10	3.4574e-07	-3.4366e-07	8.541e-10	-1.7035e-10	8.535e-11	3.4366e-07	-3.4598e-07	9.848e-10	-2.211e-10	3.414e-11	3.438e-07	-3.4636e-07	-6.6923e-10	-2.9181e-10	1.6228e-10	3.4546e-07	-3.4292e-07	8.275e-10	-2.884e-10	-4.1e-13	3.4358e-07	-3.4512e-07	9.017e-10	-2.8824e-10	-5.08e-12	3.4384e-07	-3.4566e-07	7.843e-10	-3.2003e-10	-1.343e-11	3.4378e-07	-3.4534e-07	7.932e-10	-3.3954e-10	-1.454e-11	3.4382e-07	-3.453e-07	9.9e-10	-3.2385e-10	1.545e-11	3.4366e-07	-3.458e-07	1.0796e-09	-2.9965e-10	1.799e-11	3.4396e-07	-3.4628e-07	1.01e-09	-3.4831e-10	6.6e-12	3.4384e-07	-3.4604e-07
