Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	-4.716e-09	-7.70000000000004e-09	-1.524e-08	-1.732e-08	-2.444e-08	-2.63200000000004e-08
-0.295	-4.40416666666667e-09	-7.23666666666669e-09	-1.2695e-08	-1.54983333333333e-08	-2.205e-08	-2.37700000000002e-08
-0.29	-4.14530000000001e-09	-6.83500000000002e-09	-1.1079e-08	-1.4219e-08	-2.0334e-08	-2.36060000000002e-08
-0.285	-3.94260000000001e-09	-6.46800000000001e-09	-9.673e-09	-1.3273e-08	-1.8374e-08	-2.28780000000001e-08
-0.28	-3.76410000000001e-09	-6.151e-09	-8.699e-09	-1.2224e-08	-1.7038e-08	-2.18640000000001e-08
-0.275	-3.6789e-09	-5.925e-09	-8.39700000000001e-09	-1.1762e-08	-1.6398e-08	-2.19180000000001e-08
-0.27	-3.6309e-09	-5.76e-09	-8.303e-09	-1.1748e-08	-1.5608e-08	-2.17920000000001e-08
-0.265	-3.4967e-09	-5.534e-09	-8.20499999999999e-09	-1.1595e-08	-1.531e-08	-2.0616e-08
-0.26	-3.3723e-09	-5.31e-09	-8.09299999999999e-09	-1.1359e-08	-1.5636e-08	-2.0402e-08
-0.255	-3.2616e-09	-5.16e-09	-8.046e-09	-1.1168e-08	-1.529e-08	-2.1264e-08
-0.25	-3.1835e-09	-5.091e-09	-7.986e-09	-1.0898e-08	-1.453e-08	-2.1388e-08
-0.245	-3.1109e-09	-5e-09	-7.774e-09	-1.0836e-08	-1.4714e-08	-2.0846e-08
-0.24	-3.1029e-09	-5.045e-09	-7.721e-09	-1.091e-08	-1.4934e-08	-2.0504e-08
-0.235	-3.1082e-09	-5.144e-09	-7.709e-09	-1.0854e-08	-1.4416e-08	-2.027e-08
-0.23	-2.9919e-09	-5.123e-09	-7.572e-09	-1.0936e-08	-1.4454e-08	-1.98759999999999e-08
-0.225	-2.865e-09	-5.039e-09	-7.35700000000001e-09	-1.1001e-08	-1.4868e-08	-1.9212e-08
-0.22	-2.7259e-09	-4.879e-09	-7.275e-09	-1.077e-08	-1.4512e-08	-1.8962e-08
-0.215	-2.6021e-09	-4.721e-09	-7.215e-09	-1.0381e-08	-1.3672e-08	-1.9278e-08
-0.21	-2.4427e-09	-4.577e-09	-7.10600000000001e-09	-9.98299999999999e-09	-1.3136e-08	-1.8996e-08
-0.205	-2.4028e-09	-4.526e-09	-7.024e-09	-9.48e-09	-1.307e-08	-1.80340000000001e-08
-0.2	-2.4427e-09	-4.489e-09	-6.915e-09	-9.183e-09	-1.3072e-08	-1.7176e-08
-0.195	-2.3965e-09	-4.478e-09	-6.842e-09	-9.20899999999999e-09	-1.3147e-08	-1.711e-08
