Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	1.9132e-09	-1.5e-12	-1.6444e-09	3.6012e-07	-3.6006e-07	9.12746e-08	1.012e-11	-8.75214e-08	3.592e-07	-3.5914e-07	-3.3153e-06	5.874e-11	3.3328e-06	3.5888e-07	-3.5888e-07	-2.051e-05	2.8277e-10	2.4008e-05	3.591e-07	-3.5904e-07	-2.4456e-05	1.0391e-09	4.0828e-05	3.5914e-07	-3.5914e-07	-2.6068e-05	3.3979e-09	4.907e-05	3.5978e-07	-3.5966e-07	-2.6662e-05	1.24532e-08	5.3578e-05	3.5962e-07	-3.5956e-07
0.005	1.96858e-08	1.42e-12	-1.98112e-08	3.5996e-07	-3.6006e-07	9.644e-07	6.51e-12	-1.06768e-06	3.591e-07	-3.592e-07	3.1366e-05	5.456e-11	-3.069e-05	3.5886e-07	-3.5878e-07	7.5338e-05	2.7076e-10	-0.00021876	3.5886e-07	-3.5882e-07	5.0762e-05	1.0164e-09	-0.0004138	3.592e-07	-3.5914e-07	0.00051252	3.3166e-09	-0.00051318	3.5962e-07	-3.5964e-07	0.00056432	1.21262e-08	-0.00056372	3.5946e-07	-3.595e-07
0.01	3.48262e-08	-2.83e-12	-3.48796e-08	3.6014e-07	-3.6014e-07	1.9168e-06	7.4e-12	-1.9169e-06	3.5918e-07	-3.591e-07	6.1302e-05	5.093e-11	-6.1958e-05	3.5898e-07	-3.5884e-07	0.00045632	2.631e-10	-0.00045804	3.5888e-07	-3.5882e-07	0.00087876	9.895e-10	-0.00087886	3.592e-07	-3.5914e-07	0.00109808	3.2445e-09	-0.00109872	3.595e-07	-3.595e-07	0.0012116	1.17144e-08	-0.0012084	3.5942e-07	-3.5938e-07
0.015	4.82324e-08	3.1e-13	-4.80612e-08	3.601e-07	-3.6014e-07	2.6719e-06	7.45e-12	-2.6588e-06	3.591e-07	-3.5914e-07	8.937e-05	5.259e-11	-9.0144e-05	3.5896e-07	-3.5888e-07	0.00069	2.5453e-10	-0.00068998	3.5884e-07	-3.5884e-07	0.0013438	9.6809e-10	-0.0013434	3.592e-07	-3.5922e-07	0.00169	3.1652e-09	-0.0016884	3.5938e-07	-3.594e-07	0.0018638	1.1501e-08	-0.0018618	3.595e-07	-3.5944e-07
0.02	5.97212e-08	-1.52e-12	-5.95754e-08	3.5922e-07	-3.5932e-07	3.3153e-06	8.54e-12	-3.3137e-06	3.5924e-07	-3.5926e-07	0.000114538	4.704e-11	-0.00011491	3.5892e-07	-3.5876e-07	0.00090846	2.4891e-10	-0.00090862	3.5886e-07	-3.5884e-07	0.0017964	9.4328e-10	-0.0017962	3.5922e-07	-3.5924e-07	0.0022656	3.094e-09	-0.0022638	3.595e-07	-3.5942e-07	0.0025048	1.12024e-08	-0.0025026	3.5942e-07	-3.594e-07
0.025	6.96492e-08	8.7e-13	-6.97174e-08	3.5932e-07	-3.593e-07	3.8965e-06	4.96e-12	-3.8879e-06	3.5912e-07	-3.5908e-07	0.0001377	4.96e-11	-0.00013758	3.5892e-07	-3.5894e-07	0.00111874	2.4022e-10	-0.00111786	3.5894e-07	-3.5882e-07	0.002241	9.2342e-10	-0.0022424	3.592e-07	-3.5922e-07	0.0028368	3.0164e-09	-0.0028382	3.595e-07	-3.5942e-07	0.003145	1.09108e-08	-0.0031426	3.595e-07	-3.5944e-07
0.03	7.8829e-08	-7.9e-13	-7.88342e-08	3.5934e-07	-3.5936e-07	4.3942e-06	8.05e-12	-4.4004e-06	3.592e-07	-3.5916e-07	0.00015834	4.823e-11	-0.00015838	3.5886e-07	-3.5878e-07	0.0013204	2.3469e-10	-0.0013192	3.5892e-07	-3.5882e-07	0.0026864	8.9906e-10	-0.0026844	3.5926e-07	-3.5914e-07	0.0034176	2.9467e-09	-0.0034158	3.5944e-07	-3.5954e-07	0.0037898	1.06382e-08	-0.0037896	3.5938e-07	-3.5932e-07
0.035	8.68434e-08	-1.59e-12	-8.6738e-08	3.593e-07	-3.5926e-07	4.8368e-06	5.38e-12	-4.8712e-06	3.5904e-07	-3.591e-07	0.00017692	4.318e-11	-0.0001767	3.5888e-07	-3.589e-07	0.0015096	2.2856e-10	-0.00151	3.5886e-07	-3.5884e-07	0.0031168	8.7764e-10	-0.0031144	3.5914e-07	-3.5914e-07	0.0039832	2.8818e-09	-0.0039816	3.594e-07	-3.5954e-07	0.004426	1.01828e-08	-0.004424	3.5944e-07	-3.5942e-07
0.04	9.42476e-08	-1.6e-12	-9.40236e-08	3.5934e-07	-3.593e-07	5.2689e-06	7.35e-12	-5.2532e-06	3.592e-07	-3.5914e-07	0.00019398	4.342e-11	-0.00019372	3.5886e-07	-3.5886e-07	0.0016934	2.2319e-10	-0.0016936	3.5888e-07	-3.589e-07	0.003544	8.5738e-10	-0.0035462	3.591e-07	-3.5912e-07	0.0045538	2.8178e-09	-0.004554	3.5944e-07	-3.5948e-07	0.0050686	1.01044e-08	-0.0050658	3.5938e-07	-3.5944e-07
0.045	1.005838e-07	-1.93e-12	-1.002936e-07	3.5916e-07	-3.592e-07	5.6217e-06	5.53e-12	-5.6187e-06	3.5922e-07	-3.592e-07	0.00020932	4.231e-11	-0.00020916	3.5888e-07	-3.5894e-07	0.0018658	2.1499e-10	-0.0018656	3.5892e-07	-3.5888e-07	0.0039606	8.4006e-10	-0.0039596	3.5918e-07	-3.5914e-07	0.0051114	2.7512e-09	-0.0051098	3.594e-07	-3.5952e-07	0.0057004	9.8554e-09	-0.005697	3.5944e-07	-3.5944e-07
