|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.9	2.13999999999995e-06	4.02e-06	7.50000000000001e-06	6.09999999999999e-06	2.25999999999987e-06	4.86600000000001e-05
0.895	1.80699999999999e-05	1.86383333333333e-05	2.1675e-05	2.09216666666667e-05	1.80549999999999e-05	5.108e-05
0.89	3.0713e-05	3.1416e-05	3.3264e-05	3.2697e-05	3.13169999999999e-05	5.1631e-05
0.885	3.9864e-05	4.0151e-05	4.0968e-05	4.1004e-05	4.06199999999999e-05	5.1376e-05
0.88	4.5683e-05	4.6156e-05	4.6108e-05	4.6514e-05	4.6862e-05	5.04639999999999e-05
0.875	4.6044e-05	4.7236e-05	4.6878e-05	4.6913e-05	4.7726e-05	4.8392e-05
0.87	4.4189e-05	4.51519999999999e-05	4.4907e-05	4.434e-05	4.5262e-05	4.572e-05
0.865	4.2142e-05	4.2415e-05	4.2486e-05	4.1869e-05	4.2296e-05	4.3525e-05
0.86	3.9495e-05	3.999e-05	4.03299999999999e-05	3.9855e-05	3.9852e-05	4.1445e-05
0.855	3.7371e-05	3.78870000000001e-05	3.8205e-05	3.7796e-05	3.78580000000001e-05	3.9097e-05
0.85	3.5974e-05	3.57080000000001e-05	3.5783e-05	3.59550000000001e-05	3.56600000000001e-05	3.7095e-05
0.845	3.4153e-05	3.3654e-05	3.3557e-05	3.43260000000001e-05	3.38750000000001e-05	3.5279e-05
0.84	3.16370000000001e-05	3.18320000000001e-05	3.17980000000001e-05	3.22920000000001e-05	3.24410000000001e-05	3.32670000000001e-05
0.835	2.96750000000001e-05	3.00300000000001e-05	3.02750000000001e-05	3.02530000000001e-05	3.04690000000001e-05	3.15740000000001e-05
0.83	2.8708e-05	2.8305e-05	2.8902e-05	2.8409e-05	2.8624e-05	3.0348e-05
0.825	2.7296e-05	2.6902e-05	2.7512e-05	2.6614e-05	2.7204e-05	2.8857e-05
0.82	2.5511e-05	2.58e-05	2.5962e-05	2.5244e-05	2.56570000000001e-05	2.7109e-05
0.815	2.463e-05	2.4602e-05	2.4454e-05	2.4065e-05	2.424e-05	2.5483e-05
0.81	2.3832e-05	2.3141e-05	2.3157e-05	2.2768e-05	2.3296e-05	2.3912e-05
0.805	2.2075e-05	2.1768e-05	2.1915e-05	2.1654e-05	2.2149e-05	2.2325e-05
0.8	2.047e-05	2.0589e-05	2.0563e-05	2.0683e-05	2.0832e-05	2.082e-05
0.795	1.9376e-05	1.9334e-05	1.9339e-05	1.9701e-05	1.9785e-05	1.9663e-05
0.79	1.8273e-05	1.8189e-05	1.8421e-05	1.8694e-05	1.8701e-05	1.8706e-05
0.785	1.7287e-05	1.7345e-05	1.7475e-05	1.7574e-05	1.7503e-05	1.7673e-05
0.78	1.6348e-05	1.6533e-05	1.6517e-05	1.6506e-05	1.643e-05	1.665e-05
0.775	1.5547e-05	1.5602e-05	1.5916e-05	1.5573e-05	1.5576e-05	1.5757e-05
0.77	1.4811e-05	1.4662e-05	1.534e-05	1.4678e-05	1.4802e-05	1.4959e-05
0.765	1.3886e-05	1.3911e-05	1.445e-05	1.3891e-05	1.397e-05	1.4206e-05
0.76	1.3035e-05	1.3339e-05	1.3492e-05	1.3198e-05	1.3064e-05	1.3417e-05
0.755	1.26998e-05	1.29184e-05	1.28582e-05	1.27212e-05	1.25484e-05	1.2813e-05
0.75	1.2357e-05	1.23082e-05	1.23234e-05	1.22628e-05	1.2244e-05	1.23414e-05
0.745	1.14006e-05	1.12708e-05	1.14034e-05	1.13164e-05	1.13706e-05	1.15034e-05
0.74	1.0486e-05	1.03658e-05	1.04308e-05	1.0299e-05	1.0414e-05	1.05486e-05
0.735	9.84820000000001e-06	9.64840000000001e-06	8.51640000000001e-06	9.59620000000001e-06	9.82680000000001e-06	9.93000000000001e-06
0.73	8.93800000000001e-06	8.76180000000001e-06	6.88160000000001e-06	8.83100000000001e-06	9.06400000000001e-06	9.28520000000001e-06
