I/V Sweep,id_vgs_P_2
RecordTime,05/30/2023 09:20:25
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0,-1.055E-07,4.973E-10,3.8664E-09,3.6052E-07,-2.5805999999999997E-07
1.195,0,-1.0685999999999999E-07,4.8861E-10,4.3038E-09,3.6025999999999997E-07,-2.581E-07
1.19,0,-1.0688E-07,4.7969E-10,4.6288E-09,3.5992E-07,-2.5812E-07
1.185,0,-1.0688E-07,4.6902E-10,5.0286E-09,3.5988E-07,-2.5816E-07
1.1800000000000002,0,-1.074E-07,4.6137000000000003E-10,5.452E-09,3.5964E-07,-2.5808E-07
1.175,0,-1.074E-07,4.5754000000000006E-10,5.8564E-09,3.5952E-07,-2.581E-07
1.1700000000000002,0,-1.0797999999999999E-07,4.4947000000000005E-10,6.358E-09,3.592E-07,-2.5802E-07
1.165,0,-1.0831999999999999E-07,4.4277E-10,6.9004E-09,3.591E-07,-2.5808E-07
1.1600000000000001,0,-1.0886E-07,4.3679000000000005E-10,7.5021E-09,3.5913999999999997E-07,-2.5812E-07
1.155,0,-1.0926E-07,4.2931000000000004E-10,8.2069E-09,3.588E-07,-2.5808E-07
1.1500000000000001,0,-1.0994E-07,4.1958E-10,9.0449E-09,3.5866E-07,-2.581E-07
1.145,0,-1.1048E-07,4.1220000000000003E-10,9.8337E-09,3.587E-07,-2.5804E-07
1.1400000000000001,0,-1.1118E-07,4.0951E-10,1.06557E-08,3.5842E-07,-2.581E-07
1.135,0,-1.1228E-07,4.0456000000000005E-10,1.1583399999999999E-08,3.5843999999999997E-07,-2.5805999999999997E-07
1.1300000000000001,0,-1.1327999999999999E-07,3.9886E-10,1.2581799999999999E-08,3.5846E-07,-2.5804E-07
1.125,0,-1.1416E-07,3.9294000000000004E-10,1.3781599999999999E-08,3.5812E-07,-2.5802E-07
1.12,0,-1.1546E-07,3.8716000000000004E-10,1.50948E-08,3.5798E-07,-2.5805999999999997E-07
1.115,0,-1.168E-07,3.7945E-10,1.6381199999999997E-08,3.5786E-07,-2.5808E-07
1.11,0,-1.18E-07,3.7407000000000003E-10,1.7871599999999998E-08,3.5786E-07,-2.58E-07
1.105,0,-1.1956E-07,3.6659E-10,1.9508399999999997E-08,3.577E-07,-2.58E-07
1.1,0,-1.2134E-07,3.6156000000000004E-10,2.1078399999999997E-08,3.5762E-07,-2.5802E-07
1.095,0,-1.2324E-07,3.5766000000000003E-10,2.3333799999999998E-08,3.5756E-07,-2.58E-07
1.09,0,-1.2559999999999999E-07,3.523E-10,2.5681799999999997E-08,3.574E-07,-2.5802E-07
1.085,0,-1.2824E-07,3.4861000000000005E-10,2.8314599999999997E-08,3.575E-07,-2.58E-07
1.08,0,-1.3096E-07,3.4125000000000004E-10,3.1018E-08,3.5744E-07,-2.5805999999999997E-07
1.075,0,-1.3396E-07,3.3623000000000004E-10,3.43032E-08,3.5724E-07,-2.58E-07
1.07,0,-1.37E-07,3.3073E-10,3.8045999999999995E-08,3.5722E-07,-2.5802E-07
1.065,0,-1.4132E-07,3.2498000000000005E-10,4.1757999999999996E-08,3.5726E-07,-2.5804E-07
1.06,0,-1.4536E-07,3.2074E-10,4.5579599999999993E-08,3.5702E-07,-2.5796E-07
1.0550000000000002,0,-1.4978E-07,3.1384E-10,5.0354799999999992E-08,3.5708E-07,-2.5804E-07
1.05,0,-1.5518E-07,3.0913000000000005E-10,5.5494199999999991E-08,3.5706E-07,-2.58E-07
1.0450000000000002,0,-1.611E-07,3.0524E-10,6.1340999999999993E-08,3.5696E-07,-2.5802E-07
1.04,0,-1.6702E-07,3.0180000000000003E-10,6.81218E-08,3.5703999999999997E-07,-2.5802E-07
