|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	-2.67600000000006e-08	6.68000000000021e-09	-9.77200000000021e-08	-1.00080000000002e-07	-1.63640000000005e-07	1.60000000000002e-07
-0.295	-1.13900000000001e-08	1.14666666666667e-08	-3.95700000000003e-08	-3.47733333333336e-08	-1.47000000000001e-07	1.07e-07
-0.29	-2.48900000000007e-09	1.7461e-08	-3.46000000000022e-09	-1.17640000000002e-08	-8.90260000000006e-08	6.04e-08
-0.285	3.47500000000005e-09	2.2345e-08	2.91600000000022e-09	-8.48599999999978e-09	-4.16379999999997e-08	2.33999999999994e-08
-0.28	6.27499999999999e-09	2.5713e-08	-7.80000000000011e-10	-1.068e-08	-9.22199999999997e-09	-7.60000000000014e-09
-0.275	3.24999999999999e-09	2.5856e-08	-8.34200000000002e-09	-1.519e-08	-5.87999999999969e-10	-2.02000000000001e-08
-0.27	-3.083e-09	2.3031e-08	-9.222e-09	-1.08119999999999e-08	-7.55399999999997e-09	-2.34e-08
-0.265	-9.179e-09	1.8297e-08	-5.35999999999999e-10	1.50000000000001e-09	-1.6892e-08	-2.75999999999999e-08
-0.26	-1.4141e-08	1.2627e-08	7.41199999999998e-09	7.80800000000001e-09	-2.1714e-08	-3.21999999999998e-08
-0.255	-1.8067e-08	6.862e-09	5.97199999999999e-09	3.71e-09	-2.1012e-08	-3.63999999999998e-08
-0.25	-2.1025e-08	1.24300000000001e-09	-4.09399999999999e-09	-5.54000000000002e-09	-1.6976e-08	-4.01999999999999e-08
-0.245	-2.2892e-08	-4.33099999999999e-09	-1.1656e-08	-9.92600000000002e-09	-1.8262e-08	-4.38e-08
-0.24	-2.3807e-08	-9.71199999999999e-09	-6.90799999999998e-09	-3.72600000000001e-09	-2.6772e-08	-4.6e-08
-0.235	-2.38870000000001e-08	-1.44710000000001e-08	4.20400000000014e-09	5.18999999999995e-09	-2.85459999999998e-08	-3.49299999999998e-08
-0.23	-2.30890000000001e-08	-1.82730000000001e-08	9.03000000000014e-09	6.07399999999994e-09	-1.50699999999998e-08	-1.88579999999999e-08
-0.225	-2.11770000000001e-08	-2.12820000000001e-08	3.38800000000012e-09	-2.68600000000009e-09	1.02400000000016e-09	-2.1476e-08
-0.22	-1.81350000000001e-08	-2.34400000000001e-08	-6.69399999999989e-09	-1.18720000000001e-08	6.20800000000015e-09	-2.3874e-08
-0.215	-1.46070000000001e-08	-2.47990000000001e-08	-9.56599999999988e-09	-9.70400000000006e-09	-1.44999999999981e-09	-5.87200000000011e-09
-0.21	-1.0861e-08	-2.5353e-08	-1.23399999999999e-09	1.602e-09	-1.2622e-08	5.97599999999968e-09
-0.205	-6.21499999999999e-09	-2.4309e-08	8.23600000000001e-09	8.82000000000003e-09	-1.3296e-08	-1.97800000000015e-09
-0.2	-3.13000000000001e-10	-2.1567e-08	8.05199999999999e-09	4.95400000000007e-09	-3.75600000000001e-09	-9.29799999999984e-09
-0.195	6.11899999999999e-09	-1.8042e-08	-1.46200000000001e-09	-5.26999999999995e-09	4.44000000000007e-09	-1.44379999999998e-08
-0.19	1.2114e-08	-1.3983e-08	-9.22200000000001e-09	-1.0478e-08	3.91000000000007e-09	-2.1948e-08
