Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
1.2	-1.3008e-07	9.437e-10	2.34418e-08	3.6372e-07	-2.5776e-07	-1.2626e-07	9.2322e-10	2.269e-08	3.6346e-07	-2.6098e-07	-1.2084e-07	8.9991e-10	2.16258e-08	3.5934e-07	-2.6126e-07	-1.1614e-07	8.7726e-10	2.08376e-08	3.5572e-07	-2.6168e-07	-1.1074e-07	8.5637e-10	1.9787e-08	3.5052e-07	-2.6172e-07	-1.0564e-07	8.4116e-10	1.89242e-08	3.4746e-07	-2.6174e-07	-1.0062e-07	8.1604e-10	1.8126e-08	3.4378e-07	-2.6202e-07	-9.61518e-08	7.962e-10	1.70294e-08	3.402e-07	-2.6208e-07	-9.2477e-08	7.7392e-10	1.62782e-08	3.373e-07	-2.619e-07	-8.8123e-08	7.5639e-10	1.5379e-08	3.339e-07	-2.6186e-07	-8.43634e-08	7.3616e-10	1.46148e-08	3.303e-07	-2.6124e-07
1.195	-1.3176e-07	9.2526e-10	2.5048e-08	3.6346e-07	-2.5772e-07	-1.2748e-07	9.0418e-10	2.43654e-08	3.6222e-07	-2.608e-07	-1.2214e-07	8.7992e-10	2.34852e-08	3.5876e-07	-2.6096e-07	-1.1696e-07	8.6344e-10	2.246e-08	3.5508e-07	-2.6136e-07	-1.1138e-07	8.4512e-10	2.12322e-08	3.5054e-07	-2.6146e-07	-1.0622e-07	8.2028e-10	2.02242e-08	3.4698e-07	-2.6144e-07	-1.0186e-07	7.9891e-10	1.95378e-08	3.4324e-07	-2.617e-07	-9.7255e-08	7.8478e-10	1.8338e-08	3.3966e-07	-2.6156e-07	-9.34224e-08	7.675e-10	1.74628e-08	3.3676e-07	-2.6162e-07	-8.9289e-08	7.4252e-10	1.66302e-08	3.3352e-07	-2.6152e-07	-8.52394e-08	7.2561e-10	1.5766e-08	3.2982e-07	-2.6106e-07
1.19	-1.3336e-07	9.1062e-10	2.70196e-08	3.6322e-07	-2.577e-07	-1.2898e-07	8.9215e-10	2.63286e-08	3.6242e-07	-2.6042e-07	-1.2366e-07	8.7218e-10	2.52818e-08	3.5838e-07	-2.6074e-07	-1.1854e-07	8.492e-10	2.41978e-08	3.547e-07	-2.6112e-07	-1.1282e-07	8.2789e-10	2.28468e-08	3.5024e-07	-2.6112e-07	-1.0788e-07	8.0631e-10	2.18566e-08	3.465e-07	-2.6122e-07	-1.0324e-07	7.9041e-10	2.1156e-08	3.4282e-07	-2.6146e-07	-9.84796e-08	7.6828e-10	1.98204e-08	3.3934e-07	-2.6138e-07	-9.4676e-08	7.4884e-10	1.8837e-08	3.3636e-07	-2.6132e-07	-9.04802e-08	7.2873e-10	1.79376e-08	3.33e-07	-2.613e-07	-8.63932e-08	7.1473e-10	1.70396e-08	3.2942e-07	-2.6086e-07
1.185	-1.352e-07	9.0102e-10	2.9035e-08	3.6306e-07	-2.5768e-07	-1.3082e-07	8.8321e-10	2.82794e-08	3.6194e-07	-2.6032e-07	-1.2544e-07	8.6146e-10	2.7135e-08	3.5782e-07	-2.6056e-07	-1.203e-07	8.3647e-10	2.6164e-08	3.5412e-07	-2.6092e-07	-1.1414e-07	8.1558e-10	2.46306e-08	3.4972e-07	-2.61e-07	-1.0924e-07	7.9849e-10	2.3545e-08	3.4626e-07	-2.6108e-07	-1.0478e-07	7.7952e-10	2.26756e-08	3.4246e-07	-2.612e-07	-9.99116e-08	7.6064e-10	2.14204e-08	3.3918e-07	-2.6136e-07	-9.60572e-08	7.4142e-10	2.03624e-08	3.3564e-07	-2.611e-07	-9.16498e-08	7.2115e-10	1.93438e-08	3.3272e-07	-2.6112e-07	-8.72694e-08	7.008e-10	1.83962e-08	3.2944e-07	-2.6076e-07
1.18	-1.3716e-07	8.871e-10	3.13162e-08	3.6266e-07	-2.5766e-07	-1.3274e-07	8.6765e-10	3.05462e-08	3.6138e-07	-2.602e-07	-1.2706e-07	8.4882e-10	2.94606e-08	3.5748e-07	-2.6034e-07	-1.2194e-07	8.1876e-10	2.81322e-08	3.534e-07	-2.6086e-07	-1.1604e-07	8.0295e-10	2.65326e-08	3.4946e-07	-2.6076e-07	-1.1096e-07	7.8803e-10	2.53778e-08	3.4584e-07	-2.609e-07	-1.0616e-07	7.6846e-10	2.4429e-08	3.4198e-07	-2.6106e-07	-1.012714e-07	7.4409e-10	2.30676e-08	3.384e-07	-2.6102e-07	-9.7492e-08	7.2798e-10	2.19564e-08	3.3586e-07	-2.6102e-07	-9.31344e-08	7.0906e-10	2.08554e-08	3.3256e-07	-2.6098e-07	-8.90026e-08	6.9132e-10	1.99148e-08	3.2912e-07	-2.607e-07
1.175	-1.394e-07	8.7455e-10	3.36194e-08	3.6262e-07	-2.5768e-07	-1.35e-07	8.5074e-10	3.29896e-08	3.6102e-07	-2.6002e-07	-1.2926e-07	8.2841e-10	3.15118e-08	3.5732e-07	-2.6048e-07	-1.2388e-07	8.126e-10	3.023e-08	3.5276e-07	-2.6058e-07	-1.1766e-07	7.9485e-10	2.84822e-08	3.4916e-07	-2.6066e-07	-1.1274e-07	7.7355e-10	2.73124e-08	3.4544e-07	-2.6078e-07	-1.0746e-07	7.5313e-10	2.63518e-08	3.4192e-07	-2.6094e-07	-1.030088e-07	7.3399e-10	2.48252e-08	3.384e-07	-2.6088e-07	-9.91228e-08	7.1724e-10	2.37068e-08	3.3556e-07	-2.6088e-07	-9.4722e-08	6.9475e-10	2.25776e-08	3.3226e-07	-2.6086e-07	-9.04318e-08	6.8012e-10	2.15926e-08	3.289e-07	-2.6064e-07
1.17	-1.4176e-07	8.5925e-10	3.62512e-08	3.6232e-07	-2.5768e-07	-1.3684e-07	8.3654e-10	3.52028e-08	3.6072e-07	-2.5994e-07	-1.307e-07	8.1626e-10	3.38572e-08	3.5678e-07	-2.602e-07	-1.2582e-07	7.9485e-10	3.25626e-08	3.5318e-07	-2.6046e-07	-1.1972e-07	7.8011e-10	3.08416e-08	3.4876e-07	-2.6056e-07	-1.147e-07	7.5748e-10	2.95272e-08	3.4524e-07	-2.6064e-07	-1.099e-07	7.4e-10	2.8394e-08	3.4154e-07	-2.608e-07	-1.04832e-07	7.187e-10	2.68838e-08	3.3754e-07	-2.6074e-07	-1.009108e-07	7.0327e-10	2.56942e-08	3.3528e-07	-2.6074e-07	-9.64436e-08	6.8868e-10	2.4477e-08	3.3206e-07	-2.6078e-07	-9.2113e-08	6.661e-10	2.32472e-08	3.288e-07	-2.6052e-07
1.165	-1.4436e-07	8.4308e-10	3.90666e-08	3.62e-07	-2.5754e-07	-1.395e-07	8.2695e-10	3.79372e-08	3.6036e-07	-2.5968e-07	-1.3338e-07	8.0588e-10	3.63802e-08	3.5666e-07	-2.6004e-07	-1.2828e-07	7.8689e-10	3.49746e-08	3.5272e-07	-2.603e-07	-1.2194e-07	7.6856e-10	3.32334e-08	3.4842e-07	-2.6038e-07	-1.1688e-07	7.4456e-10	3.16856e-08	3.449e-07	-2.6052e-07	-1.1192e-07	7.283e-10	3.0596e-08	3.4134e-07	-2.6062e-07	-1.068648e-07	7.1113e-10	2.89528e-08	3.377e-07	-2.6064e-07	-1.027894e-07	6.9768e-10	2.7638e-08	3.3514e-07	-2.6066e-07	-9.83828e-08	6.7587e-10	2.65436e-08	3.3182e-07	-2.6066e-07	-9.38678e-08	6.5879e-10	2.50878e-08	3.2854e-07	-2.6042e-07
1.16	-1.4716e-07	8.3349e-10	4.20388e-08	3.612e-07	-2.5766e-07	-1.421e-07	8.1716e-10	4.0908e-08	3.6006e-07	-2.5966e-07	-1.3636e-07	7.991e-10	3.93452e-08	3.5626e-07	-2.5998e-07	-1.308e-07	7.7408e-10	3.77892e-08	3.5254e-07	-2.602e-07	-1.2436e-07	7.5208e-10	3.58592e-08	3.4832e-07	-2.6034e-07	-1.1884e-07	7.3744e-10	3.4234e-08	3.4472e-07	-2.6042e-07	-1.1436e-07	7.2128e-10	3.3108e-08	3.4102e-07	-2.6056e-07	-1.088348e-07	6.9783e-10	3.12762e-08	3.3752e-07	-2.6044e-07	-1.051128e-07	6.8251e-10	3.01396e-08	3.348e-07	-2.6046e-07	-9.98788e-08	6.6357e-10	2.84834e-08	3.315e-07	-2.605e-07	-9.5748e-08	6.4826e-10	2.71358e-08	3.2846e-07	-2.603e-07
1.155	-1.4992e-07	8.2446e-10	4.52234e-08	3.6164e-07	-2.577e-07	-1.4486e-07	8.0457e-10	4.4079e-08	3.5976e-07	-2.5948e-07	-1.3936e-07	7.8569e-10	4.21158e-08	3.559e-07	-2.6002e-07	-1.3372e-07	7.6671e-10	4.06556e-08	3.5216e-07	-2.6008e-07	-1.271e-07	7.4361e-10	3.85242e-08	3.48e-07	-2.602e-07	-1.2174e-07	7.2904e-10	3.68858e-08	3.4444e-07	-2.6038e-07	-1.168e-07	7.0846e-10	3.56724e-08	3.4086e-07	-2.6046e-07	-1.113114e-07	6.9154e-10	3.37384e-08	3.3722e-07	-2.604e-07	-1.07061e-07	6.7589e-10	3.23006e-08	3.3456e-07	-2.604e-07	-1.023472e-07	6.5546e-10	3.0653e-08	3.315e-07	-2.6038e-07	-9.78598e-08	6.3593e-10	2.92622e-08	3.2846e-07	-2.6038e-07
