Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.1V
-0.3	-9.43999999999999e-09	-1.316e-08	-8.99999999999998e-09	-8.40000000000009e-10	-4.65999999999998e-09	2.6284e-07	-1.194e-08	3.862e-08	2.9068e-07	3.2158e-07
-0.295	-8.395e-09	-1.284e-08	-1.41633333333333e-08	-7.475e-09	-1.0655e-08	1.74768333333333e-07	-6.83333333333332e-09	2.53016666666667e-08	1.92926666666667e-07	2.14471666666667e-07
-0.29	-2.34699999999998e-09	-6.20199999999998e-09	-6.95099999999998e-09	-1.088e-08	-1.2042e-08	9.80119999999999e-08	-8.54300000000001e-09	1.352e-08	1.14888e-07	1.28113e-07
-0.285	-8.97999999999985e-10	-5.34199999999998e-09	-4.32399999999999e-09	-8.19000000000003e-09	-6.20900000000003e-09	4.43809999999999e-08	-1.1128e-08	2.62899999999999e-09	5.6645e-08	6.33029999999999e-08
-0.28	-4.63999999999984e-10	-2.5999999999999e-10	-3.41099999999999e-09	-5.59100000000003e-09	-2.59100000000003e-09	7.20899999999996e-09	-1.0513e-08	-7.736e-09	1.266e-08	1.4651e-08
-0.275	-3.71999999999984e-10	8.07000000000009e-10	-4.40999999999991e-10	-9.08000000000034e-10	-2.62500000000003e-09	-6.63000000000003e-09	-5.58900000000002e-09	-1.0437e-08	-3.924e-09	-1.841e-09
-0.27	-7.70999999999995e-10	-2.793e-09	1.80600000000001e-09	3.82599999999999e-09	7.69999999999997e-10	-5.37600000000002e-09	-3.03200000000002e-09	-5.869e-09	-7.807e-09	-2.211e-09
-0.265	-5.104e-09	-2.32e-09	-1.548e-09	3.747e-09	3.776e-09	1.296e-09	-3.32399999999999e-09	-3.347e-09	-8.99299999999999e-09	-2.286e-09
-0.26	-8.96599999999999e-09	-2.899e-09	-3.811e-09	4.06999999999999e-10	-2.02e-09	1.882e-09	2.62000000000004e-10	-3.771e-09	-7.06399999999999e-09	-2.4e-09
-0.255	-1.9033e-08	-4.932e-09	-1.735e-09	-3.562e-09	-5.488e-09	-1.974e-09	3.347e-09	-1.56e-10	-7.86599999999999e-09	-3.759e-09
-0.25	-4.37429e-08	-2.634e-09	-4.571e-09	-5.417e-09	3.8999999999995e-11	6.21999999999998e-10	-2.234e-09	3.044e-09	-9.69099999999999e-09	-7.19099999999999e-09
-0.245	-5.86501e-08	-4.79100000000001e-09	-1.0082e-08	-4.134e-09	9.57999999999994e-10	1.358e-09	-5.347e-09	-2.574e-09	-4.35999999999999e-09	-1.1972e-08
-0.24	-5.45174e-08	-8.76500000000001e-09	-6.338e-09	-6.83200000000001e-09	-2.94300000000001e-09	-2.516e-09	4.49999999999995e-11	-5.513e-09	3.93500000000002e-09	-1.2071e-08
