Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	0.000300888	0.01715294	0.1265732	0.213252	0.239816	0.252028
0.005	0.000281582	0.01719416	0.128475466666667	0.211606	0.238805	0.250703333333333
0.01	0.0002532702	0.016090536	0.12797328	0.2098832	0.2376092	0.2495736
0.015	0.0002282896	0.015107948	0.12670864	0.2081068	0.236552	0.248558
0.02	0.0002022834	0.013867167	0.12439866	0.2063654	0.2356994	0.2479202
0.025	0.000179469	0.01249284	0.120706	0.2046336	0.2349202	0.2475436
0.03	0.000160369	0.01128	0.116306	0.202782	0.234212	0.24724
0.035	0.000144435	0.0102802	0.112038	0.20095	0.23377	0.247212
0.04	0.000131033	0.0093978	0.107842	0.199084	0.233338	0.247284
0.045	0.000120381	0.0086092	0.103542	0.197244	0.232614	0.24713
0.05	0.000112213	0.007913	0.09928	0.195462	0.23178	0.24684
0.055	0.000104274	0.0073042	0.09512	0.193448	0.230892	0.246436
0.06	9.6704e-05	0.0067734	0.091054	0.191254	0.229904	0.24588
0.065	9.0219e-05	0.0063086	0.086984	0.188806	0.22863	0.245018
0.07	8.3977e-05	0.0059052	0.082932	0.186206	0.22748	0.24418
0.075	7.84200000000001e-05	0.0055538	0.07902	0.183668	0.22668	0.24362
0.08	7.5104e-05	0.0052376	0.075248	0.18112	0.2257	0.24316
0.085	7.2922e-05	0.0049624	0.071564	0.17858	0.22454	0.24276
0.09	7.0832e-05	0.0047274	0.06804	0.17624	0.22366	0.2425
0.095	6.9202e-05	0.0045172	0.064742	0.17382	0.22282	0.2422
0.1	6.828e-05	0.004332	0.061602	0.17106	0.22164	0.24174
0.105	6.756e-05	0.0041822	0.058552	0.16834	0.22054	0.24132
0.11	6.616e-05	0.0040524	0.055574	0.16574	0.2196	0.24082
0.115	6.476e-05	0.0039244	0.052784	0.16298	0.21848	0.24014
0.12	6.332e-05	0.0038088	0.050092	0.15988	0.217	0.23934
0.125	6.14599999999999e-05	0.0036978	0.047586	0.15676	0.2155	0.2387
0.13	5.936e-05	0.0035788	0.045358	0.15376	0.21416	0.238
0.135	5.818e-05	0.0034876	0.043074	0.15064	0.21278	0.2372
0.14	5.878e-05	0.0034254	0.040864	0.14748	0.2114	0.23676
0.145	5.888e-05	0.0033588	0.038992	0.14452	0.21024	0.23642
0.15	5.788e-05	0.003308	0.037058	0.14152	0.20906	0.2357
0.155	5.842e-05	0.0032778	0.035012	0.13826	0.2076	0.235
0.16	8.63000000000001e-05	0.00323	0.03334	0.13504	0.20612	0.23454
0.165	0.00011174	0.003213	0.03188	0.13186	0.20468	0.23382
0.17	8.40200000000001e-05	0.0031862	0.03042	0.12856	0.20312	0.23302
0.175	5.83600000000002e-05	0.0031158	0.02908	0.12518	0.2013	0.23218
0.18	5.81000000000002e-05	0.0031336	0.02794	0.12182	0.19954	0.2313
0.185	3.01400000000001e-05	0.0031572	0.02698	0.11842	0.19788	0.23052
0.19	3.58000000000002e-06	0.0030546	0.026	0.115	0.1961	0.22974
0.195	3.06000000000001e-05	0.0030052	0.02496	0.11166	0.1943	0.22894
0.2	5.57600000000001e-05	0.003068	0.02406	0.10842	0.19264	0.22832
0.205	5.434e-05	0.003034	0.02324	0.10522	0.19098	0.22768
0.21	5.528e-05	0.002968	0.0223	0.10198	0.18912	0.22676
0.215	5.67999999999999e-05	0.003	0.02152	0.09872	0.18722	0.22588
0.22	5.65399999999999e-05	0.00299	0.02104	0.0955	0.18534	0.22506
0.225	5.68199999999999e-05	0.002888	0.02058	0.09234	0.18342	0.22418
0.23	5.93999999999999e-05	0.00282	0.0201	0.0891000000000001	0.18124	0.22308
0.235	6.068e-05	0.002812	0.01962	0.0859200000000001	0.17898	0.22198
