Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
1.2	-6.88954e-08	8.1036e-09	-2.0818e-10	4.9538e-07	-4.3428e-07	-3.52208e-08	5.6474e-09	-2.2003e-10	4.6556e-07	-4.3592e-07	-1.81834e-08	3.7806e-09	-2.1754e-10	4.5004e-07	-4.3538e-07	-8.8902e-09	2.4763e-09	-2.1086e-10	4.4172e-07	-4.3514e-07	-4.0551e-09	1.5694e-09	-2.1177e-10	4.3774e-07	-4.3508e-07	-1.554e-09	9.7142e-10	-2.1329e-10	4.352e-07	-4.345e-07	-2.3191e-10	6.0804e-10	-2.149e-10	4.3394e-07	-4.3416e-07
1.195	-6.82716e-08	7.998e-09	-2.0346e-10	4.948e-07	-4.3452e-07	-3.47796e-08	5.5418e-09	-2.0373e-10	4.6528e-07	-4.3574e-07	-1.80202e-08	3.7011e-09	-2.0388e-10	4.4982e-07	-4.353e-07	-8.8382e-09	2.4158e-09	-2.0733e-10	4.4168e-07	-4.3496e-07	-4.0312e-09	1.52e-09	-2.0137e-10	4.3756e-07	-4.3492e-07	-1.5366e-09	9.3601e-10	-2.0931e-10	4.3516e-07	-4.3438e-07	-2.3225e-10	5.7869e-10	-2.0711e-10	4.3402e-07	-4.3416e-07
1.19	-6.76186e-08	7.8919e-09	-1.9549e-10	4.944e-07	-4.3454e-07	-3.45634e-08	5.4511e-09	-1.9805e-10	4.6496e-07	-4.3566e-07	-1.7939e-08	3.6324e-09	-1.9846e-10	4.4962e-07	-4.3518e-07	-8.8004e-09	2.3565e-09	-1.978e-10	4.417e-07	-4.3498e-07	-4.0011e-09	1.4761e-09	-1.9767e-10	4.3742e-07	-4.3462e-07	-1.5255e-09	8.9808e-10	-1.9415e-10	4.3518e-07	-4.3438e-07	-2.1655e-10	5.5043e-10	-1.9981e-10	4.34e-07	-4.3408e-07
1.185	-6.69328e-08	7.7679e-09	-1.8494e-10	4.9368e-07	-4.343e-07	-3.43416e-08	5.3585e-09	-1.8943e-10	4.6452e-07	-4.3534e-07	-1.7848e-08	3.5607e-09	-1.936e-10	4.4958e-07	-4.3518e-07	-8.7541e-09	2.3012e-09	-1.8934e-10	4.4162e-07	-4.35e-07	-3.9789e-09	1.4292e-09	-1.8862e-10	4.374e-07	-4.347e-07	-1.4958e-09	8.6484e-10	-1.9413e-10	4.3524e-07	-4.3434e-07	-2.1847e-10	5.2556e-10	-1.934e-10	4.3396e-07	-4.3412e-07
1.18	-6.63134e-08	7.6492e-09	-1.8529e-10	4.9308e-07	-4.3432e-07	-3.41564e-08	5.2718e-09	-1.8661e-10	4.6434e-07	-4.3522e-07	-1.77766e-08	3.4915e-09	-1.8004e-10	4.4978e-07	-4.3524e-07	-8.7026e-09	2.2494e-09	-1.8425e-10	4.4156e-07	-4.3494e-07	-3.9493e-09	1.39e-09	-1.8169e-10	4.3744e-07	-4.347e-07	-1.4987e-09	8.3263e-10	-1.8002e-10	4.3516e-07	-4.344e-07	-2.0178e-10	4.967e-10	-1.8696e-10	4.342e-07	-4.343e-07
1.175	-6.57346e-08	7.5402e-09	-1.7672e-10	4.9258e-07	-4.3424e-07	-3.39462e-08	5.1839e-09	-1.7516e-10	4.6416e-07	-4.3524e-07	-1.76816e-08	3.4259e-09	-1.7674e-10	4.4946e-07	-4.3504e-07	-8.6632e-09	2.1958e-09	-1.781e-10	4.4154e-07	-4.349e-07	-3.9218e-09	1.3491e-09	-1.788e-10	4.3728e-07	-4.3448e-07	-1.4734e-09	7.9955e-10	-1.7469e-10	4.3528e-07	-4.343e-07	-1.9606e-10	4.7117e-10	-1.7779e-10	4.3394e-07	-4.341e-07
1.17	-6.51208e-08	7.4238e-09	-1.6867e-10	4.9212e-07	-4.3422e-07	-3.37224e-08	5.097e-09	-1.6432e-10	4.64e-07	-4.3514e-07	-1.76144e-08	3.3579e-09	-1.6916e-10	4.4936e-07	-4.3498e-07	-8.6151e-09	2.1437e-09	-1.7122e-10	4.4154e-07	-4.3506e-07	-3.8988e-09	1.3102e-09	-1.7305e-10	4.3728e-07	-4.3466e-07	-1.4573e-09	7.7071e-10	-1.6814e-10	4.3512e-07	-4.3424e-07	-1.9001e-10	4.5015e-10	-1.6816e-10	4.3402e-07	-4.3408e-07
1.165	-6.45262e-08	7.3222e-09	-1.6303e-10	4.9186e-07	-4.3448e-07	-3.35064e-08	4.9706e-09	-1.6465e-10	4.6378e-07	-4.3514e-07	-1.75144e-08	3.2905e-09	-1.665e-10	4.4938e-07	-4.35e-07	-8.5851e-09	2.0949e-09	-1.6313e-10	4.4164e-07	-4.3498e-07	-3.8738e-09	1.271e-09	-1.6659e-10	4.3754e-07	-4.3476e-07	-1.4443e-09	7.4027e-10	-1.5832e-10	4.3524e-07	-4.3436e-07	-1.7962e-10	4.2822e-10	-1.6203e-10	4.3404e-07	-4.3412e-07
1.16	-6.40544e-08	7.2132e-09	-1.5716e-10	4.9144e-07	-4.3452e-07	-3.33614e-08	4.8876e-09	-1.55e-10	4.6368e-07	-4.3506e-07	-1.74554e-08	3.2276e-09	-1.507e-10	4.4924e-07	-4.3488e-07	-8.5302e-09	2.0481e-09	-1.5996e-10	4.4142e-07	-4.3476e-07	-3.8482e-09	1.2334e-09	-1.5601e-10	4.3748e-07	-4.3478e-07	-1.4305e-09	7.1585e-10	-1.5563e-10	4.3524e-07	-4.3436e-07	-1.7616e-10	4.0478e-10	-1.5361e-10	4.3408e-07	-4.3406e-07
1.155	-6.34964e-08	7.1112e-09	-1.4768e-10	4.9082e-07	-4.3422e-07	-3.3144e-08	4.8074e-09	-1.489e-10	4.6352e-07	-4.3492e-07	-1.7375e-08	3.1668e-09	-1.5125e-10	4.4926e-07	-4.3484e-07	-8.4989e-09	1.9984e-09	-1.4894e-10	4.4138e-07	-4.3476e-07	-3.8243e-09	1.1992e-09	-1.5397e-10	4.3742e-07	-4.3458e-07	-1.4177e-09	6.865e-10	-1.4475e-10	4.3534e-07	-4.3454e-07	-1.5715e-10	3.8354e-10	-1.5017e-10	4.3402e-07	-4.3408e-07
