Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
1.2	-1.4044e-07	7.1976e-09	6.5504e-08	5.0226e-07	-4.343e-07	-1.3956e-07	7.0546e-09	6.6262e-08	5.023e-07	-4.3728e-07	-1.3234e-07	6.8862e-09	6.30466e-08	4.9896e-07	-4.3768e-07	-1.2602e-07	6.7332e-09	6.01806e-08	4.959e-07	-4.3802e-07	-1.1964e-07	6.5577e-09	5.73182e-08	4.929e-07	-4.3816e-07	-1.1328e-07	6.4107e-09	5.44942e-08	4.8972e-07	-4.3802e-07	-1.0804e-07	6.2492e-09	5.19062e-08	4.8708e-07	-4.3828e-07	-1.027e-07	6.1061e-09	4.93982e-08	4.8456e-07	-4.3824e-07	-9.729e-08	5.956e-09	4.68028e-08	4.8204e-07	-4.3818e-07	-9.24202e-08	5.8048e-09	4.45034e-08	4.7962e-07	-4.3812e-07	-8.71204e-08	5.6645e-09	4.19074e-08	4.7688e-07	-4.377e-07
1.195	-1.4586e-07	7.0991e-09	7.18976e-08	5.0106e-07	-4.341e-07	-1.4346e-07	6.9508e-09	7.25334e-08	5.0108e-07	-4.3708e-07	-1.3626e-07	6.7854e-09	6.9118e-08	4.9758e-07	-4.3722e-07	-1.2958e-07	6.6236e-09	6.5917e-08	4.9472e-07	-4.3754e-07	-1.232e-07	6.4461e-09	6.28688e-08	4.9182e-07	-4.3792e-07	-1.1718e-07	6.3133e-09	5.98422e-08	4.886e-07	-4.3788e-07	-1.1138e-07	6.1552e-09	5.6913e-08	4.861e-07	-4.3794e-07	-1.059e-07	5.9999e-09	5.41664e-08	4.8372e-07	-4.3808e-07	-1.00545e-07	5.8621e-09	5.14088e-08	4.8126e-07	-4.38e-07	-9.55602e-08	5.7212e-09	4.88166e-08	4.7908e-07	-4.38e-07	-9.05122e-08	5.5806e-09	4.61094e-08	4.763e-07	-4.3756e-07
1.19	-1.5198e-07	7.0046e-09	7.89744e-08	5e-07	-4.3418e-07	-1.4926e-07	6.845e-09	7.9343e-08	4.998e-07	-4.3686e-07	-1.4188e-07	6.6885e-09	7.5579e-08	4.9648e-07	-4.3698e-07	-1.351e-07	6.5308e-09	7.21628e-08	4.9376e-07	-4.372e-07	-1.285e-07	6.3563e-09	6.88414e-08	4.908e-07	-4.375e-07	-1.2206e-07	6.2147e-09	6.54996e-08	4.8796e-07	-4.377e-07	-1.1616e-07	6.0674e-09	6.23864e-08	4.8578e-07	-4.3806e-07	-1.1054e-07	5.9211e-09	5.93634e-08	4.8318e-07	-4.3792e-07	-1.049566e-07	5.774e-09	5.63424e-08	4.8056e-07	-4.3774e-07	-9.98284e-08	5.6371e-09	5.36116e-08	4.783e-07	-4.3764e-07	-9.46004e-08	5.4942e-09	5.07238e-08	4.759e-07	-4.3754e-07
1.185	-1.5888e-07	6.9019e-09	8.69892e-08	4.991e-07	-4.3392e-07	-1.5606e-07	6.7506e-09	8.6998e-08	4.9874e-07	-4.3674e-07	-1.482e-07	6.5918e-09	8.29404e-08	4.9558e-07	-4.3688e-07	-1.413e-07	6.4357e-09	7.9212e-08	4.9266e-07	-4.3714e-07	-1.3452e-07	6.2592e-09	7.55644e-08	4.9018e-07	-4.376e-07	-1.2784e-07	6.1256e-09	7.1971e-08	4.8704e-07	-4.3732e-07	-1.2164e-07	5.9693e-09	6.85976e-08	4.8498e-07	-4.3786e-07	-1.158e-07	5.8302e-09	6.52392e-08	4.8234e-07	-4.3764e-07	-1.100344e-07	5.6647e-09	6.19696e-08	4.7998e-07	-4.3756e-07	-1.04684e-07	5.5476e-09	5.8955e-08	4.7776e-07	-4.3756e-07	-9.92788e-08	5.405e-09	5.58398e-08	4.7538e-07	-4.3728e-07
1.18	-1.665e-07	6.807e-09	9.55836e-08	4.981e-07	-4.3406e-07	-1.6332e-07	6.6551e-09	9.53186e-08	4.9762e-07	-4.365e-07	-1.5548e-07	6.4941e-09	9.10826e-08	4.9478e-07	-4.3678e-07	-1.4826e-07	6.3437e-09	8.69988e-08	4.9182e-07	-4.3696e-07	-1.4112e-07	6.1842e-09	8.28862e-08	4.891e-07	-4.3716e-07	-1.3418e-07	6.0376e-09	7.89946e-08	4.8646e-07	-4.3734e-07	-1.2772e-07	5.8868e-09	7.53386e-08	4.8416e-07	-4.3762e-07	-1.2174e-07	5.7492e-09	7.17202e-08	4.8198e-07	-4.3772e-07	-1.15667e-07	5.5923e-09	6.806e-08	4.7936e-07	-4.3746e-07	-1.100452e-07	5.468e-09	6.47936e-08	4.7742e-07	-4.3766e-07	-1.044528e-07	5.3314e-09	6.13824e-08	4.749e-07	-4.3714e-07
1.175	-1.7514e-07	6.7071e-09	1.052772e-07	4.973e-07	-4.3408e-07	-1.7188e-07	6.5545e-09	1.047062e-07	4.9668e-07	-4.3638e-07	-1.6348e-07	6.4083e-09	1.000716e-07	4.9384e-07	-4.3674e-07	-1.5618e-07	6.2546e-09	9.55198e-08	4.9106e-07	-4.3686e-07	-1.4866e-07	6.0969e-09	9.10752e-08	4.8838e-07	-4.3706e-07	-1.4142e-07	5.9502e-09	8.69496e-08	4.8574e-07	-4.3718e-07	-1.3476e-07	5.7935e-09	8.2826e-08	4.8348e-07	-4.3738e-07	-1.2832e-07	5.6616e-09	7.88404e-08	4.8116e-07	-4.3742e-07	-1.2188e-07	5.5083e-09	7.48608e-08	4.7908e-07	-4.3748e-07	-1.161074e-07	5.389e-09	7.13886e-08	4.7694e-07	-4.3756e-07	-1.10195e-07	5.2486e-09	6.75944e-08	4.7438e-07	-4.3704e-07
1.17	-1.8496e-07	6.6189e-09	1.157e-07	4.9648e-07	-4.3402e-07	-1.8116e-07	6.4612e-09	1.15003e-07	4.9582e-07	-4.362e-07	-1.7242e-07	6.3186e-09	1.097322e-07	4.932e-07	-4.3662e-07	-1.6472e-07	6.1637e-09	1.049214e-07	4.902e-07	-4.368e-07	-1.57e-07	6.0036e-09	1.001058e-07	4.8766e-07	-4.3698e-07	-1.4946e-07	5.8663e-09	9.54944e-08	4.851e-07	-4.3706e-07	-1.423e-07	5.7096e-09	9.09706e-08	4.8296e-07	-4.3728e-07	-1.3552e-07	5.5774e-09	8.66912e-08	4.8076e-07	-4.3742e-07	-1.2892e-07	5.4259e-09	8.23976e-08	4.7872e-07	-4.3756e-07	-1.2296e-07	5.3039e-09	7.8604e-08	4.7634e-07	-4.3726e-07	-1.166496e-07	5.1673e-09	7.43922e-08	4.7404e-07	-4.3708e-07
1.165	-1.9566e-07	6.5201e-09	1.2756e-07	4.9584e-07	-4.3424e-07	-1.918e-07	6.368e-09	1.2658e-07	4.9504e-07	-4.3614e-07	-1.834e-07	6.2168e-09	1.2106e-07	4.9232e-07	-4.3662e-07	-1.7442e-07	6.0738e-09	1.1538e-07	4.896e-07	-4.366e-07	-1.6632e-07	5.9225e-09	1.10151e-07	4.8704e-07	-4.369e-07	-1.5854e-07	5.7863e-09	1.051192e-07	4.8448e-07	-4.3704e-07	-1.5112e-07	5.6229e-09	1.002106e-07	4.8234e-07	-4.3716e-07	-1.439e-07	5.4951e-09	9.5405e-08	4.803e-07	-4.373e-07	-1.3692e-07	5.3562e-09	9.07986e-08	4.779e-07	-4.3716e-07	-1.306e-07	5.2243e-09	8.66086e-08	4.758e-07	-4.3716e-07	-1.2388e-07	5.0891e-09	8.20664e-08	4.7362e-07	-4.3686e-07
1.16	-2.0774e-07	6.433e-09	1.4034e-07	4.9496e-07	-4.3404e-07	-2.0334e-07	6.2846e-09	1.3894e-07	4.9424e-07	-4.3602e-07	-1.94e-07	6.1364e-09	1.3258e-07	4.9158e-07	-4.364e-07	-1.8518e-07	5.9821e-09	1.2676e-07	4.8884e-07	-4.3656e-07	-1.7676e-07	5.8363e-09	1.211e-07	4.8636e-07	-4.366e-07	-1.6866e-07	5.6987e-09	1.1562e-07	4.8406e-07	-4.3694e-07	-1.605e-07	5.5417e-09	1.10267e-07	4.8184e-07	-4.3716e-07	-1.5286e-07	5.4119e-09	1.05005e-07	4.7942e-07	-4.3706e-07	-1.4562e-07	5.281e-09	9.99828e-08	4.7754e-07	-4.3708e-07	-1.3886e-07	5.1495e-09	9.52416e-08	4.7552e-07	-4.3708e-07	-1.3184e-07	5.0172e-09	9.04162e-08	4.7334e-07	-4.3684e-07
1.155	-2.213e-07	6.3368e-09	1.5484e-07	4.9424e-07	-4.3404e-07	-2.168e-07	6.1936e-09	1.5282e-07	4.9354e-07	-4.3594e-07	-2.0682e-07	6.0452e-09	1.4596e-07	4.9096e-07	-4.3632e-07	-1.9732e-07	5.8962e-09	1.3966e-07	4.8824e-07	-4.3652e-07	-1.8846e-07	5.7504e-09	1.3332e-07	4.858e-07	-4.367e-07	-1.7974e-07	5.6132e-09	1.2746e-07	4.8348e-07	-4.367e-07	-1.7112e-07	5.4637e-09	1.213e-07	4.8116e-07	-4.3696e-07	-1.632e-07	5.3373e-09	1.1578e-07	4.7916e-07	-4.3704e-07	-1.5544e-07	5.2026e-09	1.101492e-07	4.77e-07	-4.3696e-07	-1.484e-07	5.0709e-09	1.051118e-07	4.7498e-07	-4.3694e-07	-1.4084e-07	4.9399e-09	9.9767e-08	4.7296e-07	-4.3688e-07
