gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
-2.21999999999997e-10	-6.202e-09	-5.67400000000001e-09	-5.52000000000003e-09	-9.59999999999996e-09	-1.25399999999999e-08	-1.41400000000001e-08
-2.29e-10	-4.182e-09	-4.178e-09	-4.94e-09	-8.25999999999996e-09	-9.91999999999997e-09	-1.302e-08
-5.97e-10	-1.854e-09	-2.95499999999999e-09	-4.51999999999998e-09	-7.07000000000001e-09	-8.33000000000003e-09	-1.175e-08
-1.45600000000001e-09	-1.76600000000001e-09	-3.55600000000002e-09	-4.54000000000003e-09	-7.06000000000005e-09	-3.39999999999995e-09	-1.08600000000001e-08
-9.36000000000011e-10	-2.26800000000001e-09	-3.37400000000002e-09	-4.85000000000004e-09	-6.54000000000001e-09	-9.34999999999991e-09	-1.072e-08
-5.52000000000001e-10	-1.83399999999999e-09	-3.069e-09	-4.69999999999999e-09	-6.13999999999998e-09	-1.421e-08	-1.171e-08
-1.149e-09	-1.256e-09	-2.905e-09	-4.45e-09	-6.58999999999999e-09	-8.16000000000001e-09	-1.115e-08
-1.255e-09	-1.847e-09	-3.51799999999999e-09	-3.1e-09	-6.49e-09	-9.26000000000002e-09	-9.59e-09
-8.29999999999999e-10	-1.925e-09	-3.43799999999999e-09	-4.62999999999999e-09	-6.23e-09	-8.57999999999998e-09	-1.152e-08
-7.72999999999999e-10	-1.759e-09	-2.671e-09	-6.31000000000001e-09	-5.68e-09	-7.22999999999994e-09	-1.065e-08
-1.369e-09	-1.728e-09	-3.28299999999999e-09	-4.61999999999999e-09	-5.59000000000001e-09	-1.012e-08	-8.51e-09
-9.37999999999999e-10	-1.932e-09	-3.182e-09	-4.14999999999999e-09	-5.83e-09	-8.29000000000001e-09	-1.005e-08
-5.95e-10	-1.836e-09	-2.047e-09	-3.98e-09	-5.03999999999997e-09	-6.03999999999999e-09	-1.026e-08
-1.037e-09	-1.319e-09	-2.47e-09	-3.86000000000001e-09	-5.71000000000003e-09	-6.98000000000004e-09	-9.57000000000002e-09
-1.101e-09	-1.72e-09	-3.79200000000001e-09	-3.62000000000002e-09	-5.91000000000001e-09	-6.90000000000001e-09	-8.68000000000003e-09
-6.74e-10	-2.098e-09	-3.11800000000001e-09	-3.65e-09	-5.33999999999998e-09	-7.73999999999997e-09	-9.82000000000002e-09
-7.93999999999999e-10	-1.833e-09	-2.12199999999999e-09	-3.61999999999999e-09	-5.33000000000002e-09	-5.49999999999999e-09	-1.009e-08
-9.45999999999999e-10	-1.703e-09	-2.64099999999999e-09	-3.58999999999998e-09	-5.38999999999999e-09	-5.81e-09	-9.56999999999999e-09
-6.02999999999999e-10	-1.855e-09	-2.96000000000001e-09	-3.86999999999998e-09	-5.95e-09	-6.69999999999998e-09	-8.22000000000003e-09
-3.42e-10	-1.693e-09	-2.18700000000001e-09	-4.06000000000001e-09	-5.69000000000002e-09	-8.26000000000003e-09	-8.45000000000001e-09
-5.23e-10	-1.196e-09	-2.036e-09	-3.86000000000001e-09	-4.88000000000002e-09	-2.40000000000002e-09	-9.25999999999997e-09
-5.51e-10	-1.278e-09	-2.355e-09	-3.58e-09	-4.52999999999998e-09	-5.95e-09	-8.85999999999998e-09
-2.52e-10	-1.665e-09	-2.14400000000001e-09	-3.62000000000001e-09	-5.14999999999996e-09	-6.85999999999999e-09	-7.06999999999997e-09
-2.81999999999999e-10	-1.052e-09	-1.669e-09	-3.12e-09	-4.33e-09	-7.14999999999999e-09	-5.81e-09
-4.52e-10	-1.089e-09	-2.10999999999999e-09	-2.17999999999998e-09	-3.18000000000002e-09	-1.136e-08	-8.08000000000007e-09
-3.62e-10	-1.517e-09	-2.32900000000001e-09	-2.74e-09	-4.61000000000002e-09	-5.76e-09	-7.97999999999998e-09
1.21e-10	-9.44000000000005e-10	-1.427e-09	-3.06000000000002e-09	-4.75999999999998e-09	-3.60000000000046e-10	-6.18000000000001e-09
-4.42999999999999e-10	-5.34999999999998e-10	-1.326e-09	-3.05e-09	-3.42000000000001e-09	-4.39999999999998e-09	-5.78999999999999e-09
-5.49e-10	-4.86999999999997e-10	-1.708e-09	-2.84e-09	-3.69000000000001e-09	-9.89999999999997e-09	-8.20999999999999e-09
5.60000000000002e-11	-1.037e-09	-1.68799999999999e-09	-2.87999999999999e-09	-3.97999999999998e-09	-5.01e-09	-6.58000000000003e-09
-4e-10	-4.93e-10	-1.398e-09	-2.76e-09	-2.93999999999999e-09	-5.22999999999999e-09	-5.43999999999993e-09
-5.36000000000001e-10	-4.69000000000005e-10	-1.51300000000001e-09	-2.53000000000002e-09	-3.92000000000001e-09	-4.19000000000001e-09	-4.71999999999996e-09
-3e-10	-1.106e-09	-1.51e-09	-2.19e-09	-3.57000000000003e-09	-4.76000000000002e-09	-1.97000000000007e-09
-1.63e-10	-4.75999999999999e-10	-7.92e-10	-1.25999999999999e-09	-2.83e-09	-2.92000000000002e-09	-4.07000000000005e-09
-8.85999999999999e-10	1.40000000000012e-11	-8.58000000000003e-10	-2.182e-09	-2.43e-09	-9.90000000000013e-10	-5.01999999999996e-09
-6.18999999999999e-10	3.00000000000014e-11	-8.01e-10	-1.842e-09	-1.65999999999999e-09	-3.81999999999997e-09	-1.77999999999997e-09
-9.40000000000007e-11	-5.59000000000001e-10	-4.17e-10	1.284e-09	-2.42999999999998e-09	-1.41999999999998e-09	-7.19999999999975e-10
-5.04e-10	1.71999999999998e-10	-1.05000000000002e-10	-1.74999999999987e-10	-8.80000000000004e-10	5.3e-10	-6.29999999999989e-10
