I/V Sweep,id_vds_P
RecordTime,05/30/2023 13:43:08
Device ID,
Count,1
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-5.7426000000000007E-06,1.846E-11,5.5893000000000008E-06,5.0826E-07,-4.5728E-07
0.005,0,-5.4315000000000004E-06,3.3260000000000003E-11,5.3082E-06,5.0732E-07,-4.5748E-07
0.01,0,-5.1474000000000009E-06,-1.1210000000000001E-11,4.9989000000000005E-06,5.0636E-07,-4.5748E-07
0.015000000000000001,0,-4.9330000000000009E-06,-2.405E-11,4.8771E-06,5.054E-07,-4.5756E-07
0.02,0,-4.7375000000000008E-06,1.865E-11,4.5763000000000006E-06,5.045E-07,-4.5731999999999997E-07
0.025,0,-4.4468E-06,7.64E-12,4.397E-06,5.0372E-07,-4.5731999999999997E-07
0.030000000000000002,0,-4.2583E-06,-2.5010000000000003E-11,4.1335E-06,5.0282E-07,-4.5745999999999997E-07
0.035,0,-4.0024E-06,9.02E-12,3.9418E-06,5.0201999999999994E-07,-4.5756E-07
0.04,0,-3.8717000000000006E-06,2.2810000000000003E-11,3.7644000000000003E-06,5.0114E-07,-4.5731999999999997E-07
0.045000000000000005,0,-3.6518000000000003E-06,-2.2440000000000002E-11,3.5413000000000003E-06,5.002E-07,-4.5728E-07
0.05,0,-3.5078000000000005E-06,-1.502E-11,3.4250000000000002E-06,4.9946E-07,-4.5742E-07
0.055,0,-3.3177000000000004E-06,3.022E-11,3.2460000000000003E-06,4.986E-07,-4.5736E-07
0.060000000000000005,0,-3.1450000000000004E-06,2.14E-12,3.0839000000000002E-06,4.9776E-07,-4.5728E-07
0.065,0,-2.9987E-06,-3.0720000000000005E-11,2.91E-06,4.9702E-07,-4.5736E-07
0.07,0,-2.8741E-06,1.4850000000000002E-11,2.7774000000000003E-06,4.9624E-07,-4.5728E-07
0.075,0,-2.7049E-06,2.4410000000000003E-11,2.6453000000000003E-06,4.9552E-07,-4.573E-07
0.08,0,-2.6112E-06,-2.247E-11,2.5422000000000004E-06,4.9492E-07,-4.574E-07
0.085,0,-2.4762E-06,-1.3690000000000002E-11,2.4119E-06,4.9414E-07,-4.574E-07
0.090000000000000011,0,-2.3538000000000002E-06,2.3060000000000002E-11,2.295E-06,4.9356E-07,-4.5744E-07
0.095,0,-2.2487E-06,6.1300000000000007E-12,2.1609000000000004E-06,4.9284E-07,-4.574E-07
0.1,0,-2.1393000000000004E-06,-2.2310000000000002E-11,2.0715000000000004E-06,4.9208E-07,-4.5745999999999997E-07
0.10500000000000001,0,-2.0376E-06,1.179E-11,1.9761E-06,4.9137999999999994E-07,-4.5744E-07
0.11,0,-1.9429E-06,1.799E-11,1.8940000000000002E-06,4.9078E-07,-4.574E-07
0.115,0,-1.8453000000000002E-06,-2.3300000000000003E-11,1.7969000000000001E-06,4.9012E-07,-4.5744E-07
0.12000000000000001,0,-1.7581000000000002E-06,-3.7900000000000006E-12,1.7177E-06,4.8938E-07,-4.5738E-07
0.125,0,-1.6873000000000001E-06,2.7710000000000004E-11,1.6223000000000001E-06,4.8884E-07,-4.5748E-07
0.13,0,-1.5988000000000003E-06,-7.1900000000000007E-12,1.5542E-06,4.8819999999999994E-07,-4.574E-07
0.135,0,-1.5327000000000002E-06,-2.3880000000000002E-11,1.4866E-06,4.8752E-07,-4.5722E-07
0.14,0,-1.4696E-06,1.137E-11,1.4163E-06,4.8679999999999994E-07,-4.5726E-07
0.14500000000000002,0,-1.3971000000000001E-06,1.8130000000000003E-11,1.3507E-06,4.8622E-07,-4.574E-07
0.15,0,-1.3351000000000001E-06,-1.9890000000000002E-11,1.2861E-06,4.8558E-07,-4.572E-07
0.155,0,-1.2701000000000001E-06,-8.61E-12,1.2268E-06,4.8514E-07,-4.5734E-07
0.16,0,-1.2156E-06,1.9350000000000003E-11,1.1690000000000002E-06,4.8464E-07,-4.5738E-07
