|Vgs|	Gm_|Vds|=0.01V	Gm_|Vds|=0.02V	Gm_|Vds|=0.03V	Gm_|Vds|=0.04V	Gm_|Vds|=0.05V	Gm_|Vds|=0.06V	Gm_|Vds|=0.07V	Gm_|Vds|=0.08V	Gm_|Vds|=0.09V	Gm_|Vds|=0.1V
-0.3	1.58400000000006e-08	1.27199999999999e-08	1.47200000000009e-08	2.96400000000006e-08	1.77999999999994e-08	1.55200000000005e-08	1.6e-08	1.91600000000015e-08	2.26000000000023e-08	6.46800000000022e-08
-0.295	2.70633333333334e-08	2.68533333333332e-08	2.78133333333336e-08	3.51133333333332e-08	2.94133333333327e-08	2.97766666666667e-08	3.07233333333333e-08	3.24066666666674e-08	3.63300000000011e-08	6.65366666666673e-08
-0.29	4.07140000000001e-08	4.0844e-08	4.2898e-08	5.45879999999999e-08	4.49839999999997e-08	4.6558e-08	4.78159999999999e-08	5.03160000000003e-08	5.40900000000007e-08	7.43260000000005e-08
-0.285	5.30579999999999e-08	5.3408e-08	5.59119999999999e-08	7.90959999999998e-08	5.83319999999998e-08	6.22519999999999e-08	6.31399999999999e-08	6.6516e-08	7.05200000000002e-08	8.27580000000001e-08
-0.28	6.50159999999999e-08	6.67719999999999e-08	6.95979999999999e-08	9.89699999999999e-08	7.37599999999999e-08	7.78579999999998e-08	7.8286e-08	8.36519999999999e-08	8.88519999999998e-08	9.37480000000001e-08
-0.275	7.51459999999999e-08	7.84199999999999e-08	8.20319999999999e-08	1.05266e-07	8.811e-08	9.19919999999999e-08	9.29199999999999e-08	1.00038e-07	1.05688e-07	1.07956e-07
-0.27	8.57579999999999e-08	9.10479999999998e-08	9.4612e-08	1.04172e-07	1.02152e-07	1.0681e-07	1.15512e-07	1.16046e-07	1.21444e-07	1.24708e-07
-0.265	9.76659999999999e-08	1.05906e-07	1.08736e-07	1.04566e-07	1.18452e-07	1.22396e-07	1.46004e-07	1.32716e-07	1.38632e-07	1.42338e-07
-0.26	1.1097e-07	1.20294e-07	1.24374e-07	1.0696e-07	1.35066e-07	1.38994e-07	1.71334e-07	1.51308e-07	1.57486e-07	1.69826e-07
-0.255	1.27758e-07	1.35832e-07	1.41624e-07	1.1859e-07	1.51368e-07	1.5859e-07	1.92998e-07	1.71968e-07	1.7754e-07	2.0793e-07
-0.25	1.47098e-07	1.54038e-07	1.59884e-07	1.46066e-07	1.70686e-07	1.8032e-07	2.1623e-07	1.94324e-07	2.00296e-07	2.40254e-07
-0.245	1.66558e-07	1.72394e-07	1.79822e-07	1.81066e-07	1.9292e-07	2.03704e-07	2.33218e-07	2.19732e-07	2.26668e-07	2.67552e-07
-0.24	1.87386e-07	1.92344e-07	2.02684e-07	2.11126e-07	2.16912e-07	2.3018e-07	2.46212e-07	2.48584e-07	2.5563e-07	2.98496e-07
-0.235	2.11590000000001e-07	2.17272000000001e-07	2.28240000000001e-07	2.37488000000001e-07	2.45284000000001e-07	2.59244000000001e-07	2.70356000000001e-07	2.79968000000001e-07	2.87896000000002e-07	3.24858000000001e-07
-0.23	2.37294000000001e-07	2.45318000000001e-07	2.56974000000001e-07	2.66880000000001e-07	2.78168000000001e-07	2.90768000000001e-07	3.03580000000001e-07	3.13866000000001e-07	3.24704000000002e-07	3.47048000000001e-07
-0.225	2.63832000000001e-07	2.75562000000001e-07	2.90090000000001e-07	2.99900000000001e-07	3.13114000000001e-07	3.26736000000001e-07	3.39028000000001e-07	3.51806000000001e-07	3.65350000000001e-07	3.81060000000001e-07
-0.22	2.95490000000001e-07	3.10028000000001e-07	3.27202000000001e-07	3.37612000000001e-07	3.51316000000001e-07	3.67810000000001e-07	3.80610000000001e-07	3.95142000000001e-07	4.10582000000001e-07	4.26964000000001e-07
-0.215	3.32616000000001e-07	3.49552000000001e-07	3.66992000000001e-07	3.79752000000001e-07	3.94942000000001e-07	4.13076000000001e-07	4.27776000000001e-07	4.43706000000001e-07	4.62370000000001e-07	4.78328000000001e-07
-0.21	3.72067999999999e-07	3.93362e-07	4.1049e-07	4.26454e-07	4.43404e-07	4.62956e-07	4.78312e-07	4.97858e-07	5.1961e-07	5.28986e-07
-0.205	4.15856e-07	4.40724e-07	4.59632e-07	4.77914e-07	4.9804e-07	5.19004e-07	5.35781999999999e-07	5.59262e-07	5.80723999999999e-07	5.79578e-07
-0.2	4.67814e-07	4.88354e-07	5.14457999999999e-07	5.34994e-07	5.60406e-07	5.81612e-07	6.03423999999999e-07	6.28388e-07	6.49151999999999e-07	6.44215999999999e-07
-0.195	5.2647e-07	5.36349999999999e-07	5.74363999999999e-07	5.99317999999999e-07	6.28783999999999e-07	6.52267999999999e-07	6.78067999999999e-07	7.03874e-07	7.27955999999999e-07	7.23467999999999e-07
-0.19	5.90462e-07	5.94843999999999e-07	6.42353999999999e-07	6.71755999999999e-07	7.04399999999999e-07	7.31943999999999e-07	7.59983999999999e-07	7.87231999999999e-07	8.15691999999999e-07	8.13363999999999e-07
-0.185	6.62202e-07	6.68441999999999e-07	7.20835999999999e-07	7.52847999999999e-07	7.88703999999999e-07	8.18911999999999e-07	8.51709999999999e-07	8.81403999999999e-07	9.13141999999999e-07	9.22399999999999e-07
-0.18	7.42964e-07	7.53329999999999e-07	8.08717999999999e-07	8.42617999999999e-07	8.80285999999999e-07	9.15917999999999e-07	9.52533999999999e-07	9.87509999999999e-07	1.02293e-06	1.051798e-06
-0.175	8.32495999999999e-07	8.52361999999999e-07	9.07141999999999e-07	9.43163999999999e-07	9.81485999999999e-07	1.032504e-06	1.064324e-06	1.105444e-06	1.146416e-06	1.189552e-06
-0.17	9.31589999999999e-07	9.68889999999999e-07	1.017878e-06	1.0567e-06	1.09716e-06	1.166558e-06	1.191028e-06	1.235726e-06	1.284774e-06	1.335346e-06
-0.165	1.04263e-06	1.095342e-06	1.14135e-06	1.183336e-06	1.228488e-06	1.309582e-06	1.333176e-06	1.381126e-06	1.438698e-06	1.494108e-06
-0.16	1.16777e-06	1.228022e-06	1.279086e-06	1.325464e-06	1.37657e-06	1.466634e-06	1.492316e-06	1.546994e-06	1.609938e-06	1.670596e-06
-0.155	1.308224e-06	1.373564e-06	1.432214e-06	1.487076e-06	1.5441e-06	1.641514e-06	1.672826e-06	1.73584e-06	1.802778e-06	1.868616e-06
-0.15	1.46586e-06	1.54008e-06	1.60149e-06	1.666326e-06	1.73307e-06	1.829666e-06	1.874608e-06	1.944636e-06	2.020412e-06	2.0886e-06
-0.145	1.642212e-06	1.728354e-06	1.793674e-06	1.864904e-06	1.945362e-06	2.033752e-06	2.098452e-06	2.1766e-06	2.2624e-06	2.3374e-06
-0.14	1.84151e-06	1.936496e-06	2.01377e-06	2.09066e-06	2.179742e-06	2.26596e-06	2.351e-06	2.44e-06	2.5308e-06	2.6186e-06
-0.135	2.066558e-06	2.173584e-06	2.256702e-06	2.344346e-06	2.441e-06	2.5352e-06	2.6296e-06	2.7336e-06	2.8318e-06	2.9334e-06
-0.13	2.317282e-06	2.443036e-06	2.528794e-06	2.627e-06	2.735e-06	2.8436e-06	2.9326e-06	3.0554e-06	3.1712e-06	3.2864e-06
-0.125	2.5981e-06	2.7352e-06	2.8404e-06	2.9474e-06	3.06e-06	3.1874e-06	3.278e-06	3.4164e-06	3.5462e-06	3.6804e-06
-0.12	2.9128e-06	3.057e-06	3.1948e-06	3.309e-06	3.4266e-06	3.5682e-06	3.6748e-06	3.8316e-06	3.9646e-06	4.1216e-06
-0.115	3.2648e-06	3.425e-06	3.5864e-06	3.7094e-06	3.8442e-06	3.9926e-06	4.125e-06	4.301e-06	4.4456e-06	4.6178e-06
-0.11	3.66220000000001e-06	3.84080000000001e-06	4.01360000000001e-06	4.15780000000001e-06	4.30760000000001e-06	4.46840000000001e-06	4.64280000000001e-06	4.82220000000001e-06	4.98920000000001e-06	5.16860000000001e-06
-0.105	4.10980000000001e-06	4.30400000000001e-06	4.49440000000001e-06	4.66300000000001e-06	4.82800000000001e-06	5.00540000000001e-06	5.22580000000001e-06	5.40760000000001e-06	5.59540000000001e-06	5.78760000000001e-06
-0.1	4.61320000000001e-06	4.83220000000001e-06	5.03920000000001e-06	5.22780000000001e-06	5.42200000000001e-06	5.61100000000001e-06	5.85640000000001e-06	6.06540000000001e-06	6.27400000000001e-06	6.48920000000001e-06
-0.095	5.18080000000001e-06	5.43120000000001e-06	5.64220000000001e-06	5.85980000000001e-06	6.08360000000001e-06	6.29340000000001e-06	6.55300000000001e-06	6.79620000000001e-06	7.02840000000001e-06	7.26620000000001e-06
-0.09	5.81820000000001e-06	6.08960000000001e-06	6.31980000000001e-06	6.5646e-06	6.81740000000001e-06	7.07120000000001e-06	7.34720000000001e-06	7.61380000000001e-06	7.86960000000001e-06	8.13020000000001e-06
-0.085	6.529e-06	6.8228e-06	7.09979999999999e-06	7.34739999999999e-06	7.64599999999999e-06	7.94259999999999e-06	8.22819999999999e-06	8.52979999999999e-06	8.81379999999999e-06	9.10899999999999e-06
-0.08	7.32439999999999e-06	7.65539999999999e-06	7.97319999999999e-06	8.23499999999999e-06	8.57099999999999e-06	8.90939999999999e-06	9.20579999999999e-06	9.54519999999999e-06	9.87159999999999e-06	1.02066e-05
-0.075	8.21839999999999e-06	8.59559999999999e-06	8.93699999999999e-06	9.24239999999999e-06	9.59699999999999e-06	1.00036e-05	1.03314e-05	1.0686e-05	1.10658e-05	1.14366e-05
-0.07	9.22779999999999e-06	9.65259999999999e-06	1.00248e-05	1.03666e-05	1.07604e-05	1.1222e-05	1.16018e-05	1.19798e-05	1.24168e-05	1.28268e-05
-0.0649999999999999	1.03548e-05	1.08394e-05	1.12526e-05	1.16384e-05	1.20714e-05	1.25752e-05	1.29978e-05	1.34244e-05	1.39334e-05	1.43828e-05
-0.0599999999999999	1.16302e-05	1.21722e-05	1.2619e-05	1.30904e-05	1.35344e-05	1.41092e-05	1.45816e-05	1.5041e-05	1.56308e-05	1.61246e-05
-0.0549999999999999	1.30752e-05	1.36676e-05	1.41546e-05	1.46988e-05	1.51966e-05	1.58348e-05	1.63686e-05	1.68634e-05	1.75182e-05	1.80816e-05
-0.0499999999999999	1.4676e-05	1.53388e-05	1.59002e-05	1.6478e-05	1.70826e-05	1.775e-05	1.83556e-05	1.89176e-05	1.96368e-05	2.02682e-05
-0.0449999999999999	1.64724000000001e-05	1.72008000000001e-05	1.78420000000001e-05	1.84776000000001e-05	1.91726000000001e-05	1.98842000000001e-05	2.05966000000001e-05	2.12150000000001e-05	2.20224000000001e-05	2.27020000000001e-05
-0.0399999999999999	1.85274000000001e-05	1.92972000000001e-05	2.00120000000001e-05	2.07050000000001e-05	2.14788000000001e-05	2.22754000000001e-05	2.30798000000001e-05	2.37864000000001e-05	2.46640000000001e-05	2.54344000000001e-05
-0.035	2.08538000000001e-05	2.16636000000001e-05	2.24820000000001e-05	2.32026000000001e-05	2.40560000000001e-05	2.49486000000001e-05	2.58122000000001e-05	2.66978000000001e-05	2.76058000000001e-05	2.85178000000001e-05
-0.03	2.34356000000001e-05	2.43106000000001e-05	2.52486000000001e-05	2.60336000000001e-05	2.69850000000001e-05	2.79800000000001e-05	2.89034000000001e-05	2.99870000000001e-05	3.09456000000001e-05	3.19718000000001e-05
-0.025	2.63222e-05	2.72836e-05	2.83094e-05	2.92104e-05	3.03028e-05	3.13994e-05	3.23994e-05	3.36608e-05	3.47056e-05	3.58398e-05
-0.02	2.96062e-05	3.06528e-05	3.17516e-05	3.27738e-05	3.40126e-05	3.52276e-05	3.6344e-05	3.77654e-05	3.89e-05	4.0215e-05
-0.015	3.32462e-05	3.44178e-05	3.56394e-05	3.68106e-05	3.81802e-05	3.9538e-05	4.0847e-05	4.2339e-05	4.3623e-05	4.5117e-05
-0.01	3.72178e-05	3.8616e-05	3.9983e-05	4.134e-05	4.2884e-05	4.4429e-05	4.5946e-05	4.7429e-05	4.8932e-05	5.0592e-05
-0.005	4.1715e-05	4.3373e-05	4.4865e-05	4.6397e-05	4.8107e-05	4.9871e-05	5.1633e-05	5.3122e-05	5.4876e-05	5.67279999999999e-05
-0	4.6851e-05	4.8759e-05	5.03889999999999e-05	5.2172e-05	5.38899999999999e-05	5.58529999999999e-05	5.79319999999999e-05	5.9557e-05	6.15369999999999e-05	6.35799999999999e-05
0.005	5.2568e-05	5.4771e-05	5.6619e-05	5.8648e-05	6.03889999999999e-05	6.26309999999999e-05	6.48829999999999e-05	6.67949999999999e-05	6.89409999999999e-05	7.12619999999999e-05
0.01	5.9004e-05	6.15829999999999e-05	6.35569999999999e-05	6.57519999999999e-05	6.77719999999999e-05	7.05599999999999e-05	7.26329999999999e-05	7.48349999999999e-05	7.72429999999999e-05	7.98649999999999e-05
0.015	6.6284e-05	6.91869999999999e-05	7.12849999999999e-05	7.36469999999999e-05	7.60529999999999e-05	7.93049999999999e-05	8.13819999999999e-05	8.38939999999999e-05	8.66129999999999e-05	8.94749999999999e-05
0.02	7.43759999999999e-05	7.74119999999999e-05	7.99909999999999e-05	8.24379999999999e-05	8.52409999999999e-05	8.85689999999999e-05	9.12049999999999e-05	9.40849999999999e-05	9.70699999999999e-05	0.000100363
