Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	-0.100004	-2.7618e-09	0.100006	4.9664e-07	-4.6464e-07	-0.070322	-1.8725e-09	0.070356	5.0056e-07	-4.6392e-07	-0.035548	-1.0532e-09	0.035542	5.035e-07	-4.6158e-07	-0.0088854	-2.5915e-10	0.0088718	5.0574e-07	-4.593e-07	-0.00036956	6.4577e-10	0.00036914	5.0704e-07	-4.5834e-07	-4.9391e-06	1.5792e-09	4.8863e-06	5.0742e-07	-4.5788e-07	-1.0914e-07	2.701e-09	5.61606e-08	5.083e-07	-4.579e-07
0.005	-0.100006	-2.7766e-09	0.100006	4.9646e-07	-4.6472e-07	-0.070286	-1.8751e-09	0.070288	5.0012e-07	-4.6404e-07	-0.035482	-1.0556e-09	0.035484	5.0284e-07	-4.6164e-07	-0.0088464	-2.7133e-10	0.008848	5.0476e-07	-4.5926e-07	-0.00036718	6.2608e-10	0.0003669	5.0616e-07	-4.583e-07	-4.9073e-06	1.5482e-09	4.8493e-06	5.067e-07	-4.5806e-07	-1.0776e-07	2.6581e-09	5.57648e-08	5.072e-07	-4.5782e-07
0.01	-0.100006	-2.7824e-09	0.100004	4.96e-07	-4.6492e-07	-0.070208	-1.8788e-09	0.070206	4.9932e-07	-4.6394e-07	-0.035424	-1.066e-09	0.03543	5.0202e-07	-4.6162e-07	-0.0088186	-2.824e-10	0.0088182	5.0382e-07	-4.5918e-07	-0.0003648	6.082e-10	0.00036492	5.0522e-07	-4.5828e-07	-4.8743e-06	1.5214e-09	4.8206e-06	5.0552e-07	-4.5794e-07	-1.0634e-07	2.6203e-09	5.5419e-08	5.061e-07	-4.5788e-07
0.015	-0.100006	-2.7917e-09	0.100006	4.9554e-07	-4.6498e-07	-0.070128	-1.8771e-09	0.070126	4.9886e-07	-4.6406e-07	-0.03537	-1.0648e-09	0.035366	5.0134e-07	-4.6168e-07	-0.00879	-2.9223e-10	0.0087924	5.0296e-07	-4.593e-07	-0.00036278	5.8953e-10	0.00036254	5.044e-07	-4.583e-07	-4.8417e-06	1.4962e-09	4.7927e-06	5.047e-07	-4.5796e-07	-1.0494e-07	2.5819e-09	5.50626e-08	5.0522e-07	-4.5776e-07
0.02	-0.100004	-2.7943e-09	0.100004	4.9496e-07	-4.6498e-07	-0.070044	-1.8857e-09	0.070048	4.9794e-07	-4.6394e-07	-0.035304	-1.0771e-09	0.035308	5.005e-07	-4.6164e-07	-0.0087622	-3.033e-10	0.008762	5.0212e-07	-4.5924e-07	-0.00036064	5.698e-10	0.00036058	5.033e-07	-4.5812e-07	-4.8077e-06	1.4674e-09	4.7616e-06	5.0396e-07	-4.581e-07	-1.0362e-07	2.5422e-09	5.46852e-08	5.0426e-07	-4.5784e-07
0.025	-0.100008	-2.8015e-09	0.100006	4.9434e-07	-4.6506e-07	-0.069962	-1.889e-09	0.069962	4.9748e-07	-4.6412e-07	-0.03525	-1.0801e-09	0.035256	4.995e-07	-4.6142e-07	-0.0087354	-3.1477e-10	0.008734	5.0118e-07	-4.592e-07	-0.00035866	5.5381e-10	0.00035868	5.0242e-07	-4.5818e-07	-4.7761e-06	1.4403e-09	4.7376e-06	5.0306e-07	-4.5804e-07	-1.023e-07	2.5036e-09	5.43154e-08	5.0326e-07	-4.578e-07
0.03	-0.100004	-2.8092e-09	0.100004	4.9384e-07	-4.651e-07	-0.069886	-1.8936e-09	0.069878	4.9676e-07	-4.6412e-07	-0.035196	-1.0849e-09	0.03519	4.9902e-07	-4.6164e-07	-0.0087068	-3.249e-10	0.008709	5.0046e-07	-4.592e-07	-0.00035646	5.372e-10	0.00035644	5.0164e-07	-4.583e-07	-4.7476e-06	1.4137e-09	4.7033e-06	5.0216e-07	-4.5806e-07	-1.01e-07	2.4689e-09	5.3953e-08	5.025e-07	-4.5796e-07
0.035	-0.100008	-2.8195e-09	0.100004	4.9344e-07	-4.6524e-07	-0.069808	-1.893e-09	0.069806	4.96e-07	-4.6418e-07	-0.035142	-1.0917e-09	0.035138	4.9812e-07	-4.6158e-07	-0.00868	-3.3405e-10	0.0086814	4.9956e-07	-4.592e-07	-0.00035446	5.1961e-10	0.00035406	5.0076e-07	-4.583e-07	-4.718e-06	1.3894e-09	4.6721e-06	5.0134e-07	-4.5816e-07	-9.96404e-08	2.4308e-09	5.36148e-08	5.0144e-07	-4.578e-07
0.04	-0.100006	-2.8235e-09	0.100004	4.9288e-07	-4.6526e-07	-0.069726	-1.8961e-09	0.069726	4.9552e-07	-4.6418e-07	-0.035078	-1.0981e-09	0.035074	4.974e-07	-4.6158e-07	-0.0086524	-3.4321e-10	0.0086504	4.988e-07	-4.5906e-07	-0.00035232	4.9956e-10	0.00035222	4.9994e-07	-4.583e-07	-4.6846e-06	1.3631e-09	4.6444e-06	5.0054e-07	-4.5812e-07	-9.8407e-08	2.3938e-09	5.32344e-08	5.0056e-07	-4.578e-07
0.045	-0.100008	-2.839e-09	0.100006	4.9228e-07	-4.653e-07	-0.069652	-1.8972e-09	0.069642	4.948e-07	-4.6418e-07	-0.03502	-1.096e-09	0.035014	4.9672e-07	-4.6162e-07	-0.0086258	-3.5414e-10	0.0086254	4.9796e-07	-4.5924e-07	-0.00035024	4.8411e-10	0.00035014	4.9918e-07	-4.5824e-07	-4.6547e-06	1.3363e-09	4.6112e-06	4.9964e-07	-4.5812e-07	-9.71438e-08	2.3569e-09	5.28786e-08	4.9986e-07	-4.5794e-07
0.05	-0.100004	-2.8416e-09	0.100004	4.9176e-07	-4.654e-07	-0.069574	-1.902e-09	0.06956	4.9426e-07	-4.6424e-07	-0.03496	-1.106e-09	0.03496	4.96e-07	-4.6154e-07	-0.0085978	-3.6367e-10	0.0086002	4.972e-07	-4.5922e-07	-0.00034804	4.6902e-10	0.00034814	4.9836e-07	-4.583e-07	-4.6229e-06	1.314e-09	4.5832e-06	4.9866e-07	-4.5792e-07	-9.59056e-08	2.3202e-09	5.24964e-08	4.9888e-07	-4.5782e-07
0.055	-0.100006	-2.8488e-09	0.100004	4.9136e-07	-4.6538e-07	-0.069484	-1.9073e-09	0.069486	4.9348e-07	-4.6398e-07	-0.0349	-1.1059e-09	0.034896	4.9534e-07	-4.6164e-07	-0.0085716	-3.7472e-10	0.008572	4.9644e-07	-4.5924e-07	-0.00034632	4.5111e-10	0.00034626	4.9736e-07	-4.5806e-07	-4.5922e-06	1.2885e-09	4.5532e-06	4.9796e-07	-4.5794e-07	-9.4676e-08	2.2843e-09	5.2188e-08	4.9804e-07	-4.5786e-07
0.06	-0.100008	-2.8606e-09	0.100004	4.9082e-07	-4.6546e-07	-0.069408	-1.9077e-09	0.069396	4.929e-07	-4.6412e-07	-0.034842	-1.1119e-09	0.034844	4.9462e-07	-4.6146e-07	-0.008543	-3.8307e-10	0.0085458	4.9574e-07	-4.5908e-07	-0.0003442	4.374e-10	0.000344	4.9672e-07	-4.5832e-07	-4.5628e-06	1.2616e-09	4.524e-06	4.97e-07	-4.5798e-07	-9.34656e-08	2.2471e-09	5.18478e-08	4.9738e-07	-4.58e-07
0.065	-0.100004	-2.8686e-09	0.100004	4.9022e-07	-4.6542e-07	-0.069318	-1.9123e-09	0.069318	4.9238e-07	-4.6408e-07	-0.034786	-1.1178e-09	0.034784	4.9382e-07	-4.6146e-07	-0.0085144	-3.9249e-10	0.0085158	4.948e-07	-4.5916e-07	-0.00034212	4.1959e-10	0.0003421	4.9608e-07	-4.5828e-07	-4.5347e-06	1.2398e-09	4.4947e-06	4.9628e-07	-4.5806e-07	-9.22942e-08	2.2119e-09	5.15096e-08	4.9654e-07	-4.5798e-07
0.07	-0.100008	-2.8752e-09	0.100004	4.8976e-07	-4.6544e-07	-0.069244	-1.917e-09	0.069238	4.9182e-07	-4.6406e-07	-0.034724	-1.1226e-09	0.034724	4.931e-07	-4.6134e-07	-0.0084882	-3.9837e-10	0.0084888	4.942e-07	-4.5916e-07	-0.0003401	4.033e-10	0.00034016	4.9526e-07	-4.5828e-07	-4.5038e-06	1.2164e-09	4.4645e-06	4.958e-07	-4.5802e-07	-9.11144e-08	2.1774e-09	5.11164e-08	4.9568e-07	-4.5782e-07
0.075	-0.100006	-2.8826e-09	0.100004	4.8924e-07	-4.6546e-07	-0.06916	-1.918e-09	0.069152	4.914e-07	-4.6426e-07	-0.034664	-1.1242e-09	0.034664	4.9244e-07	-4.6138e-07	-0.0084636	-4.0871e-10	0.0084618	4.9346e-07	-4.5906e-07	-0.00033818	3.8746e-10	0.0003382	4.945e-07	-4.583e-07	-4.4718e-06	1.1942e-09	4.4337e-06	4.9498e-07	-4.5816e-07	-8.99158e-08	2.1439e-09	5.07902e-08	4.948e-07	-4.5788e-07
0.08	-0.100008	-2.8866e-09	0.100002	4.8874e-07	-4.6544e-07	-0.06907	-1.9252e-09	0.069064	4.907e-07	-4.6422e-07	-0.034606	-1.1323e-09	0.034602	4.92e-07	-4.6154e-07	-0.0084352	-4.1796e-10	0.008434	4.9336e-07	-4.5916e-07	-0.00033604	3.7339e-10	0.00033616	4.9384e-07	-4.5838e-07	-4.4424e-06	1.1693e-09	4.405e-06	4.9428e-07	-4.5812e-07	-8.87922e-08	2.1101e-09	5.04738e-08	4.942e-07	-4.58e-07
