Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	6.664e-11	1.74e-12	-6.971e-11	3.347e-07	-3.3524e-07	1.16284e-08	5.373e-11	-1.12786e-08	3.354e-07	-3.3536e-07	6.2292e-07	2.7589e-10	-7.993e-07	3.3502e-07	-3.35e-07	-1.08054e-05	1.7269e-09	1.0954e-05	3.3514e-07	-3.3512e-07	-2.0398e-05	7.5245e-09	2.8144e-05	3.3512e-07	-3.3508e-07	-2.3302e-05	2.78756e-08	4.1114e-05	3.3492e-07	-3.3492e-07	-2.3702e-05	1.1022e-07	4.8874e-05	3.3536e-07	-3.3538e-07
0.005	2.3703e-10	-3.06e-12	-2.4118e-10	3.3524e-07	-3.3526e-07	3.64928e-08	5.157e-11	-3.66652e-08	3.3534e-07	-3.3536e-07	4.1348e-06	2.6532e-10	-4.0972e-06	3.3506e-07	-3.3502e-07	7.2954e-05	1.6748e-09	-8.5796e-05	3.3506e-07	-3.3504e-07	6.2606e-05	7.3551e-09	-0.00029662	3.3514e-07	-3.351e-07	5.2074e-05	2.72356e-08	-0.00046826	3.3488e-07	-3.3488e-07	4.3852e-05	1.073e-07	-0.00058104	3.3524e-07	-3.3524e-07
0.01	3.9313e-10	-3.5e-13	-3.7486e-10	3.3526e-07	-3.352e-07	5.69426e-08	4.88e-11	-5.6759e-08	3.3538e-07	-3.3538e-07	6.8838e-06	2.5466e-10	-6.9243e-06	3.3502e-07	-3.3496e-07	0.00017476	1.6303e-09	-0.00017482	3.3504e-07	-3.3514e-07	0.00061848	7.1856e-09	-0.00061832	3.3514e-07	-3.3512e-07	0.00098988	2.66058e-08	-0.00099098	3.3482e-07	-3.3482e-07	0.0012284	1.0446e-07	-0.0012272	3.3518e-07	-3.3524e-07
0.015	5.0295e-10	-4.76e-12	-4.8688e-10	3.3526e-07	-3.3524e-07	7.3962e-08	4.727e-11	-7.41572e-08	3.3538e-07	-3.3536e-07	9.2459e-06	2.5075e-10	-9.244e-06	3.3502e-07	-3.3502e-07	0.00025702	1.5875e-09	-0.00025696	3.3514e-07	-3.3512e-07	0.00093786	7.0195e-09	-0.00093718	3.3512e-07	-3.3512e-07	0.0015132	2.59932e-08	-0.0015126	3.348e-07	-3.3482e-07	0.0018834	1.0182e-07	-0.0018812	3.3516e-07	-3.3508e-07
0.02	6.0124e-10	-3.31e-12	-5.7666e-10	3.352e-07	-3.353e-07	8.79668e-08	4.551e-11	-8.81084e-08	3.354e-07	-3.3534e-07	1.12771e-05	2.4426e-10	-1.12704e-05	3.351e-07	-3.35e-07	0.00033242	1.5412e-09	-0.0003318	3.3504e-07	-3.3518e-07	0.0012428	6.8617e-09	-0.0012414	3.3526e-07	-3.3524e-07	0.0020236	2.5414e-08	-0.0020226	3.3488e-07	-3.3478e-07	0.0025218	9.92116e-08	-0.0025216	3.3508e-07	-3.3506e-07
0.025	6.9652e-10	-4.98e-12	-6.5631e-10	3.3524e-07	-3.353e-07	9.96402e-08	4.421e-11	-9.96402e-08	3.3544e-07	-3.3544e-07	1.2878e-05	2.3546e-10	-1.2848e-05	3.3508e-07	-3.3516e-07	0.00040112	1.5034e-09	-0.00040062	3.3514e-07	-3.3512e-07	0.0015392	6.7107e-09	-0.0015378	3.3518e-07	-3.3524e-07	0.0025262	2.4835e-08	-0.0025242	3.3488e-07	-3.3482e-07	0.0031582	9.66972e-08	-0.0031586	3.3508e-07	-3.3514e-07
0.03	7.584e-10	-8.45e-12	-7.1499e-10	3.3524e-07	-3.353e-07	1.093132e-07	4.341e-11	-1.092782e-07	3.3536e-07	-3.3536e-07	1.4232e-05	2.3213e-10	-1.4304e-05	3.3508e-07	-3.3506e-07	0.00046474	1.4623e-09	-0.00046462	3.3512e-07	-3.3518e-07	0.0018292	6.5699e-09	-0.0018282	3.3526e-07	-3.3524e-07	0.0030282	2.42974e-08	-0.0030276	3.3506e-07	-3.3506e-07	0.0037998	9.42486e-08	-0.003799	3.3508e-07	-3.351e-07
0.035	8.3e-10	-5.97e-12	-7.6474e-10	3.3532e-07	-3.3536e-07	1.1746e-07	4.611e-11	-1.1734e-07	3.3484e-07	-3.3488e-07	1.5458e-05	2.2329e-10	-1.5426e-05	3.3514e-07	-3.3512e-07	0.00052196	1.4314e-09	-0.00052184	3.3508e-07	-3.3508e-07	0.0021076	6.4234e-09	-0.0021058	3.3524e-07	-3.352e-07	0.0035168	2.37688e-08	-0.0035138	3.3502e-07	-3.3508e-07	0.0044308	9.19552e-08	-0.0044292	3.3492e-07	-3.3498e-07
0.04	8.7011e-10	-1.208e-11	-8.0633e-10	3.353e-07	-3.3532e-07	1.239e-07	3.932e-11	-1.2354e-07	3.346e-07	-3.3466e-07	1.6392e-05	2.2257e-10	-1.6428e-05	3.3514e-07	-3.3516e-07	0.00057478	1.3949e-09	-0.00057458	3.3506e-07	-3.3504e-07	0.00238	6.2907e-09	-0.0023786	3.3514e-07	-3.351e-07	0.0040066	2.3248e-08	-0.0040066	3.3498e-07	-3.3502e-07	0.0050588	8.9696e-08	-0.00506	3.3512e-07	-3.3506e-07
0.045	9.2522e-10	-8.66e-12	-8.3989e-10	3.3532e-07	-3.353e-07	1.2932e-07	4.221e-11	-1.2956e-07	3.3464e-07	-3.3464e-07	1.7282e-05	2.1234e-10	-1.7264e-05	3.3512e-07	-3.3512e-07	0.0006221	1.364e-09	-0.0006219	3.3502e-07	-3.3506e-07	0.0026386	6.151e-09	-0.0026382	3.3512e-07	-3.353e-07	0.0044792	2.27492e-08	-0.0044794	3.3502e-07	-3.3504e-07	0.0056792	8.749e-08	-0.0056784	3.3504e-07	-3.3508e-07
0.05	9.6266e-10	-8.67e-12	-8.715e-10	3.3526e-07	-3.3526e-07	1.332e-07	4.066e-11	-1.3346e-07	3.3478e-07	-3.3466e-07	1.7908e-05	2.1111e-10	-1.7912e-05	3.3508e-07	-3.3514e-07	0.00066588	1.3318e-09	-0.00066538	3.3506e-07	-3.35e-07	0.0028916	6.0262e-09	-0.0028908	3.3514e-07	-3.352e-07	0.0049554	2.22544e-08	-0.0049548	3.3506e-07	-3.3506e-07	0.0062998	8.53576e-08	-0.0063004	3.3506e-07	-3.3506e-07
0.055	9.837e-10	-1.268e-11	-9.0013e-10	3.3524e-07	-3.3528e-07	1.3782e-07	3.701e-11	-1.3784e-07	3.3468e-07	-3.3472e-07	1.85e-05	2.0338e-10	-1.8484e-05	3.3512e-07	-3.3514e-07	0.00070402	1.3016e-09	-0.00070416	3.3506e-07	-3.3514e-07	0.0031338	5.9021e-09	-0.0031324	3.3512e-07	-3.3518e-07	0.0054156	2.1771e-08	-0.0054162	3.35e-07	-3.3506e-07	0.0069102	8.33132e-08	-0.0069088	3.3556e-07	-3.356e-07
0.06	1.0173e-09	-1.157e-11	-9.2029e-10	3.3524e-07	-3.3526e-07	1.4004e-07	3.963e-11	-1.4018e-07	3.3464e-07	-3.3476e-07	1.8932e-05	2.0267e-10	-1.8988e-05	3.3506e-07	-3.3512e-07	0.00073984	1.2772e-09	-0.00073936	3.3506e-07	-3.351e-07	0.0033672	5.7818e-09	-0.0033668	3.3506e-07	-3.3518e-07	0.0058744	2.13346e-08	-0.0058726	3.3502e-07	-3.35e-07	0.0075228	8.12824e-08	-0.0075202	3.3556e-07	-3.356e-07
