vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.06571	-9.6208e-10	0.065698	7.0392e-07	-6.321e-07	-0.047114	-5.0648e-10	0.047142	7.1832e-07	-6.4028e-07	-0.028688	-1.9561e-10	0.028712	7.1244e-07	-6.3066e-07	-0.01242	5.086e-11	0.012434	7.0938e-07	-6.2444e-07	-0.0024166	3.0327e-10	0.0024152	7.0484e-07	-6.1842e-07	-0.00013526	5.9806e-10	0.0001353	7.0404e-07	-6.1726e-07	-4.349e-06	9.3905e-10	4.256e-06	7.0526e-07	-6.176e-07
0.005	-0.065576	-9.6565e-10	0.065594	7.0676e-07	-6.3286e-07	-0.047042	-5.1259e-10	0.047054	7.1786e-07	-6.4054e-07	-0.028622	-1.9664e-10	0.02864	7.1164e-07	-6.3094e-07	-0.01236	4.341e-11	0.012376	7.0774e-07	-6.2432e-07	-0.0023928	2.9664e-10	0.0023938	7.0318e-07	-6.1848e-07	-0.00013318	5.8971e-10	0.0001334	7.0278e-07	-6.1716e-07	-4.2712e-06	9.2384e-10	4.1825e-06	7.0384e-07	-6.1764e-07
0.01	-0.065474	-9.7068e-10	0.065496	7.063e-07	-6.3362e-07	-0.046948	-5.1397e-10	0.046962	7.1672e-07	-6.4056e-07	-0.028548	-2.0134e-10	0.02856	7.104e-07	-6.3112e-07	-0.012304	4.132e-11	0.012322	7.0638e-07	-6.2428e-07	-0.0023722	2.887e-10	0.0023726	7.0196e-07	-6.1832e-07	-0.00013128	5.8149e-10	0.00013144	7.013e-07	-6.1732e-07	-4.194e-06	9.1526e-10	4.1076e-06	7.024e-07	-6.177e-07
0.015	-0.06538	-9.7113e-10	0.065392	7.0588e-07	-6.343e-07	-0.046864	-5.1521e-10	0.046876	7.158e-07	-6.408e-07	-0.028466	-2.0269e-10	0.028486	7.0926e-07	-6.313e-07	-0.012248	3.831e-11	0.012266	7.0504e-07	-6.243e-07	-0.0023522	2.8513e-10	0.0023528	7.007e-07	-6.1828e-07	-0.00012954	5.7411e-10	0.00012954	6.9984e-07	-6.172e-07	-4.1203e-06	9.0356e-10	4.0376e-06	7.0112e-07	-6.1772e-07
0.02	-0.065282	-9.7233e-10	0.065296	7.054e-07	-6.3498e-07	-0.046774	-5.1729e-10	0.046792	7.1474e-07	-6.4094e-07	-0.028398	-2.0507e-10	0.028414	7.0796e-07	-6.3128e-07	-0.012196	3.578e-11	0.012214	7.0378e-07	-6.2436e-07	-0.0023308	2.8071e-10	0.0023318	6.9922e-07	-6.1834e-07	-0.00012754	5.6661e-10	0.0001277	6.9858e-07	-6.1718e-07	-4.0457e-06	8.9411e-10	3.9657e-06	6.9974e-07	-6.1768e-07
0.025	-0.065176	-9.735e-10	0.065198	7.0462e-07	-6.354e-07	-0.046686	-5.2064e-10	0.046698	7.138e-07	-6.4088e-07	-0.02832	-2.0724e-10	0.02834	7.071e-07	-6.316e-07	-0.012142	3.318e-11	0.01216	7.0224e-07	-6.2422e-07	-0.002311	2.7469e-10	0.00231	6.9796e-07	-6.1838e-07	-0.0001257	5.6049e-10	0.00012588	6.9714e-07	-6.172e-07	-3.9728e-06	8.8606e-10	3.8937e-06	6.9862e-07	-6.1784e-07
0.03	-0.065078	-9.7684e-10	0.065092	7.0376e-07	-6.3586e-07	-0.046596	-5.1891e-10	0.046618	7.1268e-07	-6.41e-07	-0.028244	-2.0684e-10	0.02826	7.0604e-07	-6.317e-07	-0.01209	2.827e-11	0.012108	7.0088e-07	-6.2408e-07	-0.0022898	2.6763e-10	0.0022892	6.9666e-07	-6.183e-07	-0.00012382	5.518e-10	0.00012408	6.96e-07	-6.1724e-07	-3.9054e-06	8.7587e-10	3.8267e-06	6.9724e-07	-6.178e-07
0.035	-0.064976	-9.7873e-10	0.064996	7.033e-07	-6.3624e-07	-0.046506	-5.213e-10	0.04653	7.115e-07	-6.409e-07	-0.028166	-2.1215e-10	0.028184	7.048e-07	-6.3186e-07	-0.012034	2.703e-11	0.012048	6.9964e-07	-6.2406e-07	-0.0022688	2.6383e-10	0.0022696	6.9528e-07	-6.1832e-07	-0.0001221	5.4689e-10	0.00012226	6.9468e-07	-6.172e-07	-3.8361e-06	8.6672e-10	3.7565e-06	6.9594e-07	-6.1778e-07
0.04	-0.06488	-9.7695e-10	0.064902	7.0262e-07	-6.3654e-07	-0.046428	-5.251e-10	0.046442	7.104e-07	-6.4108e-07	-0.028098	-2.1178e-10	0.028112	7.0372e-07	-6.3194e-07	-0.01198	2.172e-11	0.011994	6.9828e-07	-6.2414e-07	-0.0022488	2.6077e-10	0.0022488	6.9414e-07	-6.1836e-07	-0.00012032	5.3886e-10	0.00012046	6.9362e-07	-6.1734e-07	-3.7699e-06	8.545e-10	3.6939e-06	6.9462e-07	-6.1794e-07
0.045	-0.06478	-9.7992e-10	0.064798	7.02e-07	-6.3714e-07	-0.046332	-5.2573e-10	0.046354	7.0938e-07	-6.412e-07	-0.02802	-2.1438e-10	0.028034	7.0272e-07	-6.3196e-07	-0.011926	2.086e-11	0.011938	6.9728e-07	-6.242e-07	-0.0022282	2.5392e-10	0.0022286	6.9284e-07	-6.1838e-07	-0.00011866	5.3343e-10	0.00011874	6.924e-07	-6.1732e-07	-3.7015e-06	8.4915e-10	3.6302e-06	6.932e-07	-6.1788e-07
