vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-9.4031e-08	1.3128e-08	4.2747e-10	6.8078e-07	-6.0076e-07	-5.77738e-08	1.32628e-08	2.9881e-10	6.7362e-07	-6.2956e-07	-3.37678e-08	1.2862e-08	2.822e-10	6.534e-07	-6.3278e-07	-1.82338e-08	1.25206e-08	2.5776e-10	6.3952e-07	-6.3406e-07	-7.3564e-09	1.2202e-08	2.3074e-10	6.2848e-07	-6.3356e-07	-7.6031e-10	1.20624e-08	2.0168e-10	6.2222e-07	-6.3364e-07	3.5695e-09	1.19094e-08	1.7321e-10	6.1822e-07	-6.3374e-07
1.195	-9.39404e-08	1.20474e-08	4.1647e-10	6.824e-07	-6.0108e-07	-5.72594e-08	1.20116e-08	3.0084e-10	6.741e-07	-6.2904e-07	-3.35224e-08	1.16356e-08	2.8456e-10	6.5378e-07	-6.3224e-07	-1.81236e-08	1.13156e-08	2.5895e-10	6.4026e-07	-6.3356e-07	-7.3814e-09	1.10558e-08	2.3218e-10	6.295e-07	-6.334e-07	-7.9132e-10	1.0893e-08	2.0384e-10	6.2332e-07	-6.335e-07	3.5413e-09	1.07598e-08	1.7574e-10	6.193e-07	-6.338e-07
1.19	-9.36968e-08	1.1065e-08	4.1569e-10	6.8366e-07	-6.0144e-07	-5.71786e-08	1.09688e-08	3.0392e-10	6.7446e-07	-6.2844e-07	-3.35666e-08	1.05972e-08	2.8605e-10	6.5472e-07	-6.3182e-07	-1.81606e-08	1.02828e-08	2.6156e-10	6.4098e-07	-6.3324e-07	-7.3286e-09	1.00322e-08	2.3523e-10	6.3038e-07	-6.3328e-07	-8.0915e-10	9.914e-09	2.0689e-10	6.243e-07	-6.3356e-07	3.544e-09	9.7393e-09	1.7953e-10	6.2032e-07	-6.3368e-07
1.185	-9.3613e-08	1.01536e-08	4.1473e-10	6.8478e-07	-6.018e-07	-5.70498e-08	1.00224e-08	3.0674e-10	6.751e-07	-6.2816e-07	-3.3466e-08	9.6069e-09	2.8763e-10	6.549e-07	-6.3142e-07	-1.81372e-08	9.3297e-09	2.6542e-10	6.4154e-07	-6.3306e-07	-7.3246e-09	9.07e-09	2.3741e-10	6.3102e-07	-6.3296e-07	-8.0281e-10	8.9584e-09	2.0931e-10	6.253e-07	-6.3368e-07	3.5381e-09	8.8277e-09	1.8115e-10	6.2114e-07	-6.3368e-07
1.18	-9.33822e-08	9.326e-09	4.1309e-10	6.8588e-07	-6.0214e-07	-5.6962e-08	9.1484e-09	3.092e-10	6.7494e-07	-6.2744e-07	-3.35158e-08	8.7614e-09	2.8985e-10	6.5526e-07	-6.309e-07	-1.81328e-08	8.4693e-09	2.6713e-10	6.4192e-07	-6.3238e-07	-7.3416e-09	8.239e-09	2.3997e-10	6.3174e-07	-6.329e-07	-7.9636e-10	8.1221e-09	2.1202e-10	6.2574e-07	-6.334e-07	3.5343e-09	8.0168e-09	1.838e-10	6.2198e-07	-6.336e-07
1.175	-9.30872e-08	8.5899e-09	4.1288e-10	6.8684e-07	-6.0268e-07	-5.68824e-08	8.3596e-09	3.1442e-10	6.7512e-07	-6.268e-07	-3.33372e-08	7.987e-09	2.9278e-10	6.5538e-07	-6.3028e-07	-1.81232e-08	7.6963e-09	2.6884e-10	6.4226e-07	-6.3206e-07	-7.3397e-09	7.4843e-09	2.4268e-10	6.3246e-07	-6.327e-07	-7.7976e-10	7.362e-09	2.1476e-10	6.2656e-07	-6.3322e-07	3.5352e-09	7.2553e-09	1.8572e-10	6.2262e-07	-6.3346e-07
1.17	-9.28804e-08	7.926e-09	4.1224e-10	6.8758e-07	-6.0324e-07	-5.67848e-08	7.6611e-09	3.1635e-10	6.751e-07	-6.2638e-07	-3.3262e-08	7.2895e-09	2.9472e-10	6.555e-07	-6.2994e-07	-1.80136e-08	7.0146e-09	2.7095e-10	6.425e-07	-6.3166e-07	-7.3199e-09	6.7948e-09	2.4431e-10	6.327e-07	-6.3246e-07	-7.7712e-10	6.6813e-09	2.1667e-10	6.2722e-07	-6.3318e-07	3.5285e-09	6.5928e-09	1.8872e-10	6.2322e-07	-6.3338e-07
1.165	-9.2676e-08	7.3123e-09	4.1176e-10	6.8826e-07	-6.0328e-07	-5.66804e-08	7.0185e-09	3.185e-10	6.7528e-07	-6.2594e-07	-3.32348e-08	6.662e-09	2.9692e-10	6.5586e-07	-6.2956e-07	-1.79722e-08	6.3885e-09	2.7375e-10	6.4304e-07	-6.314e-07	-7.3079e-09	6.1716e-09	2.4742e-10	6.3348e-07	-6.3248e-07	-7.8907e-10	6.0625e-09	2.1874e-10	6.2746e-07	-6.329e-07	3.5289e-09	5.9666e-09	1.8944e-10	6.2384e-07	-6.3356e-07
1.16	-9.26296e-08	6.7671e-09	4.1103e-10	6.8904e-07	-6.0358e-07	-5.65728e-08	6.4475e-09	3.2024e-10	6.7524e-07	-6.2544e-07	-3.31584e-08	6.0926e-09	2.9887e-10	6.5622e-07	-6.294e-07	-1.79388e-08	5.8251e-09	2.7585e-10	6.431e-07	-6.3116e-07	-7.2855e-09	5.613e-09	2.4956e-10	6.3364e-07	-6.321e-07	-7.759e-10	5.5094e-09	2.2039e-10	6.2794e-07	-6.329e-07	3.529e-09	5.4191e-09	1.9258e-10	6.2442e-07	-6.335e-07
1.155	-9.243e-08	6.2459e-09	4.1126e-10	6.8962e-07	-6.0406e-07	-5.64624e-08	5.9249e-09	3.2339e-10	6.753e-07	-6.2514e-07	-3.3111e-08	5.5681e-09	3.0167e-10	6.563e-07	-6.2908e-07	-1.79262e-08	5.3157e-09	2.7793e-10	6.4334e-07	-6.3098e-07	-7.2625e-09	5.111e-09	2.5108e-10	6.3396e-07	-6.3204e-07	-7.7426e-10	5.0031e-09	2.231e-10	6.2828e-07	-6.3272e-07	3.5282e-09	4.9028e-09	1.9375e-10	6.2484e-07	-6.3342e-07
