vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.18V	ig_vd = 0.18V	is_vd = 0.18V	iavdd_vd = 0.18V	ignd_vd = 0.18V	id_vd = 0.27V	ig_vd = 0.27V	is_vd = 0.27V	iavdd_vd = 0.27V	ignd_vd = 0.27V	id_vd = 0.36V	ig_vd = 0.36V	is_vd = 0.36V	iavdd_vd = 0.36V	ignd_vd = 0.36V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.54V	ig_vd = 0.54V	is_vd = 0.54V	iavdd_vd = 0.54V	ignd_vd = 0.54V	id_vd = 0.63V	ig_vd = 0.63V	is_vd = 0.63V	iavdd_vd = 0.63V	ignd_vd = 0.63V	id_vd = 0.72V	ig_vd = 0.72V	is_vd = 0.72V	iavdd_vd = 0.72V	ignd_vd = 0.72V	id_vd = 0.81V	ig_vd = 0.81V	is_vd = 0.81V	iavdd_vd = 0.81V	ignd_vd = 0.81V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	7.2231e-10	1.15408e-08	2.2575e-10	6.0456e-07	-6.1758e-07	6.5821e-10	1.1706e-08	1.7079e-10	6.2266e-07	-6.353e-07	9.2839e-10	1.1729e-08	1.6087e-10	6.2656e-07	-6.3938e-07	1.1815e-09	1.17856e-08	1.5327e-10	6.2886e-07	-6.4188e-07	1.4405e-09	1.17414e-08	1.5004e-10	6.305e-07	-6.4366e-07	1.7114e-09	1.17124e-08	1.4708e-10	6.3162e-07	-6.451e-07	1.9826e-09	1.17212e-08	1.4432e-10	6.3248e-07	-6.4628e-07	2.2573e-09	1.17044e-08	1.4136e-10	6.336e-07	-6.4784e-07	2.5497e-09	1.16886e-08	1.3889e-10	6.3402e-07	-6.4846e-07	2.8653e-09	1.16706e-08	1.3472e-10	6.3458e-07	-6.4926e-07	3.2111e-09	1.16376e-08	1.3886e-10	6.3494e-07	-6.4998e-07
1.195	6.1621e-10	1.04824e-08	2.2966e-10	6.0642e-07	-6.1786e-07	6.7166e-10	1.0616e-08	1.7719e-10	6.2354e-07	-6.3508e-07	9.3164e-10	1.06328e-08	1.6875e-10	6.2754e-07	-6.3934e-07	1.1934e-09	1.06568e-08	1.6063e-10	6.2984e-07	-6.419e-07	1.451e-09	1.06372e-08	1.5593e-10	6.3138e-07	-6.4362e-07	1.7232e-09	1.06284e-08	1.5367e-10	6.3258e-07	-6.451e-07	1.9887e-09	1.06024e-08	1.5117e-10	6.3342e-07	-6.4622e-07	2.2669e-09	1.06028e-08	1.4841e-10	6.3456e-07	-6.4748e-07	2.5587e-09	1.0599e-08	1.4354e-10	6.3508e-07	-6.4834e-07	2.8724e-09	1.05758e-08	1.4397e-10	6.358e-07	-6.4916e-07	3.2186e-09	1.05462e-08	1.4258e-10	6.3612e-07	-6.5e-07
1.19	6.1842e-10	9.5238e-09	2.3346e-10	6.0806e-07	-6.184e-07	6.802e-10	9.6528e-09	1.8303e-10	6.2466e-07	-6.352e-07	9.4517e-10	9.6571e-09	1.7541e-10	6.2846e-07	-6.393e-07	1.2006e-09	9.6638e-09	1.662e-10	6.3054e-07	-6.4182e-07	1.4611e-09	9.6606e-09	1.6284e-10	6.3242e-07	-6.4364e-07	1.7307e-09	9.6698e-09	1.6081e-10	6.3366e-07	-6.4518e-07	2.0008e-09	9.6276e-09	1.5762e-10	6.3452e-07	-6.4612e-07	2.2755e-09	9.6406e-09	1.533e-10	6.3554e-07	-6.4754e-07	2.564e-09	9.6038e-09	1.5219e-10	6.361e-07	-6.484e-07	2.8769e-09	9.5946e-09	1.5031e-10	6.3682e-07	-6.495e-07	3.221e-09	9.5654e-09	1.5126e-10	6.3716e-07	-6.5008e-07
1.185	6.2098e-10	8.6517e-09	2.3638e-10	6.0934e-07	-6.189e-07	6.9073e-10	8.7589e-09	1.8877e-10	6.2562e-07	-6.3516e-07	9.4832e-10	8.7715e-09	1.8056e-10	6.2936e-07	-6.3926e-07	1.2052e-09	8.7747e-09	1.7332e-10	6.3164e-07	-6.4176e-07	1.4677e-09	8.7474e-09	1.6874e-10	6.3326e-07	-6.436e-07	1.7357e-09	8.7541e-09	1.6698e-10	6.3438e-07	-6.4518e-07	2.0083e-09	8.7312e-09	1.6397e-10	6.353e-07	-6.4632e-07	2.2807e-09	8.7348e-09	1.5986e-10	6.3648e-07	-6.4738e-07	2.5726e-09	8.7246e-09	1.5699e-10	6.3696e-07	-6.4838e-07	2.8873e-09	8.7012e-09	1.6189e-10	6.3768e-07	-6.4938e-07	3.2262e-09	8.6847e-09	1.5591e-10	6.379e-07	-6.5e-07
1.18	6.0552e-10	7.8838e-09	2.4029e-10	6.105e-07	-6.1924e-07	6.9595e-10	7.9731e-09	1.9426e-10	6.2634e-07	-6.352e-07	9.6058e-10	7.981e-09	1.8593e-10	6.3014e-07	-6.3936e-07	1.2119e-09	7.9802e-09	1.7823e-10	6.3256e-07	-6.4176e-07	1.4756e-09	7.9525e-09	1.7495e-10	6.3436e-07	-6.4386e-07	1.7433e-09	7.9594e-09	1.7137e-10	6.354e-07	-6.4532e-07	2.01e-09	7.9447e-09	1.6786e-10	6.3618e-07	-6.4628e-07	2.2827e-09	7.9394e-09	1.6573e-10	6.3704e-07	-6.4752e-07	2.5765e-09	7.9339e-09	1.6257e-10	6.377e-07	-6.4846e-07	2.892e-09	7.9166e-09	1.6064e-10	6.3836e-07	-6.494e-07	3.2303e-09	7.8923e-09	1.6184e-10	6.3878e-07	-6.501e-07
1.175	6.0496e-10	7.1636e-09	2.4381e-10	6.1164e-07	-6.1968e-07	7.1123e-10	7.2436e-09	1.9964e-10	6.2718e-07	-6.354e-07	9.6498e-10	7.2551e-09	1.9226e-10	6.3084e-07	-6.3926e-07	1.2177e-09	7.2625e-09	1.8543e-10	6.3314e-07	-6.4174e-07	1.4791e-09	7.2374e-09	1.795e-10	6.3462e-07	-6.4362e-07	1.7496e-09	7.2405e-09	1.7807e-10	6.3608e-07	-6.4512e-07	2.0192e-09	7.2019e-09	1.7392e-10	6.3696e-07	-6.4628e-07	2.2901e-09	7.2112e-09	1.7191e-10	6.3796e-07	-6.4764e-07	2.5835e-09	7.2114e-09	1.6904e-10	6.3836e-07	-6.484e-07	2.8968e-09	7.1922e-09	1.652e-10	6.3902e-07	-6.4928e-07	3.2378e-09	7.1788e-09	1.6525e-10	6.395e-07	-6.5016e-07
1.17	6.0609e-10	6.5311e-09	2.497e-10	6.1252e-07	-6.1978e-07	7.2104e-10	6.5991e-09	2.0653e-10	6.2746e-07	-6.3504e-07	9.6845e-10	6.6048e-09	1.9556e-10	6.3152e-07	-6.394e-07	1.2256e-09	6.6081e-09	1.8974e-10	6.3378e-07	-6.4188e-07	1.4875e-09	6.6032e-09	1.8535e-10	6.353e-07	-6.4354e-07	1.7523e-09	6.5848e-09	1.8245e-10	6.3652e-07	-6.4512e-07	2.0267e-09	6.564e-09	1.7872e-10	6.3752e-07	-6.4638e-07	2.2969e-09	6.5709e-09	1.7662e-10	6.3864e-07	-6.4762e-07	2.5872e-09	6.559e-09	1.7457e-10	6.39e-07	-6.4832e-07	2.8999e-09	6.5418e-09	1.7155e-10	6.397e-07	-6.493e-07	3.2419e-09	6.5274e-09	1.716e-10	6.4012e-07	-6.5002e-07
1.165	6.1255e-10	5.9445e-09	2.5136e-10	6.1328e-07	-6.2016e-07	7.2694e-10	6.0009e-09	2.0559e-10	6.2812e-07	-6.352e-07	9.7296e-10	6.0064e-09	2.0212e-10	6.32e-07	-6.3922e-07	1.2412e-09	6.0091e-09	1.9617e-10	6.344e-07	-6.4182e-07	1.494e-09	5.9863e-09	1.9043e-10	6.359e-07	-6.4356e-07	1.7631e-09	5.9796e-09	1.8761e-10	6.371e-07	-6.4504e-07	2.0251e-09	5.9675e-09	1.8352e-10	6.3802e-07	-6.4612e-07	2.3039e-09	5.9704e-09	1.8217e-10	6.3902e-07	-6.4754e-07	2.5965e-09	5.9598e-09	1.7976e-10	6.3968e-07	-6.4846e-07	2.907e-09	5.9438e-09	1.7731e-10	6.402e-07	-6.492e-07	3.2476e-09	5.9413e-09	1.7512e-10	6.4074e-07	-6.4996e-07
1.16	5.9879e-10	5.4178e-09	2.5594e-10	6.1396e-07	-6.203e-07	7.3863e-10	5.4674e-09	2.1538e-10	6.287e-07	-6.3524e-07	9.8424e-10	5.4656e-09	2.0636e-10	6.325e-07	-6.3916e-07	1.2518e-09	5.4749e-09	1.9886e-10	6.3488e-07	-6.4172e-07	1.4975e-09	5.4547e-09	1.9609e-10	6.3652e-07	-6.4356e-07	1.7682e-09	5.4565e-09	1.9284e-10	6.377e-07	-6.4512e-07	2.0346e-09	5.4359e-09	1.8951e-10	6.385e-07	-6.4634e-07	2.3119e-09	5.4396e-09	1.8654e-10	6.3954e-07	-6.476e-07	2.5973e-09	5.43e-09	1.8472e-10	6.4026e-07	-6.484e-07	2.9132e-09	5.4086e-09	1.8191e-10	6.4076e-07	-6.4932e-07	3.2489e-09	5.4056e-09	1.8204e-10	6.4126e-07	-6.4994e-07
1.155	6.0447e-10	4.9326e-09	2.5978e-10	6.1482e-07	-6.2062e-07	7.4526e-10	4.9868e-09	2.2388e-10	6.293e-07	-6.353e-07	9.9283e-10	4.9873e-09	2.127e-10	6.3306e-07	-6.3938e-07	1.2473e-09	4.9777e-09	2.0595e-10	6.352e-07	-6.4178e-07	1.5027e-09	4.9693e-09	2.0141e-10	6.367e-07	-6.435e-07	1.7785e-09	4.9585e-09	1.9801e-10	6.3824e-07	-6.451e-07	2.04e-09	4.9437e-09	1.9371e-10	6.392e-07	-6.4636e-07	2.3157e-09	4.95e-09	1.915e-10	6.4e-07	-6.4752e-07	2.6056e-09	4.9339e-09	1.8926e-10	6.4072e-07	-6.4844e-07	2.9154e-09	4.9213e-09	1.8727e-10	6.4116e-07	-6.4926e-07	3.255e-09	4.9136e-09	1.8485e-10	6.4176e-07	-6.4996e-07
