I/V Sweep,id_vgs_P_2
RecordTime,10/27/2023 13:30:12
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0.8,6.4653E-10,1.1984399999999998E-08,1.2694E-10,5.8832E-07,-6.0148E-07
1.195,0.8,5.8598000000000008E-10,1.0898E-08,1.292E-10,5.8997999999999994E-07,-6.016E-07
1.19,0.8,5.9052E-10,9.9299999999999986E-09,1.3440000000000002E-10,5.9118E-07,-6.0182E-07
1.185,0.8,5.9134E-10,9.0064E-09,1.3867000000000002E-10,5.9254E-07,-6.0218E-07
1.1800000000000002,0.8,5.961E-10,8.2154E-09,1.4324000000000001E-10,5.9358E-07,-6.0252E-07
1.175,0.8,5.909600000000001E-10,7.4794E-09,1.4629000000000002E-10,5.9468E-07,-6.0288E-07
1.1700000000000002,0.8,5.8789E-10,6.8151E-09,1.5154E-10,5.9562E-07,-6.0318E-07
1.165,0.8,6.0205E-10,6.2158E-09,1.5451000000000002E-10,5.9641999999999994E-07,-6.0328E-07
1.1600000000000001,0.8,5.9368000000000006E-10,5.68E-09,1.5988000000000002E-10,5.972E-07,-6.0366E-07
1.155,0.8,5.964800000000001E-10,5.1748E-09,1.6390000000000002E-10,5.9788E-07,-6.0376E-07
1.1500000000000001,0.8,5.9472000000000009E-10,4.7294E-09,1.6806E-10,5.9862E-07,-6.0414E-07
1.145,0.8,5.9942000000000009E-10,4.3153E-09,1.7336E-10,5.9921999999999994E-07,-6.0458E-07
1.1400000000000001,0.8,6.0515E-10,3.9459E-09,1.7776000000000002E-10,5.997E-07,-6.044E-07
1.135,0.8,6.0932E-10,3.606E-09,1.8314000000000003E-10,6.002E-07,-6.0474E-07
1.1300000000000001,0.8,6.0906000000000007E-10,3.3052E-09,1.8816000000000003E-10,6.009E-07,-6.0486E-07
1.125,0.8,6.0929000000000007E-10,3.0255E-09,1.9316E-10,6.0132E-07,-6.0512E-07
1.12,0.8,6.1174E-10,2.782E-09,2.0025E-10,6.0186E-07,-6.0532E-07
1.115,0.8,6.0211E-10,2.5533E-09,2.0544000000000002E-10,6.0224E-07,-6.0544E-07
1.11,0.8,6.1061E-10,2.342E-09,2.1281E-10,6.0239999999999994E-07,-6.056E-07
1.105,0.8,6.1473E-10,2.1521E-09,2.2119000000000001E-10,6.0278E-07,-6.0584E-07
1.1,0.8,6.0724000000000007E-10,1.9865E-09,2.2815E-10,6.0314E-07,-6.0592E-07
1.095,0.8,6.0667E-10,1.8284E-09,2.3823E-10,6.0334E-07,-6.0606E-07
1.09,0.8,6.0433E-10,1.6899E-09,2.4747E-10,6.0374E-07,-6.0614E-07
1.085,0.8,6.0309E-10,1.5611E-09,2.5975E-10,6.0388E-07,-6.0631999999999994E-07
1.08,0.8,5.8957000000000006E-10,1.4467E-09,2.7135E-10,6.0406E-07,-6.0636E-07
1.075,0.8,5.8641E-10,1.3424E-09,2.8485E-10,6.0432E-07,-6.0662E-07
1.07,0.8,5.6942000000000009E-10,1.2463E-09,3.0175E-10,6.0463999999999994E-07,-6.0662E-07
1.065,0.8,5.6512E-10,1.1592E-09,3.1982000000000004E-10,6.0462E-07,-6.0678E-07
1.06,0.8,5.4656E-10,1.0808E-09,3.3994E-10,6.0498E-07,-6.0687999999999994E-07
1.0550000000000002,0.8,5.3760000000000009E-10,1.0102E-09,3.6359000000000003E-10,6.0502E-07,-6.0696E-07
1.05,0.8,5.1676000000000008E-10,9.4491E-10,3.9009000000000005E-10,6.0538E-07,-6.0725999999999995E-07
1.0450000000000002,0.8,4.838E-10,8.8676E-10,4.2079000000000005E-10,6.0552E-07,-6.0725999999999995E-07
1.04,0.8,4.4893E-10,8.3333000000000006E-10,4.5743000000000004E-10,6.0552E-07,-6.075E-07
1.0350000000000001,0.8,4.1510000000000005E-10,7.8488000000000009E-10,4.9967E-10,6.0574E-07,-6.0738E-07
1.03,0.8,3.6184E-10,7.4093E-10,5.4747000000000008E-10,6.0575999999999994E-07,-6.075E-07
1.0250000000000001,0.8,3.2032000000000004E-10,6.9954E-10,6.0266000000000007E-10,6.0586E-07,-6.0746E-07
1.02,0.8,2.5212E-10,6.6189000000000008E-10,6.6688000000000008E-10,6.06E-07,-6.0764E-07
1.0150000000000001,0.8,1.8391000000000001E-10,6.2826000000000006E-10,7.424E-10,6.0628E-07,-6.0766E-07
1.01,0.8,1.0682000000000001E-10,5.9660000000000009E-10,8.2555000000000011E-10,6.064E-07,-6.0774E-07
1.0050000000000001,0.8,9.33E-12,5.6792E-10,9.2541000000000012E-10,6.064E-07,-6.079E-07
1,0.8,-9.8410000000000012E-11,5.4355E-10,1.04122E-09,6.0658E-07,-6.0786E-07
0.995,0.8,-2.3671E-10,5.1975E-10,1.1746E-09,6.0664E-07,-6.0816E-07
0.9900000000000001,0.8,-3.9173000000000005E-10,4.9779E-10,1.3285E-09,6.0694E-07,-6.0844E-07
0.9850000000000001,0.8,-5.5919E-10,4.7845E-10,1.5092E-09,6.0684E-07,-6.0832E-07
0.98000000000000009,0.8,-7.6461E-10,4.6044E-10,1.7154E-09,6.0694E-07,-6.0834E-07
0.97500000000000009,0.8,-1.00292E-09,4.4283E-10,1.9608E-09,6.071E-07,-6.0848E-07
0.97000000000000008,0.8,-1.2691E-09,4.2691000000000003E-10,2.2379E-09,6.0724E-07,-6.0862E-07
0.96500000000000008,0.8,-1.601E-09,4.1253E-10,2.5644E-09,6.0734E-07,-6.087E-07
0.96000000000000008,0.8,-1.9791E-09,3.9943000000000004E-10,2.9389E-09,6.076E-07,-6.088E-07
0.95500000000000007,0.8,-2.417E-09,3.8684000000000003E-10,3.3855E-09,6.0753999999999995E-07,-6.0876E-07
0.95000000000000007,0.8,-2.9199E-09,3.7572E-10,3.8898E-09,6.0764E-07,-6.0893999999999995E-07
0.94500000000000006,0.8,-3.5079E-09,3.6471E-10,4.4839E-09,6.0762E-07,-6.0893999999999995E-07
0.94000000000000006,0.8,-4.1924E-09,3.5453E-10,5.1689E-09,6.0781999999999995E-07,-6.0904E-07
0.935,0.8,-5.0012E-09,3.4641000000000005E-10,5.9701E-09,6.0796E-07,-6.0932E-07
0.93,0.8,-5.9052E-09,3.3728000000000005E-10,6.8871E-09,6.0784E-07,-6.0921999999999995E-07
0.925,0.8,-6.9992E-09,3.2786000000000004E-10,7.9711E-09,6.0786E-07,-6.093E-07
0.92,0.8,-8.2376E-09,3.2028E-10,9.2157E-09,6.0799999999999994E-07,-6.0939999999999994E-07
0.915,0.8,-9.6992E-09,3.1256E-10,1.06799E-08,6.0799999999999994E-07,-6.096E-07
0.91,0.8,-1.13836E-08,3.0767000000000003E-10,1.23708E-08,6.0812E-07,-6.0946E-07
0.905,0.8,-1.3358599999999999E-08,2.9857000000000004E-10,1.4358599999999998E-08,6.0837999999999995E-07,-6.0972E-07
0.9,0.8,-1.56234E-08,2.9170000000000004E-10,1.66156E-08,6.0848E-07,-6.098E-07
0.895,0.8,-1.8278799999999997E-08,2.8734E-10,1.9291999999999998E-08,6.0836E-07,-6.0962E-07
0.89,0.8,-2.13462E-08,2.8302E-10,2.23494E-08,6.0854E-07,-6.0984E-07
0.885,0.8,-2.4946999999999998E-08,2.7479000000000004E-10,2.59428E-08,6.0868E-07,-6.0995999999999994E-07
0.88,0.8,-2.9047599999999998E-08,2.7069E-10,3.00618E-08,6.0872E-07,-6.0995999999999994E-07
0.875,0.8,-3.3924E-08,2.6526E-10,3.49232E-08,6.0876E-07,-6.1005999999999995E-07
0.87,0.8,-3.946E-08,2.5954E-10,4.04738E-08,6.0878E-07,-6.0992E-07
0.865,0.8,-4.6005999999999995E-08,2.5575E-10,4.6999599999999996E-08,6.0878E-07,-6.099E-07
0.86,0.8,-5.3526199999999997E-08,2.4986E-10,5.45394E-08,6.0886E-07,-6.1018E-07
0.85500000000000009,0.8,-6.23788E-08,2.442E-10,6.337119999999999E-08,6.0893999999999995E-07,-6.1016E-07
0.85000000000000009,0.8,-7.24768E-08,2.4194E-10,7.3504199999999992E-08,6.09E-07,-6.1033999999999994E-07
0.84500000000000008,0.8,-8.4442799999999986E-08,2.3664E-10,8.5448799999999989E-08,6.092E-07,-6.103E-07
0.84000000000000008,0.8,-9.8040399999999992E-08,2.3046000000000002E-10,9.908499999999999E-08,6.0904E-07,-6.103E-07
0.83500000000000008,0.8,-1.1418E-07,2.2696E-10,1.1516E-07,6.0924E-07,-6.1042E-07
0.83000000000000007,0.8,-1.3254E-07,2.2174000000000003E-10,1.3364E-07,6.0926E-07,-6.1054E-07
0.82500000000000007,0.8,-1.5442E-07,2.1866000000000002E-10,1.5526E-07,6.0948E-07,-6.1064E-07
0.82000000000000006,0.8,-1.7912E-07,2.1256000000000001E-10,1.8024E-07,6.0942E-07,-6.1072E-07
0.81500000000000006,0.8,-2.0762E-07,2.0753E-10,2.0909999999999999E-07,6.0926E-07,-6.106E-07
0.81,0.8,-2.4178E-07,2.0396E-10,2.428E-07,6.0936E-07,-6.105E-07
0.805,0.8,-2.8046E-07,1.9853E-10,2.8177999999999997E-07,6.0926E-07,-6.1066E-07
0.8,0.8,-3.2656E-07,1.9379E-10,3.274E-07,6.0949999999999995E-07,-6.1064E-07
0.795,0.8,-3.7868E-07,1.8982000000000002E-10,3.7976E-07,6.097E-07,-6.1076E-07
0.79,0.8,-4.4026E-07,1.8358000000000003E-10,4.4156E-07,6.0949999999999995E-07,-6.1068E-07
0.785,0.8,-5.111E-07,1.7979E-10,5.1208E-07,6.096E-07,-6.1086E-07
0.78,0.8,-5.9404E-07,1.7437000000000001E-10,5.95E-07,6.0964E-07,-6.107E-07
0.775,0.8,-6.8916E-07,1.6929000000000002E-10,6.9044E-07,6.0976E-07,-6.1088E-07
0.77,0.8,-8.016E-07,1.6442E-10,8.0254E-07,6.0976E-07,-6.1106E-07
0.765,0.8,-9.2975999999999993E-07,1.5850000000000002E-10,9.299E-07,6.0986E-07,-6.1104E-07
0.76,0.8,-1.08016E-06,1.5367000000000002E-10,1.08236E-06,6.0986E-07,-6.1114E-07
0.755,0.8,-1.2497E-06,1.4983000000000001E-10,1.2530000000000001E-06,6.1002E-07,-6.1116E-07
0.75,0.8,-1.4528E-06,1.4280000000000001E-10,1.4564000000000002E-06,6.0988E-07,-6.1104E-07
0.745,0.8,-1.6853000000000002E-06,1.3681000000000002E-10,1.6885000000000002E-06,6.1014E-07,-6.1122E-07
0.74,0.8,-1.9601E-06,1.3157000000000002E-10,1.9637000000000004E-06,6.101E-07,-6.1132E-07
0.735,0.8,-2.2723000000000003E-06,1.2278000000000001E-10,2.2751E-06,6.1014E-07,-6.113E-07
0.73,0.8,-2.6407000000000004E-06,1.1754000000000002E-10,2.6471000000000005E-06,6.1008E-07,-6.1132E-07
0.72500000000000009,0.8,-3.0642000000000002E-06,1.1069000000000001E-10,3.0677000000000003E-06,6.1032E-07,-6.1134E-07
0.72000000000000008,0.8,-3.5599000000000004E-06,1.0282000000000001E-10,3.5645000000000003E-06,6.1022E-07,-6.1128E-07
