I/V Sweep,id_vgs_P
RecordTime,10/27/2023 13:27:14
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0,-1.1068E-07,1.67816E-08,1.8273000000000003E-10,6.9058E-07,-5.969E-07
1.195,0,-1.1013999999999999E-07,1.5575E-08,1.8474000000000003E-10,6.9168E-07,-5.9714E-07
1.19,0,-1.0938E-07,1.4499999999999999E-08,1.9058E-10,6.922E-07,-5.9718E-07
1.185,0,-1.0876E-07,1.3487799999999999E-08,1.9594000000000002E-10,6.9274E-07,-5.9753999999999994E-07
1.1800000000000002,0,-1.0822E-07,1.2583999999999999E-08,2.0076000000000001E-10,6.9322E-07,-5.9786E-07
1.175,0,-1.0762E-07,1.1762399999999998E-08,2.0702000000000003E-10,6.935E-07,-5.9804E-07
1.1700000000000002,0,-1.0688E-07,1.1007799999999999E-08,2.1171E-10,6.9414E-07,-5.9818E-07
1.165,0,-1.065E-07,1.0311399999999999E-08,2.1662000000000002E-10,6.9427999999999994E-07,-5.9842E-07
1.1600000000000001,0,-1.0606E-07,9.69E-09,2.2281000000000003E-10,6.9468E-07,-5.9854E-07
1.155,0,-1.0534E-07,9.0843E-09,2.2995000000000002E-10,6.9504E-07,-5.9888E-07
1.1500000000000001,0,-1.045E-07,8.576E-09,2.3605000000000003E-10,6.9524E-07,-5.9906E-07
1.145,0,-1.0436E-07,8.0899E-09,2.4317E-10,6.9564E-07,-5.9946E-07
1.1400000000000001,0,-1.0398E-07,7.6516E-09,2.5184000000000003E-10,6.9598E-07,-5.9984E-07
1.135,0,-1.034E-07,7.2465E-09,2.6095E-10,6.9598E-07,-6E-07
1.1300000000000001,0,-1.0296E-07,6.8855E-09,2.7127000000000004E-10,6.9616E-07,-6.003E-07
1.125,0,-1.0231999999999999E-07,6.5402E-09,2.8129E-10,6.9598E-07,-5.9992E-07
1.12,0,-1.021E-07,6.2315E-09,2.9276000000000003E-10,6.9612E-07,-6.0066E-07
1.115,0,-1.0138E-07,5.9452E-09,3.0729000000000003E-10,6.9608E-07,-6.0076E-07
