Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	-0.049422	-4.0889e-10	0.049422	5.289e-07	-4.574e-07	-0.034986	-1.9845e-10	0.035008	5.3584e-07	-4.6034e-07	-0.020488	-6.501e-11	0.020502	5.33e-07	-4.5576e-07	-0.0079754	3.498e-11	0.0079754	5.316e-07	-4.5246e-07	-0.0012572	1.361e-10	0.0012582	5.3074e-07	-4.5056e-07	-6.3044e-05	2.4952e-10	6.2928e-05	5.303e-07	-4.5006e-07	-2.0234e-06	3.8717e-10	1.9394e-06	5.312e-07	-4.5028e-07
0.005	-0.049328	-4.1261e-10	0.049336	5.293e-07	-4.577e-07	-0.034926	-2.0244e-10	0.03494	5.345e-07	-4.6034e-07	-0.020432	-6.401e-11	0.020442	5.3192e-07	-4.5582e-07	-0.0079364	3.972e-11	0.007938	5.3024e-07	-4.5232e-07	-0.0012456	1.3521e-10	0.0012464	5.295e-07	-4.5042e-07	-6.2114e-05	2.4577e-10	6.1968e-05	5.2892e-07	-4.5006e-07	-1.9819e-06	3.8548e-10	1.905e-06	5.2994e-07	-4.5042e-07
0.01	-0.049254	-4.122e-10	0.049264	5.284e-07	-4.5808e-07	-0.034864	-1.9933e-10	0.034878	5.3314e-07	-4.6044e-07	-0.020372	-6.33e-11	0.02038	5.3066e-07	-4.56e-07	-0.0078956	3.22e-11	0.0078944	5.2908e-07	-4.525e-07	-0.0012334	1.3308e-10	0.001234	5.2822e-07	-4.5048e-07	-6.1218e-05	2.4429e-10	6.1114e-05	5.2766e-07	-4.501e-07	-1.9495e-06	3.7893e-10	1.8711e-06	5.2878e-07	-4.5028e-07
0.015	-0.04918	-4.1397e-10	0.049192	5.2752e-07	-4.5838e-07	-0.0348	-1.9526e-10	0.034806	5.3208e-07	-4.6044e-07	-0.020318	-6.553e-11	0.020326	5.2972e-07	-4.5598e-07	-0.0078546	3.406e-11	0.0078576	5.2794e-07	-4.525e-07	-0.0012214	1.3372e-10	0.0012218	5.2688e-07	-4.5044e-07	-6.0358e-05	2.3908e-10	6.0268e-05	5.2646e-07	-4.501e-07	-1.9172e-06	3.7269e-10	1.8393e-06	5.2744e-07	-4.504e-07
0.02	-0.049106	-4.1558e-10	0.049118	5.2676e-07	-4.586e-07	-0.034728	-2.0272e-10	0.03474	5.3096e-07	-4.6056e-07	-0.020256	-6.281e-11	0.020264	5.2834e-07	-4.5604e-07	-0.0078152	3.473e-11	0.0078164	5.2678e-07	-4.525e-07	-0.0012098	1.3438e-10	0.0012096	5.2576e-07	-4.504e-07	-5.9448e-05	2.395e-10	5.9356e-05	5.2534e-07	-4.5012e-07	-1.8814e-06	3.7246e-10	1.8049e-06	5.2604e-07	-4.5044e-07
0.025	-0.049036	-4.112e-10	0.049044	5.255e-07	-4.5874e-07	-0.034656	-2.0034e-10	0.03467	5.299e-07	-4.605e-07	-0.020194	-6.355e-11	0.020204	5.274e-07	-4.5616e-07	-0.007777	3.138e-11	0.0077788	5.2536e-07	-4.525e-07	-0.001198	1.3231e-10	0.0011984	5.2444e-07	-4.5052e-07	-5.8582e-05	2.3983e-10	5.8496e-05	5.2412e-07	-4.501e-07	-1.8506e-06	3.7019e-10	1.7745e-06	5.2492e-07	-4.5034e-07
0.03	-0.048954	-4.1386e-10	0.048972	5.2478e-07	-4.5892e-07	-0.03459	-1.9881e-10	0.034598	5.288e-07	-4.605e-07	-0.020138	-6.322e-11	0.020142	5.2628e-07	-4.5628e-07	-0.007737	3.35e-11	0.0077396	5.2434e-07	-4.5258e-07	-0.0011866	1.2922e-10	0.0011872	5.2322e-07	-4.507e-07	-5.7812e-05	2.3105e-10	5.7684e-05	5.229e-07	-4.501e-07	-1.8168e-06	3.6402e-10	1.7444e-06	5.2384e-07	-4.5036e-07
0.035	-0.048888	-4.177e-10	0.048892	5.2396e-07	-4.592e-07	-0.034516	-2.0263e-10	0.034526	5.2766e-07	-4.6062e-07	-0.020076	-6.479e-11	0.020088	5.2532e-07	-4.5624e-07	-0.0076988	3.345e-11	0.007699	5.235e-07	-4.5248e-07	-0.0011748	1.2797e-10	0.0011756	5.2214e-07	-4.5042e-07	-5.6922e-05	2.3182e-10	5.685e-05	5.2186e-07	-4.5016e-07	-1.7861e-06	3.6016e-10	1.7114e-06	5.2262e-07	-4.5034e-07
0.04	-0.048804	-4.136e-10	0.048818	5.229e-07	-4.5928e-07	-0.034452	-2.0031e-10	0.034456	5.2666e-07	-4.6054e-07	-0.020022	-6.498e-11	0.020026	5.241e-07	-4.5644e-07	-0.0076584	3.154e-11	0.0076586	5.2202e-07	-4.5258e-07	-0.0011632	1.2991e-10	0.001164	5.2086e-07	-4.5044e-07	-5.6058e-05	2.3248e-10	5.6034e-05	5.2066e-07	-4.5012e-07	-1.7545e-06	3.6398e-10	1.6864e-06	5.2138e-07	-4.5046e-07
0.045	-0.048736	-4.1426e-10	0.048742	5.222e-07	-4.5946e-07	-0.03438	-1.9848e-10	0.03439	5.2552e-07	-4.607e-07	-0.019956	-6.633e-11	0.01997	5.2298e-07	-4.5642e-07	-0.0076192	2.735e-11	0.00762	5.2086e-07	-4.525e-07	-0.0011518	1.2363e-10	0.0011526	5.1988e-07	-4.5042e-07	-5.5244e-05	2.2702e-10	5.5238e-05	5.1958e-07	-4.5012e-07	-1.726e-06	3.5468e-10	1.6537e-06	5.202e-07	-4.5046e-07
0.05	-0.04866	-4.1631e-10	0.048674	5.2138e-07	-4.5958e-07	-0.034316	-2.0353e-10	0.03432	5.2456e-07	-4.6064e-07	-0.019902	-6.488e-11	0.01991	5.219e-07	-4.5638e-07	-0.0075806	3.303e-11	0.00758	5.1972e-07	-4.526e-07	-0.0011404	1.228e-10	0.001141	5.1882e-07	-4.504e-07	-5.4468e-05	2.2588e-10	5.445e-05	5.1842e-07	-4.5026e-07	-1.6944e-06	3.5247e-10	1.626e-06	5.1918e-07	-4.504e-07
0.055	-0.048588	-4.1461e-10	0.048598	5.204e-07	-4.5964e-07	-0.034246	-2.031e-10	0.034254	5.235e-07	-4.6066e-07	-0.019838	-6.957e-11	0.01985	5.2094e-07	-4.5646e-07	-0.00754	2.848e-11	0.0075426	5.1866e-07	-4.5252e-07	-0.001129	1.2503e-10	0.0011292	5.1756e-07	-4.5068e-07	-5.3702e-05	2.2726e-10	5.3642e-05	5.1724e-07	-4.5022e-07	-1.662e-06	3.5137e-10	1.5983e-06	5.1808e-07	-4.505e-07
0.06	-0.048514	-4.1383e-10	0.048524	5.1978e-07	-4.5986e-07	-0.034174	-1.9577e-10	0.034184	5.2256e-07	-4.6072e-07	-0.019782	-6.612e-11	0.019792	5.2012e-07	-4.5636e-07	-0.0074998	2.716e-11	0.0075024	5.1764e-07	-4.5258e-07	-0.0011186	1.2166e-10	0.0011186	5.1632e-07	-4.5032e-07	-5.2882e-05	2.2389e-10	5.2812e-05	5.165e-07	-4.503e-07	-1.6348e-06	3.4819e-10	1.5702e-06	5.1692e-07	-4.506e-07
0.065	-0.048432	-4.1425e-10	0.048442	5.1872e-07	-4.599e-07	-0.034106	-2.0263e-10	0.034116	5.2152e-07	-4.6076e-07	-0.019726	-6.722e-11	0.019728	5.1894e-07	-4.5634e-07	-0.0074616	3.004e-11	0.0074616	5.1646e-07	-4.5262e-07	-0.0011066	1.1807e-10	0.0011072	5.1538e-07	-4.5048e-07	-5.215e-05	2.1898e-10	5.2002e-05	5.1518e-07	-4.502e-07	-1.604e-06	3.4414e-10	1.5404e-06	5.1578e-07	-4.504e-07
0.07	-0.048358	-4.1617e-10	0.048368	5.178e-07	-4.5998e-07	-0.034038	-2.0594e-10	0.034048	5.2062e-07	-4.606e-07	-0.01966	-7.318e-11	0.019676	5.1798e-07	-4.5646e-07	-0.0074246	2.418e-11	0.0074252	5.1542e-07	-4.5256e-07	-0.0010952	1.2112e-10	0.0010966	5.1444e-07	-4.505e-07	-5.1354e-05	2.1661e-10	5.1332e-05	5.1384e-07	-4.502e-07	-1.5749e-06	3.3964e-10	1.5141e-06	5.148e-07	-4.504e-07
0.075	-0.04829	-4.1558e-10	0.048296	5.1688e-07	-4.6004e-07	-0.033962	-1.9641e-10	0.033976	5.1946e-07	-4.6062e-07	-0.019606	-6.637e-11	0.019616	5.1694e-07	-4.5648e-07	-0.0073848	2.335e-11	0.0073846	5.143e-07	-4.5248e-07	-0.0010844	1.1838e-10	0.0010852	5.1344e-07	-4.5042e-07	-5.0566e-05	2.1637e-10	5.0508e-05	5.132e-07	-4.503e-07	-1.5506e-06	3.3921e-10	1.4872e-06	5.137e-07	-4.5052e-07
0.08	-0.048204	-4.1278e-10	0.048214	5.1598e-07	-4.6012e-07	-0.033894	-2.0031e-10	0.033904	5.1846e-07	-4.606e-07	-0.019544	-6.724e-11	0.019554	5.1584e-07	-4.564e-07	-0.007346	2.604e-11	0.0073464	5.1328e-07	-4.5246e-07	-0.0010734	1.1335e-10	0.001074	5.1254e-07	-4.5052e-07	-4.9828e-05	2.1524e-10	4.9822e-05	5.1214e-07	-4.5024e-07	-1.5246e-06	3.367e-10	1.4591e-06	5.1258e-07	-4.504e-07
