vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.033766	-1.1369e-09	0.033772	9.7248e-07	-8.9438e-07	-0.020852	-6.5576e-10	0.020874	9.8642e-07	-9.0232e-07	-0.0090026	-3.4507e-10	0.0090034	9.855e-07	-8.992e-07	-0.0014872	-1.0703e-10	0.0014872	9.7714e-07	-8.8984e-07	-4.1528e-05	1.1805e-10	4.1442e-05	9.7608e-07	-8.8836e-07	-5.8594e-07	3.1124e-10	4.9934e-07	9.778e-07	-8.8958e-07	-9.4394e-08	5.1369e-10	5.656e-09	9.7922e-07	-8.9086e-07
0.005	-0.033722	-1.161e-09	0.033726	9.7484e-07	-8.9518e-07	-0.020836	-6.5137e-10	0.020846	9.8518e-07	-9.0254e-07	-0.0089836	-3.4887e-10	0.0089846	9.84e-07	-8.99e-07	-0.0014794	-1.0476e-10	0.0014802	9.7614e-07	-8.897e-07	-4.1322e-05	1.1974e-10	4.1192e-05	9.7508e-07	-8.8854e-07	-5.8246e-07	3.0469e-10	4.9576e-07	9.761e-07	-8.8978e-07	-9.29954e-08	5.0934e-10	5.6146e-09	9.7786e-07	-8.91e-07
0.01	-0.033678	-1.1355e-09	0.033692	9.7478e-07	-8.9598e-07	-0.020808	-6.5528e-10	0.020818	9.8408e-07	-9.0274e-07	-0.008966	-3.4513e-10	0.0089642	9.8254e-07	-8.9866e-07	-0.001475	-1.0539e-10	0.0014746	9.7454e-07	-8.8964e-07	-4.106e-05	1.1402e-10	4.0948e-05	9.734e-07	-8.8856e-07	-5.7772e-07	3.0286e-10	4.921e-07	9.7498e-07	-8.8988e-07	-9.16632e-08	5.0892e-10	5.5789e-09	9.7668e-07	-8.9134e-07
0.015	-0.03365	-1.1655e-09	0.03366	9.7448e-07	-8.9678e-07	-0.02078	-6.5371e-10	0.020796	9.8348e-07	-9.031e-07	-0.0089454	-3.4958e-10	0.0089462	9.8102e-07	-8.9834e-07	-0.0014692	-1.1162e-10	0.001469	9.7322e-07	-8.8938e-07	-4.0824e-05	1.1565e-10	4.0738e-05	9.7236e-07	-8.8844e-07	-5.7358e-07	3.032e-10	4.8932e-07	9.737e-07	-8.897e-07	-9.02676e-08	4.9924e-10	5.5411e-09	9.753e-07	-8.9124e-07
0.02	-0.033616	-1.1569e-09	0.033626	9.742e-07	-8.9778e-07	-0.02075	-6.6079e-10	0.020764	9.826e-07	-9.0358e-07	-0.0089274	-3.4747e-10	0.008928	9.7936e-07	-8.9812e-07	-0.0014636	-1.0797e-10	0.0014642	9.7164e-07	-8.892e-07	-4.0544e-05	1.0768e-10	4.0476e-05	9.708e-07	-8.8856e-07	-5.6946e-07	2.9608e-10	4.8586e-07	9.7238e-07	-8.8998e-07	-8.88622e-08	4.9501e-10	5.5157e-09	9.7394e-07	-8.9118e-07
0.025	-0.03358	-1.1374e-09	0.033596	9.7342e-07	-8.981e-07	-0.020724	-6.5646e-10	0.020736	9.8144e-07	-9.0366e-07	-0.0089086	-3.5196e-10	0.0089092	9.7784e-07	-8.9798e-07	-0.0014576	-1.1278e-10	0.0014578	9.7014e-07	-8.8954e-07	-4.0306e-05	1.058e-10	4.0236e-05	9.6968e-07	-8.886e-07	-5.6424e-07	2.9159e-10	4.828e-07	9.7096e-07	-8.8978e-07	-8.7503e-08	4.9597e-10	5.471e-09	9.7282e-07	-8.9146e-07
0.03	-0.033542	-1.1618e-09	0.03356	9.7296e-07	-8.9888e-07	-0.020696	-6.5138e-10	0.020712	9.8032e-07	-9.0396e-07	-0.0088888	-3.5373e-10	0.0088904	9.7708e-07	-8.9806e-07	-0.001451	-1.068e-10	0.0014516	9.6896e-07	-8.893e-07	-4.0034e-05	1.057e-10	4.0024e-05	9.6834e-07	-8.8856e-07	-5.596e-07	2.8952e-10	4.7958e-07	9.6952e-07	-8.9e-07	-8.62492e-08	4.875e-10	5.4323e-09	9.7148e-07	-8.9114e-07
0.035	-0.03351	-1.1641e-09	0.033522	9.7242e-07	-8.9952e-07	-0.020664	-6.5578e-10	0.020674	9.7942e-07	-9.0414e-07	-0.0088692	-3.4992e-10	0.0088714	9.7544e-07	-8.9776e-07	-0.0014462	-1.1166e-10	0.0014458	9.678e-07	-8.8966e-07	-3.9806e-05	1.0663e-10	3.9736e-05	9.6742e-07	-8.888e-07	-5.5528e-07	2.895e-10	4.7654e-07	9.685e-07	-8.8992e-07	-8.4897e-08	4.8708e-10	5.4043e-09	9.7034e-07	-8.9128e-07
0.04	-0.033474	-1.133e-09	0.03349	9.7158e-07	-8.9954e-07	-0.020642	-6.5548e-10	0.020652	9.783e-07	-9.0428e-07	-0.0088518	-3.5034e-10	0.0088512	9.7386e-07	-8.976e-07	-0.0014394	-1.1252e-10	0.00144	9.6666e-07	-8.8934e-07	-3.9564e-05	1.0681e-10	3.9514e-05	9.6594e-07	-8.8868e-07	-5.507e-07	2.877e-10	4.7258e-07	9.6786e-07	-8.902e-07	-8.36066e-08	4.8095e-10	5.3626e-09	9.691e-07	-8.9084e-07
0.045	-0.033434	-1.1652e-09	0.033456	9.7088e-07	-9.0008e-07	-0.020612	-6.5922e-10	0.02063	9.7746e-07	-9.0428e-07	-0.0088338	-3.4731e-10	0.0088334	9.7294e-07	-8.9764e-07	-0.0014336	-1.1578e-10	0.0014342	9.6568e-07	-8.8948e-07	-3.9308e-05	1.0692e-10	3.926e-05	9.6476e-07	-8.8874e-07	-5.4638e-07	2.8865e-10	4.703e-07	9.6654e-07	-8.8994e-07	-8.24836e-08	4.7359e-10	5.3335e-09	9.6806e-07	-8.911e-07
