|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	-2.52e-09	-1.68200000000003e-08	-2.96400000000006e-08	-3.80800000000006e-08	-1.19640000000003e-07	-7.20000000000011e-08
-0.295	-2.24166666666665e-09	-9.8066666666667e-09	-1.953e-08	-3.50099999999999e-08	-9.18500000000004e-08	-9.13333333333332e-08
-0.29	-1.37099999999999e-09	-7.56799999999999e-09	-1.1762e-08	-2.6082e-08	-6.89880000000002e-08	-9.71999999999999e-08
-0.285	-1.30499999999998e-09	-4.66399999999993e-09	-7.69799999999991e-09	-2.19699999999998e-08	-5.29199999999997e-08	-1.076e-07
-0.28	-1.866e-09	-3.60799999999999e-09	-4.95200000000003e-09	-1.61059999999999e-08	-3.8438e-08	-1.09888e-07
-0.275	-2.09799999999999e-09	-4.846e-09	-5.59200000000006e-09	-1.2708e-08	-3.7086e-08	-1.05506e-07
-0.27	-1.89599999999999e-09	-4.72900000000001e-09	-7.94800000000007e-09	-1.3506e-08	-3.9494e-08	-9.96600000000002e-08
-0.265	-2.041e-09	-3.36900000000003e-09	-8.22800000000002e-09	-1.3344e-08	-3.64500000000001e-08	-9.15000000000002e-08
-0.26	-2.022e-09	-3.42800000000002e-09	-6.80399999999995e-09	-1.32340000000001e-08	-3.4418e-08	-8.39780000000002e-08
-0.255	-1.766e-09	-3.467e-09	-6.60199999999994e-09	-1.54860000000001e-08	-3.2988e-08	-8.2066e-08
-0.25	-2.073e-09	-2.84699999999997e-09	-6.12599999999998e-09	-1.5002e-08	-2.88720000000001e-08	-8.30739999999998e-08
-0.245	-2.702e-09	-3.19799999999998e-09	-4.08599999999998e-09	-1.22779999999999e-08	-2.62400000000001e-08	-8.67139999999997e-08
-0.24	-2.932e-09	-3.77799999999999e-09	-4.69599999999998e-09	-1.10079999999999e-08	-2.6544e-08	-8.84839999999998e-08
-0.235	-2.437e-09	-3.46699999999999e-09	-6.21400000000005e-09	-1.01380000000001e-08	-2.91600000000002e-08	-8.61260000000002e-08
-0.23	-1.824e-09	-2.88999999999999e-09	-5.21600000000005e-09	-9.92000000000011e-09	-2.98060000000002e-08	-8.26060000000002e-08
-0.225	-1.561e-09	-2.33600000000001e-09	-4.93800000000001e-09	-1.11740000000002e-08	-2.69840000000001e-08	-7.79140000000001e-08
-0.22	-1.352e-09	-1.90900000000001e-09	-5.92200000000001e-09	-1.21980000000002e-08	-2.81700000000001e-08	-7.26580000000002e-08
-0.215	-1.136e-09	-2.28400000000001e-09	-5.21600000000005e-09	-1.19560000000002e-08	-2.91340000000001e-08	-6.82640000000002e-08
-0.21	-1.241e-09	-2.65100000000001e-09	-4.156e-09	-1.1036e-08	-2.4028e-08	-6.53299999999998e-08
-0.205	-1.188e-09	-2.52500000000002e-09	-4.73399999999998e-09	-7.63199999999995e-09	-2.05379999999999e-08	-6.09099999999998e-08
-0.2	-7.90999999999996e-10	-2.284e-09	-5.80800000000002e-09	-4.90999999999994e-09	-2.18399999999999e-08	-5.68039999999999e-08
