Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
-0.3	1.6396e-10	-3.92e-10	2.0387e-10	3.647e-07	-3.6462e-07	1.9352e-10	-4.1237e-10	1.9951e-10	3.6442e-07	-3.6436e-07	2.0967e-10	-4.2973e-10	1.9781e-10	3.6434e-07	-3.643e-07	2.3011e-10	-4.4557e-10	1.9462e-10	3.645e-07	-3.644e-07	2.5119e-10	-4.5907e-10	1.9049e-10	3.6442e-07	-3.6432e-07	2.747e-10	-4.8649e-10	1.8988e-10	3.6424e-07	-3.6414e-07	2.9243e-10	-4.9456e-10	1.8645e-10	3.6432e-07	-3.6432e-07	3.1656e-10	-5.1574e-10	1.843e-10	3.6436e-07	-3.6434e-07	3.3835e-10	-5.3517e-10	1.8232e-10	3.6408e-07	-3.6412e-07	3.6796e-10	-5.5566e-10	1.7853e-10	3.643e-07	-3.6408e-07	3.8194e-10	-5.7608e-10	1.7464e-10	3.641e-07	-3.6414e-07
-0.295	1.5796e-10	-3.7727e-10	1.9692e-10	3.6474e-07	-3.6466e-07	1.8082e-10	-3.9892e-10	1.9239e-10	3.6438e-07	-3.643e-07	2.0264e-10	-4.136e-10	1.9011e-10	3.6426e-07	-3.6428e-07	2.1791e-10	-4.2898e-10	1.8718e-10	3.645e-07	-3.645e-07	2.4067e-10	-4.4847e-10	1.8468e-10	3.6428e-07	-3.643e-07	2.6065e-10	-4.5799e-10	1.8326e-10	3.6414e-07	-3.642e-07	2.8154e-10	-4.8543e-10	1.7891e-10	3.6444e-07	-3.6436e-07	3.0323e-10	-5.0148e-10	1.7842e-10	3.6432e-07	-3.6434e-07	3.2162e-10	-5.1694e-10	1.7528e-10	3.6418e-07	-3.6414e-07	3.5315e-10	-5.3508e-10	1.722e-10	3.6418e-07	-3.6418e-07	3.7085e-10	-5.5612e-10	1.6646e-10	3.6404e-07	-3.6408e-07
-0.29	1.4968e-10	-3.6397e-10	1.8895e-10	3.6472e-07	-3.6464e-07	1.7746e-10	-3.8428e-10	1.8464e-10	3.6438e-07	-3.643e-07	1.9153e-10	-3.9722e-10	1.8264e-10	3.6426e-07	-3.6414e-07	2.1552e-10	-4.1359e-10	1.7956e-10	3.645e-07	-3.6442e-07	2.3138e-10	-4.256e-10	1.7888e-10	3.6434e-07	-3.6428e-07	2.5218e-10	-4.4323e-10	1.7748e-10	3.6422e-07	-3.6416e-07	2.6882e-10	-4.6232e-10	1.7226e-10	3.6438e-07	-3.6424e-07	2.9133e-10	-4.7858e-10	1.7194e-10	3.6434e-07	-3.643e-07	3.1607e-10	-4.9943e-10	1.6772e-10	3.6408e-07	-3.6414e-07	3.3411e-10	-5.1692e-10	1.6511e-10	3.642e-07	-3.6416e-07	3.6287e-10	-5.4091e-10	1.6082e-10	3.6408e-07	-3.6406e-07
-0.285	1.4374e-10	-3.4814e-10	1.8167e-10	3.647e-07	-3.6464e-07	1.6407e-10	-3.6319e-10	1.7922e-10	3.6432e-07	-3.6438e-07	1.8837e-10	-3.8184e-10	1.762e-10	3.6422e-07	-3.642e-07	2.0274e-10	-3.963e-10	1.7306e-10	3.6452e-07	-3.6446e-07	2.2073e-10	-4.0988e-10	1.7064e-10	3.6432e-07	-3.644e-07	2.4427e-10	-4.3347e-10	1.7058e-10	3.6412e-07	-3.6424e-07	2.6102e-10	-4.4155e-10	1.652e-10	3.6424e-07	-3.6416e-07	2.8062e-10	-4.621e-10	1.6328e-10	3.6434e-07	-3.6436e-07	3.0304e-10	-4.811e-10	1.6046e-10	3.6416e-07	-3.642e-07	3.2846e-10	-5.0244e-10	1.5804e-10	3.642e-07	-3.6416e-07	3.4635e-10	-5.1451e-10	1.544e-10	3.642e-07	-3.6406e-07
-0.28	1.3798e-10	-3.3394e-10	1.7663e-10	3.6456e-07	-3.6456e-07	1.6435e-10	-3.5407e-10	1.7332e-10	3.6428e-07	-3.6434e-07	1.7414e-10	-3.6611e-10	1.6832e-10	3.6428e-07	-3.642e-07	1.9982e-10	-3.804e-10	1.6746e-10	3.6444e-07	-3.6456e-07	2.161e-10	-4.0129e-10	1.6563e-10	3.6442e-07	-3.643e-07	2.3438e-10	-4.0937e-10	1.6231e-10	3.6414e-07	-3.6412e-07	2.5428e-10	-4.3187e-10	1.5931e-10	3.6414e-07	-3.6404e-07	2.7783e-10	-4.4816e-10	1.5834e-10	3.6432e-07	-3.6432e-07	2.9744e-10	-4.6265e-10	1.5507e-10	3.6416e-07	-3.6408e-07	3.1426e-10	-4.7867e-10	1.5088e-10	3.6426e-07	-3.642e-07	3.432e-10	-5.0184e-10	1.4657e-10	3.6404e-07	-3.64e-07
-0.275	1.3349e-10	-3.2366e-10	1.698e-10	3.6486e-07	-3.6476e-07	1.5035e-10	-3.3713e-10	1.6622e-10	3.6422e-07	-3.6424e-07	1.7728e-10	-3.5625e-10	1.6241e-10	3.6428e-07	-3.6418e-07	1.8671e-10	-3.6689e-10	1.6036e-10	3.6444e-07	-3.644e-07	2.0848e-10	-3.7402e-10	1.5896e-10	3.6446e-07	-3.6442e-07	2.2658e-10	-3.9823e-10	1.5585e-10	3.6416e-07	-3.6408e-07	2.4295e-10	-4.1165e-10	1.5168e-10	3.6418e-07	-3.6412e-07	2.6445e-10	-4.2582e-10	1.508e-10	3.6446e-07	-3.644e-07	2.8379e-10	-4.482e-10	1.4714e-10	3.6422e-07	-3.6414e-07	3.088e-10	-4.6358e-10	1.4401e-10	3.642e-07	-3.6412e-07	3.2863e-10	-4.8551e-10	1.4055e-10	3.6404e-07	-3.6396e-07
-0.27	1.1959e-10	-3.0796e-10	1.6192e-10	3.6476e-07	-3.6474e-07	1.5222e-10	-3.2752e-10	1.6052e-10	3.6432e-07	-3.6428e-07	1.6228e-10	-3.3709e-10	1.5578e-10	3.6426e-07	-3.6426e-07	1.8163e-10	-3.5271e-10	1.5385e-10	3.6446e-07	-3.6448e-07	1.9837e-10	-3.6949e-10	1.5096e-10	3.6434e-07	-3.6442e-07	2.1615e-10	-3.8225e-10	1.5091e-10	3.642e-07	-3.6414e-07	2.3539e-10	-3.9411e-10	1.4546e-10	3.6416e-07	-3.6412e-07	2.5623e-10	-4.1396e-10	1.4431e-10	3.6442e-07	-3.643e-07	2.7745e-10	-4.324e-10	1.3977e-10	3.642e-07	-3.6412e-07	3.04e-10	-4.5813e-10	1.3894e-10	3.6416e-07	-3.6422e-07	3.1766e-10	-4.6317e-10	1.3471e-10	3.6406e-07	-3.64e-07
-0.265	1.2205e-10	-2.9415e-10	1.5524e-10	3.6484e-07	-3.649e-07	1.4404e-10	-3.1554e-10	1.5518e-10	3.6426e-07	-3.643e-07	1.5911e-10	-3.2522e-10	1.512e-10	3.642e-07	-3.6424e-07	1.7802e-10	-3.3722e-10	1.4784e-10	3.6452e-07	-3.645e-07	1.9371e-10	-3.5469e-10	1.4546e-10	3.6446e-07	-3.6442e-07	2.1319e-10	-3.6319e-10	1.4449e-10	3.6422e-07	-3.6424e-07	2.2868e-10	-3.868e-10	1.3985e-10	3.642e-07	-3.6414e-07	2.488e-10	-4.0113e-10	1.3893e-10	3.6428e-07	-3.6428e-07	2.6798e-10	-4.1423e-10	1.3335e-10	3.6418e-07	-3.6414e-07	2.8371e-10	-4.2806e-10	1.3335e-10	3.641e-07	-3.6414e-07	3.1335e-10	-4.4997e-10	1.2961e-10	3.6408e-07	-3.64e-07
-0.26	1.1674e-10	-2.8648e-10	1.4909e-10	3.6484e-07	-3.6482e-07	1.3373e-10	-2.9775e-10	1.4913e-10	3.6438e-07	-3.643e-07	1.5127e-10	-3.1366e-10	1.4414e-10	3.6426e-07	-3.6414e-07	1.6573e-10	-3.2533e-10	1.4209e-10	3.645e-07	-3.6454e-07	1.8498e-10	-3.3653e-10	1.3851e-10	3.6438e-07	-3.6438e-07	2.0221e-10	-3.5645e-10	1.3629e-10	3.642e-07	-3.642e-07	2.1964e-10	-3.6494e-10	1.3303e-10	3.6414e-07	-3.6406e-07	2.3779e-10	-3.7946e-10	1.3323e-10	3.6412e-07	-3.6436e-07	2.5844e-10	-4.0116e-10	1.2836e-10	3.6422e-07	-3.6414e-07	2.8236e-10	-4.1864e-10	1.2672e-10	3.6414e-07	-3.6418e-07	2.9833e-10	-4.3658e-10	1.2317e-10	3.6402e-07	-3.6404e-07
-0.255	1.0562e-10	-2.6699e-10	1.4242e-10	3.6484e-07	-3.6482e-07	1.3239e-10	-2.904e-10	1.4251e-10	3.6434e-07	-3.6438e-07	1.4262e-10	-2.9876e-10	1.3879e-10	3.6422e-07	-3.6418e-07	1.6262e-10	-3.1214e-10	1.3637e-10	3.645e-07	-3.6446e-07	1.8109e-10	-3.2666e-10	1.3333e-10	3.6438e-07	-3.6436e-07	1.9667e-10	-3.4102e-10	1.3129e-10	3.6424e-07	-3.6418e-07	2.1327e-10	-3.5537e-10	1.2711e-10	3.6416e-07	-3.6418e-07	2.3294e-10	-3.7239e-10	1.2593e-10	3.643e-07	-3.6432e-07	2.5219e-10	-3.8481e-10	1.2123e-10	3.6416e-07	-3.641e-07	2.6807e-10	-4.0102e-10	1.2031e-10	3.641e-07	-3.6406e-07	2.9012e-10	-4.1577e-10	1.1776e-10	3.6408e-07	-3.6412e-07
