gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
4.00000000000012e-08	-1.02440000000001e-07	3.06000000000009e-08	-1.82000000000005e-08	-2.49999999999991e-09	1.88000000000004e-09	4.8600000000001e-10
8.90046339107058e-22	-6.22200000000003e-08	9.48000000000056e-09	-9.34000000000032e-09	-1.78999999999994e-09	4.90000000000015e-10	3.38000000000003e-10
-3.80000000000007e-08	-2.28200000000005e-08	-8.49999999999997e-09	-1.60000000000002e-09	-6.80000000000034e-10	2.60000000000023e-10	-3.40000000000045e-11
-4.79999999999999e-08	-1.83800000000007e-08	-6.25999999999999e-09	-2.25999999999996e-09	-9.29999999999981e-10	-6.9999999999947e-11	-6.7299999999999e-10
-3.79999999999989e-08	-1.11199999999997e-08	-6.2399999999999e-09	-1.20000000000002e-09	-1.0999999999996e-10	-1.45999999999999e-09	-3.51999999999984e-10
-3.99999999999998e-08	-1.61199999999993e-08	-5.57999999999996e-09	-2.97999999999995e-09	3.99999999999978e-10	-4.70000000000039e-10	4.60000000000072e-11
-3.80000000000001e-08	-1.81199999999996e-08	-7.62000000000014e-09	-2.29999999999989e-09	-4.00000000000036e-10	-6.0000000000029e-11	-2.47999999999998e-10
-2.19999999999996e-08	-1.62000000000004e-08	-3.96000000000017e-09	-2.39999999999886e-10	-8.60000000000001e-10	-9.09999999999981e-10	-5.20999999999992e-10
-2.59999999999989e-08	-1.03600000000002e-08	-3.44000000000017e-09	-1.6e-09	-2.49999999999996e-09	-8.39999999999999e-10	-2.49999999999987e-10
-3.59999999999994e-08	-4.1999999999994e-09	-5.32000000000021e-09	-2.8200000000001e-09	-1.23000000000005e-09	2.99999999999996e-11	-1.1599999999999e-10
-4.40000000000007e-08	-1.12999999999997e-08	-3.28000000000003e-09	-2.85999999999995e-09	9.79999999999967e-10	-1.8999999999999e-10	-4.40999999999997e-10
-3.40000000000002e-08	-1.36400000000004e-08	-4.55999999999973e-09	-2.27999999999986e-09	-1.99999999999857e-11	-2.30000000000043e-10	-1.73000000000003e-10
-3.99999999999992e-08	-1.10800000000002e-08	-5.25999999999988e-09	-2.18000000000008e-09	-7.99999999999993e-10	-8.45275188452625e-24	-2.95000000000006e-10
-2.00000000000008e-08	-1.04199999999996e-08	-4.94000000000012e-09	-3.40000000000055e-10	-1.89999999999944e-10	-3.69999999999989e-10	-2.84000000000006e-10
-1.80000000000011e-08	-9.67999999999997e-09	-1.30000000000009e-09	2.40000000000053e-10	-3.99999999999972e-10	-6.49999999999998e-10	-3.68000000000008e-10
-2.39999999999999e-08	-6.3600000000006e-09	-1.28000000000009e-09	-9.59999999999984e-10	-1.10000000000003e-09	-3.59999999999994e-10	8.30000000000016e-11
-1.99999999999998e-08	-1.13199999999998e-08	-4.83999999999998e-09	-2.03999999999994e-09	-3.70000000000088e-10	1.40000000000003e-10	5.70000000000189e-11
-2.79999999999998e-08	-1.18599999999999e-08	-4.75999999999995e-09	-5.80000000000044e-10	-2.13000000000009e-09	-7.50000000000041e-10	-3.7299999999999e-10
-2.19999999999997e-08	-2.68000000000004e-09	-3.2e-09	-5.40000000000033e-10	-3.10000000000067e-10	-1.80000000000044e-10	2.9e-11
-2.8e-08	-1.14400000000001e-08	-3.82000000000012e-09	-1.85999999999997e-09	-4.00000000001024e-11	1.79999999999991e-10	-2.19000000000005e-10
-2.8e-08	-1.194e-08	-2.43999999999998e-09	-2.60000000000012e-10	-2.19000000000001e-09	-8.00000000000413e-11	-2.17000000000005e-10
-2.40000000000007e-08	-2.73999999999995e-09	2.00000000000813e-11	-1.16000000000006e-09	8.90000000000009e-10	3.49999999999976e-10	-1.81000000000005e-10
-9.99999999999973e-09	-4.96000000000017e-09	-2.8199999999999e-09	3.999999999995e-11	-3.59999999999974e-10	3.30000000000011e-10	8.19999999999894e-11
-1.79999999999997e-08	-6.98000000000025e-09	-1.23999999999979e-09	7.99999999999631e-11	-7.59999999999939e-10	1.80000000000003e-10	-5.16000000000024e-10
-2.80000000000002e-08	-4.18000000000045e-09	-1.00000000000048e-10	-1.17999999999998e-09	9.90000000000019e-10	-6.79999999999992e-10	-2.65000000000029e-10
-1.39999999999999e-08	-5.87999999999977e-09	-1.47999999999992e-09	-1.6000000000006e-10	8.6999999999998e-10	7.1000000000005e-10	1.80999999999981e-10
-4.00000000000074e-09	-4.44000000000002e-09	-1.71999999999999e-09	-1.88000000000005e-09	4.70000000000032e-10	1.48000000000002e-09	-1.53000000000012e-10
-2.6000000000001e-08	-5.50000000000045e-09	-1.25999999999992e-09	8.80000000000193e-10	1.15000000000009e-09	9.20000000000002e-10	1.19999999999994e-10
-1.80000000000014e-08	-3.69999999999978e-09	1.58000000000006e-09	3.42e-09	1.36000000000003e-09	5.20000000000013e-10	-5.06999999999992e-10
-2.00000000000011e-09	5.00000000000035e-09	-2.40000000000127e-10	9.19999999999928e-10	7.89999999999962e-10	9.30000000000023e-10	3.65000000000027e-10
-1.79999999999994e-08	-7.36000000000002e-09	-4.40000000000018e-10	6.60000000000102e-10	5.79999999999944e-10	1.13000000000004e-09	1.71000000000031e-10
-7.99999999999971e-09	-7.90000000000011e-09	3.01999999999988e-09	2.25999999999996e-09	2.48000000000007e-09	1.40000000000004e-09	-7.23999999999988e-10
-1.39999999999998e-08	4.33999999999972e-09	3.53999999999986e-09	1.42000000000006e-09	3.88000000000005e-09	2.98e-09	-3.93999999999995e-10
-8.00000000000077e-09	-5.19999999999803e-10	1.03999999999995e-09	2.98000000000007e-09	1.31e-09	2.56999999999999e-09	9.90000000000153e-11
-1.9999999999994e-09	-3.06000000000011e-09	1.33999999999995e-09	4.67999999999998e-09	3.02999999999991e-09	2.14999999999999e-09	-2.04999999999978e-10
-1.4e-08	5.65999999999977e-09	2.51999999999992e-09	4.94000000000014e-09	5.39999999999998e-09	2.93e-09	-1.01499999999999e-09
-3.55687663397802e-22	8.76000000000057e-09	6.00000000000008e-09	5.41999999999995e-09	4.39000000000007e-09	4.36999999999995e-09	8.38999999999962e-10
2.00000000000003e-08	1.85999999999988e-09	6.00000000000008e-09	5.67999999999995e-09	4.60999999999997e-09	4.77e-09	2.23999999999949e-10
3.99999999999968e-09	4.73999999999937e-09	8.1599999999997e-09	6.88000000000013e-09	5.00999999999992e-09	5.14999999999998e-09	-1.21800000000002e-09
-1.99999999999931e-09	1.39000000000006e-08	1.394e-08	8.76000000000008e-09	7.41000000000005e-09	6.78999999999998e-09	1.78000000000012e-10
1.00000000000009e-08	1.67400000000001e-08	1.36400000000002e-08	1.014e-08	8.99000000000017e-09	7.70000000000008e-09	8.08000000000007e-10
4.00000000000056e-09	1.34799999999997e-08	1.33599999999998e-08	1.228e-08	1.076e-08	7.75000000000001e-09	-7.15999999999999e-10
1.4e-08	1.44800000000001e-08	1.31400000000001e-08	1.602e-08	1.355e-08	9.28999999999999e-09	-7.41999999999999e-10
2.99999999999996e-08	2.05400000000002e-08	2.11399999999999e-08	1.83400000000001e-08	1.499e-08	1.324e-08	1.204e-09
1.79999999999992e-08	2.772e-08	2.882e-08	2.08799999999999e-08	1.674e-08	1.374e-08	-8.08999999999999e-10
2.19999999999998e-08	2.91199999999996e-08	2.77400000000001e-08	2.19799999999999e-08	1.805e-08	1.441e-08	-1.207e-09
4.60000000000005e-08	3.33599999999999e-08	3.158e-08	2.75800000000001e-08	2.42e-08	1.901e-08	1.047e-09
5.79999999999995e-08	4.64600000000002e-08	3.934e-08	3.40200000000001e-08	2.878e-08	2.26899999999999e-08	5.23e-10
6.7999999999999e-08	5.52600000000003e-08	4.37599999999998e-08	3.84999999999999e-08	3.035e-08	2.461e-08	-9.49999999999999e-10
6.20000000000001e-08	5.94799999999995e-08	5.14199999999998e-08	4.41399999999999e-08	3.478e-08	2.912e-08	4.29999999999999e-11
8.00000000000007e-08	7.22999999999999e-08	6.236e-08	5.14199999999999e-08	4.18299999999999e-08	3.586e-08	1.303e-09
9.99999999999995e-08	8.91000000000004e-08	7.278e-08	5.83800000000001e-08	5.02499999999999e-08	4.66e-08	-6.29999999999999e-10
1.10000000000002e-07	1.03260000000001e-07	8.36800000000011e-08	7.07600000000009e-08	5.74700000000006e-08	5.24000000000005e-08	-4.35999999999985e-10
1.54000000000003e-07	1.16480000000001e-07	9.94400000000006e-08	8.31200000000008e-08	6.62900000000006e-08	5.28900000000005e-08	9.37000000000013e-10
1.68e-07	1.3788e-07	1.121e-07	9.47999999999999e-08	7.938e-08	6.16699999999999e-08	-1.9e-11
1.83999999999999e-07	1.63179999999999e-07	1.3146e-07	1.1046e-07	9.11e-08	7.35899999999999e-08	-1.035e-09
2.17999999999999e-07	1.7888e-07	1.5878e-07	1.2864e-07	1.0363e-07	8.46999999999999e-08	4.89e-10
2.52e-07	2.08820000000001e-07	1.819e-07	1.5072e-07	1.2218e-07	9.61299999999999e-08	1.514e-09
3.22e-07	2.5898e-07	2.1136e-07	1.761e-07	1.409e-07	1.1325e-07	-3.31e-10
3.56e-07	3.0218e-07	2.4422e-07	2.0414e-07	1.6408e-07	1.3265e-07	5.61e-10
4.02e-07	3.4814e-07	2.8304e-07	2.3664e-07	1.9282e-07	1.5301e-07	1.957e-09
4.86e-07	4.04699999999999e-07	3.3572e-07	2.744e-07	2.2296e-07	1.7799e-07	6.22e-10
5.65999999999999e-07	4.651e-07	3.939e-07	3.2196e-07	2.5932e-07	2.0807e-07	2.17e-10
6.61999999999998e-07	5.4258e-07	4.52159999999999e-07	3.74039999999999e-07	3.039e-07	2.4122e-07	1.465e-09
7.57999999999999e-07	6.2668e-07	5.189e-07	4.30139999999999e-07	3.4854e-07	2.7949e-07	1.01e-10
8.81999999999999e-07	6.8628e-07	6.071e-07	5.01719999999999e-07	4.0468e-07	3.2982e-07	1.33e-09
1.028e-06	8.06359999999998e-07	7.08059999999999e-07	5.8204e-07	4.72499999999999e-07	3.8116e-07	1.285e-09
1.226e-06	9.89199999999999e-07	8.28139999999999e-07	6.7934e-07	5.47779999999999e-07	4.4048e-07	1.485e-09
1.422e-06	1.14932e-06	9.56479999999999e-07	7.87139999999999e-07	6.3506e-07	5.1062e-07	2.22e-10
1.632e-06	1.34052e-06	1.10554e-06	9.20479999999999e-07	7.35979999999999e-07	5.91139999999999e-07	-8.19999999999999e-10
1.882e-06	1.55756e-06	1.2876e-06	1.06362e-06	8.54739999999999e-07	6.83579999999999e-07	1.421e-09
2.192e-06	1.81674e-06	1.50428e-06	1.23306e-06	9.98439999999999e-07	7.97819999999999e-07	1.949e-09
2.556e-06	2.1244e-06	1.7437e-06	1.44264e-06	1.16184e-06	9.28379999999999e-07	3.186e-09
2.99e-06	2.47e-06	2.02608e-06	1.68426e-06	1.35374e-06	1.0753e-06	7.46999999999999e-10
3.456e-06	2.852e-06	2.3565e-06	1.94348e-06	1.57378e-06	1.2519e-06	1.115e-09
3.98799999999999e-06	3.326e-06	2.74098e-06	2.26458e-06	1.82916e-06	1.46846e-06	3.304e-09
4.68e-06	3.83e-06	3.182e-06	2.61802e-06	2.11244e-06	1.6967e-06	5.82e-09
5.44200000000006e-06	4.45200000000005e-06	3.69400000000004e-06	3.03088000000003e-06	2.45116000000003e-06	1.96700000000002e-06	9.42500000000011e-09
6.28600000000006e-06	5.18800000000005e-06	4.28600000000004e-06	3.55132000000003e-06	2.85014000000003e-06	2.29908000000002e-06	8.18700000000011e-09
7.33999999999999e-06	6.02599999999999e-06	4.992e-06	4.114e-06	3.31384e-06	2.65954e-06	1.2931e-08
8.50599999999999e-06	7.02999999999999e-06	5.80599999999999e-06	4.78799999999999e-06	3.83762e-06	3.0634e-06	1.3446e-08
9.89599999999999e-06	8.11599999999999e-06	6.73799999999999e-06	5.58199999999999e-06	4.486e-06	3.562e-06	1.2929e-08
1.1554e-05	9.42599999999999e-06	7.822e-06	6.428e-06	5.2e-06	4.168e-06	2.1642e-08
1.3306e-05	1.0898e-05	9.03999999999999e-06	7.414e-06	6.00399999999999e-06	4.812e-06	2.4576e-08
1.5522e-05	1.2782e-05	1.0576e-05	8.74599999999999e-06	7.02799999999999e-06	5.584e-06	2.2673e-08
1.799e-05	1.49e-05	1.2258e-05	1.0196e-05	8.06599999999999e-06	6.47399999999999e-06	3.0172e-08
2.096e-05	1.724e-05	1.4284e-05	1.1712e-05	9.41399999999999e-06	7.58599999999999e-06	2.9619e-08
2.4286e-05	1.996e-05	1.6536e-05	1.3562e-05	1.097e-05	8.77e-06	5.9512e-08
2.8042e-05	2.3278e-05	1.92e-05	1.586e-05	1.2752e-05	1.018e-05	6.93049999999999e-08
3.2398e-05	2.691e-05	2.2406e-05	1.8516e-05	1.4732e-05	1.1752e-05	6.045e-08
3.763e-05	3.0962e-05	2.5962e-05	2.142e-05	1.7142e-05	1.3758e-05	8.73399999999999e-08
4.416e-05	3.586e-05	2.9882e-05	2.4882e-05	1.9922e-05	1.599e-05	9.30699999999999e-08
5.102e-05	4.213e-05	3.469e-05	2.9228e-05	2.3124e-05	1.8308e-05	1.1782e-07
5.90499999999999e-05	4.895e-05	4.041e-05	3.3266e-05	2.6988e-05	2.142e-05	1.4979e-07
6.95699999999999e-05	5.68399999999999e-05	4.735e-05	3.8634e-05	3.1228e-05	2.5026e-05	1.4418e-07
