Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
1.2	-1.1892e-07	2.5e-09	-8.273e-11	3.7586e-07	-2.5884e-07	-1.1466e-07	2.4469e-09	-8.461e-11	3.7362e-07	-2.6162e-07	-1.0964e-07	2.3903e-09	-8.464e-11	3.6924e-07	-2.6152e-07	-1.0532e-07	2.3376e-09	-8.513e-11	3.6456e-07	-2.6158e-07	-1.0078e-07	2.286e-09	-8.509e-11	3.6008e-07	-2.6172e-07	-9.55084e-08	2.2329e-09	-8.867e-11	3.5488e-07	-2.6168e-07	-9.17896e-08	2.1788e-09	-8.572e-11	3.5124e-07	-2.6166e-07	-8.7689e-08	2.1286e-09	-8.627e-11	3.4738e-07	-2.6188e-07	-8.32516e-08	2.0821e-09	-8.649e-11	3.4284e-07	-2.6168e-07	-7.95976e-08	2.0338e-09	-8.433e-11	3.3914e-07	-2.6164e-07	-7.63812e-08	1.9825e-09	-8.435e-11	3.356e-07	-2.6114e-07
1.195	-1.187e-07	2.46e-09	-8.143e-11	3.7528e-07	-2.5888e-07	-1.137e-07	2.4084e-09	-8.133e-11	3.7272e-07	-2.6116e-07	-1.0936e-07	2.3491e-09	-8.214e-11	3.6868e-07	-2.6146e-07	-1.0434e-07	2.2996e-09	-8.123e-11	3.639e-07	-2.6144e-07	-9.99682e-08	2.2448e-09	-8.188e-11	3.5936e-07	-2.6148e-07	-9.46016e-08	2.1928e-09	-8.28e-11	3.5416e-07	-2.6144e-07	-9.11554e-08	2.143e-09	-8.287e-11	3.5024e-07	-2.6154e-07	-8.7085e-08	2.0891e-09	-8.178e-11	3.4656e-07	-2.6148e-07	-8.26938e-08	2.0421e-09	-8.106e-11	3.4224e-07	-2.615e-07	-7.91398e-08	1.9951e-09	-8.163e-11	3.3882e-07	-2.6146e-07	-7.5971e-08	1.9494e-09	-8.175e-11	3.351e-07	-2.6104e-07
1.19	-1.1822e-07	2.4259e-09	-7.809e-11	3.747e-07	-2.5882e-07	-1.127e-07	2.3701e-09	-7.853e-11	3.7188e-07	-2.61e-07	-1.087e-07	2.3111e-09	-7.799e-11	3.6752e-07	-2.612e-07	-1.041e-07	2.2651e-09	-7.877e-11	3.6336e-07	-2.612e-07	-9.93782e-08	2.2094e-09	-7.744e-11	3.5862e-07	-2.6128e-07	-9.43216e-08	2.1563e-09	-7.845e-11	3.5358e-07	-2.6128e-07	-9.07716e-08	2.1056e-09	-7.916e-11	3.5016e-07	-2.6128e-07	-8.6789e-08	2.0568e-09	-7.848e-11	3.4556e-07	-2.6134e-07	-8.24116e-08	2.0102e-09	-7.821e-11	3.4192e-07	-2.613e-07	-7.87808e-08	1.9618e-09	-7.748e-11	3.381e-07	-2.6122e-07	-7.56874e-08	1.9138e-09	-7.814e-11	3.3446e-07	-2.6084e-07
1.185	-1.176e-07	2.3858e-09	-7.518e-11	3.741e-07	-2.5888e-07	-1.1264e-07	2.3309e-09	-7.547e-11	3.712e-07	-2.6084e-07	-1.0826e-07	2.2803e-09	-7.545e-11	3.6698e-07	-2.6102e-07	-1.0362e-07	2.2269e-09	-7.638e-11	3.6264e-07	-2.6106e-07	-9.9095e-08	2.1779e-09	-7.534e-11	3.5816e-07	-2.6106e-07	-9.3895e-08	2.1221e-09	-7.666e-11	3.531e-07	-2.6112e-07	-9.0387e-08	2.0729e-09	-7.56e-11	3.496e-07	-2.6122e-07	-8.64524e-08	2.0247e-09	-7.566e-11	3.457e-07	-2.6114e-07	-8.2159e-08	1.9799e-09	-7.514e-11	3.415e-07	-2.612e-07	-7.85468e-08	1.9299e-09	-7.489e-11	3.378e-07	-2.6108e-07	-7.54428e-08	1.882e-09	-7.628e-11	3.3452e-07	-2.608e-07
1.18	-1.171e-07	2.3507e-09	-7.039e-11	3.7386e-07	-2.59e-07	-1.1206e-07	2.2972e-09	-7.128e-11	3.7044e-07	-2.6068e-07	-1.0784e-07	2.2427e-09	-7.305e-11	3.665e-07	-2.6082e-07	-1.0316e-07	2.1917e-09	-7.249e-11	3.6214e-07	-2.6096e-07	-9.86126e-08	2.1399e-09	-7.221e-11	3.5762e-07	-2.61e-07	-9.35238e-08	2.0921e-09	-7.184e-11	3.5262e-07	-2.6102e-07	-9.00426e-08	2.041e-09	-7.189e-11	3.4922e-07	-2.6102e-07	-8.60558e-08	1.9916e-09	-7.294e-11	3.4514e-07	-2.6098e-07	-8.18378e-08	1.9469e-09	-7.374e-11	3.4106e-07	-2.611e-07	-7.82638e-08	1.8975e-09	-7.346e-11	3.3732e-07	-2.6088e-07	-7.5208e-08	1.8493e-09	-7.315e-11	3.341e-07	-2.6078e-07
1.175	-1.1652e-07	2.3185e-09	-6.829e-11	3.7324e-07	-2.5882e-07	-1.1152e-07	2.2628e-09	-6.963e-11	3.6952e-07	-2.6064e-07	-1.0732e-07	2.2084e-09	-6.967e-11	3.6542e-07	-2.608e-07	-1.0262e-07	2.1599e-09	-6.821e-11	3.6156e-07	-2.6086e-07	-9.77984e-08	2.1067e-09	-7.033e-11	3.5702e-07	-2.6086e-07	-9.31802e-08	2.0575e-09	-6.846e-11	3.521e-07	-2.6088e-07	-8.96276e-08	2.0103e-09	-6.939e-11	3.4854e-07	-2.6088e-07	-8.57446e-08	1.9581e-09	-6.978e-11	3.4484e-07	-2.6086e-07	-8.14906e-08	1.9121e-09	-6.986e-11	3.406e-07	-2.6092e-07	-7.79462e-08	1.8631e-09	-7.002e-11	3.371e-07	-2.6088e-07	-7.49768e-08	1.8173e-09	-7.018e-11	3.3388e-07	-2.6068e-07
1.17	-1.1598e-07	2.2807e-09	-6.498e-11	3.7274e-07	-2.5882e-07	-1.1098e-07	2.2236e-09	-6.643e-11	3.6938e-07	-2.6046e-07	-1.0686e-07	2.1769e-09	-6.674e-11	3.6536e-07	-2.6068e-07	-1.0228e-07	2.1251e-09	-6.672e-11	3.6104e-07	-2.607e-07	-9.78962e-08	2.0733e-09	-6.755e-11	3.5656e-07	-2.607e-07	-9.27708e-08	2.0231e-09	-6.689e-11	3.5164e-07	-2.6076e-07	-8.93624e-08	1.9752e-09	-6.731e-11	3.4822e-07	-2.6076e-07	-8.54046e-08	1.9303e-09	-6.85e-11	3.4434e-07	-2.6078e-07	-8.11856e-08	1.8807e-09	-6.812e-11	3.4024e-07	-2.6084e-07	-7.7652e-08	1.8322e-09	-6.727e-11	3.3678e-07	-2.607e-07	-7.47096e-08	1.7849e-09	-6.721e-11	3.336e-07	-2.6062e-07
1.165	-1.1562e-07	2.2472e-09	-6.479e-11	3.722e-07	-2.5876e-07	-1.1052e-07	2.1934e-09	-6.442e-11	3.6882e-07	-2.6042e-07	-1.0634e-07	2.142e-09	-6.478e-11	3.6486e-07	-2.6058e-07	-1.018e-07	2.0903e-09	-6.373e-11	3.605e-07	-2.6062e-07	-9.74756e-08	2.0369e-09	-6.426e-11	3.5626e-07	-2.6066e-07	-9.24662e-08	1.9931e-09	-6.396e-11	3.5118e-07	-2.607e-07	-8.90222e-08	1.9441e-09	-6.505e-11	3.4792e-07	-2.607e-07	-8.51098e-08	1.8975e-09	-6.407e-11	3.44e-07	-2.6072e-07	-8.09856e-08	1.8494e-09	-6.449e-11	3.3994e-07	-2.6076e-07	-7.74188e-08	1.8029e-09	-6.355e-11	3.3634e-07	-2.6066e-07	-7.45168e-08	1.7572e-09	-6.265e-11	3.333e-07	-2.6056e-07
1.16	-1.1504e-07	2.2157e-09	-5.885e-11	3.7168e-07	-2.5878e-07	-1.0998e-07	2.1596e-09	-6.168e-11	3.6784e-07	-2.6026e-07	-1.0598e-07	2.1077e-09	-6.217e-11	3.6446e-07	-2.605e-07	-1.0154e-07	2.0588e-09	-6.091e-11	3.6018e-07	-2.6052e-07	-9.70882e-08	2.0083e-09	-6.123e-11	3.558e-07	-2.606e-07	-9.1816e-08	1.9592e-09	-6.206e-11	3.508e-07	-2.606e-07	-8.8697e-08	1.9129e-09	-6.269e-11	3.4744e-07	-2.608e-07	-8.48474e-08	1.863e-09	-6.207e-11	3.439e-07	-2.6064e-07	-8.0474e-08	1.8192e-09	-6.034e-11	3.397e-07	-2.6064e-07	-7.7185e-08	1.776e-09	-6.155e-11	3.361e-07	-2.6056e-07	-7.4092e-08	1.7333e-09	-6.216e-11	3.3318e-07	-2.6044e-07
1.155	-1.1466e-07	2.1796e-09	-5.676e-11	3.7124e-07	-2.5884e-07	-1.0958e-07	2.123e-09	-5.751e-11	3.6762e-07	-2.6026e-07	-1.054e-07	2.0791e-09	-5.988e-11	3.6384e-07	-2.6042e-07	-1.0108e-07	2.0256e-09	-5.974e-11	3.5958e-07	-2.605e-07	-9.67426e-08	1.9781e-09	-5.709e-11	3.5544e-07	-2.6052e-07	-9.18394e-08	1.9279e-09	-5.915e-11	3.5048e-07	-2.6052e-07	-8.84228e-08	1.8787e-09	-5.909e-11	3.4718e-07	-2.605e-07	-8.4593e-08	1.8323e-09	-5.829e-11	3.434e-07	-2.6056e-07	-8.00392e-08	1.7919e-09	-5.768e-11	3.3884e-07	-2.6058e-07	-7.6912e-08	1.7452e-09	-5.758e-11	3.3578e-07	-2.6058e-07	-7.41092e-08	1.7008e-09	-5.839e-11	3.3294e-07	-2.6034e-07
