Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0	-0.099994	-1.2933e-09	0.100002	3.266e-07	-2.7262e-07	-0.067204	-8.2933e-10	0.067246	3.3762e-07	-2.712e-07	-0.033168	-4.5431e-10	0.03315	3.4688e-07	-2.6642e-07	-0.0076676	-1.0483e-10	0.0076556	3.5396e-07	-2.6198e-07	-0.00027458	2.6504e-10	0.00027418	3.5652e-07	-2.6026e-07	-3.5114e-06	6.4378e-10	3.4137e-06	3.583e-07	-2.6014e-07	-1.396e-07	1.1119e-09	3.80314e-08	3.6068e-07	-2.5998e-07
0.005	-0.099994	-1.3068e-09	0.100004	3.2654e-07	-2.7302e-07	-0.067166	-8.3802e-10	0.067172	3.3664e-07	-2.713e-07	-0.033084	-4.5733e-10	0.033088	3.4538e-07	-2.6638e-07	-0.007631	-1.0326e-10	0.0076306	3.5216e-07	-2.6192e-07	-0.00027362	2.5606e-10	0.00027256	3.5488e-07	-2.6022e-07	-3.4919e-06	6.3498e-10	3.3935e-06	3.5604e-07	-2.5996e-07	-1.3764e-07	1.0949e-09	3.78062e-08	3.5842e-07	-2.5974e-07
0.01	-0.099992	-1.2939e-09	0.100004	3.2562e-07	-2.7322e-07	-0.067092	-8.3852e-10	0.067104	3.3542e-07	-2.7134e-07	-0.033028	-4.5727e-10	0.033042	3.4364e-07	-2.6638e-07	-0.0076056	-1.1446e-10	0.007604	3.5046e-07	-2.6184e-07	-0.00027082	2.5056e-10	0.00027092	3.5284e-07	-2.602e-07	-3.4637e-06	6.2644e-10	3.3696e-06	3.5446e-07	-2.599e-07	-1.3538e-07	1.0797e-09	3.75432e-08	3.5656e-07	-2.5974e-07
0.015	-0.099996	-1.3112e-09	0.100004	3.2472e-07	-2.7336e-07	-0.067016	-8.3253e-10	0.06703	3.3406e-07	-2.7146e-07	-0.032974	-4.6217e-10	0.03298	3.4224e-07	-2.664e-07	-0.0075784	-1.1497e-10	0.007581	3.4864e-07	-2.6186e-07	-0.00026966	2.4291e-10	0.00026928	3.5126e-07	-2.602e-07	-3.4421e-06	6.1299e-10	3.3515e-06	3.5228e-07	-2.5992e-07	-1.3314e-07	1.0647e-09	3.73014e-08	3.5448e-07	-2.5976e-07
0.02	-0.099992	-1.3149e-09	0.100002	3.2374e-07	-2.7352e-07	-0.06694	-8.3982e-10	0.066948	3.3282e-07	-2.7148e-07	-0.03293	-4.6729e-10	0.03293	3.4056e-07	-2.6636e-07	-0.0075564	-1.1533e-10	0.007556	3.4684e-07	-2.6186e-07	-0.00026804	2.3279e-10	0.000268	3.4952e-07	-2.6022e-07	-3.4218e-06	5.9842e-10	3.3297e-06	3.5062e-07	-2.599e-07	-1.3092e-07	1.0499e-09	3.70768e-08	3.5266e-07	-2.5972e-07
0.025	-0.099994	-1.3089e-09	0.1	3.2268e-07	-2.7366e-07	-0.066866	-8.4145e-10	0.066876	3.3166e-07	-2.7156e-07	-0.032868	-4.6342e-10	0.032878	3.391e-07	-2.664e-07	-0.0075308	-1.2838e-10	0.0075334	3.4524e-07	-2.618e-07	-0.00026618	2.3295e-10	0.00026664	3.477e-07	-2.6014e-07	-3.4006e-06	5.9187e-10	3.3101e-06	3.4888e-07	-2.5996e-07	-1.2874e-07	1.0273e-09	3.68274e-08	3.5084e-07	-2.5978e-07
0.03	-0.099996	-1.3184e-09	0.100004	3.217e-07	-2.7374e-07	-0.066786	-8.3585e-10	0.066794	3.3042e-07	-2.7154e-07	-0.032812	-4.6797e-10	0.032818	3.3764e-07	-2.6628e-07	-0.0075056	-1.2552e-10	0.0075088	3.4344e-07	-2.6176e-07	-0.00026488	2.2068e-10	0.0002648	3.4602e-07	-2.6018e-07	-3.3763e-06	5.8284e-10	3.2866e-06	3.4714e-07	-2.5988e-07	-1.2664e-07	1.0121e-09	3.66286e-08	3.4888e-07	-2.5976e-07
0.035	-0.099994	-1.3212e-09	0.100002	3.2084e-07	-2.7392e-07	-0.066708	-8.4677e-10	0.066716	3.2924e-07	-2.7152e-07	-0.032764	-4.708e-10	0.032764	3.362e-07	-2.6634e-07	-0.0074832	-1.3197e-10	0.0074836	3.4176e-07	-2.6174e-07	-0.00026344	2.1351e-10	0.00026338	3.443e-07	-2.6022e-07	-3.3541e-06	5.6595e-10	3.2679e-06	3.4538e-07	-2.599e-07	-1.246e-07	9.998e-10	3.63826e-08	3.473e-07	-2.5994e-07
0.04	-0.099994	-1.3218e-09	0.100002	3.1992e-07	-2.7398e-07	-0.066634	-8.4469e-10	0.066638	3.28e-07	-2.7142e-07	-0.032698	-4.7425e-10	0.03271	3.3472e-07	-2.6636e-07	-0.0074612	-1.3459e-10	0.0074596	3.403e-07	-2.617e-07	-0.00026188	2.0832e-10	0.00026192	3.425e-07	-2.6016e-07	-3.3316e-06	5.5745e-10	3.2458e-06	3.4348e-07	-2.5996e-07	-1.226e-07	9.8174e-10	3.61622e-08	3.4526e-07	-2.5996e-07
0.045	-0.099994	-1.3248e-09	0.100002	3.1898e-07	-2.741e-07	-0.066556	-8.4077e-10	0.066564	3.2682e-07	-2.715e-07	-0.032652	-4.7213e-10	0.032656	3.3334e-07	-2.6632e-07	-0.0074372	-1.4232e-10	0.0074372	3.386e-07	-2.6172e-07	-0.00026032	1.9949e-10	0.00026062	3.4088e-07	-2.602e-07	-3.3089e-06	5.5032e-10	3.2241e-06	3.4186e-07	-2.5992e-07	-1.2054e-07	9.6495e-10	3.5907e-08	3.4368e-07	-2.6002e-07
0.05	-0.099992	-1.3336e-09	0.1	3.181e-07	-2.7416e-07	-0.06648	-8.454e-10	0.066488	3.2568e-07	-2.7154e-07	-0.032596	-4.7616e-10	0.032602	3.319e-07	-2.6634e-07	-0.0074104	-1.457e-10	0.0074122	3.3704e-07	-2.6176e-07	-0.00025896	1.9037e-10	0.0002589	3.3942e-07	-2.6026e-07	-3.2858e-06	5.3661e-10	3.2028e-06	3.4008e-07	-2.5988e-07	-1.1846e-07	9.4795e-10	3.56784e-08	3.4168e-07	-2.5978e-07
0.055	-0.09999	-1.3283e-09	0.100002	3.1712e-07	-2.7418e-07	-0.06641	-8.5144e-10	0.066408	3.2448e-07	-2.7148e-07	-0.032546	-4.7773e-10	0.03255	3.3056e-07	-2.6636e-07	-0.0073884	-1.4028e-10	0.0073914	3.3544e-07	-2.6174e-07	-0.0002574	1.9245e-10	0.00025732	3.3762e-07	-2.6016e-07	-3.2646e-06	5.2545e-10	3.1842e-06	3.3852e-07	-2.5992e-07	-1.1672e-07	9.3596e-10	3.5453e-08	3.4008e-07	-2.5972e-07
