I/V Sweep,id_vds
RecordTime,08/02/2023 08:44:48
Device ID,
Count,1
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-4.072E-11,-1.0397E-10,-4.0981E-09,4.8106E-07,-4.767E-07
0.005,0,2.1370999999999997E-08,-1.0936000000000001E-10,-2.59258E-08,4.8194E-07,-4.7724E-07
0.01,0,4.0381799999999993E-08,-1.0641000000000001E-10,-4.5142599999999994E-08,4.8192E-07,-4.7726E-07
0.015000000000000001,0,5.7587799999999995E-08,-1.0924E-10,-6.2620999999999989E-08,4.8206E-07,-4.7755999999999994E-07
0.02,0,7.3523199999999987E-08,-1.0881000000000001E-10,-7.79236E-08,4.8208E-07,-4.7748E-07
0.025,0,8.719859999999999E-08,-1.1113000000000001E-10,-9.1744199999999988E-08,4.8228E-07,-4.7786E-07
0.030000000000000002,0,9.9813799999999986E-08,-1.1080000000000001E-10,-1.0404179999999999E-07,4.8254E-07,-4.7792E-07
0.035,0,1.1095279999999999E-07,-1.1380000000000001E-10,-1.1555159999999999E-07,4.8262E-07,-4.7818E-07
0.04,0,1.2146E-07,-1.1408000000000001E-10,-1.259E-07,4.8256E-07,-4.7814E-07
0.045000000000000005,0,1.3104E-07,-1.1350000000000001E-10,-1.3558E-07,4.8294E-07,-4.7839999999999994E-07
0.05,0,1.405E-07,-1.189E-10,-1.4473999999999998E-07,4.8266E-07,-4.7832E-07
0.055,0,1.4982E-07,-1.1875E-10,-1.5374E-07,4.8274E-07,-4.7834E-07
0.060000000000000005,0,1.5729999999999999E-07,-1.1817000000000002E-10,-1.6138E-07,4.8308E-07,-4.787E-07
0.065,0,1.657E-07,-1.1903E-10,-1.694E-07,4.831E-07,-4.7882E-07
0.07,0,1.7276E-07,-1.2205E-10,-1.7748E-07,4.8302E-07,-4.788E-07
0.075,0,1.7938E-07,-1.2442000000000002E-10,-1.8404E-07,4.833E-07,-4.7892E-07
0.08,0,1.873E-07,-1.2265E-10,-1.9158E-07,4.8322E-07,-4.7895999999999994E-07
0.085,0,1.9406E-07,-1.2339E-10,-1.9844E-07,4.8332E-07,-4.7922E-07
0.090000000000000011,0,2.0038E-07,-1.2893000000000001E-10,-2.0486E-07,4.8318E-07,-4.7926E-07
0.095,0,2.0533999999999998E-07,-1.2945E-10,-2.0904E-07,4.8314E-07,-4.7918E-07
0.1,0,2.1432E-07,-1.2843000000000002E-10,-2.1775999999999999E-07,4.8315999999999994E-07,-4.7932E-07
0.10500000000000001,0,2.1957999999999999E-07,-1.3207000000000002E-10,-2.2284E-07,4.8328E-07,-4.7958E-07
0.11,0,2.2638E-07,-1.3449000000000002E-10,-2.2976E-07,4.834E-07,-4.7948E-07
0.115,0,2.3176E-07,-1.3511E-10,-2.3566E-07,4.8352E-07,-4.7938E-07
0.12000000000000001,0,2.3736E-07,-1.3719000000000002E-10,-2.4168E-07,4.8358E-07,-4.7958E-07
0.125,0,2.4358E-07,-1.3994E-10,-2.472E-07,4.834E-07,-4.7954E-07
0.13,0,2.4976E-07,-1.4146000000000002E-10,-2.5266E-07,4.8356E-07,-4.7962E-07
0.135,0,2.5538E-07,-1.4265000000000002E-10,-2.581E-07,4.8358E-07,-4.7974E-07
0.14,0,2.6056E-07,-1.4460000000000002E-10,-2.638E-07,4.8346E-07,-4.7968E-07
0.14500000000000002,0,2.6606E-07,-1.5066E-10,-2.6949999999999997E-07,4.8378E-07,-4.7996E-07
0.15,0,2.7092E-07,-1.5139E-10,-2.7532E-07,4.837E-07,-4.7976E-07
0.155,0,2.7632E-07,-1.5030000000000001E-10,-2.8026E-07,4.8388E-07,-4.8032E-07
0.16,0,2.8204E-07,-1.5619E-10,-2.8488E-07,4.8374E-07,-4.801E-07
0.165,0,2.8798E-07,-1.6076000000000002E-10,-2.909E-07,4.8398E-07,-4.8035999999999994E-07
0.17,0,2.934E-07,-1.6189000000000002E-10,-2.9546E-07,4.8374E-07,-4.8024E-07
0.17500000000000002,0,2.976E-07,-1.6416E-10,-3.0102E-07,4.8388E-07,-4.803E-07
0.18000000000000002,0,3.0284E-07,-1.6728000000000002E-10,-3.0714E-07,4.838E-07,-4.8024E-07
0.185,0,3.0748E-07,-1.7372000000000002E-10,-3.1122E-07,4.8376E-07,-4.8035999999999994E-07
0.19,0,3.1242E-07,-1.7394000000000002E-10,-3.159E-07,4.8392E-07,-4.804E-07
0.195,0,3.1809999999999997E-07,-1.7655000000000003E-10,-3.2136E-07,4.8406E-07,-4.8044E-07
0.2,0,3.2285999999999997E-07,-1.8256000000000001E-10,-3.2622E-07,4.8398E-07,-4.8056E-07
0.20500000000000002,0,3.2757999999999997E-07,-1.8590000000000003E-10,-3.3079999999999997E-07,4.8416E-07,-4.8062E-07
0.21000000000000002,0,3.3176E-07,-1.8826E-10,-3.3518E-07,4.841E-07,-4.807E-07
0.215,0,3.3496E-07,-1.9390000000000002E-10,-3.4076E-07,4.8399999999999994E-07,-4.8072E-07
0.22,0,3.416E-07,-1.9961000000000002E-10,-3.4502E-07,4.8399999999999994E-07,-4.8098E-07
0.225,0,3.4783999999999997E-07,-2.0266000000000003E-10,-3.507E-07,4.8434E-07,-4.8096E-07
0.23,0,3.5194E-07,-2.0596E-10,-3.567E-07,4.8422E-07,-4.8096E-07
0.23500000000000001,0,3.5768E-07,-2.1257000000000002E-10,-3.594E-07,4.8432E-07,-4.8106E-07
0.24000000000000002,0,3.628E-07,-2.1895000000000003E-10,-3.6518E-07,4.843E-07,-4.81E-07
0.24500000000000002,0,3.6748E-07,-2.2002E-10,-3.6864E-07,4.841E-07,-4.8102E-07
0.25,0,3.7141999999999997E-07,-2.2573E-10,-3.7426E-07,4.844E-07,-4.8119999999999994E-07
0.255,0,3.7442E-07,-2.3426000000000003E-10,-3.7796E-07,4.8426E-07,-4.8124E-07
0.26,0,3.8058E-07,-2.3983000000000004E-10,-3.8292E-07,4.8458E-07,-4.8124E-07
0.265,0,3.8426E-07,-2.4197000000000004E-10,-3.8775999999999997E-07,4.8446E-07,-4.8128E-07
0.27,0,3.9086E-07,-2.4917000000000003E-10,-3.912E-07,4.843E-07,-4.8126E-07
0.275,0,3.958E-07,-2.5832000000000004E-10,-3.9685999999999997E-07,4.8448E-07,-4.8156E-07
0.28,0,3.9972E-07,-2.6283E-10,-4.0133999999999997E-07,4.8436E-07,-4.813E-07
0.28500000000000003,0,4.0254E-07,-2.6830000000000005E-10,-4.0756E-07,4.8446E-07,-4.8162E-07
0.29000000000000004,0,4.0728E-07,-2.7698E-10,-4.096E-07,4.8458E-07,-4.8154E-07
0.29500000000000004,0,4.1207999999999997E-07,-2.8423E-10,-4.1487999999999997E-07,4.8427999999999994E-07,-4.8138E-07
0.3,0,4.1724E-07,-2.901E-10,-4.1902E-07,4.8452E-07,-4.817E-07
0.305,0,4.2248E-07,-2.9758E-10,-4.2382E-07,4.8454E-07,-4.8174E-07
0.31,0,4.2808E-07,-3.0732000000000003E-10,-4.293E-07,4.8455999999999994E-07,-4.8178E-07
0.315,0,4.3088E-07,-3.1421000000000005E-10,-4.3246E-07,4.8458E-07,-4.8172E-07
0.32,0,4.364E-07,-3.1947000000000004E-10,-4.394E-07,4.8446E-07,-4.8186E-07
0.325,0,4.398E-07,-3.3082E-10,-4.427E-07,4.8442E-07,-4.8188E-07
0.33,0,4.4552E-07,-3.4174000000000005E-10,-4.4765999999999997E-07,4.8472E-07,-4.8184E-07
0.335,0,4.5002E-07,-3.4759000000000004E-10,-4.514E-07,4.8478E-07,-4.8192E-07
0.34,0,4.554E-07,-3.5535E-10,-4.5706E-07,4.8462E-07,-4.8214E-07
0.34500000000000003,0,4.6136E-07,-3.6540000000000005E-10,-4.6368E-07,4.848E-07,-4.8228E-07
0.35000000000000003,0,4.6552E-07,-3.7736000000000003E-10,-4.6868E-07,4.8486E-07,-4.8224E-07
0.35500000000000004,0,4.7076E-07,-3.8749E-10,-4.7365999999999997E-07,4.8468E-07,-4.8203999999999994E-07
0.36000000000000004,0,4.7407999999999997E-07,-3.9467000000000004E-10,-4.762E-07,4.848E-07,-4.8226E-07
0.365,0,4.786E-07,-4.0625E-10,-4.832E-07,4.8468E-07,-4.8218E-07
0.37,0,4.849E-07,-4.211E-10,-4.8692E-07,4.8492E-07,-4.8242E-07
0.375,0,4.9114E-07,-4.2951000000000005E-10,-4.9324E-07,4.8478E-07,-4.8222E-07
0.38,0,4.9445999999999994E-07,-4.3912000000000003E-10,-4.9712E-07,4.8493999999999995E-07,-4.8226E-07
0.385,0,5.005E-07,-4.5078E-10,-5.0192E-07,4.8478E-07,-4.8252E-07
0.39,0,5.0612E-07,-4.6450000000000005E-10,-5.07E-07,4.847E-07,-4.8248E-07
0.395,0,5.1176E-07,-4.7715000000000005E-10,-5.1232E-07,4.8474E-07,-4.8236E-07
0.4,0,5.1832E-07,-4.8668E-10,-5.1728E-07,4.849E-07,-4.8248E-07
0.405,0,5.2178E-07,-5.0183E-10,-5.234E-07,4.8482E-07,-4.825E-07
0.41000000000000003,0,5.2644E-07,-5.152E-10,-5.2834E-07,4.8508E-07,-4.8252E-07
0.41500000000000004,0,5.308E-07,-5.2844000000000009E-10,-5.3254E-07,4.8506E-07,-4.8266E-07
0.42000000000000004,0,5.3604E-07,-5.4172000000000007E-10,-5.3856E-07,4.8492E-07,-4.8262E-07
0.42500000000000004,0,5.4176E-07,-5.5533000000000009E-10,-5.4374E-07,4.8508E-07,-4.8282E-07
0.43,0,5.4704E-07,-5.7074E-10,-5.4874E-07,4.8508E-07,-4.828E-07
0.435,0,5.5346E-07,-5.8558000000000006E-10,-5.5436E-07,4.8506E-07,-4.829E-07
0.44,0,5.5854E-07,-5.9874E-10,-5.5888E-07,4.851E-07,-4.8284E-07
0.445,0,5.6472E-07,-6.1754E-10,-5.6086E-07,4.8492E-07,-4.829E-07
0.45,0,5.6834E-07,-6.3224000000000008E-10,-5.6999999999999994E-07,4.8496E-07,-4.8282E-07
0.455,0,5.7452E-07,-6.4482000000000005E-10,-5.738E-07,4.8496E-07,-4.8282E-07
0.46,0,5.8056E-07,-6.6345E-10,-5.8142E-07,4.849E-07,-4.8284E-07
0.465,0,5.852E-07,-6.8309000000000007E-10,-5.8576E-07,4.8514E-07,-4.831E-07
0.47000000000000003,0,5.9078E-07,-6.998E-10,-5.9192E-07,4.8502E-07,-4.8286E-07
0.47500000000000003,0,5.9674E-07,-7.1306E-10,-5.9862E-07,4.8488E-07,-4.8298E-07
0.48000000000000004,0,6.0188E-07,-7.3200000000000006E-10,-6.0239999999999994E-07,4.8526E-07,-4.8326E-07
0.48500000000000004,0,6.087E-07,-7.5402E-10,-6.0816E-07,4.8508E-07,-4.8322E-07
0.49000000000000005,0,6.138E-07,-7.7222E-10,-6.1478E-07,4.8526E-07,-4.8312E-07
0.49500000000000005,0,6.202E-07,-7.8732E-10,-6.216E-07,4.85E-07,-4.8308E-07
0.5,0,6.2564E-07,-8.0975E-10,-6.2908E-07,4.8518E-07,-4.8338E-07
0.505,0,6.3394E-07,-8.3192000000000006E-10,-6.3184E-07,4.8506E-07,-4.8322E-07
0.51,0,6.3514E-07,-8.5058000000000008E-10,-6.3812E-07,4.8524E-07,-4.8322E-07
0.515,0,6.436E-07,-8.7071000000000009E-10,-6.4532E-07,4.8534E-07,-4.8332E-07
0.52,0,6.4996E-07,-8.9339000000000006E-10,-6.5156E-07,4.8536E-07,-4.8332E-07
0.525,0,6.5571999999999995E-07,-9.1571E-10,-6.5536E-07,4.8539999999999994E-07,-4.8358E-07
0.53,0,6.6248E-07,-9.3621E-10,-6.61E-07,4.8508E-07,-4.8358E-07
0.535,0,6.6803999999999994E-07,-9.5861E-10,-6.6808E-07,4.8504E-07,-4.834E-07
0.54,0,6.7734E-07,-9.8633E-10,-6.7478E-07,4.8532E-07,-4.835E-07
0.545,0,6.8202E-07,-1.00718E-09,-6.8178E-07,4.8511999999999994E-07,-4.837E-07
0.55,0,6.8874E-07,-1.0275E-09,-6.9086E-07,4.8532E-07,-4.8362E-07
0.555,0,6.9504E-07,-1.0551400000000001E-09,-6.9384E-07,4.8524E-07,-4.8356E-07
0.56,0,6.8526E-07,-1.07938E-09,-6.8656E-07,4.8538E-07,-4.8352E-07
