Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.15V	Ig,Vd=0.15V	Is,Vd=0.15V	Iavdd,Vd=0.15V	Ignd,Vd=0.15V	Id,Vd=0.3V	Ig,Vd=0.3V	Is,Vd=0.3V	Iavdd,Vd=0.3V	Ignd,Vd=0.3V	Id,Vd=0.45V	Ig,Vd=0.45V	Is,Vd=0.45V	Iavdd,Vd=0.45V	Ignd,Vd=0.45V	Id,Vd=0.6V	Ig,Vd=0.6V	Is,Vd=0.6V	Iavdd,Vd=0.6V	Ignd,Vd=0.6V	Id,Vd=0.75V	Ig,Vd=0.75V	Is,Vd=0.75V	Iavdd,Vd=0.75V	Ignd,Vd=0.75V	Id,Vd=0.9V	Ig,Vd=0.9V	Is,Vd=0.9V	Iavdd,Vd=0.9V	Ignd,Vd=0.9V
-0.3	-6.786e-11	-5.1489e-09	1.0498e-10	3.1702e-07	-3.1186e-07	7.391e-09	-5.524e-09	-6.8397e-09	3.1692e-07	-3.1184e-07	1.74452e-08	-6.2366e-09	-1.6055e-08	3.1688e-07	-3.1202e-07	3.27438e-08	-7.4656e-09	-3.04508e-08	3.1742e-07	-3.1262e-07	5.90226e-08	-9.3643e-09	-5.45748e-08	3.1812e-07	-3.134e-07	1.0716e-07	-1.20604e-08	-1.0012e-07	3.1906e-07	-3.1398e-07	1.9876e-07	-1.5731e-08	-1.863e-07	3.1912e-07	-3.1414e-07
-0.295	-7.874e-11	-4.6978e-09	9.565e-11	3.171e-07	-3.1246e-07	7.4819e-09	-5.0473e-09	-6.9371e-09	3.168e-07	-3.1222e-07	1.71968e-08	-5.7428e-09	-1.61772e-08	3.1678e-07	-3.1242e-07	3.35766e-08	-6.9332e-09	-3.0749e-08	3.1722e-07	-3.1286e-07	5.91876e-08	-8.7907e-09	-5.46178e-08	3.1794e-07	-3.1378e-07	1.0802e-07	-1.14564e-08	-1.0004e-07	3.1888e-07	-3.1462e-07	1.9624e-07	-1.50688e-08	-1.8618e-07	3.1894e-07	-3.1478e-07
-0.29	-8.408e-11	-4.2521e-09	8.654e-11	3.1698e-07	-3.1268e-07	7.6298e-09	-4.5982e-09	-6.9364e-09	3.1704e-07	-3.1294e-07	1.77306e-08	-5.2782e-09	-1.64694e-08	3.1688e-07	-3.1306e-07	3.36926e-08	-6.4442e-09	-3.1029e-08	3.1722e-07	-3.133e-07	5.91188e-08	-8.2671e-09	-5.50392e-08	3.1794e-07	-3.14e-07	1.085e-07	-1.08866e-08	-1.003044e-07	3.186e-07	-3.1496e-07	1.9516e-07	-1.44558e-08	-1.8588e-07	3.1882e-07	-3.1526e-07
-0.285	-8.588e-11	-3.861e-09	8.152e-11	3.1696e-07	-3.1302e-07	7.6497e-09	-4.1945e-09	-7.1503e-09	3.1684e-07	-3.1306e-07	1.77266e-08	-4.8583e-09	-1.6691e-08	3.1708e-07	-3.1342e-07	3.37772e-08	-6e-09	-3.1776e-08	3.1714e-07	-3.1364e-07	5.97774e-08	-7.7943e-09	-5.57258e-08	3.18e-07	-3.1448e-07	1.0732e-07	-1.03738e-08	-1.014804e-07	3.185e-07	-3.1498e-07	1.9678e-07	-1.39028e-08	-1.8524e-07	3.1902e-07	-3.1552e-07
-0.28	-9.722e-11	-3.4953e-09	7.235e-11	3.1692e-07	-3.1338e-07	7.7518e-09	-3.8243e-09	-7.2412e-09	3.17e-07	-3.136e-07	1.80788e-08	-4.4736e-09	-1.69202e-08	3.1684e-07	-3.1378e-07	3.38246e-08	-5.5887e-09	-3.17348e-08	3.1712e-07	-3.1388e-07	5.9736e-08	-7.346e-09	-5.58264e-08	3.1782e-07	-3.1478e-07	1.094e-07	-9.8898e-09	-1.019752e-07	3.1858e-07	-3.1534e-07	1.967e-07	-1.33706e-08	-1.8584e-07	3.19e-07	-3.159e-07
-0.275	-9.687e-11	-3.1776e-09	6.231e-11	3.1712e-07	-3.139e-07	7.7556e-09	-3.4965e-09	-7.3302e-09	3.1678e-07	-3.137e-07	1.8297e-08	-4.1272e-09	-1.68114e-08	3.168e-07	-3.1404e-07	3.44748e-08	-5.2246e-09	-3.16916e-08	3.173e-07	-3.1436e-07	6.07962e-08	-6.9377e-09	-5.39522e-08	3.1776e-07	-3.1502e-07	1.0754e-07	-9.4609e-09	-1.014636e-07	3.1856e-07	-3.1576e-07	1.95e-07	-1.2898e-08	-1.8396e-07	3.1876e-07	-3.16e-07
-0.27	-1.0269e-10	-2.878e-09	5.419e-11	3.1708e-07	-3.1412e-07	7.7732e-09	-3.1889e-09	-7.4522e-09	3.168e-07	-3.1402e-07	1.83314e-08	-3.8026e-09	-1.70054e-08	3.1682e-07	-3.1414e-07	3.4808e-08	-4.8797e-09	-3.25428e-08	3.1708e-07	-3.1456e-07	6.0969e-08	-6.5744e-09	-5.6585e-08	3.178e-07	-3.1526e-07	1.0916e-07	-9.0419e-09	-1.023934e-07	3.1826e-07	-3.157e-07	1.9596e-07	-1.24432e-08	-1.8656e-07	3.1882e-07	-3.163e-07
-0.265	-1.1153e-10	-2.6137e-09	4.906e-11	3.1684e-07	-3.1416e-07	7.9923e-09	-2.9097e-09	-7.4269e-09	3.1678e-07	-3.1442e-07	1.84326e-08	-3.5171e-09	-1.74954e-08	3.1684e-07	-3.146e-07	3.48574e-08	-4.5697e-09	-3.2519e-08	3.17e-07	-3.1468e-07	6.17412e-08	-6.2314e-09	-5.7619e-08	3.175e-07	-3.1514e-07	1.1018e-07	-8.6653e-09	-1.029248e-07	3.182e-07	-3.1598e-07	1.9628e-07	-1.20292e-08	-1.8608e-07	3.1864e-07	-3.1656e-07
-0.26	-1.1567e-10	-2.3689e-09	3.808e-11	3.1708e-07	-3.1454e-07	8.0462e-09	-2.6586e-09	-7.5675e-09	3.1682e-07	-3.1462e-07	1.67304e-08	-3.2412e-09	-1.67032e-08	3.1682e-07	-3.1478e-07	3.52514e-08	-4.2818e-09	-3.31472e-08	3.17e-07	-3.1494e-07	6.19208e-08	-5.9153e-09	-5.78432e-08	3.1758e-07	-3.1556e-07	1.1042e-07	-8.3191e-09	-1.037154e-07	3.183e-07	-3.1614e-07	1.95e-07	-1.16394e-08	-1.8722e-07	3.1852e-07	-3.1662e-07
-0.255	-1.2368e-10	-2.1519e-09	3.208e-11	3.171e-07	-3.147e-07	8.0598e-09	-2.4312e-09	-7.7403e-09	3.168e-07	-3.1484e-07	1.87128e-08	-3.0075e-09	-1.79168e-08	3.1688e-07	-3.1502e-07	3.52104e-08	-4.0182e-09	-3.33758e-08	3.1706e-07	-3.1514e-07	6.249e-08	-5.6338e-09	-5.85466e-08	3.1756e-07	-3.1568e-07	1.1038e-07	-7.998e-09	-1.044172e-07	3.1818e-07	-3.1616e-07	1.9664e-07	-1.12732e-08	-1.8778e-07	3.185e-07	-3.1678e-07
