I/V Sweep,id_vgs_2
RecordTime,05/14/2024 09:20:51
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-5.4495000000000007E-10,-3.64812E-08,-8.5346000000000007E-10,2.3415000000000004E-06,-2.2978000000000003E-06
-0.29500000000000004,0,-5.7009E-10,-3.25242E-08,-8.6646E-10,2.3342E-06,-2.2988000000000003E-06
-0.29000000000000004,0,-5.8449E-10,-2.9178999999999996E-08,-8.2388000000000005E-10,2.3331E-06,-2.2991E-06
-0.28500000000000003,0,-5.7488000000000009E-10,-2.61104E-08,-8.7354000000000007E-10,2.3321E-06,-2.3017000000000003E-06
-0.28,0,-6.0747000000000007E-10,-2.3416799999999996E-08,-8.870800000000001E-10,2.3291000000000003E-06,-2.301E-06
-0.275,0,-6.1827000000000008E-10,-2.0974799999999997E-08,-9.1304000000000009E-10,2.3284000000000004E-06,-2.3055E-06
-0.27,0,-6.0118000000000009E-10,-1.88206E-08,-9.1507E-10,2.3282000000000004E-06,-2.3059000000000002E-06
-0.265,0,-6.1613E-10,-1.6868E-08,-9.1493000000000007E-10,2.3294E-06,-2.3088000000000002E-06
-0.26,0,-5.9349000000000009E-10,-1.5194799999999997E-08,-9.0193000000000011E-10,2.3269E-06,-2.3079000000000004E-06
-0.255,0,-6.2111E-10,-1.3618399999999998E-08,-9.2267000000000008E-10,2.3301000000000004E-06,-2.3152000000000003E-06
-0.25,0,-5.9038000000000009E-10,-1.2252E-08,-9.4381E-10,2.3279E-06,-2.3137000000000004E-06
-0.24500000000000002,0,-5.8156E-10,-1.099E-08,-9.4784000000000011E-10,2.3278000000000004E-06,-2.3119000000000003E-06
-0.24000000000000002,0,-6.2523E-10,-9.8543999999999986E-09,-9.3371E-10,2.3260000000000003E-06,-2.3106000000000004E-06
-0.23500000000000001,0,-6.2218E-10,-8.9018E-09,-9.4446E-10,2.3183000000000003E-06,-2.3091E-06
-0.23,0,-6.1964E-10,-7.9931E-09,-9.6713000000000015E-10,2.3194E-06,-2.3097E-06
-0.225,0,-6.2941E-10,-7.1812E-09,-9.8749E-10,2.3187000000000003E-06,-2.3094000000000003E-06
-0.22,0,-6.3497E-10,-6.4752E-09,-1.0014100000000002E-09,2.3204000000000003E-06,-2.3079000000000004E-06
-0.215,0,-5.9020000000000009E-10,-5.7863E-09,-9.8205000000000014E-10,2.3221E-06,-2.3114000000000004E-06
-0.21000000000000002,0,-5.9582E-10,-5.2036E-09,-1.01916E-09,2.3235000000000003E-06,-2.3133000000000004E-06
-0.20500000000000002,0,-5.8998000000000007E-10,-4.6855E-09,-9.7798000000000017E-10,2.3179000000000003E-06,-2.3095E-06
-0.2,0,-6.1846000000000005E-10,-4.2159E-09,-9.6145E-10,2.3183000000000003E-06,-2.3100000000000003E-06
-0.195,0,-6.4378E-10,-3.8023E-09,-1.0227400000000001E-09,2.3157E-06,-2.3091E-06
-0.19,0,-6.2399E-10,-3.426E-09,-1.0269100000000001E-09,2.3095E-06,-2.3039E-06
-0.185,0,-5.8719E-10,-3.0813E-09,-1.0337600000000002E-09,2.3100000000000003E-06,-2.3055E-06
-0.18000000000000002,0,-6.2144000000000008E-10,-2.7736E-09,-1.05358E-09,2.3116E-06,-2.3066E-06
-0.17500000000000002,0,-5.9709000000000005E-10,-2.494E-09,-1.0498600000000001E-09,2.3105E-06,-2.3042000000000003E-06
-0.17,0,-6.1021E-10,-2.2581E-09,-1.06067E-09,2.3109E-06,-2.3058000000000004E-06
-0.165,0,-5.7985E-10,-2.0309E-09,-1.04131E-09,2.3138E-06,-2.3067000000000003E-06
-0.16,0,-6.3812000000000007E-10,-1.8413E-09,-1.1295600000000002E-09,2.3114000000000004E-06,-2.3067000000000003E-06
-0.155,0,-6.0807000000000005E-10,-1.6528E-09,-1.11453E-09,2.3133000000000004E-06,-2.3065000000000003E-06
-0.15,0,-5.4272000000000007E-10,-1.4895E-09,-1.07967E-09,2.3136E-06,-2.3079000000000004E-06
-0.14500000000000002,0,-5.7588000000000008E-10,-1.3452E-09,-1.0910300000000001E-09,2.3102000000000003E-06,-2.3058000000000004E-06
-0.14,0,-5.8908E-10,-1.2114E-09,-1.11436E-09,2.3106000000000004E-06,-2.3085000000000004E-06
-0.135,0,-5.9019E-10,-1.0926E-09,-1.1277700000000001E-09,2.3111E-06,-2.3047E-06
-0.13,0,-6.0361E-10,-9.9227000000000013E-10,-1.10971E-09,2.3083000000000004E-06,-2.3047E-06
-0.125,0,-5.7355E-10,-8.9162000000000007E-10,-1.1034200000000001E-09,2.3094000000000003E-06,-2.3046000000000003E-06
-0.12000000000000001,0,-5.7992E-10,-8.0679000000000006E-10,-1.1421200000000002E-09,2.3098000000000003E-06,-2.302E-06
-0.115,0,-5.7779E-10,-7.2922000000000009E-10,-1.1419700000000001E-09,2.3135000000000004E-06,-2.3093E-06
-0.11,0,-5.8219E-10,-6.6025000000000007E-10,-1.14888E-09,2.3093E-06,-2.306E-06
-0.10500000000000001,0,-5.5112000000000006E-10,-5.9484000000000009E-10,-1.1331E-09,2.3123000000000003E-06,-2.3064E-06
-0.1,0,-5.9647E-10,-5.4021E-10,-1.159E-09,2.3071000000000003E-06,-2.3045E-06
-0.095,0,-5.6761000000000007E-10,-4.8672000000000005E-10,-1.155E-09,2.3084E-06,-2.3051E-06
-0.090000000000000011,0,-5.7633E-10,-4.4260000000000005E-10,-1.1793E-09,2.3106000000000004E-06,-2.3069000000000003E-06
-0.085,0,-5.5633000000000008E-10,-3.9919000000000005E-10,-1.2096E-09,2.3109E-06,-2.3050000000000004E-06
-0.08,0,-5.5312E-10,-3.6159000000000004E-10,-1.1686E-09,2.3092000000000003E-06,-2.3043E-06
-0.075,0,-5.8904000000000007E-10,-3.2657000000000004E-10,-1.2561E-09,2.3085000000000004E-06,-2.3030000000000002E-06
