vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	-5.4495e-10	-3.64812e-08	-8.5346e-10	2.3415e-06	-2.2978e-06	7.6738e-09	-3.6419e-08	-8.9837e-09	2.2999e-06	-2.261e-06	1.53804e-08	-3.63898e-08	-1.64816e-08	2.3085e-06	-2.2692e-06	2.299e-08	-3.65718e-08	-2.4044e-08	2.3103e-06	-2.2709e-06	2.98466e-08	-3.63046e-08	-3.07342e-08	2.3171e-06	-2.2772e-06	3.61708e-08	-3.62508e-08	-3.70964e-08	2.3128e-06	-2.2727e-06	4.19786e-08	-3.62382e-08	-4.29248e-08	2.317e-06	-2.279e-06	4.79762e-08	-3.63162e-08	-4.87272e-08	2.3097e-06	-2.2715e-06	5.35716e-08	-3.6301e-08	-5.44136e-08	2.3162e-06	-2.2766e-06	5.84144e-08	-3.61936e-08	-5.90814e-08	2.3148e-06	-2.2772e-06	6.39284e-08	-3.61002e-08	-6.40536e-08	2.3149e-06	-2.2775e-06
-0.295	-5.7009e-10	-3.25242e-08	-8.6646e-10	2.3342e-06	-2.2988e-06	7.7169e-09	-3.25004e-08	-9.0271e-09	2.3001e-06	-2.2651e-06	1.562e-08	-3.24164e-08	-1.67712e-08	2.3092e-06	-2.2723e-06	2.33574e-08	-3.2622e-08	-2.423e-08	2.3117e-06	-2.2752e-06	3.02638e-08	-3.24706e-08	-3.09422e-08	2.3179e-06	-2.2836e-06	3.68136e-08	-3.24754e-08	-3.74774e-08	2.3126e-06	-2.2775e-06	4.25872e-08	-3.2405e-08	-4.3005e-08	2.315e-06	-2.2785e-06	4.88296e-08	-3.24084e-08	-4.9156e-08	2.3061e-06	-2.2714e-06	5.46766e-08	-3.2339e-08	-5.4585e-08	2.3161e-06	-2.2807e-06	5.9512e-08	-3.2332e-08	-5.95038e-08	2.3142e-06	-2.2782e-06	6.48846e-08	-3.23154e-08	-6.45886e-08	2.3175e-06	-2.282e-06
-0.29	-5.8449e-10	-2.9179e-08	-8.2388e-10	2.3331e-06	-2.2991e-06	7.7761e-09	-2.9103e-08	-9.1001e-09	2.3009e-06	-2.2698e-06	1.57858e-08	-2.91298e-08	-1.67822e-08	2.3073e-06	-2.2779e-06	2.33206e-08	-2.9238e-08	-2.42598e-08	2.311e-06	-2.2814e-06	3.0441e-08	-2.9084e-08	-3.1237e-08	2.3177e-06	-2.2851e-06	3.72568e-08	-2.90962e-08	-3.77334e-08	2.3147e-06	-2.2817e-06	4.28258e-08	-2.90602e-08	-4.34036e-08	2.3136e-06	-2.2808e-06	4.90806e-08	-2.90656e-08	-4.94656e-08	2.3117e-06	-2.2804e-06	5.48386e-08	-2.90108e-08	-5.52302e-08	2.3173e-06	-2.2854e-06	6.0218e-08	-2.90272e-08	-6.03196e-08	2.3129e-06	-2.2802e-06	6.5394e-08	-2.89478e-08	-6.54682e-08	2.315e-06	-2.2823e-06
-0.285	-5.7488e-10	-2.61104e-08	-8.7354e-10	2.3321e-06	-2.3017e-06	7.8979e-09	-2.60874e-08	-9.1604e-09	2.303e-06	-2.2747e-06	1.58122e-08	-2.60812e-08	-1.68834e-08	2.3087e-06	-2.2776e-06	2.36132e-08	-2.61472e-08	-2.45482e-08	2.3089e-06	-2.28e-06	3.06798e-08	-2.60076e-08	-3.13848e-08	2.3123e-06	-2.2835e-06	3.70924e-08	-2.6039e-08	-3.78964e-08	2.3132e-06	-2.2864e-06	4.31516e-08	-2.59436e-08	-4.36232e-08	2.3129e-06	-2.2817e-06	4.96624e-08	-2.60102e-08	-4.98236e-08	2.3123e-06	-2.2818e-06	5.52924e-08	-2.59786e-08	-5.56404e-08	2.3175e-06	-2.2887e-06	6.02976e-08	-2.59572e-08	-6.02982e-08	2.308e-06	-2.2822e-06	6.59656e-08	-2.59544e-08	-6.57494e-08	2.3166e-06	-2.2901e-06
-0.28	-6.0747e-10	-2.34168e-08	-8.8708e-10	2.3291e-06	-2.301e-06	7.9278e-09	-2.34028e-08	-9.2085e-09	2.3011e-06	-2.2753e-06	1.5911e-08	-2.33958e-08	-1.69822e-08	2.3074e-06	-2.28e-06	2.3767e-08	-2.35252e-08	-2.47124e-08	2.3104e-06	-2.2845e-06	3.0966e-08	-2.34182e-08	-3.17454e-08	2.3161e-06	-2.2902e-06	3.73644e-08	-2.33614e-08	-3.79878e-08	2.3117e-06	-2.2831e-06	4.3714e-08	-2.3312e-08	-4.42442e-08	2.3086e-06	-2.2832e-06	4.98476e-08	-2.3355e-08	-5.03354e-08	2.3072e-06	-2.283e-06	5.56778e-08	-2.33936e-08	-5.57054e-08	2.318e-06	-2.2928e-06	6.07184e-08	-2.33112e-08	-6.07144e-08	2.3099e-06	-2.2857e-06	6.62574e-08	-2.32632e-08	-6.64146e-08	2.3154e-06	-2.2895e-06
-0.275	-6.1827e-10	-2.09748e-08	-9.1304e-10	2.3284e-06	-2.3055e-06	8.0352e-09	-2.09786e-08	-9.3365e-09	2.3009e-06	-2.2778e-06	1.5957e-08	-2.0962e-08	-1.71766e-08	2.308e-06	-2.2837e-06	2.38572e-08	-2.10298e-08	-2.49712e-08	2.3123e-06	-2.288e-06	3.09634e-08	-2.09352e-08	-3.16258e-08	2.3151e-06	-2.2913e-06	3.73022e-08	-2.09176e-08	-3.80368e-08	2.3115e-06	-2.2873e-06	4.37686e-08	-2.0868e-08	-4.44954e-08	2.3111e-06	-2.2866e-06	5.0442e-08	-2.09878e-08	-5.05094e-08	2.3083e-06	-2.2843e-06	5.59016e-08	-2.0977e-08	-5.62336e-08	2.3182e-06	-2.2955e-06	6.0721e-08	-2.08646e-08	-6.11134e-08	2.3107e-06	-2.2883e-06	6.69458e-08	-2.08602e-08	-6.6561e-08	2.3172e-06	-2.2917e-06
-0.27	-6.0118e-10	-1.88206e-08	-9.1507e-10	2.3282e-06	-2.3059e-06	8.0431e-09	-1.88262e-08	-9.3564e-09	2.2995e-06	-2.2787e-06	1.61474e-08	-1.88042e-08	-1.72586e-08	2.3073e-06	-2.2833e-06	2.4021e-08	-1.89186e-08	-2.49316e-08	2.3127e-06	-2.2888e-06	3.10676e-08	-1.88262e-08	-3.18682e-08	2.3139e-06	-2.2936e-06	3.76556e-08	-1.87916e-08	-3.8507e-08	2.3112e-06	-2.2915e-06	4.44278e-08	-1.87866e-08	-4.49448e-08	2.3122e-06	-2.2911e-06	5.06066e-08	-1.88006e-08	-5.10136e-08	2.3059e-06	-2.2844e-06	5.61902e-08	-1.88196e-08	-5.64318e-08	2.3175e-06	-2.2983e-06	6.1243e-08	-1.87576e-08	-6.12332e-08	2.3139e-06	-2.2919e-06	6.70264e-08	-1.87028e-08	-6.7487e-08	2.3182e-06	-2.2964e-06
-0.265	-6.1613e-10	-1.6868e-08	-9.1493e-10	2.3294e-06	-2.3088e-06	8.0747e-09	-1.68542e-08	-9.4163e-09	2.3008e-06	-2.2818e-06	1.62766e-08	-1.68262e-08	-1.73374e-08	2.3082e-06	-2.287e-06	2.41818e-08	-1.695e-08	-2.51624e-08	2.3141e-06	-2.2904e-06	3.133e-08	-1.68718e-08	-3.21736e-08	2.316e-06	-2.2972e-06	3.81648e-08	-1.68932e-08	-3.88796e-08	2.3136e-06	-2.2936e-06	4.41872e-08	-1.68072e-08	-4.4843e-08	2.3086e-06	-2.2902e-06	5.0868e-08	-1.68066e-08	-5.10946e-08	2.3076e-06	-2.29e-06	5.66682e-08	-1.6893e-08	-5.66936e-08	2.3154e-06	-2.2939e-06	6.13654e-08	-1.68132e-08	-6.1498e-08	2.3122e-06	-2.292e-06	6.77434e-08	-1.67176e-08	-6.77466e-08	2.3133e-06	-2.295e-06
-0.26	-5.9349e-10	-1.51948e-08	-9.0193e-10	2.3269e-06	-2.3079e-06	8.0858e-09	-1.51326e-08	-9.4038e-09	2.299e-06	-2.2802e-06	1.63196e-08	-1.51574e-08	-1.75018e-08	2.3025e-06	-2.2835e-06	2.42078e-08	-1.51818e-08	-2.51586e-08	2.3109e-06	-2.2896e-06	3.16634e-08	-1.5133e-08	-3.25276e-08	2.3169e-06	-2.3008e-06	3.82954e-08	-1.51222e-08	-3.90242e-08	2.3155e-06	-2.2956e-06	4.46962e-08	-1.50758e-08	-4.53502e-08	2.3089e-06	-2.2906e-06	5.11316e-08	-1.5111e-08	-5.15354e-08	2.3084e-06	-2.2894e-06	5.66442e-08	-1.51888e-08	-5.6715e-08	2.3135e-06	-2.2968e-06	6.18372e-08	-1.51202e-08	-6.21046e-08	2.3101e-06	-2.2931e-06	6.78088e-08	-1.5065e-08	-6.7812e-08	2.3152e-06	-2.296e-06
-0.255	-6.2111e-10	-1.36184e-08	-9.2267e-10	2.3301e-06	-2.3152e-06	8.1279e-09	-1.35846e-08	-9.5118e-09	2.2978e-06	-2.281e-06	1.6485e-08	-1.35754e-08	-1.76088e-08	2.3057e-06	-2.287e-06	2.4426e-08	-1.36412e-08	-2.5355e-08	2.3084e-06	-2.2902e-06	3.2109e-08	-1.35772e-08	-3.2934e-08	2.3138e-06	-2.2995e-06	3.86136e-08	-1.3531e-08	-3.92272e-08	2.3126e-06	-2.2956e-06	4.51276e-08	-1.35364e-08	-4.55018e-08	2.3084e-06	-2.2903e-06	5.1419e-08	-1.3546e-08	-5.18284e-08	2.3099e-06	-2.294e-06	5.69094e-08	-1.3611e-08	-5.71644e-08	2.3151e-06	-2.2988e-06	6.25722e-08	-1.36082e-08	-6.27802e-08	2.3105e-06	-2.2924e-06	6.86616e-08	-1.35528e-08	-6.85324e-08	2.3129e-06	-2.2982e-06
