I/V Sweep,id_vgs
RecordTime,05/14/2024 09:14:04
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-5.9756E-09,-3.80458E-08,-1.5724E-09,4.5006000000000006E-06,-4.4437E-06
-0.29500000000000004,0,-6.1292E-09,-3.3991599999999996E-08,-1.6083E-09,4.4796E-06,-4.4365000000000006E-06
-0.29000000000000004,0,-6.1176E-09,-3.0518599999999995E-08,-1.6508E-09,4.4752000000000008E-06,-4.4357000000000006E-06
-0.28500000000000003,0,-6.1239E-09,-2.74272E-08,-1.6157E-09,4.4709000000000007E-06,-4.4336E-06
-0.28,0,-6.1459E-09,-2.4622999999999998E-08,-1.6586E-09,4.4696E-06,-4.4362000000000008E-06
-0.275,0,-6.1505E-09,-2.2085199999999996E-08,-1.6218E-09,4.4602E-06,-4.4276000000000006E-06
-0.27,0,-6.1583E-09,-1.9886999999999998E-08,-1.6195E-09,4.4552E-06,-4.4246000000000008E-06
-0.265,0,-6.2086E-09,-1.7871E-08,-1.6734E-09,4.4536000000000009E-06,-4.4241000000000006E-06
-0.26,0,-6.1853E-09,-1.6090799999999997E-08,-1.6893E-09,4.4501000000000008E-06,-4.4225000000000004E-06
-0.255,0,-6.1685E-09,-1.4461599999999999E-08,-1.6997E-09,4.4405E-06,-4.4187000000000006E-06
-0.25,0,-6.1573E-09,-1.3031999999999999E-08,-1.7011E-09,4.4358000000000008E-06,-4.4114000000000007E-06
-0.24500000000000002,0,-6.1742E-09,-1.1734599999999999E-08,-1.7286E-09,4.4332E-06,-4.4067000000000005E-06
-0.24000000000000002,0,-6.2058E-09,-1.0580599999999999E-08,-1.7238E-09,4.4257000000000007E-06,-4.4083000000000006E-06
-0.23500000000000001,0,-6.1911E-09,-9.5916E-09,-1.7233E-09,4.4248E-06,-4.4053000000000008E-06
-0.23,0,-6.205E-09,-8.685E-09,-1.7491E-09,4.4207000000000007E-06,-4.4022000000000008E-06
-0.225,0,-6.1953E-09,-7.8176E-09,-1.7886E-09,4.4182E-06,-4.3968000000000008E-06
-0.22,0,-6.2274E-09,-7.0578E-09,-1.7673E-09,4.4160000000000006E-06,-4.4013000000000005E-06
-0.215,0,-6.2137E-09,-6.3989E-09,-1.7817E-09,4.412E-06,-4.3925000000000007E-06
-0.21000000000000002,0,-6.2416E-09,-5.8117E-09,-1.7619E-09,4.4034E-06,-4.3892E-06
-0.20500000000000002,0,-6.2494E-09,-5.2644E-09,-1.799E-09,4.4074E-06,-4.3853E-06
