vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	-6.1363e-09	-3.9805e-08	-1.3614e-09	4.4734e-06	-4.4122e-06	2.0618e-09	-3.94194e-08	-9.8908e-09	4.2991e-06	-4.2441e-06	9.783e-09	-3.9422e-08	-1.7467e-08	4.3105e-06	-4.256e-06	1.71414e-08	-3.93028e-08	-2.4719e-08	4.2999e-06	-4.2507e-06	2.44486e-08	-3.92076e-08	-3.18822e-08	4.3102e-06	-4.26e-06	3.10604e-08	-3.92418e-08	-3.80256e-08	4.3016e-06	-4.2577e-06	3.80374e-08	-3.89468e-08	-4.45698e-08	4.3031e-06	-4.2569e-06	4.27736e-08	-3.91856e-08	-4.95842e-08	4.3015e-06	-4.2542e-06	4.83274e-08	-3.89062e-08	-5.51202e-08	4.3163e-06	-4.2673e-06	5.32052e-08	-3.8973e-08	-6.01692e-08	4.3167e-06	-4.2688e-06	5.9627e-08	-3.8754e-08	-6.49858e-08	4.3077e-06	-4.2661e-06
-0.295	-6.2691e-09	-3.544e-08	-1.3695e-09	4.4557e-06	-4.4085e-06	2.1909e-09	-3.52018e-08	-9.887e-09	4.3028e-06	-4.2603e-06	9.9696e-09	-3.51856e-08	-1.76826e-08	4.3049e-06	-4.2608e-06	1.76342e-08	-3.51944e-08	-2.50188e-08	4.3059e-06	-4.2633e-06	2.502e-08	-3.51194e-08	-3.21286e-08	4.3019e-06	-4.2562e-06	3.1384e-08	-3.5087e-08	-3.82176e-08	4.3109e-06	-4.267e-06	3.8401e-08	-3.47282e-08	-4.48894e-08	4.3021e-06	-4.2591e-06	4.34312e-08	-3.50062e-08	-4.992e-08	4.3043e-06	-4.2641e-06	4.93694e-08	-3.47818e-08	-5.55554e-08	4.3139e-06	-4.2695e-06	5.43216e-08	-3.48556e-08	-6.02792e-08	4.3161e-06	-4.2691e-06	6.00008e-08	-3.4727e-08	-6.61084e-08	4.3092e-06	-4.2654e-06
-0.29	-6.2539e-09	-3.18138e-08	-1.4202e-09	4.4434e-06	-4.3994e-06	2.136e-09	-3.15624e-08	-9.9978e-09	4.3056e-06	-4.262e-06	1.00956e-08	-3.16172e-08	-1.76798e-08	4.3072e-06	-4.2643e-06	1.76636e-08	-3.15752e-08	-2.49938e-08	4.3041e-06	-4.2655e-06	2.49766e-08	-3.15504e-08	-3.2098e-08	4.3009e-06	-4.2649e-06	3.16862e-08	-3.1572e-08	-3.86268e-08	4.3031e-06	-4.2633e-06	3.84392e-08	-3.12352e-08	-4.50762e-08	4.3032e-06	-4.2615e-06	4.379e-08	-3.14612e-08	-5.02254e-08	4.3127e-06	-4.2751e-06	4.99202e-08	-3.11732e-08	-5.61574e-08	4.3192e-06	-4.2813e-06	5.47358e-08	-3.13164e-08	-6.08756e-08	4.3173e-06	-4.278e-06	6.02846e-08	-3.1262e-08	-6.6322e-08	4.3152e-06	-4.276e-06
-0.285	-6.2588e-09	-2.86634e-08	-1.3893e-09	4.4352e-06	-4.3962e-06	2.1799e-09	-2.84746e-08	-1.00378e-08	4.3015e-06	-4.2621e-06	1.00866e-08	-2.83604e-08	-1.78234e-08	4.3046e-06	-4.2678e-06	1.78736e-08	-2.8334e-08	-2.53318e-08	4.3061e-06	-4.2701e-06	2.52414e-08	-2.84002e-08	-3.22904e-08	4.3053e-06	-4.2717e-06	3.18956e-08	-2.83008e-08	-3.89068e-08	4.3018e-06	-4.2689e-06	3.87942e-08	-2.7958e-08	-4.54272e-08	4.3034e-06	-4.2675e-06	4.38572e-08	-2.80956e-08	-5.06194e-08	4.3098e-06	-4.2684e-06	5.0389e-08	-2.8039e-08	-5.65408e-08	4.3173e-06	-4.2855e-06	5.54368e-08	-2.80662e-08	-6.14538e-08	4.3182e-06	-4.284e-06	6.07064e-08	-2.79542e-08	-6.62856e-08	4.3174e-06	-4.2779e-06
-0.28	-6.2811e-09	-2.55804e-08	-1.4309e-09	4.4277e-06	-4.3863e-06	2.2109e-09	-2.54568e-08	-1.01098e-08	4.3081e-06	-4.2735e-06	1.01788e-08	-2.55288e-08	-1.79122e-08	4.306e-06	-4.276e-06	1.81012e-08	-2.54168e-08	-2.54906e-08	4.308e-06	-4.2762e-06	2.5298e-08	-2.5437e-08	-3.2456e-08	4.3088e-06	-4.2759e-06	3.21994e-08	-2.53832e-08	-3.91622e-08	4.3046e-06	-4.2667e-06	3.86986e-08	-2.5227e-08	-4.5607e-08	4.3012e-06	-4.2655e-06	4.45786e-08	-2.52208e-08	-5.1092e-08	4.3112e-06	-4.2759e-06	5.0429e-08	-2.5159e-08	-5.6306e-08	4.3203e-06	-4.2879e-06	5.57864e-08	-2.52662e-08	-6.20624e-08	4.3163e-06	-4.2861e-06	6.12866e-08	-2.51108e-08	-6.70338e-08	4.3203e-06	-4.287e-06
-0.275	-6.2737e-09	-2.29654e-08	-1.4437e-09	4.4215e-06	-4.3932e-06	2.2755e-09	-2.28326e-08	-1.01642e-08	4.305e-06	-4.2674e-06	1.04488e-08	-2.2947e-08	-1.80886e-08	4.298e-06	-4.268e-06	1.82288e-08	-2.28308e-08	-2.56856e-08	4.3024e-06	-4.2692e-06	2.56168e-08	-2.28482e-08	-3.28568e-08	4.3107e-06	-4.2754e-06	3.2463e-08	-2.28656e-08	-3.95884e-08	4.305e-06	-4.2759e-06	3.92928e-08	-2.26018e-08	-4.61764e-08	4.3009e-06	-4.2744e-06	4.47702e-08	-2.27176e-08	-5.12944e-08	4.3117e-06	-4.2759e-06	5.06896e-08	-2.25978e-08	-5.70572e-08	4.3148e-06	-4.2774e-06	5.60446e-08	-2.25892e-08	-6.22182e-08	4.3157e-06	-4.2903e-06	6.15474e-08	-2.24996e-08	-6.78282e-08	4.3121e-06	-4.2788e-06
-0.27	-6.273e-09	-2.06398e-08	-1.4182e-09	4.4223e-06	-4.392e-06	2.3043e-09	-2.06122e-08	-1.0288e-08	4.3062e-06	-4.2734e-06	1.05244e-08	-2.05726e-08	-1.82e-08	4.3011e-06	-4.2699e-06	1.84048e-08	-2.05406e-08	-2.5989e-08	4.3069e-06	-4.2788e-06	2.5693e-08	-2.05278e-08	-3.29848e-08	4.3082e-06	-4.2777e-06	3.2867e-08	-2.05372e-08	-3.98156e-08	4.308e-06	-4.2783e-06	3.93832e-08	-2.03236e-08	-4.63602e-08	4.2974e-06	-4.2797e-06	4.50464e-08	-2.0433e-08	-5.16376e-08	4.3052e-06	-4.2804e-06	5.10762e-08	-2.0355e-08	-5.76924e-08	4.3101e-06	-4.2812e-06	5.67302e-08	-2.04128e-08	-6.29002e-08	4.3199e-06	-4.2941e-06	6.22382e-08	-2.04228e-08	-6.8197e-08	4.3145e-06	-4.287e-06
-0.265	-6.3008e-09	-1.85946e-08	-1.461e-09	4.4187e-06	-4.3878e-06	2.4585e-09	-1.8416e-08	-1.03144e-08	4.3013e-06	-4.2713e-06	1.05822e-08	-1.8489e-08	-1.82834e-08	4.2938e-06	-4.2709e-06	1.86816e-08	-1.84482e-08	-2.61684e-08	4.3074e-06	-4.2774e-06	2.59174e-08	-1.84684e-08	-3.30396e-08	4.3034e-06	-4.2756e-06	3.31006e-08	-1.84076e-08	-3.9844e-08	4.3149e-06	-4.2879e-06	3.99184e-08	-1.82676e-08	-4.67816e-08	4.2997e-06	-4.2685e-06	4.53426e-08	-1.84252e-08	-5.16788e-08	4.3148e-06	-4.2868e-06	5.1277e-08	-1.8264e-08	-5.76776e-08	4.3157e-06	-4.2845e-06	5.7207e-08	-1.8301e-08	-6.32722e-08	4.3239e-06	-4.2932e-06	6.25698e-08	-1.83748e-08	-6.86184e-08	4.317e-06	-4.2917e-06
-0.26	-6.3276e-09	-1.6732e-08	-1.4811e-09	4.4033e-06	-4.3827e-06	2.4596e-09	-1.65946e-08	-1.04344e-08	4.2962e-06	-4.2625e-06	1.07284e-08	-1.66692e-08	-1.84318e-08	4.2903e-06	-4.2692e-06	1.88464e-08	-1.65954e-08	-2.6293e-08	4.3095e-06	-4.2836e-06	2.60296e-08	-1.66002e-08	-3.3307e-08	4.3015e-06	-4.2806e-06	3.31992e-08	-1.6592e-08	-4.01556e-08	4.3065e-06	-4.2805e-06	4.03466e-08	-1.65014e-08	-4.7038e-08	4.3013e-06	-4.276e-06	4.54396e-08	-1.65598e-08	-5.19998e-08	4.3087e-06	-4.2787e-06	5.16676e-08	-1.6449e-08	-5.79808e-08	4.3087e-06	-4.2913e-06	5.78652e-08	-1.64804e-08	-6.37344e-08	4.3277e-06	-4.2992e-06	6.3265e-08	-1.65822e-08	-6.90072e-08	4.314e-06	-4.2922e-06
-0.255	-6.2848e-09	-1.498e-08	-1.4834e-09	4.3969e-06	-4.3771e-06	2.5714e-09	-1.49534e-08	-1.04486e-08	4.296e-06	-4.2696e-06	1.08722e-08	-1.49992e-08	-1.86286e-08	4.2944e-06	-4.2627e-06	1.88482e-08	-1.49782e-08	-2.6539e-08	4.3066e-06	-4.2855e-06	2.61786e-08	-1.49336e-08	-3.347e-08	4.3037e-06	-4.2812e-06	3.32954e-08	-1.4981e-08	-4.03014e-08	4.3079e-06	-4.2839e-06	4.05398e-08	-1.48032e-08	-4.738e-08	4.3022e-06	-4.2859e-06	4.54622e-08	-1.49188e-08	-5.21846e-08	4.3143e-06	-4.2896e-06	5.19416e-08	-1.48352e-08	-5.82264e-08	4.3159e-06	-4.2938e-06	5.7836e-08	-1.48564e-08	-6.38442e-08	4.32e-06	-4.2994e-06	6.33522e-08	-1.4905e-08	-6.9302e-08	4.3188e-06	-4.294e-06
