Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	0.0003364	0.0091231	0.0138344	0.0163144	0.016294	0.0158272
0.005	0.000317716666666667	0.00873503333333333	0.0339406333333333	0.0583980666666667	0.0702021	0.0756337666666667
0.01	0.000287817	0.00825228	0.04099132	0.0741624	0.09111248	0.09992432
0.015	0.000261214	0.00770186	0.04716504	0.08833752	0.10992168	0.12121288
0.02	0.000232687	0.007110535	0.04953634	0.0950824	0.11941936	0.13229154
0.025	0.000206532	0.00652206	0.04640834	0.09070356	0.11479122	0.12761606
0.03	0.000184378	0.0059178	0.0430058	0.0859372	0.109685	0.1220456
0.035	0.00016619	0.0053794	0.0412234	0.084592	0.10897	0.121394
0.04	0.000150515	0.0049326	0.0394768	0.083246	0.108214	0.120992
0.045	0.000136657	0.00453	0.037776	0.081882	0.107442	0.120636
0.05	0.00012559	0.0041706	0.036098	0.080402	0.106578	0.120142
0.055	0.000115991	0.003857	0.034466	0.078928	0.105672	0.11962
0.06	0.000106761	0.0035806	0.032894	0.077534	0.104852	0.119186
0.065	9.9919e-05	0.003337	0.031394	0.076104	0.10407	0.118702
0.07	9.4922e-05	0.0031236	0.02996	0.074652	0.10325	0.118156
0.075	8.9856e-05	0.0029408	0.02858	0.073252	0.102464	0.117688
0.08	8.652e-05	0.0027842	0.027274	0.071832	0.101656	0.11724
0.085	8.454e-05	0.0026416	0.026036	0.070338	0.1007	0.116946
0.09	8.23e-05	0.0025186	0.024836	0.068818	0.099714	0.11688
0.095	8.062e-05	0.002416	0.023694	0.06727	0.098758	0.116582
0.1	7.922e-05	0.00232	0.022636	0.06574	0.097984	0.116044
0.105	7.82e-05	0.002229	0.02163	0.064218	0.097412	0.115466
0.11	7.78e-05	0.0021568	0.020672	0.062672	0.096676	0.11458
0.115	7.69e-05	0.002096	0.019744	0.061084	0.095632	0.113298
0.12	7.608e-05	0.002043	0.018854	0.0595119999999999	0.09453	0.11228
0.125	7.596e-05	0.0020044	0.018028	0.057946	0.093252	0.11166
0.13	7.518e-05	0.0019732	0.017246	0.056368	0.09169	0.11104
0.135	7.47600000000001e-05	0.0019508	0.01652	0.0548720000000001	0.09026	0.1104
0.14	7.56200000000001e-05	0.0019376	0.015886	0.053434	0.0891400000000001	0.10988
0.145	7.63800000000001e-05	0.0019176	0.015298	0.051988	0.0880600000000001	0.1093
0.15	7.66200000000001e-05	0.001895	0.014708	0.050572	0.0869	0.10848
0.155	7.594e-05	0.0018874	0.01415	0.04939	0.08572	0.10764
0.16	7.51e-05	0.0018722	0.013668	0.0483579999999999	0.0845599999999999	0.10688
0.165	7.474e-05	0.001848	0.013266	0.04716	0.08344	0.1061
0.17	7.464e-05	0.0018424	0.012886	0.045812	0.08218	0.10516
0.175	7.556e-05	0.0018374	0.012512	0.044452	0.0808	0.1043
0.18	7.77e-05	0.0018236	0.012152	0.042906	0.07952	0.10358
0.185	7.96999999999999e-05	0.001826	0.011782	0.041178	0.07828	0.10276
0.19	8.09399999999999e-05	0.0018314	0.01142	0.03968	0.0769599999999999	0.10192
0.195	8.16e-05	0.0018286	0.01112	0.03844	0.0757	0.10122
0.2	8.17000000000001e-05	0.0018426	0.010874	0.03722	0.07448	0.10048
0.205	8.20400000000001e-05	0.0018582	0.010668	0.03604	0.07322	0.09954
0.21	8.29800000000001e-05	0.0018566	0.010472	0.03498	0.0719400000000001	0.09858
0.215	8.384e-05	0.0018642	0.010246	0.03396	0.0705600000000001	0.0977199999999999
0.22	8.418e-05	0.0018742	0.010048	0.0329	0.0692000000000001	0.09682
0.225	8.468e-05	0.0018708	0.00988399999999999	0.03182	0.0679200000000001	0.09568
0.23	8.56199999999999e-05	0.001874	0.00972399999999998	0.03078	0.0666	0.09462
0.235	8.632e-05	0.001879	0.009592	0.02982	0.06528	0.09376
0.24	8.674e-05	0.00187	0.00946400000000001	0.0289	0.064	0.09276
0.245	8.82599999999999e-05	0.0018606	0.00931200000000001	0.02798	0.0626599999999999	0.0917
0.25	9.01199999999999e-05	0.0018594	0.009172	0.02712	0.0613599999999999	0.09076
0.255	9.12599999999999e-05	0.001867	0.009064	0.0262999999999999	0.0600999999999999	0.08978
0.26	9.30599999999999e-05	0.0018842	0.00899399999999999	0.02548	0.0587399999999999	0.0886599999999999
0.265	9.56199999999999e-05	0.0018986	0.00893599999999998	0.02474	0.05742	0.0874799999999999
0.27	9.82200000000001e-05	0.0019144	0.00883599999999999	0.02412	0.0561800000000001	0.0864
0.275	9.99400000000002e-05	0.0019318	0.00874800000000001	0.02358	0.0548600000000001	0.0854800000000001
0.28	0.00010074	0.0019312	0.00867800000000001	0.02302	0.0534800000000001	0.0844200000000001
0.285	0.00010036	0.0019222	0.00857200000000001	0.02238	0.0522000000000001	0.0832600000000001
0.29	9.85200000000001e-05	0.0019282	0.00853000000000002	0.0217200000000001	0.0509400000000001	0.0822000000000001
0.295	9.706e-05	0.0019352	0.00852400000000001	0.0211	0.04966	0.0810400000000001
0.3	9.772e-05	0.0019352	0.00845199999999999	0.02052	0.04846	0.0798
0.305	0.00010032	0.0019488	0.008394	0.02002	0.04732	0.0786799999999999
0.31	0.00010312	0.001963	0.00837200000000001	0.01962	0.04616	0.0775599999999999
0.315	0.00010506	0.0019654	0.008316	0.0192	0.0449999999999999	0.0764199999999999
0.32	0.00010624	0.0019798	0.008238	0.0188	0.0438999999999999	0.0753399999999999
0.325	0.00010702	0.002003	0.008192	0.0185199999999999	0.0428199999999999	0.0741799999999999
0.33	0.00010714	0.0020076	0.008154	0.01818	0.0417399999999999	0.0729600000000001
0.335	0.00010764	0.0020176	0.008088	0.01776	0.04068	0.0717600000000002
0.34	0.0001101	0.0020482	0.00801399999999999	0.01744	0.0396400000000001	0.0705200000000002
0.345	0.00011318	0.0020542	0.007982	0.0172	0.0385800000000001	0.0693000000000002
0.35	0.0001159	0.0020358	0.00795600000000001	0.01688	0.0375200000000001	0.0681200000000001
0.355	0.00011802	0.002031	0.007914	0.01656	0.03652	0.0669
0.36	0.0001184	0.0020412	0.00790800000000001	0.01636	0.0356	0.0657199999999999
0.365	0.00011792	0.0020494	0.007904	0.0161599999999999	0.0347599999999999	0.0646199999999999
0.37	0.00011792	0.0020586	0.00789199999999999	0.0158599999999999	0.0339799999999999	0.0634799999999999
0.375	0.00011964	0.0020702	0.00788199999999998	0.0155599999999999	0.0331599999999999	0.0622399999999999
0.38	0.000123	0.002082	0.00780999999999998	0.01532	0.0323	0.0610199999999999
0.385	0.00012572	0.0020892	0.00771199999999999	0.01508	0.03148	0.0598799999999999
0.39	0.00012768	0.0020898	0.007704	0.0149	0.03062	0.0586799999999999
0.395	0.00012936	0.002099	0.00773400000000002	0.01478	0.02972	0.0574599999999999
0.4	0.00012938	0.002114	0.00771800000000001	0.01468	0.02894	0.0564
0.405	0.00012912	0.0021284	0.00775400000000001	0.0146	0.02824	0.0553600000000001
0.41	0.00013084	0.0021414	0.00780800000000001	0.01446	0.02756	0.0542000000000002
0.415	0.00013398	0.0021434	0.00772600000000001	0.01428	0.02702	0.0530600000000003
0.42	0.00013702	0.0021412	0.007634	0.0141400000000001	0.02656	0.0519400000000002
0.425	0.00013794	0.002157	0.00764999999999999	0.01398	0.02604	0.0508200000000001
0.43	0.0001375	0.00217	0.007664	0.0138	0.0255200000000001	0.0497999999999999
0.435	0.00013734	0.0021758	0.00765599999999999	0.01366	0.0250200000000001	0.0487799999999998
0.44	0.00013736	0.0022076	0.00768599999999998	0.01358	0.02444	0.0476599999999998
0.445	0.00013928	0.002233	0.00767999999999998	0.0134799999999999	0.02386	0.0465199999999998
0.45	0.00014344	0.0022324	0.00761	0.0133	0.02342	0.0454199999999999
0.455	0.00014666	0.002248	0.00756400000000001	0.0132	0.0230599999999999	0.0443
0.46	0.00015034	0.0022636	0.00757800000000001	0.01316	0.02268	0.0432000000000002
0.465	0.00015304	0.002257	0.00761000000000001	0.01296	0.02222	0.0422600000000003
0.47	0.00015116	0.00226	0.00760400000000002	0.01276	0.02174	0.0414200000000002
0.475	0.0001497	0.002272	0.00759200000000001	0.01274	0.02134	0.0404800000000001
0.48	0.000151	0.002282	0.00758799999999999	0.0127	0.02094	0.03954
0.485	0.00015196	0.002288	0.00753999999999998	0.01264	0.02052	0.0387399999999999
0.49	0.00015472	0.002286	0.00748399999999999	0.01272	0.0202	0.0379199999999999
0.495	0.00016028	0.002298	0.007466	0.01276	0.0199400000000001	0.0370199999999999
0.5	0.00016234	0.002322	0.007462	0.01258	0.0196400000000001	0.0361999999999999
0.505	0.00016116	0.002332	0.007454	0.01238	0.01936	0.03546
0.51	0.000162	0.002342	0.00743	0.01228	0.0190999999999999	0.0346599999999999
0.515	0.00016368	0.00236	0.007412	0.01214	0.0188399999999998	0.03386
0.52	0.00016414	0.00236	0.00743399999999999	0.01206	0.0186199999999998	0.03312
0.525	0.00016708	0.00235	0.00744799999999999	0.0121599999999999	0.0183799999999998	0.0324
0.53	0.00017294	0.002354	0.007444	0.01218	0.01812	0.03166
0.535	0.0001761	0.002356	0.00748200000000001	0.01208	0.0178800000000001	0.03094
0.54	0.00017714	0.00236	0.007492	0.01206	0.0176600000000001	0.0303
0.545	0.0001793	0.002394	0.00743799999999998	0.01198	0.01748	0.0297
0.55	0.0001819	0.002426	0.00741199999999999	0.01182	0.0173	0.02906
0.555	0.000182800000000001	0.00243800000000001	0.00739200000000001	0.0118200000000001	0.01712	0.0284600000000001
0.56	0.000182400000000001	0.00246200000000001	0.00734200000000002	0.01186	0.01696	0.0279600000000001
0.565	0.000182820000000001	0.00247200000000001	0.00734800000000002	0.01182	0.01678	0.0274000000000001
0.57	0.000184200000000001	0.002446	0.00740600000000004	0.0118400000000001	0.0165800000000001	0.0268400000000002
0.575	0.00018594	0.002434	0.00742800000000004	0.01184	0.0164000000000001	0.0264000000000001
0.58	0.00018806	0.002452	0.00744800000000001	0.01172	0.0161800000000001	0.0259399999999999
0.585	0.00019058	0.00247	0.00749999999999998	0.0116	0.0160000000000001	0.0253999999999999
0.59	0.00019294	0.002486	0.00749599999999999	0.01154	0.0159400000000001	0.02494
0.595	0.00019638	0.002508	0.00742600000000001	0.01148	0.01582	0.02452
0.6	0.00020014	0.00253	0.00739999999999999	0.01144	0.0157199999999999	0.02398
0.605	0.0002028	0.002534	0.00741399999999997	0.01148	0.0157399999999999	0.0234600000000001
0.61	0.00020492	0.002528	0.007416	0.0115	0.0156399999999999	0.0230600000000001
0.615	0.0002059	0.002528	0.00744000000000001	0.01142	0.0154799999999999	0.0226399999999999
0.62	0.00020646	0.00253	0.007468	0.01134	0.01542	0.0222199999999999
0.625	0.00020788	0.002546	0.007448	0.0113	0.0152000000000001	0.02198
0.63	0.00020936	0.002576	0.007424	0.01126	0.01488	0.0217799999999999
0.635	0.00021176	0.002608	0.00739599999999999	0.01124	0.01478	0.0214799999999999
0.64	0.0002174	0.00264	0.00734999999999999	0.01128	0.0148000000000001	0.02118
0.645	0.00022286	0.002668	0.00738599999999998	0.01134	0.01476	0.02092
0.65	0.00022408	0.002664	0.00745799999999997	0.0113399999999999	0.01468	0.0206399999999999
0.655	0.00022532	0.002642	0.00746399999999997	0.0112999999999999	0.01462	0.0203
0.66	0.00022826	0.00264999999999999	0.00748399999999997	0.0112599999999999	0.01456	0.01994
0.665	0.00022896	0.00267399999999999	0.00752799999999997	0.0111799999999999	0.0143799999999999	0.0196400000000001
0.67	0.00022796	0.00269	0.00747799999999997	0.01106	0.0141799999999999	0.0194
0.675	0.00022928	0.00271400000000001	0.00740400000000001	0.0110200000000001	0.01414	0.0191
0.68	0.000233460000000001	0.00272400000000001	0.00737800000000005	0.0110200000000001	0.01414	0.0188000000000001
0.685	0.000237420000000001	0.00269600000000001	0.00732400000000004	0.0110200000000001	0.01408	0.0186200000000001
0.69	0.000239880000000001	0.00268200000000001	0.00729200000000004	0.0110800000000001	0.0140400000000001	0.01848
0.695	0.000243580000000001	0.00269400000000001	0.00735000000000004	0.0111	0.014	0.0183
0.7	0.00025086	0.002708	0.007394	0.01106	0.01394	0.01816
0.705	0.00025728	0.002738	0.00737999999999998	0.0110599999999999	0.01392	0.0180599999999999
0.71	0.00026062	0.002772	0.00740000000000001	0.01102	0.0138999999999999	0.0179
0.715	0.00026296	0.002778	0.00739599999999999	0.01084	0.0138599999999999	0.01768
0.72	0.00026182	0.002774	0.00734399999999999	0.01074	0.0138	0.0173999999999999
0.725	0.00026	0.00278599999999999	0.00737000000000001	0.0108	0.0137599999999999	0.0170999999999999
0.73	0.0002605	0.00279999999999999	0.007444	0.01082	0.0137199999999999	0.01688
0.735	0.00025984	0.00279399999999999	0.00745199999999999	0.0108	0.01358	0.0167399999999999
0.74	0.00026256	0.002796	0.00743399999999999	0.0108400000000001	0.0134	0.0165999999999999
0.745	0.0002706	0.002822	0.00744399999999999	0.0108600000000001	0.01334	0.0165
0.75	0.00027606	0.002832	0.00742999999999998	0.01078	0.01336	0.0165
0.755	0.00028008	0.002826	0.00738	0.0107	0.01326	0.01644
0.76	0.00028796	0.00285	0.007362	0.0107	0.0131	0.01624
0.765	0.00029336	0.002894	0.007398	0.0106999999999999	0.01308	0.01606
0.77	0.00029288	0.00291	0.00743399999999999	0.0106799999999999	0.0130599999999999	0.01594
0.775	0.0002917	0.002904	0.00745999999999998	0.0106999999999999	0.01292	0.0158
