Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.1V
-0.3	6.48e-09	4.50400000000002e-08	2.02399999999999e-08	6.34799999999994e-08	1.27559999999999e-07	1.59e-07	1.34200000000001e-07	1.59e-07	1.69880000000001e-07	1.24359999999999e-07
-0.295	1.37166666666666e-08	3.87333333333334e-08	3.01199999999999e-08	6.50733333333329e-08	1.20203333333333e-07	1.29893333333333e-07	9.90800000000002e-08	1.3682e-07	1.33613333333334e-07	1.37123333333333e-07
-0.29	1.4634e-08	3.43420000000001e-08	3.11220000000001e-08	5.91579999999998e-08	9.3684e-08	1.12232e-07	9.65920000000004e-08	1.17828e-07	1.22732e-07	1.36008e-07
-0.285	1.5699e-08	3.19560000000001e-08	3.32620000000001e-08	5.72299999999999e-08	7.75060000000001e-08	9.51800000000001e-08	9.49520000000003e-08	1.00618e-07	1.07462e-07	1.41946e-07
-0.28	1.5248e-08	2.884e-08	3.46340000000001e-08	5.388e-08	6.82400000000002e-08	7.81120000000001e-08	1.0044e-07	9.05780000000002e-08	1.0013e-07	1.24572e-07
-0.275	1.2669e-08	2.8098e-08	3.44560000000001e-08	4.55300000000001e-08	6.36500000000001e-08	7.5316e-08	1.05556e-07	8.27420000000001e-08	9.65060000000001e-08	1.18372e-07
-0.27	1.0387e-08	2.68e-08	3.7186e-08	4.25180000000001e-08	6.7048e-08	7.6298e-08	1.02304e-07	7.53859999999998e-08	8.8486e-08	1.284e-07
-0.265	1.1598e-08	2.1414e-08	4.09479999999999e-08	4.30760000000001e-08	7.74819999999999e-08	8.0496e-08	9.9968e-08	8.62099999999998e-08	8.955e-08	1.22344e-07
-0.26	1.476e-08	1.80119999999999e-08	4.15399999999999e-08	3.83260000000001e-08	7.68799999999998e-08	9.38759999999999e-08	8.98799999999999e-08	9.70979999999999e-08	1.00106e-07	1.23754e-07
-0.255	1.6651e-08	1.79839999999999e-08	4.24019999999999e-08	3.81939999999999e-08	6.59979999999999e-08	9.45979999999999e-08	6.99899999999999e-08	9.26799999999999e-08	1.0555e-07	1.3873e-07
-0.25	1.8091e-08	1.9392e-08	4.4574e-08	4.52959999999998e-08	6.5396e-08	8.4486e-08	6.56099999999998e-08	9.81239999999998e-08	1.06082e-07	1.3161e-07
-0.245	1.9352e-08	2.46480000000001e-08	4.283e-08	4.80239999999999e-08	6.5372e-08	7.81579999999999e-08	7.23859999999998e-08	1.1016e-07	1.10184e-07	1.1825e-07
-0.24	1.7974e-08	3.01100000000001e-08	4.105e-08	5.08659999999999e-08	5.5248e-08	6.63459999999998e-08	7.19539999999998e-08	1.00648e-07	1.11906e-07	1.17584e-07
-0.235	1.664e-08	3.351e-08	4.46560000000001e-08	5.7138e-08	4.9956e-08	5.72519999999999e-08	7.93759999999997e-08	9.5356e-08	1.0491e-07	1.13668e-07
-0.23	1.6374e-08	3.4198e-08	4.68720000000001e-08	5.75000000000001e-08	5.63800000000001e-08	6.1038e-08	9.09179999999998e-08	1.12772e-07	1.05556e-07	1.12624e-07
-0.225	1.5397e-08	3.078e-08	4.24020000000001e-08	5.08600000000001e-08	5.35800000000001e-08	6.87779999999999e-08	9.84e-08	1.21112e-07	1.17212e-07	1.23044e-07
-0.22	1.517e-08	2.88059999999999e-08	4.0944e-08	4.6648e-08	3.711e-08	7.49119999999999e-08	1.01932e-07	1.08836e-07	1.1884e-07	1.23304e-07
-0.215	1.3315e-08	3.13339999999999e-08	4.51700000000001e-08	4.3354e-08	3.59520000000001e-08	7.3834e-08	9.79320000000002e-08	9.66699999999999e-08	1.15976e-07	1.11136e-07
-0.21	1.0351e-08	3.0278e-08	4.45220000000001e-08	4.0428e-08	4.82200000000001e-08	6.92540000000001e-08	9.42520000000003e-08	9.57380000000001e-08	1.2509e-07	1.07772e-07
-0.205	1.1286e-08	2.8174e-08	3.9938e-08	4.49520000000001e-08	5.2308e-08	7.2404e-08	9.73120000000002e-08	9.82100000000001e-08	1.2225e-07	1.16946e-07
-0.2	1.3188e-08	3.3016e-08	4.15079999999999e-08	5.28080000000001e-08	5.7306e-08	7.53359999999999e-08	9.72200000000002e-08	1.02556e-07	1.09856e-07	1.3189e-07
-0.195	1.3413e-08	3.6504e-08	4.75719999999999e-08	5.88940000000001e-08	7.5164e-08	7.7896e-08	8.30360000000001e-08	1.08718e-07	1.19026e-07	1.4235e-07
-0.19	1.5683e-08	3.5352e-08	4.86339999999998e-08	6.14480000000001e-08	8.83759999999999e-08	8.473e-08	7.7884e-08	1.16528e-07	1.30186e-07	1.37502e-07
-0.185	1.8614e-08	3.5666e-08	4.78719999999998e-08	5.9064e-08	9.32019999999999e-08	8.4724e-08	9.00199999999999e-08	1.17902e-07	1.2461e-07	1.20234e-07
-0.18	1.8291e-08	3.5054e-08	4.9776e-08	5.35579999999999e-08	9.834e-08	8.1732e-08	8.7314e-08	9.938e-08	1.23578e-07	9.87620000000001e-08
-0.175	1.6444e-08	2.9446e-08	4.55800000000001e-08	5.15259999999999e-08	1.01768e-07	8.74160000000002e-08	7.289e-08	7.7224e-08	1.31444e-07	7.91980000000001e-08
-0.17	1.5775e-08	2.368e-08	3.77480000000002e-08	5.45699999999999e-08	9.9072e-08	9.44620000000001e-08	8.13519999999999e-08	7.4986e-08	1.28212e-07	7.75280000000002e-08
-0.165	1.6183e-08	2.2932e-08	3.55300000000001e-08	6.2324e-08	9.363e-08	9.8442e-08	9.46979999999999e-08	8.47900000000001e-08	1.1242e-07	9.68440000000001e-08
-0.16	1.6215e-08	2.6468e-08	3.7538e-08	7.2076e-08	9.108e-08	1.03018e-07	8.96799999999998e-08	8.548e-08	1.008e-07	1.21836e-07
-0.155	1.6799e-08	3.1964e-08	4.49499999999999e-08	7.76679999999999e-08	8.3392e-08	1.05522e-07	9.23379999999998e-08	8.3108e-08	9.69499999999999e-08	1.42302e-07
-0.15	2.0291e-08	3.703e-08	5.6636e-08	8.1104e-08	6.91820000000001e-08	1.04096e-07	1.0677e-07	9.8248e-08	8.95379999999999e-08	1.44004e-07
-0.145	2.3003e-08	4.00060000000001e-08	6.343e-08	8.1146e-08	6.01700000000001e-08	9.94360000000001e-08	1.10588e-07	1.09622e-07	8.7808e-08	1.33344e-07
-0.14	2.4853e-08	4.25280000000001e-08	6.49020000000001e-08	7.86859999999999e-08	6.05700000000001e-08	9.7728e-08	1.01006e-07	1.06444e-07	1.08356e-07	1.38786e-07
-0.135	2.6527e-08	4.511e-08	6.59800000000001e-08	8.1878e-08	6.1232e-08	9.70319999999998e-08	9.63680000000003e-08	1.13866e-07	1.28498e-07	1.53384e-07
-0.13	2.5807e-08	4.5652e-08	6.6026e-08	8.6292e-08	6.51239999999999e-08	9.09979999999997e-08	1.09526e-07	1.26492e-07	1.4099e-07	1.51314e-07
-0.125	2.6056e-08	4.6302e-08	6.7058e-08	8.19539999999999e-08	8.20899999999998e-08	9.04039999999997e-08	1.2543e-07	1.28028e-07	1.62102e-07	1.52254e-07
-0.12	2.8088e-08	4.9354e-08	6.71299999999999e-08	7.5234e-08	1.04926e-07	9.90519999999999e-08	1.32864e-07	1.39344e-07	1.74e-07	1.7311e-07
-0.115	2.8068e-08	5.272e-08	6.38279999999999e-08	7.27900000000001e-08	1.15564e-07	1.00192e-07	1.40092e-07	1.60316e-07	1.63044e-07	1.88286e-07
-0.11	2.8764e-08	5.4382e-08	6.15780000000001e-08	7.15800000000001e-08	1.14234e-07	9.78200000000002e-08	1.4499e-07	1.68342e-07	1.6242e-07	1.88484e-07
-0.105	3.3778e-08	5.58320000000001e-08	5.8568e-08	7.9496e-08	1.10526e-07	1.17038e-07	1.42806e-07	1.7485e-07	1.80912e-07	1.98396e-07
-0.1	3.689e-08	5.81020000000001e-08	5.8016e-08	9.4334e-08	1.10352e-07	1.42856e-07	1.4098e-07	1.79742e-07	1.83296e-07	2.13856e-07
-0.095	3.8084e-08	5.96300000000001e-08	6.50720000000001e-08	1.04298e-07	1.12442e-07	1.51068e-07	1.49686e-07	1.6711e-07	1.76562e-07	2.05906e-07
-0.09	4.1586e-08	6.2288e-08	7.1618e-08	1.11548e-07	1.12268e-07	1.59924e-07	1.72496e-07	1.59154e-07	1.934e-07	1.93294e-07
