vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	-6.7829e-09	-3.91514e-08	-1.2075e-09	4.4559e-06	-4.3944e-06	1.1406e-07	-3.91776e-08	-1.1926e-07	4.2721e-06	-4.2278e-06	2.2484e-07	-3.91882e-08	-2.268e-07	4.2738e-06	-4.229e-06	3.571e-07	-3.9824e-08	-3.579e-07	4.2907e-06	-4.2488e-06	5.2e-07	-4.0195e-08	-5.1606e-07	4.3059e-06	-4.2677e-06	7.2198e-07	-4.06718e-08	-7.14e-07	4.3153e-06	-4.2827e-06	9.9122e-07	-4.11214e-08	-9.6816e-07	4.3345e-06	-4.3183e-06
-0.295	-6.9618e-09	-3.48902e-08	-1.1957e-09	4.4377e-06	-4.3888e-06	1.1522e-07	-3.50528e-08	-1.2054e-07	4.2706e-06	-4.2288e-06	2.2758e-07	-3.50952e-08	-2.2934e-07	4.2741e-06	-4.238e-06	3.6056e-07	-3.56086e-08	-3.5578e-07	4.2865e-06	-4.2517e-06	5.2562e-07	-3.60112e-08	-5.174e-07	4.3067e-06	-4.2714e-06	7.2416e-07	-3.63978e-08	-7.2152e-07	4.3141e-06	-4.2903e-06	9.983e-07	-3.69588e-08	-9.7738e-07	4.3362e-06	-4.3261e-06
-0.29	-6.9409e-09	-3.14006e-08	-1.2103e-09	4.4351e-06	-4.3891e-06	1.1706e-07	-3.14802e-08	-1.2234e-07	4.2714e-06	-4.2345e-06	2.2984e-07	-3.16e-08	-2.3122e-07	4.2702e-06	-4.238e-06	3.6308e-07	-3.18772e-08	-3.618e-07	4.2857e-06	-4.2556e-06	5.2674e-07	-3.23562e-08	-5.2234e-07	4.3028e-06	-4.277e-06	7.3466e-07	-3.28018e-08	-7.2056e-07	4.3123e-06	-4.2901e-06	1.00294e-06	-3.33224e-08	-9.8268e-07	4.328e-06	-4.3191e-06
-0.285	-6.9803e-09	-2.81836e-08	-1.2098e-09	4.4224e-06	-4.3837e-06	1.1762e-07	-2.82558e-08	-1.214e-07	4.2794e-06	-4.2443e-06	2.3054e-07	-2.82926e-08	-2.3428e-07	4.2723e-06	-4.2409e-06	3.6628e-07	-2.86246e-08	-3.6464e-07	4.2901e-06	-4.2581e-06	5.3028e-07	-2.89916e-08	-5.2748e-07	4.2942e-06	-4.2762e-06	7.441e-07	-2.954e-08	-7.31e-07	4.3102e-06	-4.2909e-06	1.01296e-06	-3.00706e-08	-9.9144e-07	4.3296e-06	-4.3242e-06
-0.28	-6.9718e-09	-2.52654e-08	-1.2258e-09	4.4161e-06	-4.3824e-06	1.179e-07	-2.54234e-08	-1.2288e-07	4.2753e-06	-4.2388e-06	2.3554e-07	-2.54216e-08	-2.3642e-07	4.2639e-06	-4.2377e-06	3.6444e-07	-2.57404e-08	-3.66e-07	4.2905e-06	-4.2669e-06	5.298e-07	-2.62716e-08	-5.282e-07	4.2937e-06	-4.2777e-06	7.483e-07	-2.66024e-08	-7.3446e-07	4.3061e-06	-4.2901e-06	1.0222e-06	-2.71002e-08	-9.9806e-07	4.3322e-06	-4.3244e-06
-0.275	-6.9879e-09	-2.27304e-08	-1.2037e-09	4.4162e-06	-4.3815e-06	1.188e-07	-2.28044e-08	-1.2334e-07	4.2723e-06	-4.247e-06	2.3344e-07	-2.29062e-08	-2.3708e-07	4.2611e-06	-4.2368e-06	3.6834e-07	-2.31102e-08	-3.6738e-07	4.289e-06	-4.271e-06	5.375e-07	-2.35286e-08	-5.2884e-07	4.2921e-06	-4.2733e-06	7.4542e-07	-2.4041e-08	-7.3724e-07	4.3125e-06	-4.295e-06	1.03212e-06	-2.44354e-08	-1.0034e-06	4.3285e-06	-4.3259e-06
-0.27	-7.0006e-09	-2.04484e-08	-1.2044e-09	4.4083e-06	-4.3768e-06	1.1904e-07	-2.05478e-08	-1.2542e-07	4.2668e-06	-4.2357e-06	2.3778e-07	-2.0576e-08	-2.3692e-07	4.2677e-06	-4.2419e-06	3.7242e-07	-2.08652e-08	-3.7102e-07	4.2978e-06	-4.2766e-06	5.439e-07	-2.12346e-08	-5.3466e-07	4.2904e-06	-4.2762e-06	7.5776e-07	-2.16972e-08	-7.3832e-07	4.3137e-06	-4.2952e-06	1.03402e-06	-2.2217e-08	-1.00916e-06	4.3337e-06	-4.3301e-06
-0.265	-6.9952e-09	-1.83132e-08	-1.2149e-09	4.4027e-06	-4.3743e-06	1.1998e-07	-1.8435e-08	-1.2534e-07	4.2639e-06	-4.2413e-06	2.3752e-07	-1.84434e-08	-2.4114e-07	4.2722e-06	-4.2508e-06	3.7534e-07	-1.87412e-08	-3.7146e-07	4.2963e-06	-4.274e-06	5.4754e-07	-1.91164e-08	-5.3386e-07	4.287e-06	-4.2711e-06	7.611e-07	-1.95344e-08	-7.4696e-07	4.3022e-06	-4.2946e-06	1.04672e-06	-2.0129e-08	-1.02178e-06	4.3275e-06	-4.3274e-06
-0.26	-7.0321e-09	-1.64996e-08	-1.2277e-09	4.4064e-06	-4.3784e-06	1.2066e-07	-1.66406e-08	-1.2564e-07	4.2677e-06	-4.2424e-06	2.4076e-07	-1.66582e-08	-2.4252e-07	4.2785e-06	-4.2553e-06	3.7472e-07	-1.68784e-08	-3.7802e-07	4.2936e-06	-4.2749e-06	5.5158e-07	-1.72432e-08	-5.4752e-07	4.2884e-06	-4.2759e-06	7.7088e-07	-1.77356e-08	-7.4904e-07	4.3042e-06	-4.3001e-06	1.0538e-06	-1.82814e-08	-1.02272e-06	4.3232e-06	-4.3238e-06
-0.255	-7.0222e-09	-1.48308e-08	-1.2313e-09	4.3948e-06	-4.3682e-06	1.2206e-07	-1.49934e-08	-1.2718e-07	4.2711e-06	-4.2484e-06	2.4258e-07	-1.50126e-08	-2.44e-07	4.271e-06	-4.2555e-06	3.8346e-07	-1.51996e-08	-3.7666e-07	4.2912e-06	-4.2729e-06	5.5524e-07	-1.55746e-08	-5.4798e-07	4.2935e-06	-4.2721e-06	7.6866e-07	-1.59904e-08	-7.6782e-07	4.3037e-06	-4.3017e-06	1.04866e-06	-1.65544e-08	-1.02888e-06	4.321e-06	-4.3291e-06
