I/V Sweep,id_vgs_2
RecordTime,05/14/2024 09:24:29
Device ID,
Count,2
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-4.4632E-09,-4.3166199999999995E-08,-2.4159E-09,4.4845000000000009E-06,-4.4318000000000005E-06
-0.29500000000000004,0,-4.5577E-09,-3.8269E-08,-2.4252E-09,4.4863000000000006E-06,-4.4341000000000005E-06
-0.29000000000000004,0,-4.5913E-09,-3.4382199999999994E-08,-2.4623E-09,4.4704000000000004E-06,-4.4279E-06
-0.28500000000000003,0,-4.5942E-09,-3.08218E-08,-2.5433E-09,4.4650000000000004E-06,-4.4281000000000009E-06
-0.28,0,-4.599E-09,-2.7615199999999997E-08,-2.5545E-09,4.4586000000000008E-06,-4.4147E-06
-0.275,0,-4.5984E-09,-2.47556E-08,-2.5991E-09,4.4585000000000006E-06,-4.429E-06
-0.27,0,-4.5544E-09,-2.2263399999999997E-08,-2.5871E-09,4.454E-06,-4.4234000000000007E-06
-0.265,0,-4.565E-09,-1.9954599999999997E-08,-2.5843E-09,4.4507000000000004E-06,-4.415E-06
-0.26,0,-4.5953E-09,-1.7959399999999997E-08,-2.6321E-09,4.4438000000000006E-06,-4.4146E-06
-0.255,0,-4.6143E-09,-1.6183E-08,-2.7002E-09,4.4429E-06,-4.4216E-06
-0.25,0,-4.6645E-09,-1.4585999999999999E-08,-2.6497E-09,4.4411000000000006E-06,-4.4177E-06
-0.24500000000000002,0,-4.6029E-09,-1.3117599999999999E-08,-2.7002E-09,4.4432E-06,-4.4176000000000007E-06
-0.24000000000000002,0,-4.6341E-09,-1.1836E-08,-2.7511E-09,4.4364E-06,-4.4129000000000006E-06
-0.23500000000000001,0,-4.6269E-09,-1.06708E-08,-2.7403E-09,4.4289E-06,-4.4149000000000007E-06
-0.23,0,-4.6573E-09,-9.6309999999999987E-09,-2.7513E-09,4.4288000000000007E-06,-4.4130000000000008E-06
-0.225,0,-4.6223E-09,-8.694E-09,-2.7871E-09,4.4208E-06,-4.4082E-06
-0.22,0,-4.7031E-09,-7.8584E-09,-2.842E-09,4.4241000000000006E-06,-4.3990000000000006E-06
-0.215,0,-4.6523E-09,-7.0853E-09,-2.7627E-09,4.4215000000000008E-06,-4.4042E-06
-0.21000000000000002,0,-4.665E-09,-6.4279E-09,-2.7824E-09,4.4111000000000008E-06,-4.3966E-06
-0.20500000000000002,0,-4.7245E-09,-5.8176E-09,-2.8465E-09,4.4064000000000007E-06,-4.3885E-06
-0.2,0,-4.6776E-09,-5.2857E-09,-2.9195E-09,4.395E-06,-4.3791E-06
-0.195,0,-4.7223E-09,-4.7863E-09,-2.9096E-09,4.4002000000000007E-06,-4.3852000000000008E-06
-0.19,0,-4.7542E-09,-4.355E-09,-2.9094E-09,4.3888E-06,-4.3738E-06
-0.185,0,-4.7555999999999996E-09,-3.9625E-09,-2.9393E-09,4.3908E-06,-4.3794000000000008E-06
-0.18000000000000002,0,-4.6748E-09,-3.6088E-09,-2.8647E-09,4.388E-06,-4.3765E-06
-0.17500000000000002,0,-4.7321E-09,-3.2922E-09,-2.9492E-09,4.3815E-06,-4.3737E-06
-0.17,0,-4.7323E-09,-3.0032E-09,-2.947E-09,4.3865E-06,-4.3721E-06
-0.165,0,-4.7266E-09,-2.7404E-09,-2.9874E-09,4.3873E-06,-4.3785000000000005E-06
-0.16,0,-4.7103E-09,-2.512E-09,-2.9851E-09,4.3877E-06,-4.368E-06
-0.155,0,-4.7103E-09,-2.3043E-09,-3.048E-09,4.3836000000000007E-06,-4.3689000000000006E-06
-0.15,0,-4.6279E-09,-2.1151E-09,-3.0036E-09,4.3868E-06,-4.3731000000000005E-06
-0.14500000000000002,0,-4.7806E-09,-1.951E-09,-3.0899E-09,4.3794000000000008E-06,-4.3719000000000004E-06
-0.14,0,-4.8206E-09,-1.7948E-09,-3.1524E-09,4.3818E-06,-4.3694E-06
-0.135,0,-4.7007E-09,-1.6568E-09,-3.1016E-09,4.3764E-06,-4.3659000000000008E-06
-0.13,0,-4.7118E-09,-1.5325E-09,-3.1128E-09,4.376E-06,-4.3703E-06
-0.125,0,-4.7328E-09,-1.4186E-09,-3.155E-09,4.3777000000000005E-06,-4.3685000000000006E-06
-0.12000000000000001,0,-4.7656E-09,-1.3169E-09,-3.1805E-09,4.368E-06,-4.3575E-06
-0.115,0,-4.6361E-09,-1.2253E-09,-3.1704E-09,4.3655000000000008E-06,-4.3550000000000007E-06
-0.11,0,-4.7148E-09,-1.1384E-09,-3.2044E-09,4.3744000000000008E-06,-4.3648E-06
-0.10500000000000001,0,-4.7182E-09,-1.0613E-09,-3.2319E-09,4.364E-06,-4.3573000000000006E-06
-0.1,0,-4.6696E-09,-9.9322E-10,-3.2239E-09,4.3639000000000007E-06,-4.3511000000000006E-06
-0.095,0,-4.708E-09,-9.3059000000000009E-10,-3.2364E-09,4.3603E-06,-4.351E-06
-0.090000000000000011,0,-4.651E-09,-8.7279E-10,-3.3405E-09,4.3638000000000005E-06,-4.3525E-06
-0.085,0,-4.5883E-09,-8.2158000000000007E-10,-3.2787E-09,4.3650000000000006E-06,-4.3528E-06
-0.08,0,-4.6113E-09,-7.7588E-10,-3.2994E-09,4.3644E-06,-4.3568E-06
-0.075,0,-4.6154E-09,-7.3102E-10,-3.3455E-09,4.3682000000000008E-06,-4.3539000000000008E-06
-0.07,0,-4.6423E-09,-6.9174E-10,-3.3943E-09,4.3585000000000007E-06,-4.3523000000000007E-06
-0.065,0,-4.6193E-09,-6.5643000000000008E-10,-3.4287E-09,4.3596000000000006E-06,-4.3526000000000005E-06
-0.060000000000000005,0,-4.6468E-09,-6.244E-10,-3.4823E-09,4.3611000000000005E-06,-4.3498E-06
-0.055,0,-4.5857E-09,-5.9151000000000006E-10,-3.4194E-09,4.3626E-06,-4.3468000000000005E-06
-0.05,0,-4.4911E-09,-5.6499E-10,-3.5343E-09,4.3629E-06,-4.3475E-06
-0.045000000000000005,0,-4.5434E-09,-5.3641E-10,-3.5949E-09,4.3645E-06,-4.3544E-06
-0.04,0,-4.5221E-09,-5.1425000000000006E-10,-3.5301E-09,4.3626E-06,-4.3536E-06
-0.035,0,-4.4436E-09,-4.8948E-10,-3.5578E-09,4.3633E-06,-4.3531000000000007E-06
-0.030000000000000002,0,-4.4805E-09,-4.6903000000000009E-10,-3.653E-09,4.3579E-06,-4.3441000000000005E-06
-0.025,0,-4.3501E-09,-4.5194000000000004E-10,-3.6121E-09,4.3628000000000008E-06,-4.3544E-06
-0.02,0,-4.4943E-09,-4.3369000000000003E-10,-3.6159E-09,4.359E-06,-4.3430000000000006E-06
-0.015000000000000001,0,-4.2765E-09,-4.1609E-10,-3.6311E-09,4.3570000000000008E-06,-4.347E-06
-0.01,0,-4.2875E-09,-3.9975000000000004E-10,-3.7474E-09,4.3604000000000006E-06,-4.3445000000000005E-06
-0.005,0,-4.2125E-09,-3.8457000000000005E-10,-3.7166E-09,4.3519000000000006E-06,-4.3439E-06
0,0,-4.3063E-09,-3.6846000000000004E-10,-3.8757E-09,4.3539000000000008E-06,-4.3381E-06
0.005,0,-4.2304E-09,-3.5435E-10,-3.8812E-09,4.3531000000000007E-06,-4.3417E-06
0.01,0,-4.0039E-09,-3.3918E-10,-4.0061E-09,4.354E-06,-4.3471E-06
0.015000000000000001,0,-4.0886E-09,-3.2911E-10,-4.0142E-09,4.3615000000000005E-06,-4.351E-06
0.02,0,-3.8646E-09,-3.1297E-10,-4.1119E-09,4.3522000000000004E-06,-4.3375E-06
0.025,0,-3.9088E-09,-3.0091E-10,-4.1396E-09,4.3462000000000008E-06,-4.334E-06
0.030000000000000002,0,-3.8341E-09,-2.8967000000000005E-10,-4.3433E-09,4.3484000000000006E-06,-4.3375E-06
0.035,0,-3.7037E-09,-2.7803E-10,-4.4094E-09,4.3527000000000007E-06,-4.3410000000000005E-06
0.04,0,-3.5243E-09,-2.6564E-10,-4.5204E-09,4.3484000000000006E-06,-4.3411000000000007E-06
0.045000000000000005,0,-3.3323E-09,-2.5276E-10,-4.6285E-09,4.3419000000000007E-06,-4.3329000000000005E-06
0.05,0,-3.2279E-09,-2.4235E-10,-4.7351E-09,4.3453000000000006E-06,-4.3286E-06
0.055,0,-2.9219E-09,-2.3163E-10,-4.977E-09,4.3365000000000007E-06,-4.327E-06
0.060000000000000005,0,-2.9212E-09,-2.1922000000000002E-10,-5.1301E-09,4.3450000000000008E-06,-4.3345000000000006E-06
0.065,0,-2.6276E-09,-2.0560000000000002E-10,-5.3134E-09,4.3348E-06,-4.3278E-06
