Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	0.0005839	0.0151687	0.019062	0.016928	0.0159688	0.1695988
0.005	0.00055247	0.0150913	0.0559227	0.0881169	0.103012066666667	0.1746462
0.01	0.000506973	0.01421748	0.06856336	0.11517112	0.13719448	0.17869912
0.015	0.000461744	0.01340594	0.07981896	0.13953552	0.16790872	0.18165536
0.02	0.00041291	0.012396535	0.08418132	0.15135934	0.18363416	0.18381214
0.025	0.000368494	0.0112889	0.07850174	0.14441898	0.17655524	0.1843034
0.03	0.000328968	0.010272	0.0725058	0.136868	0.168574	0.183888
0.035	0.000295603	0.0094014	0.06964	0.135042	0.167638	0.183446
0.04	0.000269112	0.008632	0.066794	0.133158	0.166714	0.18295
0.045	0.0002454	0.0079358	0.063998	0.131316	0.165772	0.182394
0.05	0.00022344	0.0073064	0.061238	0.129322	0.164704	0.181908
0.055	0.00020614	0.0067594	0.058532	0.127234	0.163842	0.18172
0.06	0.000192	0.0062846	0.05598	0.125252	0.163222	0.181448
0.065	0.0001789	0.0058706	0.053558	0.12328	0.16232	0.180808
0.07	0.00016996	0.0055168	0.051174	0.121234	0.161284	0.180202
0.075	0.0001639	0.0052036	0.048908	0.119378	0.16039	0.179614
0.08	0.00015744	0.0049144	0.04677	0.11775	0.159212	0.178698
0.085	0.00015124	0.0046598	0.04465	0.115866	0.157742	0.1778
0.09	0.00014638	0.004436	0.042608	0.113692	0.15652	0.17724
0.095	0.0001432	0.0042378	0.040664	0.11149	0.15532	0.17668
0.1	0.0001409	0.0040758	0.038792	0.109122	0.15394	0.17604
0.105	0.00013822	0.0039422	0.03703	0.106522	0.15258	0.17542
0.11	0.0001366	0.0038314	0.035366	0.10402	0.15128	0.17476
0.115	0.00013568	0.0037348	0.033754	0.10158	0.14988	0.17386
0.12	0.00013314	0.0036448	0.032268	0.0992	0.14844	0.17292
0.125	0.0001304	0.0035624	0.030904	0.09698	0.14718	0.17216
0.13	0.00013032	0.0034904	0.029628	0.0947	0.14596	0.17144
0.135	0.00013058	0.003426	0.028452	0.0924400000000001	0.14456	0.17068
0.14	0.00013016	0.0033762	0.027314	0.0903600000000001	0.1432	0.17008
0.145	0.00013344	0.0033466	0.026212	0.08816	0.14188	0.16954
0.15	0.0001382	0.0033204	0.02517	0.08576	0.14032	0.16874
0.155	0.00013906	0.003303	0.024194	0.0834399999999999	0.13868	0.1678
0.16	0.00013896	0.0032956	0.02333	0.0811599999999999	0.13708	0.1669
0.165	0.00014056	0.003273	0.022586	0.0789	0.13542	0.16604
0.17	0.0001399	0.0032412	0.02189	0.07674	0.13364	0.16498
0.175	0.00013836	0.0032342	0.021246	0.07464	0.13196	0.16392
0.18	0.0001391	0.0032436	0.020642	0.07254	0.13046	0.16306
0.185	0.0001407	0.0032286	0.020062	0.07042	0.12888	0.16218
0.19	0.00014204	0.0032144	0.019532	0.0683	0.12718	0.16116
0.195	0.00014408	0.0032294	0.019046	0.06624	0.12562	0.16022
0.2	0.00014716	0.0032322	0.018622	0.0643000000000001	0.12404	0.1594
0.205	0.00014948	0.0032212	0.018248	0.0624800000000001	0.12216	0.15846
