Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	-1.466e-08	-1.52e-08	-2.08399999999999e-08	-3.88000000000003e-08	-5.19999999999954e-08	-5.39999999999998e-07
-0.295	-1.1395e-08	-1.42583333333333e-08	-2.08433333333333e-08	-3.74833333333333e-08	-5.19999999999963e-08	-4.8166666666666e-07
-0.29	-9.84000000000001e-09	-1.3339e-08	-2.0522e-08	-3.47400000000001e-08	-4.77999999999981e-08	-3.65999999999998e-07
-0.285	-8.14300000000001e-09	-1.2439e-08	-2.0276e-08	-3.32500000000001e-08	-3.73999999999996e-08	-2.58999999999996e-07
-0.28	-7.02300000000001e-09	-1.1784e-08	-1.9752e-08	-3.11520000000001e-08	-2.12000000000008e-08	-1.61999999999995e-07
-0.275	-6.63900000000001e-09	-1.1441e-08	-1.9388e-08	-2.94220000000002e-08	-9.80000000000114e-09	-7.39999999999974e-08
-0.27	-6.273e-09	-1.1141e-08	-1.933e-08	-2.93820000000002e-08	-3.60000000000095e-09	-2.09999999999974e-08
-0.265	-5.95999999999999e-09	-1.1049e-08	-1.9108e-08	-2.936e-08	-2.2000000000009e-09	-2.49999999999976e-08
-0.26	-5.79199999999999e-09	-1.1108e-08	-1.892e-08	-2.90999999999999e-08	-6.6000000000006e-09	-3.00000000000001e-08
-0.255	-5.578e-09	-1.0919e-08	-1.88e-08	-2.92879999999999e-08	-1.57999999999999e-08	-2.40000000000018e-08
-0.25	-5.317e-09	-1.0683e-08	-1.8322e-08	-2.85719999999999e-08	-2.79999999999994e-08	-5.6000000000002e-08
-0.245	-5.058e-09	-1.0623e-08	-1.7826e-08	-2.74399999999999e-08	-3.59999999999995e-08	-8.2000000000002e-08
-0.24	-4.932e-09	-1.0423e-08	-1.7656e-08	-2.7238e-08	-3.43999999999993e-08	-6.10000000000025e-08
-0.235	-4.883e-09	-1.0091e-08	-1.7762e-08	-2.7074e-08	-2.93999999999989e-08	-6.7000000000003e-08
-0.23	-4.871e-09	-9.762e-09	-1.7937e-08	-2.70700000000001e-08	-3.25999999999994e-08	-1.10000000000002e-07
-0.225	-4.942e-09	-9.31099999999999e-09	-1.7883e-08	-2.73960000000001e-08	-3.29999999999998e-08	-8.60000000000001e-08
-0.22	-4.983e-09	-8.876e-09	-1.6509e-08	-2.6706e-08	-2.43999999999996e-08	-4.29999999999989e-08
-0.215	-4.8209e-09	-8.62700000000001e-09	-1.4987e-08	-2.599e-08	-1.99999999999999e-08	-6.59999999999986e-08
-0.21	-4.6042e-09	-8.54000000000001e-09	-1.531e-08	-2.5798e-08	-1.78000000000006e-08	-1.24999999999999e-07
-0.205	-4.38260000000001e-09	-8.60600000000001e-09	-1.5586e-08	-2.4578e-08	-6.80000000000029e-09	-1.73e-07
-0.2	-4.0796e-09	-8.67500000000002e-09	-1.521e-08	-2.366e-08	1.4e-09	-1.78000000000003e-07
-0.195	-3.8238e-09	-8.54700000000001e-09	-1.6096e-08	-2.4132e-08	-6.00000000000146e-10	-1.37000000000004e-07
-0.19	-3.7997e-09	-8.356e-09	-1.6778e-08	-2.4002e-08	-5.99999999999614e-10	-7.20000000000013e-08
-0.185	-3.9335e-09	-8.046e-09	-1.5343e-08	-2.2812e-08	-5.59999999999894e-09	-1.09999999999987e-08
-0.18	-3.9977e-09	-7.694e-09	-1.4157e-08	-2.2044e-08	-1.71999999999994e-08	2.00000000000013e-08
-0.175	-3.9327e-09	-7.61699999999999e-09	-1.3914e-08	-2.0976e-08	-2.28000000000005e-08	2.90000000000041e-08
-0.17	-3.7977e-09	-7.60199999999999e-09	-1.3646e-08	-2.0092e-08	-2.30000000000007e-08	1.60000000000052e-08
-0.165	-3.6068e-09	-7.29699999999999e-09	-1.3539e-08	-2.065e-08	-2.54000000000002e-08	-6.19999999999984e-08
