I/V Sweep,id_vds
RecordTime,05/14/2024 10:21:33
Device ID,
Count,2
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-1.6343E-09,-6.6380000000000008E-11,-2.37E-12,2.3596000000000002E-06,-2.3544000000000003E-06
0.005,0,-1.5429E-09,-6.7200000000000011E-11,3.25E-12,2.3559E-06,-2.353E-06
0.01,0,-1.4472E-09,-6.9990000000000009E-11,4E-13,2.3547E-06,-2.3510000000000004E-06
0.015000000000000001,0,-1.3536E-09,-7.061E-11,2.5800000000000003E-12,2.3521000000000003E-06,-2.3492000000000003E-06
0.02,0,-1.2661E-09,-7.544E-11,1.9E-12,2.3504000000000004E-06,-2.347E-06
0.025,0,-1.1863E-09,-7.5610000000000011E-11,9.4E-13,2.3457000000000003E-06,-2.3436000000000003E-06
0.030000000000000002,0,-1.1035E-09,-7.731E-11,-1.1000000000000001E-13,2.3471000000000004E-06,-2.3452000000000004E-06
0.035,0,-1.0270999999999999E-09,-7.9690000000000011E-11,-1.5400000000000001E-12,2.3448000000000004E-06,-2.3432000000000003E-06
0.04,0,-9.5639E-10,-8.315E-11,6.6E-13,2.3462E-06,-2.3428000000000003E-06
0.045000000000000005,0,-8.8107E-10,-8.5890000000000013E-11,-1.4E-13,2.3436000000000003E-06,-2.3423000000000004E-06
0.05,0,-8.1048000000000008E-10,-8.69E-11,-9.8E-13,2.341E-06,-2.3379E-06
0.055,0,-7.3744000000000009E-10,-8.9570000000000007E-11,-4.5000000000000005E-13,2.3389E-06,-2.3354E-06
0.060000000000000005,0,-6.7056E-10,-9.22E-11,8.2E-13,2.3389E-06,-2.3359000000000004E-06
0.065,0,-6.0764000000000009E-10,-9.2920000000000014E-11,1.4300000000000002E-12,2.3388000000000004E-06,-2.3375E-06
0.07,0,-5.38E-10,-9.691E-11,1.04E-12,2.3370000000000002E-06,-2.3345000000000003E-06
0.075,0,-4.7208E-10,-9.9080000000000008E-11,8.300000000000001E-13,2.3363000000000004E-06,-2.3341000000000002E-06
0.08,0,-4.0637E-10,-1.0144000000000001E-10,2.41E-12,2.3328000000000003E-06,-2.3340000000000004E-06
0.085,0,-3.4717E-10,-1.0619000000000001E-10,2.6800000000000003E-12,2.3373E-06,-2.3353000000000003E-06
0.090000000000000011,0,-2.7816E-10,-1.0740000000000001E-10,1.6700000000000002E-12,2.3339000000000002E-06,-2.3316000000000003E-06
0.095,0,-2.1548000000000002E-10,-1.1090000000000001E-10,2.21E-12,2.3361000000000004E-06,-2.3335E-06
0.1,0,-1.49E-10,-1.1446000000000001E-10,1.88E-12,2.3338000000000004E-06,-2.3337E-06
0.10500000000000001,0,-8.801E-11,-1.1654000000000002E-10,3.3600000000000002E-12,2.3342E-06,-2.3316000000000003E-06
0.11,0,-1.757E-11,-1.2075E-10,2.8300000000000003E-12,2.3343000000000002E-06,-2.3340000000000004E-06
0.115,0,4.4010000000000005E-11,-1.2402E-10,2.5800000000000003E-12,2.3328000000000003E-06,-2.3316000000000003E-06
0.12000000000000001,0,1.0725E-10,-1.2899E-10,3.81E-12,2.3376000000000003E-06,-2.3380000000000003E-06
0.125,0,1.6743E-10,-1.3408000000000002E-10,3.3900000000000003E-12,2.3394000000000004E-06,-2.3349000000000003E-06
0.13,0,2.3002000000000002E-10,-1.3734000000000001E-10,1.95E-12,2.3413000000000004E-06,-2.3378000000000003E-06
0.135,0,3.0788000000000003E-10,-1.4218000000000002E-10,2.26E-12,2.3379E-06,-2.3340000000000004E-06
0.14,0,3.6901000000000005E-10,-1.4693E-10,1.96E-12,2.3357000000000004E-06,-2.3327E-06
0.14500000000000002,0,4.3110000000000004E-10,-1.5074000000000001E-10,4.33E-12,2.3358E-06,-2.3330000000000004E-06
0.15,0,4.9774000000000008E-10,-1.5761E-10,2.9300000000000002E-12,2.3327E-06,-2.3302E-06
0.155,0,5.6802000000000007E-10,-1.6203E-10,2.2200000000000002E-12,2.3339000000000002E-06,-2.3326000000000003E-06
0.16,0,6.5850000000000005E-10,-1.6895000000000002E-10,2.9400000000000004E-12,2.3324000000000003E-06,-2.3299000000000003E-06
0.165,0,7.0107E-10,-1.7491000000000002E-10,6.2000000000000008E-13,2.3320000000000003E-06,-2.3306E-06
0.17,0,7.6941E-10,-1.8003000000000002E-10,2.5500000000000002E-12,2.3329E-06,-2.3309000000000004E-06
0.17500000000000002,0,8.4787000000000009E-10,-1.8778000000000002E-10,5E-14,2.3368000000000002E-06,-2.3323E-06
0.18000000000000002,0,9.1073000000000012E-10,-1.9450000000000003E-10,3.4E-13,2.3353000000000003E-06,-2.3323E-06
0.185,0,9.7355E-10,-2.0148E-10,1.78E-12,2.3308E-06,-2.3309000000000004E-06
0.19,0,1.0527E-09,-2.0836000000000002E-10,-9.6000000000000015E-13,2.3329E-06,-2.3326000000000003E-06
0.195,0,1.1249E-09,-2.1614000000000002E-10,-1.0100000000000001E-12,2.3345000000000003E-06,-2.3345000000000003E-06
0.2,0,1.194E-09,-2.2464E-10,-2.82E-12,2.3339000000000002E-06,-2.3332000000000004E-06
0.20500000000000002,0,1.2692E-09,-2.3238000000000003E-10,-1.26E-12,2.3339000000000002E-06,-2.3331E-06
0.21000000000000002,0,1.3465E-09,-2.4094E-10,-1.1100000000000001E-12,2.335E-06,-2.3330000000000004E-06
0.215,0,1.4125E-09,-2.4867000000000003E-10,-7.9000000000000007E-13,2.3358E-06,-2.3342E-06
0.22,0,1.4953E-09,-2.5726E-10,-1.21E-12,2.3349000000000003E-06,-2.3353000000000003E-06
0.225,0,1.5712E-09,-2.6786000000000004E-10,-7.2000000000000006E-13,2.3378000000000003E-06,-2.3353000000000003E-06
0.23,0,1.6822E-09,-2.7663E-10,-5.9E-13,2.3358E-06,-2.3333E-06
0.23500000000000001,0,1.7215E-09,-2.8680000000000003E-10,-9.4E-13,2.3327E-06,-2.3322000000000003E-06
0.24000000000000002,0,1.8013E-09,-2.9634000000000003E-10,-3.0300000000000002E-12,2.335E-06,-2.3338000000000004E-06
0.24500000000000002,0,1.8912E-09,-3.0755000000000004E-10,-2.5600000000000004E-12,2.3346E-06,-2.3332000000000004E-06
0.25,0,1.9635E-09,-3.1932000000000004E-10,-6.0000000000000007E-13,2.3328000000000003E-06,-2.3326000000000003E-06
0.255,0,2.0387E-09,-3.2955E-10,-9.000000000000001E-13,2.3297000000000003E-06,-2.3283000000000002E-06
0.26,0,2.1307E-09,-3.4195000000000004E-10,-2.9000000000000003E-13,2.3321E-06,-2.3327E-06
0.265,0,2.2112E-09,-3.5439E-10,-2.0200000000000003E-12,2.3349000000000003E-06,-2.3349000000000003E-06
0.27,0,2.2979E-09,-3.6627E-10,-1.79E-12,2.3320000000000003E-06,-2.3318000000000003E-06
